symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
AARTIIND,2007-06-19 17:25:00,2007-03-31,2007-01-01,False,html_old,46052,19628.0,19813.0,17797.0,656.0,617.0,0.85,0.85,3640.0,0.0
AARTIIND,2007-07-31 18:50:00,2007-06-30,2007-04-01,False,html_old,47920,19428.0,19443.0,17364.0,672.0,522.0,0.72,0.72,3640.0,0.0
AARTIIND,2007-10-31 20:19:00,2007-09-30,2007-07-01,False,html_old,50583,19919.0,19938.0,18210.0,960.0,728.0,1.0,1.0,3640.0,
AARTIIND,2008-01-28 17:43:00,2007-12-31,2007-10-01,False,html_old,51788,26972.0,26977.0,24058.0,1858.0,1386.0,1.9,1.9,3640.0,
AARTIIND,2008-05-29 16:32:00,2008-03-31,2008-01-01,False,html_old,54498,27581.0,27682.0,24511.0,1829.0,1032.0,1.42,1.42,3640.0,
AARTIIND,2008-07-31 11:57:00,2008-06-30,2008-04-01,False,html_old,57032,33773.0,33792.0,28046.0,4298.0,3323.0,4.56,4.56,3640.0,
AARTIIND,2008-10-23 20:11:00,2008-09-30,2008-07-01,False,html_old,58525,40094.0,,33787.0,4419.0,3420.0,4.7,4.7,3640.0,
AARTIIND,2009-01-29 15:02:00,2008-12-31,2008-10-01,False,html_old,61566,31070.0,,29135.0,903.0,684.0,0.94,0.94,3640.0,
AARTIIND,2009-05-28 15:34:00,2009-03-31,2009-01-01,False,html_old,64157,26768.0,,23937.0,1339.0,640.0,0.88,0.88,3640.0,
AARTIIND,2009-07-30 13:54:00,2009-06-30,2009-04-01,False,html_old,66616,26979.0,,22815.0,3098.0,2328.0,3.2,3.2,3640.0,
AARTIIND,2009-10-30 14:06:00,2009-09-30,2009-07-01,False,html_old,69430,30712.0,,26992.0,2572.0,1782.0,2.42,2.42,3685.0,
AARTIIND,2010-01-29 14:07:00,2009-12-31,2009-10-01,False,html_old,71731,30836.0,,28238.0,1790.0,1115.0,1.45,1.45,3836.0,
AARTIIND,2010-05-26 14:46:00,2010-03-31,2010-01-01,False,html_old,74492,35361.0,,31796.0,2878.0,1687.0,2.2,2.2,3836.0,
AARTIIND,2010-08-11 10:30:00,2010-06-30,2010-04-01,False,html_old,77063,35276.0,,31640.0,2878.0,2003.0,2.61,2.61,3836.0,
AARTIIND,2010-11-11 14:18:00,2010-09-30,2010-07-01,False,html_old,80324,31935.0,,29682.0,1647.0,1127.0,1.47,1.47,3836.0,
AARTIIND,2011-02-03 11:17:00,2010-12-31,2010-10-01,False,html_old,82296,32783.0,,30184.0,1894.0,1319.0,1.72,1.72,3836.0,
AARTIIND,2011-06-06 14:44:00,2011-03-31,2011-01-01,False,html_old,86156,43689.0,,40130.0,2941.0,2228.0,2.9,2.9,3836.0,
AARTIIND,2011-08-05 20:32:00,2011-06-30,2011-04-01,False,html_old,87730,38883.0,,35633.0,2517.0,1807.0,2.36,2.36,3836.0,
AARTIIND,2011-11-12 11:34:00,2011-09-30,2011-07-01,False,html_old,90395,39749.0,,36667.0,2352.0,1787.0,2.33,2.33,3836.0,
AARTIIND,2012-02-06 14:21:00,2011-12-31,2011-10-01,False,html_old,92075,41489.0,,37346.0,3406.0,2301.0,3.0,3.0,3836.0,
AARTIIND,2012-05-28 18:45:00,2012-03-31,2012-01-01,False,html_old,95372,45623.0,,40946.0,3926.0,2824.0,3.68,3.68,3956.0,
