symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ABFRL,2013-08-02 17:41:00,2013-06-30,2013-04-01,False,html_old,109640,33604.0,,36814.0,-5782.0,-5782.0,,,9279.0,0.0
ABFRL,2013-11-06 18:25:00,2013-09-30,2013-07-01,False,html_old,112216,48121.65,,50407.93,-4349.58,-4349.58,,,9279.35,0.0
ABFRL,2014-01-31 19:41:00,2013-12-31,2013-10-01,False,html_old,114378,41075.0,,40852.0,-1566.0,-1566.0,,,9279.0,0.0
ABFRL,2014-05-07 15:53:00,2014-03-31,2014-01-01,False,html_old,116842,40061.0,,45608.0,-7075.0,-7075.0,,,9279.35,0.0
ABFRL,2014-08-14 12:25:00,2014-06-30,2014-04-01,False,html_old,121624,38130.0,,43592.0,-7809.0,-7809.0,,,9279.35,0.0
ABFRL,2014-11-24 11:57:00,2014-09-30,2014-07-01,False,html_old,124849,54393.0,,56922.0,-4349.0,-4349.0,,,9279.35,0.0
ABFRL,2015-02-06 10:45:00,2014-12-31,2014-10-01,False,html_old,125727,44114.0,,46207.0,-4278.0,-4278.0,,,9279.0,0.0
ABFRL,2015-05-20 14:29:00,2015-03-31,2015-01-01,False,html_old,128210,45051.0,,49427.0,-6378.0,-6378.0,,,9279.0,0.0
ABFRL,2015-08-10 19:32:00,2015-06-30,2015-04-01,False,html_old,1001015,43370.0,,47958.0,-7309.0,-7309.0,,,9279.35,0.0
ABFRL,2015-11-04 12:15:00,2015-09-30,2015-07-01,False,html_old,1002645,59090.0,,61087.0,-4418.0,-4418.0,,,9279.0,0.0
ABFRL,2016-02-13 18:08:00,2015-12-31,2015-10-01,False,html_old,1005577,161693.0,,158265.0,743.0,743.0,,,9279.0,
ABFRL,2016-05-26 12:08:00,2016-03-31,2016-01-01,False,html_old,1008199,143099.0,,151123.0,-10982.0,-10982.0,,,76884.27,
ABFRL,2016-09-27 15:25:00,2015-06-30,2015-04-01,False,html_old,1012900,129719.0,,133137.0,-6788.0,-6788.0,,,9279.0,
ABFRL,2016-09-27 15:25:00,2016-06-30,2016-04-01,False,html_old,1012899,139966.0,,139668.0,-2082.0,-2082.0,,,76884.0,
ABFRL,2016-11-29 13:56:00,2015-09-30,2015-07-01,False,html_old,1017060,165727.0,,157022.0,6066.0,6066.0,,,9279.0,
ABFRL,2016-11-29 13:56:00,2016-09-30,2016-07-01,False,html_old,1017059,187525.0,,178186.0,6489.0,6489.0,,,76909.0,
ABFRL,2017-02-06 20:03:00,2015-12-31,2015-10-01,False,html_old,1018583,161368.0,,158357.0,644.0,644.0,,,9279.0,
ABFRL,2017-02-06 20:03:00,2016-12-31,2016-10-01,False,html_old,1018582,169900.0,,168538.0,-1240.0,-1240.0,,,76989.0,
ABFRL,2017-05-16 11:05:00,2017-03-31,2017-01-01,False,html_old,1022037,162512.0,164248.0,162065.0,2183.0,2183.0,0.28,0.28,77053.0,
ABFRL,2017-05-16 11:07:00,2016-03-31,2016-01-01,False,html_old,1022038,143623.0,144510.0,155407.0,-10897.0,-10897.0,-1.41,-1.41,76884.0,
ABFRL,2017-08-01 15:47:00,2017-06-30,2017-04-01,False,html_old,1028078,176900.0,177700.0,179700.0,-2000.0,-2000.0,-0.26,-0.26,77200.0,
ABFRL,2017-10-31 10:07:00,2017-09-30,2017-07-01,False,html_old,1031939,180400.0,181100.0,182100.0,-1000.0,-1000.0,-0.13,-0.13,77200.0,
ABFRL,2018-06-12 20:19:00,2018-03-31,2018-01-01,False,xbrl_new,1040213,17535900000.0,17643500000.0,17200500000.0,443000000.0,1131200000.0,1.46,1.46,7716900000.0,
ABFRL,2018-08-10 17:07:00,2018-06-30,2018-04-01,False,xbrl_new,1047597,19135200000.0,19219900000.0,19163900000.0,56000000.0,56000000.0,0.07,0.07,7717200000.0,
ABFRL,2018-11-23 18:31:00,2018-09-30,2018-07-01,False,xbrl_new,1051351,20073400000.0,20260400000.0,19833100000.0,427300000.0,427300000.0,0.55,0.55,7717200000.0,
ABFRL,2019-02-12 12:32:00,2018-12-31,2018-10-01,False,xbrl_new,1055981,22815500000.0,22949200000.0,22246700000.0,702500000.0,702500000.0,0.91,0.91,7717600000.0,
ABFRL,2019-05-16 12:09:00,2019-03-31,2019-01-01,False,xbrl_new,1060507,19153100000.0,19395500000.0,19090300000.0,305200000.0,2026400000.0,2.62,2.61,7734800000.0,
ABFRL,2019-08-06 16:42:00,2019-06-30,2019-04-01,False,xbrl_new,1065954,20654600000.0,20829700000.0,20478300000.0,351400000.0,215600000.0,0.28,0.28,7735000000.0,
ABFRL,2019-11-13 12:04:00,2019-09-30,2019-07-01,True,xbrl_new,1071896,23077800000.0,23243500000.0,22990600000.0,252900000.0,-23500000.0,-0.01,-0.01,7736300000.0,
ABFRL,2019-11-13 12:11:00,2019-09-30,2019-07-01,False,xbrl_new,1071906,22971800000.0,23134000000.0,22775700000.0,358300000.0,69000000.0,0.09,0.09,7736300000.0,
ABFRL,2020-02-07 12:24:00,2019-12-31,2019-10-01,True,xbrl_new,1076957,25827400000.0,25973400000.0,25048400000.0,925000000.0,-376400000.0,-0.49,-0.49,7736600000.0,
ABFRL,2020-02-07 12:27:00,2019-12-31,2019-10-01,False,xbrl_new,1076959,25624600000.0,25769400000.0,24788300000.0,981100000.0,-333600000.0,-0.43,-0.43,7736600000.0,
ABFRL,2020-05-28 13:00:00,2020-03-31,2020-01-01,False,xbrl_new,1082301,18174300000.0,18343100000.0,20124800000.0,-1781700000.0,-1402900000.0,-1.82,-1.81,7739500000.0,
ABFRL,2020-07-21 20:47:00,2020-03-31,2020-01-01,True,xbrl_new,1082303,18318800000.0,18485000000.0,20343200000.0,-1858200000.0,-1465900000.0,-1.9,-1.89,7739500000.0,
ABFRL,2020-08-14 11:51:00,2020-06-30,2020-04-01,False,xbrl_new,1090295,3199600000.0,4965000000.0,10299600000.0,-5334600000.0,-3999100000.0,-5.2,-5.2,7739700000.0,
ABFRL,2020-08-14 11:53:00,2020-06-30,2020-04-01,True,xbrl_new,1090297,3230200000.0,5015400000.0,10464700000.0,-5449300000.0,-4103600000.0,-5.3,-5.3,7739700000.0,
ABFRL,2020-11-07 11:06:00,2020-09-30,2020-07-01,True,xbrl_new,1095016,10281300000.0,11713200000.0,14222000000.0,-2508800000.0,-1882200000.0,-2.32,-2.32,8191200000.0,
ABFRL,2020-11-07 11:07:00,2020-09-30,2020-07-01,False,xbrl_new,1095020,10185900000.0,11594300000.0,14018500000.0,-2424200000.0,-1812800000.0,-2.26,-2.26,8191200000.0,
