symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ABIRLANUVO,2007-05-04 13:24:00,2007-03-31,2007-01-01,True,html_old,45068,254410.0,256431.0,225673.0,8118.0,8252.0,9.0,8.99,0.0,0.0
ABIRLANUVO,2007-05-04 13:24:00,2007-03-31,2007-01-01,False,html_old,45064,85965.0,87029.0,72645.0,6679.0,6226.0,6.79,6.78,9331.0,0.0
ABIRLANUVO,2007-07-30 16:31:00,2007-06-30,2007-04-01,False,html_old,47632,74096.0,74826.0,64170.0,3707.0,2646.0,2.84,2.83,9331.0,0.0
ABIRLANUVO,2007-07-30 16:38:00,2007-06-30,2007-04-01,True,html_old,47635,232079.0,233683.0,202891.0,10705.0,9980.0,10.7,10.69,9331.0,0.0
ABIRLANUVO,2007-10-31 18:33:00,2007-09-30,2007-07-01,True,html_old,50615,300050.0,301641.0,284647.0,6139.0,2426.0,5.12,5.12,9331.0,
ABIRLANUVO,2007-10-31 18:33:00,2007-09-30,2007-07-01,False,html_old,50612,91775.0,92318.0,79975.0,7589.0,5485.0,5.88,5.88,9331.0,
ABIRLANUVO,2008-01-30 22:26:00,2007-12-31,2007-10-01,False,html_old,52115,109743.0,109937.0,96405.0,9715.0,8401.0,9.0,9.0,9331.0,
ABIRLANUVO,2008-01-30 23:00:00,2007-12-31,2007-10-01,True,html_old,52116,366163.0,367883.0,354887.0,2496.0,-693.0,3.19,3.19,9331.0,
ABIRLANUVO,2008-04-30 15:48:00,2008-03-31,2008-01-01,True,html_old,53636,380444.0,384843.0,375752.0,-4135.0,-7685.0,-2.52,-2.52,9501.0,
ABIRLANUVO,2008-04-30 15:48:00,2008-03-31,2008-01-01,False,html_old,53620,113076.0,115770.0,101548.0,9201.0,7048.0,7.55,7.55,9501.0,
ABIRLANUVO,2008-08-04 13:25:00,2008-06-30,2008-04-01,True,html_old,57418,322830.0,325289.0,313815.0,-2204.0,-6800.0,-3.15,-3.15,9501.0,
ABIRLANUVO,2008-08-04 13:29:00,2008-06-30,2008-04-01,False,html_old,57419,107893.0,108123.0,97072.0,6448.0,4164.0,4.38,4.38,9501.0,
ABIRLANUVO,2008-10-24 17:03:00,2008-09-30,2008-07-01,False,html_old,58739,131065.0,,118935.0,10159.0,6531.0,6.87,6.87,,
ABIRLANUVO,2008-10-24 17:03:00,2008-09-30,2008-07-01,True,html_old,58737,356598.0,,358014.0,-10733.0,-15876.0,-11.06,-11.06,,
ABIRLANUVO,2009-01-29 17:19:00,2008-12-31,2008-10-01,True,html_old,61621,342905.0,,325992.0,-22459.0,-20381.0,-16.47,-16.47,,
ABIRLANUVO,2009-01-29 17:29:00,2008-12-31,2008-10-01,False,html_old,61626,117246.0,,115221.0,-2530.0,411.0,0.43,0.43,,
ABIRLANUVO,2009-04-28 14:09:00,2009-03-31,2009-01-01,False,html_old,63032,115271.0,,108619.0,2155.0,2639.0,2.78,2.78,,
ABIRLANUVO,2009-04-28 14:20:00,2009-03-31,2009-01-01,True,html_old,63038,409691.0,,430153.0,-19585.0,-19453.0,-15.11,-15.11,9501.0,
ABIRLANUVO,2009-07-29 13:53:00,2009-06-30,2009-04-01,False,html_old,66398,96585.0,,93003.0,-1172.0,-221.0,-0.23,-0.23,9501.0,
ABIRLANUVO,2009-07-29 14:00:00,2009-06-30,2009-04-01,True,html_old,66399,321433.0,,530354.0,-5667.0,-6312.0,-3.71,-3.71,9501.0,
ABIRLANUVO,2009-10-30 13:50:00,2009-09-30,2009-07-01,False,html_old,69421,119840.0,,105899.0,10405.0,5924.0,6.24,5.85,,
ABIRLANUVO,2009-10-30 14:01:00,2009-09-30,2009-07-01,True,html_old,69423,366217.0,,475251.0,3347.0,-3199.0,0.15,0.14,9501.0,
ABIRLANUVO,2010-01-29 13:59:00,2009-12-31,2009-10-01,False,html_old,71728,122275.0,,105738.0,13091.0,8065.0,8.03,7.63,,
ABIRLANUVO,2010-01-29 14:01:00,2009-12-31,2009-10-01,True,html_old,71733,457350.0,,443009.0,4574.0,-2773.0,0.81,0.77,,
ABIRLANUVO,2010-05-07 14:14:00,2010-03-31,2010-01-01,True,html_old,73559,444238.0,,445021.0,13501.0,16639.0,17.24,16.58,10301.0,
ABIRLANUVO,2010-05-07 14:14:00,2010-03-31,2010-01-01,False,html_old,73558,131536.0,,119746.0,9706.0,14572.0,14.15,13.61,10301.0,
ABIRLANUVO,2010-07-30 13:03:00,2010-06-30,2010-04-01,True,html_old,76422,381002.0,,356426.0,19920.0,15472.0,14.41,13.9,10301.0,
ABIRLANUVO,2010-07-30 13:05:00,2010-06-30,2010-04-01,False,html_old,76423,127442.0,,116756.0,8970.0,6482.0,6.29,6.07,10301.0,
ABIRLANUVO,2010-10-30 15:37:00,2010-09-30,2010-07-01,True,html_old,79442,449459.0,,419532.0,15046.0,11116.0,10.13,9.8,10301.0,
ABIRLANUVO,2010-10-30 15:37:00,2010-09-30,2010-07-01,False,html_old,79437,160637.0,,143971.0,14632.0,11958.0,11.61,11.23,10301.0,
ABIRLANUVO,2011-02-11 14:26:00,2010-12-31,2010-10-01,False,html_old,82735,167355.0,,152205.0,13640.0,10038.0,9.62,9.34,11351.0,
ABIRLANUVO,2011-02-11 14:26:00,2010-12-31,2010-10-01,True,html_old,82733,451473.0,,409964.0,35911.0,30831.0,26.29,25.52,11351.0,
