symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ADANIENT,2007-05-21 19:15:00,2007-03-31,2007-01-01,False,html_old,45475,342607.0,342692.0,331469.0,9530.0,6620.0,2.74,2.74,2465.0,0.0
ADANIENT,2007-07-27 21:29:00,2007-06-30,2007-04-01,True,html_old,47377,327150.0,327445.0,315584.0,7966.0,6846.0,2.78,2.78,2465.0,0.0
ADANIENT,2007-07-27 21:29:00,2007-06-30,2007-04-01,False,html_old,47376,194087.0,194370.0,185922.0,5622.0,4543.0,1.84,1.84,2465.0,0.0
ADANIENT,2007-11-05 10:01:00,2007-09-30,2007-07-01,True,html_old,49895,438231.0,438923.0,428086.0,5950.0,4761.0,1.73,1.73,2465.0,
ADANIENT,2007-11-09 19:28:00,2007-09-30,2007-07-01,False,html_old,49894,256909.0,256993.0,248851.0,4819.0,3793.0,1.54,1.54,2465.0,
ADANIENT,2008-01-29 21:56:00,2007-12-31,2007-10-01,True,html_old,52024,533616.0,535938.0,518996.0,14393.0,12172.0,4.91,4.91,2465.0,
ADANIENT,2008-01-29 21:56:00,2007-12-31,2007-10-01,False,html_old,52020,316642.0,318907.0,302442.0,14129.0,12074.0,4.9,4.9,2465.0,
ADANIENT,2008-05-28 18:55:00,2008-03-31,2008-01-01,True,html_old,54457,661974.0,662565.0,630516.0,15016.0,13792.0,5.58,4.7,2465.0,
ADANIENT,2008-05-29 11:21:00,2008-03-31,2008-01-01,False,html_old,54458,391906.0,392191.0,374325.0,10681.0,10797.0,4.38,3.64,2465.0,
ADANIENT,2008-07-28 17:54:00,2008-06-30,2008-04-01,False,html_old,56407,239480.0,239593.0,223319.0,8443.0,6697.0,2.72,2.56,2466.0,
ADANIENT,2008-07-28 17:54:00,2008-06-30,2008-04-01,True,html_old,56406,504930.0,505180.0,485530.0,11589.0,9765.0,3.79,3.57,2466.0,
ADANIENT,2008-10-25 19:28:00,2008-09-30,2008-07-01,True,html_old,59025,587710.0,,564893.0,12467.0,11522.0,4.61,4.32,2466.0,
ADANIENT,2008-10-25 19:28:00,2008-09-30,2008-07-01,False,html_old,59015,311151.0,,296658.0,6597.0,6680.0,2.71,2.54,2466.0,
ADANIENT,2009-01-30 14:34:00,2008-12-31,2008-10-01,False,html_old,61787,316248.0,,303172.0,6504.0,5594.0,2.27,2.13,2466.0,
ADANIENT,2009-01-30 14:44:00,2008-12-31,2008-10-01,True,html_old,61790,664025.0,,639607.0,14454.0,12618.0,5.33,5.0,2466.0,
ADANIENT,2009-05-20 18:51:00,2009-03-31,2009-01-01,False,html_old,63908,287333.0,,276418.0,15916.0,13671.0,5.54,5.16,2466.0,
ADANIENT,2009-05-20 18:54:00,2009-03-31,2009-01-01,True,html_old,63910,865405.0,,845815.0,19882.0,16639.0,6.73,6.26,2466.0,
ADANIENT,2009-07-30 15:51:00,2009-06-30,2009-04-01,True,html_old,66666,637661.0,,612347.0,14755.0,12809.0,5.18,4.85,2466.0,
ADANIENT,2009-07-30 15:51:00,2009-06-30,2009-04-01,False,html_old,66663,271374.0,,256895.0,8741.0,7873.0,3.19,2.99,2466.0,
ADANIENT,2009-10-30 15:11:00,2009-09-30,2009-07-01,True,html_old,69490,530106.0,,504077.0,17179.0,14837.0,5.97,5.57,2473.0,
ADANIENT,2009-10-30 15:11:00,2009-09-30,2009-07-01,False,html_old,69488,307280.0,,292889.0,10342.0,8789.0,3.54,3.31,2473.0,
