symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ADANIGREEN,2018-08-24 15:57:00,2018-03-31,2018-01-01,True,xbrl_new,1048600,,,,,,,,,
ADANIGREEN,2018-08-24 15:57:00,2017-06-30,2017-04-01,True,xbrl_new,1048601,,,,,,,,,
ADANIGREEN,2018-08-24 15:57:00,2018-06-30,2018-04-01,True,xbrl_new,1048599,,,,,,,,,
ADANIGREEN,2018-08-24 15:57:00,2017-06-30,2017-04-01,False,xbrl_new,1048598,,,,,,,,,
ADANIGREEN,2018-08-24 15:57:00,2018-03-31,2018-01-01,False,xbrl_new,1048597,,,,,,,,,
ADANIGREEN,2018-08-24 15:57:00,2018-06-30,2018-04-01,False,xbrl_new,1048596,,,,,,,,,
ADANIGREEN,2018-11-21 19:13:00,2018-09-30,2018-07-01,True,xbrl_new,1050959,4486108000.0,4588920000.0,7219057000.0,-2630137000.0,-1869106000.0,-1.2,-1.2,15640143000.0,
ADANIGREEN,2018-11-21 19:13:00,2017-09-30,2017-07-01,True,xbrl_new,1050960,4486108000.0,4588920000.0,7219057000.0,-2630137000.0,-1869106000.0,-1.2,-1.2,15640143000.0,
ADANIGREEN,2018-11-21 19:13:00,2017-09-30,2017-07-01,False,xbrl_new,1050957,491162000.0,1214614000.0,1412163000.0,-197549000.0,-171189000.0,-0.11,-0.11,15640143000.0,
ADANIGREEN,2018-11-21 19:13:00,2018-09-30,2018-07-01,False,xbrl_new,1050956,491162000.0,1214614000.0,1412163000.0,-197549000.0,-171189000.0,-0.11,-0.11,15640143000.0,
ADANIGREEN,2019-02-19 17:57:00,2017-12-31,2017-10-01,True,xbrl_new,1056383,4562245000.0,4709400000.0,6132486000.0,-1423086000.0,-1187407000.0,-0.75,-0.75,15640143000.0,
ADANIGREEN,2019-02-19 17:57:00,2018-12-31,2018-10-01,True,xbrl_new,1056382,4562245000.0,4709400000.0,6132486000.0,-1423086000.0,-1187407000.0,-0.75,-0.75,15640143000.0,
ADANIGREEN,2019-02-19 17:57:00,2017-12-31,2017-10-01,False,xbrl_new,1056380,212914000.0,893656000.0,1053677000.0,-160021000.0,-152675000.0,-0.1,-0.1,15640143000.0,
ADANIGREEN,2019-02-19 17:57:00,2018-12-31,2018-10-01,False,xbrl_new,1056379,212914000.0,893656000.0,1053677000.0,-160021000.0,-152675000.0,-0.1,-0.1,15640143000.0,
ADANIGREEN,2019-05-15 20:39:00,2019-03-31,2019-01-01,False,xbrl_new,1060481,2115093000.0,2983152000.0,2905320000.0,77832000.0,78938000.0,-0.04,-0.04,15640143000.0,
ADANIGREEN,2019-06-25 18:22:00,2019-03-31,2019-01-01,True,xbrl_new,1060485,6809532000.0,7187383000.0,7986378000.0,-798995000.0,-940822000.0,-1.14,-1.14,15640143000.0,
ADANIGREEN,2019-08-07 22:33:00,2019-06-30,2019-04-01,False,xbrl_new,1066128,1113664000.0,1918115000.0,1865832000.0,52283000.0,55241000.0,-0.06,-0.06,15640143000.0,
ADANIGREEN,2019-08-07 22:35:00,2019-06-30,2019-04-01,True,xbrl_new,1066129,6608117000.0,6752376000.0,7080729000.0,-1312488000.0,-974432000.0,-0.75,-0.75,15640143000.0,
ADANIGREEN,2019-11-13 16:01:00,2019-09-30,2019-07-01,False,xbrl_new,1072090,2386849000.0,3175825000.0,2969958000.0,205867000.0,381886000.0,0.14,0.14,15640143000.0,
ADANIGREEN,2019-11-13 16:03:00,2019-09-30,2019-07-01,True,xbrl_new,1072096,6881523000.0,7119670000.0,5115430000.0,2004240000.0,1022932000.0,0.49,0.49,15640143000.0,
ADANIGREEN,2020-02-04 19:24:00,2019-12-31,2019-10-01,False,xbrl_new,1076270,8407827000.0,9292054000.0,8936746000.0,355308000.0,262345000.0,0.07,0.07,15640143000.0,
ADANIGREEN,2020-02-04 19:28:00,2019-12-31,2019-10-01,True,xbrl_new,1076274,5039269000.0,5232011000.0,6181042000.0,-1690561000.0,-1284604000.0,-0.93,-0.93,15640143000.0,
ADANIGREEN,2020-05-05 02:11:00,2020-03-31,2020-01-01,False,xbrl_new,1081438,560101000.0,1409311000.0,1273092000.0,136219000.0,646745000.0,0.31,0.31,15640143000.0,
ADANIGREEN,2020-07-19 17:59:00,2020-03-31,2020-01-01,True,xbrl_new,1081436,6957357000.0,7186691000.0,6498086000.0,499896000.0,556468000.0,0.45,0.45,15640143000.0,
