symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
AJANTPHARM,2007-04-27 19:44:00,2007-03-31,2007-01-01,False,html_old,44681,7971.75,8009.64,6621.22,962.27,762.05,6.51,0.0,1179.61,0.0
AJANTPHARM,2007-07-30 12:19:00,2007-06-30,2007-04-01,False,html_old,47545,5749.72,5756.85,4912.97,358.73,229.16,1.96,0.0,1179.61,0.0
AJANTPHARM,2007-10-30 13:35:00,2007-09-30,2007-07-01,False,html_old,50079,7016.49,7025.73,6186.48,493.35,280.6,2.4,,1179.61,
AJANTPHARM,2008-01-30 12:57:00,2007-12-31,2007-10-01,False,html_old,52086,7054.7,7079.25,6143.61,552.91,394.36,3.37,,1179.61,
AJANTPHARM,2008-04-30 13:28:00,2008-03-31,2008-01-01,False,html_old,53602,8692.07,8728.23,7213.1,1059.25,875.14,7.47,,1179.61,
AJANTPHARM,2008-07-30 13:15:00,2008-06-30,2008-04-01,False,html_old,56783,6925.54,6937.03,5950.18,470.4,314.85,2.69,,1179.61,
AJANTPHARM,2008-10-23 12:33:00,2008-09-30,2008-07-01,False,html_old,58378,8684.89,,7575.5,585.17,432.28,3.69,3.69,1179.61,
AJANTPHARM,2009-01-30 14:03:00,2008-12-31,2008-10-01,False,html_old,61771,7397.05,,6359.05,606.0,459.66,3.93,3.93,1179.61,
AJANTPHARM,2009-05-18 09:14:00,2009-03-31,2009-01-01,False,html_old,63780,8940.19,,7403.4,932.56,930.94,7.95,7.95,1179.61,
AJANTPHARM,2009-07-30 12:26:00,2009-06-30,2009-04-01,False,html_old,66595,8453.17,,7346.76,613.02,437.43,3.74,3.74,1179.61,
AJANTPHARM,2009-10-29 20:34:00,2009-09-30,2009-07-01,False,html_old,69277,9459.19,,8155.34,737.12,642.99,5.49,5.49,1179.61,
AJANTPHARM,2010-01-29 12:11:00,2009-12-31,2009-10-01,False,html_old,71678,9465.86,,8204.41,862.18,769.31,6.57,6.57,1179.61,
AJANTPHARM,2010-05-06 14:59:00,2010-03-31,2010-01-01,False,html_old,73525,10788.63,,9313.5,1153.79,1004.04,8.58,8.58,1179.61,
AJANTPHARM,2010-07-30 12:06:00,2010-06-30,2010-04-01,False,html_old,76412,9828.67,,8555.1,858.98,697.88,5.96,5.96,1179.61,
AJANTPHARM,2010-10-22 15:41:00,2010-09-30,2010-07-01,False,html_old,78210,11250.62,,9748.79,1102.61,1005.16,8.58,8.58,1179.61,
AJANTPHARM,2011-01-20 11:57:00,2010-12-31,2010-10-01,False,html_old,81550,12050.5,,10393.4,1379.37,1194.86,10.21,10.21,1179.61,
AJANTPHARM,2011-04-30 14:38:00,2011-03-31,2011-01-01,False,html_old,83944,12584.77,,10441.19,1834.26,1746.64,14.92,14.92,1179.61,
AJANTPHARM,2011-07-29 14:54:00,2011-06-30,2011-04-01,False,html_old,87247,12730.77,,11266.9,1356.07,1253.07,10.7,10.7,1179.61,
AJANTPHARM,2011-10-24 12:54:00,2011-09-30,2011-07-01,False,html_old,89451,13512.91,,11953.54,1246.37,1185.37,10.12,10.12,1179.61,
AJANTPHARM,2012-01-24 15:07:00,2011-12-31,2011-10-01,False,html_old,91503,16389.9,,13831.55,2248.04,1850.83,15.81,15.81,1179.61,
AJANTPHARM,2012-05-11 15:29:00,2012-03-31,2012-01-01,False,html_old,93584,17268.22,,14450.42,3124.8,2359.79,20.15,20.11,1179.61,
AJANTPHARM,2012-07-19 15:32:00,2012-06-30,2012-04-01,False,html_old,97355,17179.0,,14474.0,2312.0,1958.0,,,1180.0,
