symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ALOKTEXT,2007-04-28 15:42:00,2007-03-31,2007-01-01,False,html_old,44711,57408.0,60942.0,44202.0,10513.0,7868.0,4.64,4.13,17037.0,0.0
ALOKTEXT,2007-07-31 22:06:00,2007-06-30,2007-04-01,False,html_old,48040,41890.0,45864.0,31734.0,7854.0,5501.0,3.23,2.9,17037.0,0.0
ALOKTEXT,2007-10-31 23:11:00,2007-09-30,2007-07-01,False,html_old,50723,46478.0,47865.0,39253.0,5785.0,4297.0,2.51,2.26,17174.0,
ALOKTEXT,2008-01-31 19:54:00,2007-12-31,2007-10-01,False,html_old,52411,55078.0,55965.0,45945.0,7066.0,4880.0,2.81,2.57,17485.0,
ALOKTEXT,2008-04-29 08:30:00,2008-03-31,2008-01-01,False,html_old,53390,72479.0,71390.0,59013.0,8732.0,5374.0,2.95,1.81,18717.0,
ALOKTEXT,2008-07-30 20:48:00,2008-06-30,2008-04-01,False,html_old,56967,54344.0,54445.0,45896.0,4417.0,2835.0,1.46,1.34,19697.0,
ALOKTEXT,2008-10-27 21:31:00,2008-09-30,2008-07-01,False,html_old,59418,69814.0,,57940.0,6769.0,4215.0,2.15,1.98,19697.0,
ALOKTEXT,2009-01-30 20:21:00,2008-12-31,2008-10-01,False,html_old,61933,81641.0,,67236.0,7434.0,4732.0,2.4,2.14,19697.0,
ALOKTEXT,2009-04-30 13:38:00,2009-03-31,2009-01-01,False,html_old,63228,90839.0,,74320.0,9911.0,7010.0,3.61,3.44,19697.0,
ALOKTEXT,2009-08-12 09:03:00,2009-06-30,2009-04-01,False,html_old,67295,78628.0,,64966.0,4832.0,3201.0,0.8,0.81,52369.0,
ALOKTEXT,2009-10-29 19:49:00,2009-09-30,2009-07-01,False,html_old,69242,97479.0,,76850.0,8508.0,5700.0,1.41,1.4,60508.0,
ALOKTEXT,2010-01-30 14:17:00,2009-12-31,2009-10-01,False,html_old,72002,108247.0,,85002.0,8847.0,5810.0,0.96,0.96,60566.0,
ALOKTEXT,2010-05-03 09:14:00,2010-03-31,2010-01-01,False,html_old,73324,147113.0,,114580.0,14541.0,9533.0,1.6,1.59,78779.0,
ALOKTEXT,2010-07-30 09:38:00,2010-06-30,2010-04-01,False,html_old,76400,109897.0,,87149.0,7045.0,4651.0,0.59,0.59,78779.0,
ALOKTEXT,2010-10-29 09:18:00,2010-09-30,2010-07-01,False,html_old,79118,145150.0,,115578.0,11870.0,7980.0,1.01,1.01,78779.0,
ALOKTEXT,2011-01-29 12:40:00,2010-12-31,2010-10-01,False,html_old,82002,161258.0,,129225.0,13554.0,9052.0,1.15,1.15,78779.0,
ALOKTEXT,2011-04-30 12:18:00,2011-03-31,2011-01-01,False,html_old,83913,220290.0,,180508.0,23964.0,16005.0,2.03,2.03,78778.0,
ALOKTEXT,2011-07-30 17:11:00,2011-06-30,2011-04-01,False,html_old,87365,164489.0,,135764.0,8751.0,5777.0,0.73,0.73,78779.0,
ALOKTEXT,2011-11-01 11:57:00,2011-09-30,2011-07-01,False,html_old,89733,213679.0,,178826.0,11897.0,8171.0,1.04,1.04,78779.0,
ALOKTEXT,2012-02-16 17:54:00,2011-12-31,2011-10-01,False,html_old,93041,238665.0,,193189.0,127.0,-3658.0,-0.46,-0.46,78779.0,
ALOKTEXT,2012-05-26 19:03:00,2012-03-31,2012-01-01,False,html_old,94999,259538.0,,204019.0,45681.0,28350.0,3.48,3.48,82628.0,
ALOKTEXT,2012-08-22 09:36:00,2012-06-30,2012-04-01,False,html_old,98790,242275.0,,188689.0,4452.0,3007.0,,,82628.0,
ALOKTEXT,2012-11-20 11:51:00,2012-09-30,2012-07-01,False,html_old,101749,332477.0,,265874.0,44743.0,28962.0,,,82628.0,
ALOKTEXT,2013-02-20 19:02:00,2012-12-31,2012-10-01,False,html_old,103606,352081.0,,279387.0,33519.0,23982.0,,,82628.0,
ALOKTEXT,2013-06-15 14:49:00,2013-03-31,2013-01-01,False,html_old,107720,391357.0,,317129.0,38062.0,23078.0,,,82628.0,0.0
ALOKTEXT,2014-02-24 12:21:00,2013-12-31,2013-10-01,False,html_old,115967,370024.0,,315465.0,14891.0,9829.0,,,137713.0,0.0
ALOKTEXT,2014-05-30 15:09:00,2014-03-31,2014-01-01,False,html_old,118665,388978.0,,332645.0,19685.0,13065.0,,,1377.13,0.0
ALOKTEXT,2014-08-19 16:01:00,2014-06-30,2014-04-01,False,html_old,122087,372526.0,,315827.0,6664.0,4348.0,,,137713.0,0.0
ALOKTEXT,2014-11-19 16:37:00,2014-09-30,2014-07-01,False,html_old,123982,374484.0,,316259.0,6872.0,4536.0,,,137713.0,0.0
ALOKTEXT,2015-08-16 12:51:00,2015-06-30,2015-04-01,False,html_old,1001743,335953.0,,285652.0,1486.0,972.0,,,137733.0,0.0
ALOKTEXT,2016-01-14 11:54:00,2015-09-30,2015-07-01,False,html_old,1004127,316791.3,,286688.97,-22735.63,-24220.59,,,137733.23,0.0
ALOKTEXT,2016-02-13 16:56:00,2015-12-31,2015-10-01,False,html_old,1005782,326405.0,,428417.0,-163829.0,-163829.0,,,137733.0,
ALOKTEXT,2016-06-01 11:20:00,2016-03-31,2016-01-01,False,html_old,1010260,183902.0,,492539.0,-376827.0,-185203.0,,,137733.0,
ALOKTEXT,2016-11-14 15:33:00,2015-06-30,2015-04-01,False,html_old,1014512,340300.0,,344905.0,-53552.0,-34968.0,,,135787.0,
ALOKTEXT,2016-11-14 15:33:00,2016-06-30,2016-04-01,False,html_old,1014511,178896.0,,266465.0,-171973.0,-121204.0,,,135787.0,
ALOKTEXT,2016-12-15 16:43:00,2015-09-30,2015-07-01,False,html_old,1017497,320942.0,,290512.0,-26451.0,-26258.0,,,135787.0,
ALOKTEXT,2017-01-02 18:42:00,2016-09-30,2016-07-01,False,html_old,1017496,196361.0,,238909.0,-105792.0,-52771.0,,,135787.0,
ALOKTEXT,2017-02-28 17:44:00,2015-12-31,2015-10-01,False,html_old,1020375,330716.0,,441708.0,-172583.0,-170630.0,,,135787.0,
ALOKTEXT,2017-03-09 18:23:00,2016-12-31,2016-10-01,False,html_old,1020374,209636.0,,271789.0,-142360.0,-85676.0,,,135787.0,
ALOKTEXT,2017-06-05 16:56:00,2017-03-31,2017-01-01,False,html_old,1026232,241594.0,246386.0,388858.0,-142472.0,-90592.0,0.0,0.0,135787.0,
ALOKTEXT,2017-09-05 14:17:00,2017-06-30,2017-04-01,False,html_old,1029946,279321.0,284162.0,948013.0,-663851.0,-663851.0,-48.89,-48.89,137732.0,
ALOKTEXT,2017-11-22 20:04:00,2017-09-30,2017-07-01,False,html_old,1033766,79458.0,85168.0,636157.0,-550989.0,-550728.0,-40.56,-40.56,135787.0,
ALOKTEXT,2018-03-19 19:07:00,2017-12-31,2017-10-01,False,html_old,1038241,95235.0,97680.0,572213.0,-474533.0,-474533.0,-34.95,-34.95,135787.0,
ALOKTEXT,2018-08-24 17:33:00,2018-03-31,2018-01-01,False,xbrl_new,1048588,8418100000.0,9481600000.0,22588600000.0,-13107000000.0,-13245000000.0,-9.75,-9.75,13686300000.0,
ALOKTEXT,2018-09-06 10:52:00,2018-06-30,2018-04-01,False,xbrl_new,1049437,7865000000.0,7881700000.0,19857900000.0,-11976200000.0,-11976200000.0,-8.81,-8.81,13686300000.0,
