symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
APARINDS,2007-05-30 19:59:00,2007-03-31,2007-01-01,False,html_old,45788,41461.32,41628.41,39074.92,1443.6,1072.99,3.59,3.33,3233.6,0.0
APARINDS,2007-07-26 19:03:00,2007-06-30,2007-04-01,False,html_old,47261,34692.88,34758.34,31514.05,1984.11,1444.11,4.47,4.47,3233.6,0.0
APARINDS,2007-10-29 23:00:00,2007-09-30,2007-07-01,False,html_old,49903,41841.07,42005.71,39480.2,4565.82,4209.28,13.02,13.02,3233.6,
APARINDS,2008-01-28 22:26:00,2007-12-31,2007-10-01,False,html_old,51840,47290.17,47698.47,44948.8,1839.03,1371.14,4.24,4.24,3233.6,
APARINDS,2008-06-27 10:01:00,2008-03-31,2008-01-01,False,html_old,55174,47786.25,47817.68,45909.98,1870.65,1522.73,4.71,4.71,3233.6,
APARINDS,2008-07-31 17:14:00,2008-06-30,2008-04-01,False,html_old,57133,53974.17,54033.57,51089.05,2560.52,1918.92,5.93,5.93,3233.6,
APARINDS,2008-10-25 22:53:00,2008-09-30,2008-07-01,False,html_old,59099,63698.89,,62910.13,759.19,564.42,1.75,1.75,3233.6,
APARINDS,2009-01-22 20:38:00,2008-12-31,2008-10-01,False,html_old,61115,63030.9,,60384.07,-245.04,-102.48,-0.32,-0.32,3233.6,
APARINDS,2009-06-26 10:02:00,2009-03-31,2009-01-01,False,html_old,64797,65637.31,,68449.36,-2232.59,-1850.13,-5.72,-5.72,3233.6,
APARINDS,2009-07-23 16:50:00,2009-06-30,2009-04-01,False,html_old,65893,50324.96,,47454.72,2661.68,2447.9,7.57,7.57,3233.6,
APARINDS,2009-10-29 19:49:00,2009-09-30,2009-07-01,False,html_old,69125,48698.58,,45032.88,2902.21,2243.81,6.94,6.94,3233.6,
APARINDS,2010-01-21 19:34:00,2009-12-31,2009-10-01,False,html_old,71046,52000.37,,48375.84,2912.18,2221.65,6.87,6.87,3233.6,
APARINDS,2010-09-03 17:10:00,2010-06-30,2010-04-01,False,html_old,77743,61729.1,,59111.0,3397.7,2401.5,7.43,7.43,3233.6,
APARINDS,2010-10-25 18:05:00,2010-09-30,2010-07-01,False,html_old,78470,66719.6,,61961.0,4855.9,3425.3,10.59,10.59,3233.6,
APARINDS,2011-02-02 15:06:00,2010-12-31,2010-10-01,False,html_old,82261,64851.0,,61413.0,3528.9,2494.6,7.71,7.71,3233.6,
APARINDS,2011-07-30 14:22:00,2011-06-30,2011-04-01,False,html_old,87332,68690.8,,65660.1,3445.5,2309.4,6.42,6.42,3597.2,
APARINDS,2011-10-31 19:47:00,2011-09-30,2011-07-01,False,html_old,89731,73764.3,,73973.4,505.9,488.5,1.38,1.38,3597.2,
APARINDS,2012-02-04 13:12:00,2011-12-31,2011-10-01,False,html_old,92011,85937.7,,86834.3,-359.6,20.8,0.06,0.06,3597.2,
APARINDS,2012-05-10 15:30:00,2012-03-31,2012-01-01,False,html_old,94005,89283.6,,85177.0,4521.8,3605.3,10.02,10.02,3597.2,
APARINDS,2012-10-03 17:13:00,2012-06-30,2012-04-01,False,html_old,99674,111692.0,,106066.0,1610.0,1191.0,,,3597.0,
APARINDS,2012-11-09 12:11:00,2012-09-30,2012-07-01,False,html_old,101076,109492.0,,106229.0,4013.0,2895.0,,,3597.0,
APARINDS,2013-02-20 14:57:00,2012-12-31,2012-10-01,False,html_old,103513,113105.0,,104514.0,4680.0,3272.0,,,3847.0,
APARINDS,2013-06-12 17:45:00,2013-03-31,2013-01-01,False,html_old,107327,115477.0,,109196.0,3831.0,2962.0,,,3847.0,0.0
APARINDS,2013-08-13 15:09:00,2013-06-30,2013-04-01,False,html_old,110274,93784.0,,87585.0,1616.0,1039.0,,,3847.0,0.0
APARINDS,2013-11-22 15:29:00,2013-09-30,2013-07-01,False,html_old,113230,112979.0,,104720.0,4558.0,3188.0,,,3847.0,0.0
APARINDS,2014-02-11 11:21:00,2013-12-31,2013-10-01,False,html_old,114968,,,,,,,,,
APARINDS,2014-06-06 18:53:00,2014-03-31,2014-01-01,False,html_old,119694,129485.0,,128360.0,1818.0,1191.0,,,3847.0,0.0
APARINDS,2014-08-08 17:25:00,2014-06-30,2014-04-01,False,html_old,121213,112141.0,,107418.0,2672.0,2014.0,,,3847.0,0.0
APARINDS,2014-11-07 11:09:00,2014-09-30,2014-07-01,False,html_old,123394,123311.0,,117396.0,2362.0,1595.0,,,3849.0,0.0
APARINDS,2015-02-09 13:13:00,2014-12-31,2014-10-01,False,html_old,125873,129036.0,,125085.0,374.0,257.0,,,3850.0,0.0
APARINDS,2015-05-21 15:17:00,2015-03-31,2015-01-01,False,html_old,128407,132379.0,,130179.0,1415.0,920.0,,,3850.0,0.0
APARINDS,2015-08-10 20:13:00,2015-06-30,2015-04-01,False,html_old,1000989,124060.0,,116354.0,4193.0,2757.0,,,3850.0,0.0
APARINDS,2015-11-07 16:06:00,2015-09-30,2015-07-01,False,html_old,1003055,124122.0,,117041.0,3665.0,2432.0,,,3850.0,0.0
APARINDS,2016-02-01 11:11:00,2015-12-31,2015-10-01,False,html_old,1004443,117968.0,,111372.0,8116.0,6802.0,,,3850.0,
APARINDS,2016-05-26 11:43:00,2016-03-31,2016-01-01,False,html_old,1008305,131682.0,,124426.0,5292.0,3688.0,,,3850.0,
APARINDS,2016-09-27 14:43:00,2015-06-30,2015-04-01,False,html_old,1012844,123668.0,,116266.0,3905.0,2570.0,,,3686.0,
APARINDS,2016-09-27 14:43:00,2016-03-31,2016-01-01,False,html_old,1012843,134084.0,,126481.0,5299.0,3692.0,,,3850.0,
APARINDS,2016-09-27 14:43:00,2016-06-30,2016-04-01,False,html_old,1012842,107715.0,,98145.0,6940.0,4561.0,,,3850.0,
APARINDS,2016-11-09 22:58:00,2015-09-30,2015-07-01,False,html_old,1015641,134896.0,,127869.0,3777.0,2506.0,,,3686.0,
APARINDS,2016-11-09 22:58:00,2016-09-30,2016-07-01,False,html_old,1015640,136997.0,,129182.0,6956.0,4566.0,,,3850.0,
APARINDS,2017-02-02 17:35:00,2016-12-31,2016-10-01,False,html_old,1018398,124037.0,,115197.0,6607.0,4329.0,,,3850.0,
APARINDS,2017-02-02 17:35:00,2015-12-31,2015-10-01,False,html_old,1018399,128151.0,,121342.0,4284.0,2803.0,,,3850.0,
APARINDS,2017-06-05 18:03:00,2017-03-31,2017-01-01,False,html_old,1025655,141011.0,141569.0,134127.0,7442.0,4776.0,12.42,12.42,3827.0,
APARINDS,2017-09-27 09:33:00,2016-06-30,2016-04-01,True,html_old,1029033,120614.0,121016.0,113998.0,7018.0,4630.0,12.17,12.17,3850.0,
APARINDS,2017-09-27 09:33:00,2017-06-30,2017-04-01,True,html_old,1029032,142453.0,142678.0,136665.0,6013.0,3896.0,10.18,10.18,3827.0,
APARINDS,2017-09-27 09:33:00,2017-06-30,2017-04-01,False,html_old,1029031,135661.0,135881.0,129777.0,6104.0,3994.0,10.44,10.44,3827.0,
APARINDS,2017-11-04 16:05:00,2017-09-30,2017-07-01,True,html_old,1032182,124780.0,125063.0,120936.0,4127.0,2619.0,6.84,6.84,3827.0,
APARINDS,2017-11-04 16:05:00,2016-09-30,2016-07-01,True,html_old,1032183,140103.0,140533.0,133519.0,7014.0,4621.0,12.01,12.01,3850.0,
APARINDS,2017-11-04 16:05:00,2017-09-30,2017-07-01,False,html_old,1032181,117599.0,117878.0,113665.0,4213.0,2750.0,7.19,7.19,3827.0,
APARINDS,2018-03-16 10:03:00,2017-12-31,2017-10-01,True,html_old,1035641,149887.0,150222.0,144096.0,6126.0,3954.0,10.33,10.33,3827.0,
APARINDS,2018-03-16 10:03:00,2017-12-31,2017-10-01,False,html_old,1035640,140794.0,141125.0,134841.0,6284.0,4108.0,10.73,10.73,3827.0,
APARINDS,2018-04-02 10:08:00,2016-12-31,2016-10-01,True,xbrl_new,1035642,,,,,,,,,
APARINDS,2018-06-23 00:47:00,2017-03-31,2017-01-01,True,xbrl_new,1045197,17675000000.0,17701800000.0,17100900000.0,600900000.0,400300000.0,10.46,10.46,382700000.0,
APARINDS,2018-06-23 00:47:00,2018-03-31,2018-01-01,True,xbrl_new,1045196,17675000000.0,17701800000.0,17100900000.0,600900000.0,400300000.0,10.46,10.46,382700000.0,
APARINDS,2018-06-23 00:47:00,2018-03-31,2018-01-01,False,xbrl_new,1045194,16953700000.0,16980000000.0,16426300000.0,553700000.0,355500000.0,9.29,9.29,382700000.0,
APARINDS,2018-08-28 12:06:00,2018-06-30,2018-04-01,True,xbrl_new,1048128,,,,,,,,,
APARINDS,2018-08-28 12:06:00,2018-06-30,2018-04-01,False,xbrl_new,1048127,,,,,,,,,
APARINDS,2018-11-22 12:49:00,2018-09-30,2018-07-01,True,xbrl_new,1051085,18846500000.0,18879000000.0,18446500000.0,432500000.0,286300000.0,7.48,7.48,382700000.0,
APARINDS,2018-11-22 12:49:00,2018-09-30,2018-07-01,False,xbrl_new,1051083,18054900000.0,18086600000.0,17671000000.0,415600000.0,267900000.0,7.0,7.0,382700000.0,
APARINDS,2019-01-31 17:55:00,2018-12-31,2018-10-01,True,xbrl_new,1055191,21190500000.0,21221800000.0,20634500000.0,587300000.0,347200000.0,9.07,9.07,382700000.0,
APARINDS,2019-01-31 17:55:00,2018-12-31,2018-10-01,False,xbrl_new,1055189,20022600000.0,20053000000.0,19369300000.0,683700000.0,441000000.0,11.52,11.52,382700000.0,
APARINDS,2019-06-27 19:45:00,2019-03-31,2019-01-01,True,xbrl_new,1063013,,,,,,,,,
APARINDS,2019-06-27 19:45:00,2019-03-31,2019-01-01,False,xbrl_new,1063011,,,,,,,,,
APARINDS,2019-08-08 15:57:00,2019-06-30,2019-04-01,False,xbrl_new,1066205,,,,,,,,,
APARINDS,2019-08-08 15:57:00,2019-06-30,2019-04-01,True,xbrl_new,1066206,,,,,,,,,
