symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
APOLLOTYRE,2007-05-03 15:15:00,2007-03-31,2007-01-01,False,html_old,45040,91021.0,91279.7,80980.1,7067.6,4271.9,9.59,9.55,4640.9,0.0
APOLLOTYRE,2007-07-26 12:40:00,2007-06-30,2007-04-01,False,html_old,47196,87414.5,87991.5,77370.5,7082.3,4676.4,10.08,10.03,4640.9,0.0
APOLLOTYRE,2007-10-26 13:50:00,2007-09-30,2007-07-01,False,html_old,49352,84431.1,84779.8,75628.7,7753.6,5110.4,1.1,1.1,4640.9,
APOLLOTYRE,2008-01-15 12:45:00,2007-12-31,2007-10-01,False,html_old,51232,97413.2,97449.8,86588.2,9566.1,6217.0,1.32,1.31,4760.9,
APOLLOTYRE,2008-05-09 13:50:00,2008-03-31,2008-01-01,False,html_old,53951,100133.9,100135.5,90151.2,8942.7,5926.5,1.23,1.23,4885.1,
APOLLOTYRE,2008-07-18 12:14:00,2008-06-30,2008-04-01,False,html_old,55862,107585.8,107682.9,98928.5,7373.6,4862.8,0.97,0.97,5040.9,
APOLLOTYRE,2008-10-23 13:23:00,2008-09-30,2008-07-01,False,html_old,58399,98076.3,,95438.3,1193.1,779.0,0.15,0.15,5040.9,
APOLLOTYRE,2009-01-19 15:46:00,2008-12-31,2008-10-01,False,html_old,60916,90325.7,,87472.7,1137.0,550.8,0.11,0.11,5040.9,
APOLLOTYRE,2009-04-30 13:38:00,2009-03-31,2009-01-01,False,html_old,63191,111056.3,,102527.9,7412.8,4619.2,0.92,0.92,5040.9,
APOLLOTYRE,2009-07-23 12:39:00,2009-06-30,2009-04-01,False,html_old,65852,118014.2,,101716.3,14344.0,9467.1,1.88,1.88,5040.9,
APOLLOTYRE,2009-10-20 13:27:00,2009-09-30,2009-07-01,False,html_old,67778,122031.0,,105315.1,15587.9,10210.9,2.03,2.03,5040.9,
APOLLOTYRE,2010-01-29 13:33:00,2009-12-31,2009-10-01,False,html_old,71716,132332.6,,114763.4,15498.0,10203.1,2.02,2.02,5040.9,
APOLLOTYRE,2010-05-28 15:17:00,2010-03-31,2010-01-01,False,html_old,74789,131278.3,,115765.5,14389.6,11617.7,2.3,2.3,5040.9,
APOLLOTYRE,2010-07-29 13:28:00,2010-06-30,2010-04-01,True,html_old,76285,182068.8,,168597.9,10434.5,7419.6,1.47,1.47,5040.9,
APOLLOTYRE,2010-07-29 13:28:00,2010-06-30,2010-04-01,False,html_old,76284,112126.7,,103852.8,5750.5,4060.5,0.81,0.81,5040.9,
APOLLOTYRE,2010-11-11 13:57:00,2010-09-30,2010-07-01,False,html_old,80317,117560.5,,109178.8,5337.5,3735.5,0.74,0.74,5040.9,
APOLLOTYRE,2010-11-11 14:18:00,2010-09-30,2010-07-01,True,html_old,80320,194892.2,,183057.8,7451.1,5325.1,1.06,1.06,5040.9,
APOLLOTYRE,2011-02-11 16:46:00,2010-12-31,2010-10-01,True,html_old,82753,236858.3,,216286.8,15799.4,12075.0,2.39,2.39,5040.9,
APOLLOTYRE,2011-02-11 16:46:00,2010-12-31,2010-10-01,False,html_old,82752,143198.4,,131976.6,7200.6,5409.9,1.07,1.07,5040.9,
APOLLOTYRE,2011-05-11 15:50:00,2011-03-31,2011-01-01,True,html_old,84394,272952.5,,248224.3,21027.9,19260.5,3.81,3.81,5040.9,
APOLLOTYRE,2011-05-11 15:50:00,2011-03-31,2011-01-01,False,html_old,84392,176163.0,,165425.5,8066.2,6619.4,1.31,1.31,5040.9,
APOLLOTYRE,2011-08-11 15:00:00,2011-06-30,2011-04-01,True,html_old,88030,282240.9,,265750.4,10486.3,7750.6,1.53,1.53,5040.9,
APOLLOTYRE,2011-08-11 15:00:00,2011-06-30,2011-04-01,False,html_old,88028,196077.6,,184638.0,6285.2,4443.3,0.88,0.88,5040.9,
APOLLOTYRE,2011-11-09 14:54:00,2011-09-30,2011-07-01,True,html_old,90129,287124.3,,271844.7,9921.0,7813.7,1.54,1.54,5040.9,
APOLLOTYRE,2011-11-09 14:54:00,2011-09-30,2011-07-01,False,html_old,90126,184487.6,,176413.6,2937.4,2207.0,0.44,0.44,5040.9,
APOLLOTYRE,2012-02-09 18:00:00,2011-12-31,2011-10-01,True,html_old,92323,322823.8,,298624.8,14285.2,9842.3,1.95,1.95,5040.9,
APOLLOTYRE,2012-02-09 18:00:00,2011-12-31,2011-10-01,False,html_old,92322,209322.1,,197258.3,5976.9,4257.4,0.84,0.84,5040.9,
APOLLOTYRE,2012-06-07 18:03:00,2012-03-31,2012-01-01,True,html_old,94234,323139.7,,296134.9,20954.5,15805.4,3.11,3.11,5040.9,
APOLLOTYRE,2012-06-13 18:53:00,2012-03-31,2012-01-01,False,html_old,94577,225900.2,,209415.6,10551.8,7225.5,1.43,1.43,5040.9,
APOLLOTYRE,2012-08-24 19:16:00,2012-06-30,2012-04-01,True,html_old,99135,316470.2,,290666.6,19281.1,13889.2,,,5040.9,
APOLLOTYRE,2012-08-24 19:16:00,2012-06-30,2012-04-01,False,html_old,99133,215236.6,,198565.4,10990.1,7527.7,,,5040.9,
APOLLOTYRE,2012-11-07 15:03:00,2012-09-30,2012-07-01,True,html_old,100503,337482.7,,309914.4,20671.7,15326.3,,,5040.9,
APOLLOTYRE,2012-11-07 15:03:00,2012-09-30,2012-07-01,False,html_old,100502,228286.7,,211204.1,10982.9,7519.4,,,5040.9,
APOLLOTYRE,2013-02-07 19:06:00,2012-12-31,2012-10-01,True,html_old,102731,321734.8,,292707.0,23642.5,18059.3,,,5040.9,
APOLLOTYRE,2013-02-07 19:06:00,2012-12-31,2012-10-01,False,html_old,102730,203608.8,,188585.2,10254.6,7382.3,,,5040.9,
APOLLOTYRE,2013-05-23 12:21:00,2013-03-31,2013-01-01,False,html_old,105400,203617.0,,184582.9,15224.3,8823.4,,,5040.9,0.0
APOLLOTYRE,2013-05-23 12:21:00,2013-03-31,2013-01-01,True,html_old,105398,303775.6,,280165.1,22268.5,14105.3,,,5040.9,0.0
APOLLOTYRE,2013-08-22 17:21:00,2013-06-30,2013-04-01,False,html_old,111189,216470.6,,197007.8,13932.8,9356.7,,,5040.9,0.0
APOLLOTYRE,2013-08-22 17:25:00,2013-06-30,2013-04-01,True,html_old,111193,318993.0,,289501.4,23356.9,16594.7,,,5040.9,0.0
APOLLOTYRE,2013-11-22 11:57:00,2013-09-30,2013-07-01,False,html_old,113069,210684.8,,189974.5,16142.4,10912.5,,,5040.9,0.0
APOLLOTYRE,2013-11-22 12:01:00,2013-09-30,2013-07-01,True,html_old,113079,343345.6,,311532.4,26112.5,21947.5,,,5040.9,0.0
APOLLOTYRE,2014-02-19 13:01:00,2013-12-31,2013-10-01,False,html_old,115540,,,,,,,,,
APOLLOTYRE,2014-02-19 13:01:00,2013-12-31,2013-10-01,True,html_old,115539,347512.4,,309678.5,41018.7,33801.3,,,5040.9,333655.8
APOLLOTYRE,2014-05-28 10:13:00,2014-03-31,2014-01-01,False,html_old,118104,219496.5,,201047.8,14762.4,12962.4,,,5040.9,0.0
APOLLOTYRE,2014-05-28 10:13:00,2014-03-31,2014-01-01,True,html_old,118105,321181.8,,287019.5,32704.7,28162.3,,,5040.9,0.0
APOLLOTYRE,2014-08-12 11:45:00,2014-06-30,2014-04-01,False,html_old,121401,,,,,,,,,
APOLLOTYRE,2014-08-12 11:49:00,2014-06-30,2014-04-01,True,html_old,121403,323507.6,,291920.9,30436.5,22794.3,,,5090.9,0.0
APOLLOTYRE,2014-11-18 14:53:00,2014-09-30,2014-07-01,False,html_old,123886,223503.4,,199085.1,22825.0,16166.7,,,5090.9,0.0
APOLLOTYRE,2014-11-18 14:57:00,2014-09-30,2014-07-01,True,html_old,123888,330064.8,,292877.9,35642.3,25794.2,,,5090.9,0.0
APOLLOTYRE,2015-02-09 18:29:00,2014-12-31,2014-10-01,False,html_old,125896,210853.1,,185646.8,23526.7,16194.0,,,5090.9,0.0
APOLLOTYRE,2015-02-11 14:21:00,2014-12-31,2014-10-01,True,html_old,126024,309155.0,,270755.6,28396.9,18424.1,,,5090.9,0.0
APOLLOTYRE,2015-05-21 20:45:00,2015-03-31,2015-01-01,True,html_old,128499,309842.5,,268739.6,38607.0,30748.3,,,5090.9,0.0
APOLLOTYRE,2015-05-21 20:45:00,2015-03-31,2015-01-01,False,html_old,128497,224064.6,,194272.5,27277.6,18242.2,,,5090.9,0.0
APOLLOTYRE,2015-08-11 18:39:00,2015-06-30,2015-04-01,True,html_old,1001096,283223.6,,243141.7,41504.5,29059.5,,,5090.9,0.0
APOLLOTYRE,2015-08-11 18:39:00,2015-06-30,2015-04-01,False,html_old,1001095,212414.0,,179319.8,33791.8,22710.8,,,5090.9,0.0
APOLLOTYRE,2015-11-02 16:18:00,2015-09-30,2015-07-01,False,html_old,1002541,223101.8,,191523.2,32153.9,21746.5,,,5090.9,0.0
APOLLOTYRE,2015-11-02 16:18:00,2015-09-30,2015-07-01,True,html_old,1002540,297998.5,,262079.7,41704.3,27874.4,,,5090.9,0.0
APOLLOTYRE,2016-02-11 17:08:00,2015-12-31,2015-10-01,False,html_old,1005253,212959.8,,183026.8,29640.2,19728.6,,,5090.2,
APOLLOTYRE,2016-02-11 17:08:00,2015-12-31,2015-10-01,True,html_old,1005252,292945.8,,254194.4,38811.8,27851.8,,,5090.2,
APOLLOTYRE,2016-05-16 13:47:00,2016-03-31,2016-01-01,True,html_old,1006970,296611.7,,263510.8,35039.8,24516.2,,,5090.2,
APOLLOTYRE,2016-05-16 13:47:00,2016-03-31,2016-01-01,False,html_old,1006969,213165.7,,185139.8,30159.1,21062.9,,,5090.2,
APOLLOTYRE,2016-10-13 12:29:00,2015-06-30,2015-04-01,True,html_old,1012811,283223.6,,243774.1,40602.3,28444.8,,,5090.2,
APOLLOTYRE,2016-10-13 12:29:00,2016-03-31,2016-01-01,True,html_old,1012810,296611.7,,264116.9,34168.2,24990.9,,,5090.2,
APOLLOTYRE,2016-10-13 12:29:00,2016-06-30,2016-04-01,True,html_old,1012809,328472.5,,287131.4,43280.0,31469.1,,,5090.2,
APOLLOTYRE,2016-10-13 12:29:00,2015-06-30,2015-04-01,False,html_old,1012808,212414.0,,180027.5,32966.3,22164.6,,,5090.2,
APOLLOTYRE,2016-10-13 12:29:00,2016-03-31,2016-01-01,False,html_old,1012807,213165.7,,185218.8,30040.7,20976.6,,,5090.2,
APOLLOTYRE,2016-10-13 12:29:00,2016-06-30,2016-04-01,False,html_old,1012806,224652.6,,193171.9,33530.5,23624.9,,,5090.2,
APOLLOTYRE,2016-11-14 17:29:00,2015-09-30,2015-07-01,True,html_old,1015806,324769.1,,289155.2,41753.6,28096.5,,,5090.9,
APOLLOTYRE,2016-11-14 17:29:00,2016-09-30,2016-07-01,True,html_old,1015805,329372.2,,297969.2,34927.4,26018.4,,,5090.2,
APOLLOTYRE,2016-11-14 17:29:00,2015-09-30,2015-07-01,False,html_old,1015804,249872.4,,219032.0,31804.9,21518.3,,,5090.9,
APOLLOTYRE,2016-11-14 17:29:00,2016-09-30,2016-07-01,False,html_old,1015803,228433.7,,203637.0,28577.6,20461.7,,,5090.2,
APOLLOTYRE,2017-02-02 16:16:00,2016-12-31,2016-10-01,True,html_old,1018402,368102.6,,331787.3,39487.3,29582.0,,,5090.2,
APOLLOTYRE,2017-02-02 17:15:00,2015-12-31,2015-10-01,True,html_old,1018403,318392.3,,280096.9,39171.3,28039.4,,,5090.9,
APOLLOTYRE,2017-02-02 17:23:00,2015-12-31,2015-10-01,False,html_old,1018401,238406.3,,210479.8,28502.7,18532.7,,,5090.9,
APOLLOTYRE,2017-02-02 17:23:00,2016-12-31,2016-10-01,False,html_old,1018400,242411.6,,219201.6,25511.6,18546.3,,,5090.2,
APOLLOTYRE,2017-05-16 14:51:00,2017-03-31,2017-01-01,False,html_old,1021434,259124.2,269451.1,248521.0,20930.1,17629.3,3.46,3.46,5090.2,
APOLLOTYRE,2017-05-16 15:09:00,2017-03-31,2017-01-01,True,html_old,1021437,353301.5,363939.7,338086.4,25853.3,22823.9,4.48,4.48,5090.2,
APOLLOTYRE,2017-08-21 15:27:00,2017-06-30,2017-04-01,True,html_old,1028546,351298.0,354610.9,342399.4,12211.5,8830.0,1.73,1.73,5090.2,
APOLLOTYRE,2017-08-21 15:27:00,2017-06-30,2017-04-01,False,html_old,1028545,253897.4,257984.5,248456.6,9527.9,6712.5,1.32,1.32,5090.2,
APOLLOTYRE,2017-11-03 15:19:00,2017-09-30,2017-07-01,True,html_old,1032190,341801.0,349638.2,329098.3,20539.9,14017.7,2.75,2.75,5090.2,
APOLLOTYRE,2017-11-03 15:19:00,2017-09-30,2017-07-01,False,html_old,1032189,242212.5,249943.9,231789.3,18154.6,12760.0,2.51,2.51,5090.2,
APOLLOTYRE,2018-03-16 10:17:00,2017-12-31,2017-10-01,False,html_old,1036228,263462.2,271114.9,242593.2,28521.7,20398.2,3.6,3.6,5720.5,
APOLLOTYRE,2018-03-16 10:17:00,2017-12-31,2017-10-01,True,html_old,1036229,401553.1,409644.2,374611.6,35032.6,24529.6,4.33,4.33,5720.5,
APOLLOTYRE,2018-06-15 15:31:00,2018-03-31,2018-01-01,True,xbrl_new,1039981,40313340000.0,40750500000.0,37405600000.0,3344900000.0,2501090000.0,4.37,4.37,572050000.0,
APOLLOTYRE,2018-06-15 15:31:00,2018-03-31,2018-01-01,False,xbrl_new,1039979,28413080000.0,28860030000.0,25807340000.0,3052690000.0,2236810000.0,3.91,3.91,572050000.0,
APOLLOTYRE,2018-08-10 17:22:00,2018-06-30,2018-04-01,True,xbrl_new,1047590,,,,,,,,,
APOLLOTYRE,2018-08-10 17:22:00,2018-06-30,2018-04-01,False,xbrl_new,1047589,,,,,,,,,
APOLLOTYRE,2018-11-26 08:18:00,2018-09-30,2018-07-01,True,xbrl_new,1052815,42573860000.0,42696860000.0,40324630000.0,1972230000.0,1460460000.0,2.55,2.55,572050000.0,
APOLLOTYRE,2018-11-26 08:19:00,2018-09-30,2018-07-01,False,xbrl_new,1052813,31091450000.0,31197520000.0,28771340000.0,2026180000.0,1468410000.0,2.57,2.57,572050000.0,
APOLLOTYRE,2019-03-01 17:23:00,2018-12-31,2018-10-01,False,xbrl_new,1056113,31231710000.0,31500310000.0,29249590000.0,1650720000.0,1230030000.0,2.15,2.15,572050000.0,
APOLLOTYRE,2019-03-01 17:23:00,2018-12-31,2018-10-01,True,xbrl_new,1056117,47182720000.0,47514330000.0,44405940000.0,2508390000.0,1979530000.0,3.46,3.46,572050000.0,
APOLLOTYRE,2019-07-31 16:59:00,2019-06-30,2019-04-01,False,xbrl_new,1065565,31037000000.0,31251700000.0,29336880000.0,1914820000.0,1498610000.0,2.62,2.62,572050000.0,
APOLLOTYRE,2019-07-31 17:20:00,2019-06-30,2019-04-01,True,xbrl_new,1065568,43313230000.0,43587850000.0,41820810000.0,1767040000.0,1416000000.0,2.48,2.48,572050000.0,
APOLLOTYRE,2019-09-04 12:08:00,2019-03-31,2019-01-01,False,xbrl_new,1059835,30615070000.0,31071860000.0,28721610000.0,1350250000.0,1053820000.0,1.84,1.84,572050000.0,
APOLLOTYRE,2019-09-04 12:08:00,2019-03-31,2019-01-01,True,xbrl_new,1059837,42737280000.0,43222400000.0,41238720000.0,983680000.0,839980000.0,1.47,1.47,572050000.0,
APOLLOTYRE,2019-11-06 11:48:00,2019-09-30,2019-07-01,False,xbrl_new,1070319,27747250000.0,27762210000.0,26494940000.0,1267270000.0,997520000.0,1.74,1.74,572050000.0,
APOLLOTYRE,2019-11-06 11:52:00,2019-09-30,2019-07-01,True,xbrl_new,1070321,39858080000.0,39898130000.0,38919520000.0,978610000.0,830740000.0,1.45,1.45,572050000.0,
APOLLOTYRE,2020-02-06 10:29:00,2019-12-31,2019-10-01,True,xbrl_new,1076599,43997250000.0,44175300000.0,42164000000.0,2011300000.0,1738570000.0,3.04,3.04,572050000.0,
APOLLOTYRE,2020-02-06 10:33:00,2019-12-31,2019-10-01,False,xbrl_new,1076601,27535980000.0,27622170000.0,26042200000.0,1579970000.0,1306680000.0,2.28,2.28,572050000.0,
APOLLOTYRE,2020-05-20 13:41:00,2020-03-31,2020-01-01,False,xbrl_new,1081878,24300050000.0,24333180000.0,23281390000.0,1051790000.0,1283430000.0,2.24,2.24,572050000.0,
