symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ASHOKLEY,2007-05-04 13:49:00,2007-03-31,2007-01-01,False,html_old,45088,229099.2,230789.8,202910.4,22878.9,17151.9,1.32,1.3,13238.7,0.0
ASHOKLEY,2007-07-19 16:55:00,2007-06-30,2007-04-01,False,html_old,46868,162114.2,162869.2,145033.6,12430.8,8818.8,0.67,0.65,13238.7,0.0
ASHOKLEY,2007-10-23 17:14:00,2007-09-30,2007-07-01,False,html_old,48917,174589.4,175703.4,162402.9,12038.0,8033.6,0.61,0.6,13303.4,
ASHOKLEY,2008-01-25 16:03:00,2007-12-31,2007-10-01,False,html_old,51686,180008.2,184378.4,167543.5,15310.1,12021.7,0.91,0.9,13303.4,
ASHOKLEY,2008-05-08 13:59:00,2008-03-31,2008-01-01,False,html_old,53926,256200.5,257361.2,231489.7,24960.6,18056.9,1.36,1.36,13303.4,
ASHOKLEY,2008-07-29 17:37:00,2008-06-30,2008-04-01,False,html_old,56627,188386.26,189602.87,181082.02,7451.49,5056.94,0.38,0.38,13303.38,
ASHOKLEY,2008-10-21 18:39:00,2008-09-30,2008-07-01,False,html_old,58136,186640.31,,176299.78,9297.37,6724.37,0.51,0.51,13303.38,
ASHOKLEY,2009-01-28 17:33:00,2008-12-31,2008-10-01,False,html_old,61431,100084.83,,95348.85,1853.48,1886.82,0.14,0.14,13303.38,
ASHOKLEY,2009-05-15 19:55:00,2009-03-31,2009-01-01,False,html_old,63768,121812.24,,115128.44,3236.5,5331.5,0.4,0.4,13303.38,
ASHOKLEY,2009-07-27 17:54:00,2009-06-30,2009-04-01,False,html_old,66155,91245.13,,94378.47,245.21,777.21,0.06,0.06,13303.38,
ASHOKLEY,2009-10-30 21:25:00,2009-09-30,2009-07-01,False,html_old,69753,157768.46,,146221.71,10315.55,8860.55,0.67,0.67,13303.38,
ASHOKLEY,2010-02-01 09:07:00,2009-12-31,2009-10-01,False,html_old,72241,181553.44,,166057.67,13972.26,10463.26,0.79,0.79,13303.42,
ASHOKLEY,2010-04-29 16:24:00,2010-03-31,2010-01-01,False,html_old,73122,293904.02,,261940.07,29944.46,22266.46,1.67,1.67,13303.42,
ASHOKLEY,2010-07-27 13:22:00,2010-06-30,2010-04-01,False,html_old,76032,234797.81,,217404.61,14704.39,12264.39,0.92,0.92,13303.42,
ASHOKLEY,2010-10-20 16:05:00,2010-09-30,2010-07-01,False,html_old,78073,271395.45,,247175.45,20752.91,16705.91,1.26,1.26,13303.42,
ASHOKLEY,2011-01-24 10:04:00,2010-12-31,2010-10-01,False,html_old,81638,222724.51,,212590.93,5552.81,4336.81,0.33,0.33,13303.42,
ASHOKLEY,2011-05-20 09:46:00,2011-03-31,2011-01-01,False,html_old,84936,382853.13,,339587.27,39169.82,29822.82,2.24,2.24,13303.42,
ASHOKLEY,2011-07-19 13:23:00,2011-06-30,2011-04-01,False,html_old,86726,249550.6,,233554.53,11073.3,8625.3,0.65,0.65,13303.42,
ASHOKLEY,2011-11-03 19:48:00,2011-09-30,2011-07-01,False,html_old,89900,309457.08,,284934.82,19285.18,15408.18,0.58,0.58,26606.8,
ASHOKLEY,2012-02-02 11:41:00,2011-12-31,2011-10-01,False,html_old,91904,287979.7,,275605.38,7196.34,6690.34,0.25,0.25,26606.8,
ASHOKLEY,2012-05-15 15:00:00,2012-03-31,2012-01-01,False,html_old,94484,423582.01,,393666.49,31442.84,25873.84,0.97,0.97,26606.8,
