symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ASTRAZEN,2007-02-23 15:22:00,2006-12-31,2006-10-01,False,html_old,44081,7135.9,7530.98,5142.53,2241.69,1524.03,6.1,6.1,500.0,0.0
ASTRAZEN,2007-04-30 21:09:00,2007-03-31,2007-01-01,False,html_old,44879,6407.57,6775.71,5094.55,1539.45,987.5,3.95,3.95,500.0,0.0
ASTRAZEN,2007-07-26 19:03:00,2007-06-30,2007-04-01,False,html_old,47275,7821.51,8293.2,5868.65,2283.84,1457.93,5.83,5.83,500.0,0.0
ASTRAZEN,2007-10-26 17:26:00,2007-09-30,2007-07-01,False,html_old,49429,7313.96,7663.87,5123.89,2539.09,1622.55,6.49,6.49,500.0,
ASTRAZEN,2008-02-25 18:46:00,2007-12-31,2007-10-01,False,html_old,52759,8188.33,8623.5,5450.98,3172.52,2077.89,8.31,8.31,500.0,
ASTRAZEN,2008-04-29 13:18:00,2008-03-31,2008-01-01,False,html_old,53369,6966.08,7630.89,5796.85,1723.08,1114.11,4.46,4.46,500.0,
ASTRAZEN,2008-07-29 19:27:00,2008-06-30,2008-04-01,False,html_old,56653,8821.96,9603.29,6172.56,3307.44,2130.98,8.52,8.52,500.0,
ASTRAZEN,2008-10-23 18:49:00,2008-09-30,2008-07-01,False,html_old,58460,8821.8,,6302.67,2880.42,1846.73,7.39,7.39,500.0,
ASTRAZEN,2009-02-18 19:31:00,2008-12-31,2008-10-01,False,html_old,62435,9367.01,,6618.06,3526.66,2291.7,9.17,9.17,500.0,
ASTRAZEN,2009-04-23 15:31:00,2009-03-31,2009-01-01,False,html_old,62776,7743.96,,7087.37,1196.16,727.45,2.91,2.91,500.0,
ASTRAZEN,2009-07-27 17:18:00,2009-06-30,2009-04-01,False,html_old,66138,9585.79,,7632.49,2404.17,1528.43,6.11,6.11,500.0,
ASTRAZEN,2009-10-27 14:23:00,2009-09-30,2009-07-01,False,html_old,68471,9737.48,,8276.52,1886.99,1297.24,5.19,5.19,500.0,
ASTRAZEN,2010-02-23 11:33:00,2009-12-31,2009-10-01,False,html_old,72460,11484.89,,8388.43,3351.9,2208.61,8.83,8.83,500.0,
ASTRAZEN,2010-04-27 09:28:00,2010-03-31,2010-01-01,False,html_old,72853,9228.41,,9447.34,402.09,261.4,1.05,1.05,500.0,
ASTRAZEN,2010-07-27 19:23:00,2010-06-30,2010-04-01,False,html_old,76115,10595.6,,10087.13,1110.74,731.45,2.93,2.93,500.0,
ASTRAZEN,2010-10-27 19:38:00,2010-09-30,2010-07-01,False,html_old,78827,12436.68,,10087.99,2602.27,1752.57,7.01,7.01,500.0,
ASTRAZEN,2011-02-08 18:01:00,2010-12-31,2010-10-01,False,html_old,82531,12845.04,,9126.14,4279.47,2832.16,11.33,11.33,500.0,
ASTRAZEN,2011-08-09 15:16:00,2011-06-30,2011-04-01,False,html_old,87835,12941.82,,11409.73,2488.77,1674.82,6.7,6.7,500.0,
ASTRAZEN,2011-11-23 17:46:00,2011-09-30,2011-07-01,False,html_old,91154,14201.37,,11875.41,3132.41,2108.4,8.43,8.43,500.0,
ASTRAZEN,2012-02-06 16:16:00,2011-12-31,2011-10-01,False,html_old,92093,14516.55,,13298.67,2199.98,1493.74,5.97,5.97,500.0,
ASTRAZEN,2012-05-26 19:03:00,2012-03-31,2012-01-01,False,html_old,95125,9168.98,,14275.77,-4895.68,-3300.45,-13.2,-13.2,500.0,
ASTRAZEN,2012-08-14 21:11:00,2012-06-30,2012-04-01,False,html_old,98425,9126.08,,11230.74,-1318.34,-814.6,,,500.0,
ASTRAZEN,2012-11-08 13:24:00,2012-09-30,2012-07-01,False,html_old,100898,9922.82,,12183.23,-2081.61,-4511.58,,,500.0,
ASTRAZEN,2013-02-08 10:45:00,2012-12-31,2012-10-01,False,html_old,102764,10491.39,,12285.04,-1769.53,-1769.53,,,500.0,
ASTRAZEN,2013-06-04 16:45:00,2013-03-31,2013-01-01,False,html_old,106330,9485.13,,11416.39,-1857.53,-1857.53,,,500.0,0.0
ASTRAZEN,2013-08-16 17:25:00,2013-06-30,2013-04-01,False,html_old,110560,12513.72,,12630.78,176.84,176.84,,,500.0,9475.29
ASTRAZEN,2013-11-15 16:01:00,2013-09-30,2013-07-01,False,html_old,112486,11558.24,,11971.76,-71.75,-122.64,,,500.0,9475.29
ASTRAZEN,2014-02-11 17:05:00,2013-12-31,2013-10-01,False,html_old,115040,11887.92,,11901.67,151.79,151.79,,,500.0,9475.29
ASTRAZEN,2014-06-06 14:01:00,2014-03-31,2014-01-01,False,html_old,119613,11414.94,,13202.64,-256.88,-256.88,,,500.0,0.0
ASTRAZEN,2014-08-19 11:13:00,2014-06-30,2014-04-01,False,html_old,121975,12557.26,,14503.6,-1760.02,-1760.02,,,500.0,0.0
ASTRAZEN,2014-11-24 12:37:00,2014-09-30,2014-07-01,False,html_old,124858,11455.02,,14424.09,-2796.0,-2796.0,,,500.0,0.0
ASTRAZEN,2015-02-18 11:41:00,2014-12-31,2014-10-01,False,html_old,126201,10812.23,,12271.4,-1340.9,-1340.9,,,500.0,0.0
ASTRAZEN,2015-05-28 21:05:00,2015-03-31,2015-01-01,False,html_old,129546,12080.37,,13176.66,3812.94,3812.94,,,500.0,0.0
ASTRAZEN,2015-08-06 16:48:00,2015-06-30,2015-04-01,False,html_old,1000773,12003.12,,13097.34,271.65,271.65,,,500.0,0.0
ASTRAZEN,2015-11-07 14:12:00,2015-09-30,2015-07-01,False,html_old,1003268,12835.3,,13652.92,-668.9,-668.9,,,500.0,0.0
ASTRAZEN,2016-02-13 16:44:00,2015-12-31,2015-10-01,False,html_old,1004992,14456.08,,13738.74,867.42,867.42,,,500.0,
ASTRAZEN,2016-05-26 16:31:00,2016-03-31,2016-01-01,False,html_old,1008403,13351.48,,15985.13,106.2,55.73,,,500.0,
ASTRAZEN,2016-09-07 11:45:00,2016-06-30,2016-04-01,False,html_old,1011650,13809.23,,12763.84,1346.44,1056.81,,,500.0,
ASTRAZEN,2016-11-17 18:35:00,2016-09-30,2016-07-01,False,html_old,1016166,13614.37,,13900.5,97.7,78.66,,,500.0,
ASTRAZEN,2017-02-03 13:02:00,2016-12-31,2016-10-01,False,html_old,1018512,14112.34,,13936.4,2075.47,1596.29,,,500.0,
ASTRAZEN,2017-05-27 14:25:00,2017-03-31,2017-01-01,False,html_old,1021662,11095.22,,12000.08,-199.13,-287.54,,,500.0,
ASTRAZEN,2017-08-21 12:27:00,2017-06-30,2017-04-01,False,html_old,1028809,12846.58,13311.99,12595.69,716.3,579.73,2.32,2.32,500.0,
ASTRAZEN,2017-08-21 12:27:00,2016-06-30,2016-04-01,False,html_old,1028810,14086.51,14248.34,12698.57,1549.77,1260.14,5.04,5.04,500.0,
ASTRAZEN,2017-11-08 21:56:00,2016-09-30,2016-07-01,False,html_old,1032450,29272.41,29987.39,25831.41,4155.98,3318.21,0.0,0.0,500.0,
ASTRAZEN,2017-11-08 21:56:00,2017-09-30,2017-07-01,False,html_old,1032449,16425.83,16675.4,13235.72,3439.68,2738.48,0.0,0.0,500.0,
ASTRAZEN,2018-03-16 11:11:00,2017-12-31,2017-10-01,False,html_old,1036242,12853.86,13129.83,14311.44,-1181.61,-1035.22,0.0,0.0,500.0,
ASTRAZEN,2018-04-02 10:02:00,2016-12-31,2016-10-01,False,xbrl_new,1036243,,,,,,,,,
ASTRAZEN,2018-05-26 10:38:00,2017-03-31,2017-01-01,False,xbrl_new,1041401,1507266000.0,1530648000.0,1390080000.0,140568000.0,32214000.0,1.29,1.29,50000000.0,
ASTRAZEN,2018-05-26 10:38:00,2018-03-31,2018-01-01,False,xbrl_new,1041400,1507266000.0,1530648000.0,1390080000.0,140568000.0,32214000.0,1.29,1.29,50000000.0,
ASTRAZEN,2018-08-31 11:42:00,2018-06-30,2018-04-01,False,xbrl_new,1048986,1614368000.0,1648596000.0,1557077000.0,91519000.0,63934000.0,2.56,2.56,50000000.0,
ASTRAZEN,2018-11-26 08:33:00,2018-09-30,2018-07-01,False,xbrl_new,1053345,1613608000.0,1647153000.0,1502715000.0,144438000.0,91316000.0,3.65,3.65,50000000.0,
ASTRAZEN,2019-02-19 17:36:00,2018-12-31,2018-10-01,False,xbrl_new,1056361,2151940000.0,2186897000.0,1780951000.0,405946000.0,290918000.0,11.64,11.64,50000000.0,
ASTRAZEN,2019-05-24 19:25:00,2019-03-31,2019-01-01,False,xbrl_new,1061840,1903027000.0,1963149000.0,1878417000.0,84732000.0,98238000.0,3.93,3.93,50000000.0,
ASTRAZEN,2019-08-08 13:22:00,2019-06-30,2019-04-01,False,xbrl_new,1066167,2045613000.0,2075505000.0,1739214000.0,336291000.0,215154000.0,8.61,8.61,50000000.0,
ASTRAZEN,2019-11-12 15:21:00,2019-09-30,2019-07-01,False,xbrl_new,1071657,2084831000.0,2116439000.0,1798477000.0,317962000.0,144153000.0,5.77,5.77,50000000.0,
ASTRAZEN,2020-02-03 19:11:00,2019-12-31,2019-10-01,False,xbrl_new,1076040,2238628000.0,2273243000.0,1921417000.0,351826000.0,267017000.0,10.68,10.68,50000000.0,
ASTRAZEN,2020-05-19 12:20:00,2020-03-31,2020-01-01,False,xbrl_new,1081821,1949019000.0,1982783000.0,1849257000.0,133526000.0,95786000.0,3.83,3.83,50000000.0,
ASTRAZEN,2020-08-11 12:44:00,2020-06-30,2020-04-01,False,xbrl_new,1089872,19357760000.0,19622557000.0,16984122000.0,2638435000.0,1863466000.0,7.45,7.45,500000000.0,
ASTRAZEN,2020-08-28 19:13:00,2020-06-30,2020-04-01,False,xbrl_new,1090944,1935776000.0,1962256000.0,1698412000.0,263844000.0,186347000.0,7.45,7.45,50000000.0,
ASTRAZEN,2020-11-05 18:52:00,2020-09-30,2020-07-01,False,xbrl_new,1094536,2094771000.0,2141896000.0,1786197000.0,355699000.0,263384000.0,10.54,10.54,50000000.0,
ASTRAZEN,2021-02-09 13:10:00,2020-12-31,2020-10-01,False,xbrl_new,1102606,2002520000.0,2031802000.0,1748793000.0,283009000.0,210516000.0,8.42,8.42,50000000.0,
ASTRAZEN,2021-05-26 11:50:00,2021-03-31,2021-01-01,False,xbrl_new,1108384,2102571000.0,2128097000.0,1759711000.0,368386000.0,272789000.0,10.91,10.91,50000000.0,
ASTRAZEN,2021-08-10 12:06:00,2021-06-30,2021-04-01,False,xbrl_new,1115232,1754020000.0,1783018000.0,1647978000.0,135040000.0,102433000.0,4.1,4.1,50000000.0,
ASTRAZEN,2021-11-10 16:55:00,2021-09-30,2021-07-01,False,xbrl_new,1120644,1977076000.0,2005509000.0,1843138000.0,162371000.0,119470000.0,4.78,4.78,50000000.0,
ASTRAZEN,2022-02-09 15:07:00,2021-12-31,2021-10-01,False,xbrl_new,1127354,2005272000.0,2058578000.0,1895932000.0,162646000.0,114192000.0,4.57,4.57,50000000.0,
ASTRAZEN,2022-05-27 14:15:00,2022-03-31,2022-01-01,False,xbrl_new,1135273,2319633000.0,2356472000.0,1986168000.0,370305000.0,279833000.0,11.19,11.19,50000000.0,
