symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ATULAUTO,2013-08-08 15:33:00,2013-06-30,2013-04-01,False,html_old,110035,8553.0,,7969.0,656.0,432.0,,,1120.0,0.0
ATULAUTO,2013-11-06 18:45:00,2013-09-30,2013-07-01,False,html_old,112225,10872.0,,9887.0,1054.0,738.0,,,1120.0,0.0
ATULAUTO,2014-01-29 15:17:00,2013-12-31,2013-10-01,False,html_old,114203,12289.0,,10947.0,1442.0,966.0,,,1120.0,0.0
ATULAUTO,2014-05-20 16:25:00,2014-03-31,2014-01-01,False,html_old,117474,11231.0,,10213.0,1124.0,845.0,,,1120.0,0.0
ATULAUTO,2014-08-11 16:57:00,2014-06-30,2014-04-01,False,html_old,121323,9917.0,,9173.0,1346.0,967.0,,,1120.0,0.0
ATULAUTO,2014-11-06 10:17:00,2014-09-30,2014-07-01,False,html_old,123354,13074.0,,11685.0,1506.0,1097.0,,,1120.0,0.0
ATULAUTO,2015-01-20 17:05:00,2014-12-31,2014-10-01,False,html_old,125105,13841.0,,12298.0,1702.0,1131.0,,,1120.0,0.0
ATULAUTO,2015-05-11 15:17:00,2015-03-31,2015-01-01,False,html_old,127753,12175.0,,10890.0,1371.0,863.0,,,1120.0,0.0
ATULAUTO,2015-08-19 16:21:00,2015-06-30,2015-04-01,False,html_old,1000624,10594.0,,9620.0,1084.0,710.0,,,1120.0,0.0
ATULAUTO,2015-11-02 14:42:00,2015-09-30,2015-07-01,False,html_old,1002590,14180.0,,12227.0,2041.0,1347.0,,,1120.0,0.0
ATULAUTO,2016-02-11 21:16:00,2015-12-31,2015-10-01,False,html_old,1005053,15119.0,,12790.0,2418.0,1597.0,,,1120.0,
ATULAUTO,2016-06-01 13:35:00,2016-03-31,2016-01-01,False,html_old,1010377,12907.0,,11368.0,1609.0,1085.0,,,1120.0,
ATULAUTO,2016-08-11 13:42:00,2016-06-30,2016-04-01,False,html_old,1011761,9245.0,,8555.0,751.0,501.0,,,1120.0,
ATULAUTO,2016-11-18 12:27:00,2016-09-30,2016-07-01,False,html_old,1016436,14270.0,,12277.0,2133.0,1381.0,,,1120.0,
ATULAUTO,2017-02-09 20:51:00,2016-12-31,2016-10-01,False,html_old,1018808,13376.0,,11722.0,1879.0,1229.0,,,1120.0,
ATULAUTO,2017-05-16 19:06:00,2017-03-31,2017-01-01,False,html_old,1022088,10328.0,,9529.0,887.0,620.0,,,1120.0,0.0
ATULAUTO,2017-08-24 09:13:00,2016-06-30,2016-04-01,False,html_old,1029984,10372.0,10458.0,9733.0,725.0,483.0,2.2,2.2,1120.0,
ATULAUTO,2017-08-24 09:13:00,2017-06-30,2017-04-01,False,html_old,1029983,12888.0,13040.0,11918.0,1122.0,781.0,3.56,3.56,1120.0,
ATULAUTO,2017-12-04 16:22:00,2016-09-30,2016-07-01,False,html_old,1034247,16001.0,16153.0,14031.0,2122.0,1374.0,6.26,6.26,1097.0,
ATULAUTO,2017-12-04 16:22:00,2017-09-30,2017-07-01,False,html_old,1034246,15890.0,16037.0,13430.0,2607.0,1697.0,7.74,7.74,1097.0,
ATULAUTO,2018-03-16 11:14:00,2017-12-31,2017-10-01,False,html_old,1037015,12792.0,12944.0,11489.0,1455.0,970.0,4.42,4.42,1097.0,
ATULAUTO,2018-04-02 09:52:00,2016-12-31,2016-10-01,False,xbrl_new,1037016,,,,,,,,,
ATULAUTO,2018-05-26 14:07:00,2018-03-31,2018-01-01,False,xbrl_new,1041208,1505800000.0,1515600000.0,1339700000.0,175900000.0,116900000.0,5.33,5.33,109700000.0,
ATULAUTO,2018-08-23 19:13:00,2018-06-30,2018-04-01,False,xbrl_new,1047877,1373100000.0,1397400000.0,1239900000.0,157500000.0,103100000.0,4.7,4.7,109700000.0,
ATULAUTO,2018-11-19 18:29:00,2018-09-30,2018-07-01,False,xbrl_new,1052070,1764800000.0,1786300000.0,1553300000.0,233000000.0,149200000.0,6.8,6.8,109700000.0,
