symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
AUSTRAL,2008-11-04 19:51:00,2008-09-30,2008-07-01,False,html_old,60516,13307.4,,10306.07,2662.13,1753.91,6.04,,2902.96,
AUSTRAL,2009-01-30 21:33:00,2008-12-31,2008-10-01,False,html_old,61956,7338.48,,5762.17,765.97,504.68,1.74,1.74,2902.96,
AUSTRAL,2009-06-30 22:19:00,2009-03-31,2009-01-01,False,html_old,65365,15165.32,,13242.98,933.59,570.29,1.96,1.96,2902.96,
AUSTRAL,2009-07-31 12:12:00,2009-06-30,2009-04-01,False,html_old,66855,8970.63,,6307.33,2322.07,1538.75,5.3,5.3,2902.96,
AUSTRAL,2009-11-03 20:35:00,2009-09-30,2009-07-01,False,html_old,70312,8589.77,,8129.59,384.85,302.4,0.1,0.1,2902.96,
AUSTRAL,2010-02-01 15:40:00,2009-12-31,2009-10-01,False,html_old,72328,5595.26,,4948.08,39.55,25.33,0.01,0.01,2902.96,
AUSTRAL,2010-05-17 17:49:00,2010-03-31,2010-01-01,False,html_old,74085,5090.11,,8149.76,-3858.67,-2718.43,-9.36,-9.36,2902.96,
AUSTRAL,2010-08-16 11:18:00,2010-06-30,2010-04-01,False,html_old,77541,4599.94,,4795.01,-641.94,-641.94,-2.21,-2.21,2902.96,
AUSTRAL,2010-11-16 16:08:00,2010-09-30,2010-07-01,False,html_old,81221,2617.56,,6771.83,-5004.05,-5004.05,-1.72,-1.72,2902.96,
AUSTRAL,2011-02-22 19:10:00,2010-12-31,2010-10-01,False,html_old,83141,6533.48,,8013.82,-1928.24,-1928.24,-0.66,-0.66,2902.96,
AUSTRAL,2011-05-14 14:37:00,2011-03-31,2011-01-01,False,html_old,84642,5733.25,,8119.61,-2298.24,-2298.24,-0.79,-0.79,2902.96,
AUSTRAL,2011-08-22 11:17:00,2011-06-30,2011-04-01,False,html_old,88401,4191.31,,3828.97,-367.0,-367.0,-0.13,-0.13,2902.96,
AUSTRAL,2011-11-23 18:07:00,2011-09-30,2011-07-01,False,html_old,91156,483.93,,13538.11,-13054.29,-13054.29,-4.5,-4.5,2902.96,
AUSTRAL,2012-05-25 15:20:00,2012-03-31,2012-01-01,False,html_old,95250,634.53,,643.15,-8.62,-8.62,0.0,0.0,2902.96,
AUSTRAL,2012-08-27 17:09:00,2012-06-30,2012-04-01,False,html_old,99170,1088.87,,1525.44,-436.73,-436.73,,,2902.96,
AUSTRAL,2012-11-20 19:15:00,2012-09-30,2012-07-01,False,html_old,101824,1247.23,,2174.32,-927.44,-927.44,,,2902.96,
AUSTRAL,2013-03-08 09:26:00,2012-12-31,2012-10-01,False,html_old,103926,1020.15,,1854.37,-834.37,-834.37,,,2902.96,
AUSTRAL,2013-08-21 15:01:00,2013-06-30,2013-04-01,False,html_old,111078,722.01,,1127.32,-406.93,-406.93,,,2902.96,0.0
AUSTRAL,2013-11-21 20:45:00,2013-09-30,2013-07-01,False,html_old,113015,422.71,,1071.57,-648.96,-648.96,,,2902.96,0.0
AUSTRAL,2014-02-24 17:09:00,2013-12-31,2013-10-01,False,html_old,116055,637.45,,1180.34,-542.89,-542.89,,,2902.96,0.0
AUSTRAL,2014-05-21 18:45:00,2014-03-31,2014-01-01,False,html_old,117642,425.95,,1042.34,-616.39,-616.39,,,2902.96,0.0
AUSTRAL,2014-08-14 17:05:00,2014-06-30,2014-04-01,False,html_old,121689,469.43,,823.05,-353.54,-353.54,,,2902.96,0.0
AUSTRAL,2014-11-24 15:49:00,2014-09-30,2014-07-01,False,html_old,124890,319.06,,764.92,-437.9,-437.9,,,2902.96,0.0
AUSTRAL,2015-02-19 15:45:00,2014-12-31,2014-10-01,False,html_old,126659,75.77,,449.21,-373.44,-373.44,,,2902.96,0.0
AUSTRAL,2015-05-21 15:29:00,2015-03-31,2015-01-01,False,html_old,128411,1.9,,383.61,-366.71,-366.71,,,2902.96,0.0
AUSTRAL,2015-08-16 15:04:00,2015-06-30,2015-04-01,False,html_old,1001771,0.0,,444.79,-437.29,-437.29,,,2902.96,0.0
AUSTRAL,2015-11-16 14:42:00,2015-09-30,2015-07-01,False,html_old,1004004,34.2,,529.46,-487.78,-487.78,,,2902.96,0.0
AUSTRAL,2016-02-13 18:31:00,2015-12-31,2015-10-01,False,html_old,1005650,0.0,,468.05,-460.58,-460.58,,,2902.96,
AUSTRAL,2016-06-06 13:30:00,2016-03-31,2016-01-01,False,html_old,1010709,-1.84,,485.73,-501.37,-501.37,,,2902.26,
AUSTRAL,2016-09-09 12:29:00,2016-06-30,2016-04-01,False,html_old,1012503,0.0,,260.5,-253.0,-253.0,,,2902.96,
AUSTRAL,2016-11-25 18:29:00,2016-09-30,2016-07-01,False,html_old,1017035,0.0,,444.61,-437.11,-437.11,,,2902.96,
AUSTRAL,2017-02-21 17:42:00,2016-12-31,2016-10-01,False,html_old,1020599,0.0,,441.62,-434.12,-434.12,,,2902.96,
AUSTRAL,2017-06-15 18:58:00,2017-03-31,2017-01-01,False,html_old,1026998,7.53,,18.21,92.89,2404.67,,,2902.96,
AUSTRAL,2017-10-06 14:38:00,2016-06-30,2016-04-01,False,html_old,1031612,0.0,7.5,260.5,-149.43,2162.35,0.0,0.0,2902.96,
AUSTRAL,2017-10-06 14:38:00,2017-06-30,2017-04-01,False,html_old,1031611,0.0,3.75,159.19,-155.44,-155.44,0.0,0.0,2902.96,
AUSTRAL,2017-11-22 20:08:00,2016-09-30,2016-07-01,False,html_old,1033757,0.0,7.5,444.61,-437.11,-437.11,-0.15,-0.15,2902.96,
AUSTRAL,2017-11-22 20:08:00,2017-09-30,2017-07-01,False,html_old,1033756,0.0,3.75,159.53,-155.78,-155.78,-0.05,-0.05,2902.96,
AUSTRAL,2018-03-13 14:49:00,2017-12-31,2017-10-01,False,html_old,1037759,0.0,3.75,159.19,-155.44,-155.44,-0.05,-0.05,2902.96,
AUSTRAL,2018-03-13 14:49:00,2016-12-31,2016-10-01,False,html_old,1037760,0.0,7.5,441.62,-434.12,-434.12,-0.15,-0.15,2902.96,
AUSTRAL,2018-06-26 19:14:00,2018-03-31,2018-01-01,False,xbrl_new,1045850,,,,,,,,,
AUSTRAL,2018-06-26 19:14:00,2017-03-31,2017-01-01,False,xbrl_new,1045851,,,,,,,,,
AUSTRAL,2018-09-05 10:10:00,2018-06-30,2018-04-01,False,xbrl_new,1049374,0.0,150000.0,10470000.0,-10320000.0,-10320000.0,-0.04,-0.04,290296000.0,
AUSTRAL,2019-01-17 09:47:00,2018-09-30,2018-07-01,False,xbrl_new,1054444,0.0,150000.0,10467000.0,-10317000.0,-10317000.0,-0.04,-0.04,290296000.0,
AUSTRAL,2019-02-22 11:02:00,2018-12-31,2018-10-01,False,xbrl_new,1058769,0.0,150000.0,10466000.0,-10316000.0,-10316000.0,-0.04,-0.04,290296000.0,
AUSTRAL,2019-06-01 13:43:00,2019-03-31,2019-01-01,False,xbrl_new,1064576,600000.0,157000.0,52918000.0,-55076000.0,-110152000.0,-0.19,0.0,290296000.0,
AUSTRAL,2019-08-17 14:23:00,2019-06-30,2019-04-01,False,xbrl_new,1067948,0.0,150000.0,7180000.0,-7030000.0,-7030000.0,0.0,-0.02,290296000.0,
AUSTRAL,2019-11-14 18:46:00,2019-09-30,2019-07-01,False,xbrl_new,1073007,0.0,150000.0,7178000.0,-7028000.0,-7028000.0,-0.02,-0.02,290296000.0,
