symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
BAJAJFINSV,2008-07-09 15:55:00,2008-06-30,2008-04-01,True,html_old,55755,6708.0,6708.0,11119.0,-4411.0,-5389.0,-2.5,-2.5,7234.0,
BAJAJFINSV,2008-07-09 15:55:00,2008-06-30,2008-04-01,False,html_old,55754,2680.0,2721.0,1269.0,1452.0,966.0,0.7,0.7,7234.0,
BAJAJFINSV,2008-10-22 20:00:00,2008-09-30,2008-07-01,True,html_old,58281,9237.0,,9353.0,-117.0,-2290.0,-0.8,-0.8,7234.0,
BAJAJFINSV,2008-10-23 10:29:00,2008-09-30,2008-07-01,False,html_old,58290,3152.0,,1112.0,2080.0,1423.0,1.0,1.0,7234.0,
BAJAJFINSV,2009-01-15 16:51:00,2008-12-31,2008-10-01,False,html_old,60854,2909.0,,1484.0,1465.0,1105.0,0.8,0.8,7234.0,
BAJAJFINSV,2009-01-15 16:54:00,2008-12-31,2008-10-01,True,html_old,60853,8585.0,,6919.0,1665.0,661.0,0.8,0.8,7234.0,
BAJAJFINSV,2009-05-20 16:50:00,2009-03-31,2009-01-01,False,html_old,63897,2462.0,,1172.0,1336.0,642.0,0.4,0.4,7234.0,
BAJAJFINSV,2009-05-20 17:10:00,2009-03-31,2009-01-01,True,html_old,63899,14000.0,,-3534.0,17534.0,14021.0,7.4,7.4,7234.0,
BAJAJFINSV,2009-07-15 16:37:00,2009-06-30,2009-04-01,True,html_old,65619,10621.0,,3293.0,7328.0,5140.0,2.9,2.9,7234.0,
BAJAJFINSV,2009-07-15 16:37:00,2009-06-30,2009-04-01,False,html_old,65616,3244.0,,1814.0,1459.0,939.0,0.6,0.6,7234.0,
BAJAJFINSV,2009-10-14 16:26:00,2009-09-30,2009-07-01,False,html_old,67637,3721.0,,1646.0,2109.0,1349.0,0.9,0.9,7234.0,
BAJAJFINSV,2009-10-14 16:44:00,2009-09-30,2009-07-01,True,html_old,67639,10673.0,,2955.0,7718.0,5257.0,3.0,3.0,7234.0,
BAJAJFINSV,2010-01-12 16:44:00,2009-12-31,2009-10-01,True,html_old,70776,11925.0,,5628.0,6373.0,4181.0,2.5,2.5,7234.0,
BAJAJFINSV,2010-01-12 16:44:00,2009-12-31,2009-10-01,False,html_old,70775,3093.0,,2137.0,1075.0,405.0,0.3,0.3,7234.0,
BAJAJFINSV,2010-05-11 15:47:00,2010-03-31,2010-01-01,False,html_old,73736,2652.0,,1449.0,1291.0,246.0,0.5,0.5,7234.0,
BAJAJFINSV,2010-05-11 16:09:00,2010-03-31,2010-01-01,True,html_old,73739,65201.0,,3637.0,61609.0,58116.0,30.3,30.3,7234.0,
BAJAJFINSV,2010-07-21 15:05:00,2010-06-30,2010-04-01,False,html_old,75751,2903.0,,1115.0,1867.0,1242.0,0.9,0.9,7234.0,
BAJAJFINSV,2010-07-21 15:17:00,2010-06-30,2010-04-01,True,html_old,75752,12411.0,,2238.0,10189.0,7784.0,4.6,4.6,7234.0,
BAJAJFINSV,2010-10-18 17:21:00,2010-09-30,2010-07-01,True,html_old,77960,46417.0,,22278.0,16494.0,10587.0,4.8,4.8,7234.0,
BAJAJFINSV,2010-10-18 17:21:00,2010-09-30,2010-07-01,False,html_old,77958,4766.0,,1063.0,3789.0,2388.0,1.6,1.6,7234.0,
BAJAJFINSV,2011-01-18 16:17:00,2010-12-31,2010-10-01,True,html_old,81500,52957.0,,19855.0,22990.0,16030.0,7.3,7.3,7234.0,
BAJAJFINSV,2011-01-18 16:17:00,2010-12-31,2010-10-01,False,html_old,81498,2426.0,,976.0,1699.0,1115.0,0.8,0.8,7234.0,
BAJAJFINSV,2011-05-17 17:04:00,2011-03-31,2011-01-01,False,html_old,84843,1886.0,,1024.0,14980.0,14089.0,9.7,9.7,7234.0,
BAJAJFINSV,2011-05-17 17:55:00,2011-03-31,2011-01-01,True,html_old,84847,131700.0,,16497.0,117300.0,114785.0,60.3,60.3,7234.0,
BAJAJFINSV,2011-07-13 17:58:00,2011-06-30,2011-04-01,True,html_old,86643,61264.0,,20067.0,26996.0,19244.0,8.9,8.9,7234.0,
BAJAJFINSV,2011-07-13 17:58:00,2011-06-30,2011-04-01,False,html_old,86642,2570.0,,879.0,1876.0,1221.0,0.8,0.8,7234.0,
BAJAJFINSV,2011-10-19 17:02:00,2011-09-30,2011-07-01,False,html_old,89210,6171.0,,1053.0,5325.0,4207.0,2.9,2.9,7234.0,
BAJAJFINSV,2011-10-19 17:06:00,2011-09-30,2011-07-01,True,html_old,89213,71366.0,,22785.0,32028.0,22819.0,10.9,10.9,7234.0,
BAJAJFINSV,2012-01-18 19:40:00,2011-12-31,2011-10-01,True,html_old,91347,82519.0,,24676.0,37160.0,25456.0,11.8,11.8,7234.0,
BAJAJFINSV,2012-01-18 19:40:00,2011-12-31,2011-10-01,False,html_old,91346,2838.0,,850.0,2230.0,1447.0,1.0,1.0,7234.0,
BAJAJFINSV,2012-05-21 20:06:00,2012-03-31,2012-01-01,True,html_old,94917,175156.0,,25918.0,126438.0,121456.0,60.9,60.9,7234.0,
BAJAJFINSV,2012-05-21 20:06:00,2012-03-31,2012-01-01,False,html_old,94909,1998.0,,866.0,1339.0,782.0,0.5,0.5,7234.0,
BAJAJFINSV,2012-07-18 10:44:00,2012-06-30,2012-04-01,True,html_old,97337,92748.0,,26617.0,39866.0,28538.0,,,7234.0,
BAJAJFINSV,2012-07-18 10:44:00,2012-06-30,2012-04-01,False,html_old,97336,2500.0,,1161.0,1596.0,1002.0,,,7234.0,
BAJAJFINSV,2012-10-25 20:47:00,2012-09-30,2012-07-01,False,html_old,100031,6694.0,,1318.0,5618.0,4697.0,,,7234.0,
BAJAJFINSV,2012-10-26 18:38:00,2012-09-30,2012-07-01,True,html_old,100034,100783.0,,28536.0,42957.0,31061.0,,,7234.0,
BAJAJFINSV,2013-01-15 17:56:00,2012-12-31,2012-10-01,False,html_old,102032,2517.0,,1043.0,1748.0,1113.0,,,7956.0,
