symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
BAJFINANCE,2007-05-16 16:41:00,2007-03-31,2007-01-01,False,html_old,45350,10573.0,12621.0,5474.0,3193.0,2076.0,8.79,8.35,3535.0,0.0
BAJFINANCE,2007-07-11 18:18:00,2007-06-30,2007-04-01,False,html_old,46687,8503.0,10520.0,6094.0,592.0,411.0,1.16,1.12,3535.0,0.0
BAJFINANCE,2007-10-18 16:27:00,2007-09-30,2007-07-01,False,html_old,48661,10432.0,12340.0,7605.0,626.0,378.0,1.04,1.04,3660.0,
BAJFINANCE,2008-01-29 20:39:00,2007-12-31,2007-10-01,False,html_old,52010,10929.0,13239.0,7953.0,1037.0,812.0,2.22,2.22,3660.0,
BAJFINANCE,2008-05-21 15:19:00,2008-03-31,2008-01-01,False,html_old,54229,11102.0,14175.0,8536.0,743.0,457.0,1.26,1.26,3660.0,
BAJFINANCE,2008-07-09 14:27:00,2008-06-30,2008-04-01,False,html_old,55753,10372.0,12823.0,8028.0,451.0,301.0,0.82,0.82,3660.0,
BAJFINANCE,2008-10-22 15:24:00,2008-09-30,2008-07-01,False,html_old,58229,11175.0,,8731.0,711.0,457.0,1.25,1.25,3660.0,
BAJFINANCE,2009-01-15 14:49:00,2008-12-31,2008-10-01,False,html_old,60847,13601.0,,9995.0,1628.0,1128.0,3.08,3.08,3660.0,
BAJFINANCE,2009-05-20 16:59:00,2009-03-31,2009-01-01,False,html_old,63901,15804.0,,11646.0,2314.0,1506.0,4.12,4.12,3660.0,
BAJFINANCE,2009-07-15 13:40:00,2009-06-30,2009-04-01,False,html_old,65605,16486.0,,12489.0,2333.0,1521.0,4.16,4.16,3660.0,
BAJFINANCE,2009-10-14 14:24:00,2009-09-30,2009-07-01,False,html_old,67629,19538.0,,14122.0,3251.0,2169.0,5.93,5.93,3660.0,
BAJFINANCE,2010-01-12 12:15:00,2009-12-31,2009-10-01,False,html_old,70766,22489.0,,15120.0,4313.0,2732.0,7.46,7.46,3660.0,
BAJFINANCE,2010-05-11 15:02:00,2010-03-31,2010-01-01,False,html_old,73721,22453.0,,16289.0,3533.0,2519.0,6.88,6.88,3660.0,
BAJFINANCE,2010-07-21 11:58:00,2010-06-30,2010-04-01,False,html_old,75735,27013.0,,15338.0,7062.0,4678.0,12.78,12.78,3660.0,
BAJFINANCE,2010-10-18 13:43:00,2010-09-30,2010-07-01,False,html_old,77934,29970.0,,16484.0,7831.0,5277.0,14.42,14.42,3660.0,
BAJFINANCE,2011-01-18 13:15:00,2010-12-31,2010-10-01,False,html_old,81482,35969.0,,16980.0,11503.0,7639.0,20.87,20.87,3663.0,
BAJFINANCE,2011-05-17 14:21:00,2011-03-31,2011-01-01,False,html_old,84827,35432.0,,17024.0,10596.0,7102.0,19.4,19.4,3663.0,
BAJFINANCE,2011-07-13 14:34:00,2011-06-30,2011-04-01,False,html_old,86637,41635.0,,17474.0,13463.0,9081.0,24.79,24.79,3663.0,
BAJFINANCE,2011-10-19 13:10:00,2011-09-30,2011-07-01,False,html_old,89191,45134.0,,19710.0,12888.0,8737.0,23.85,21.39,3663.0,
BAJFINANCE,2012-01-18 15:15:00,2011-12-31,2011-10-01,False,html_old,91333,55472.0,,21888.0,17747.0,11999.0,32.76,32.62,3663.0,
BAJFINANCE,2012-05-30 16:13:00,2012-03-31,2012-01-01,False,html_old,94839,57385.0,,22806.0,16124.0,10827.0,29.43,29.26,4132.0,
BAJFINANCE,2012-07-17 19:21:00,2012-06-30,2012-04-01,False,html_old,97332,66699.0,,23306.0,20634.0,13869.0,,,4132.0,
BAJFINANCE,2012-10-22 13:22:00,2012-09-30,2012-07-01,False,html_old,99887,68583.0,,25163.0,19029.0,12872.0,,,4139.0,
BAJFINANCE,2013-01-15 15:55:00,2012-12-31,2012-10-01,False,html_old,102030,79168.0,,27077.0,23660.0,16009.0,,,4281.0,
BAJFINANCE,2013-06-14 12:45:00,2013-03-31,2013-01-01,False,html_old,107503,78029.0,,27863.0,23837.0,16381.0,,,4977.83,0.0
BAJFINANCE,2013-07-22 12:53:00,2013-06-30,2013-04-01,False,html_old,109061,88370.0,,33413.0,26686.0,17574.0,,,4978.0,0.0
BAJFINANCE,2013-10-23 17:49:00,2013-09-30,2013-07-01,False,html_old,111640,87420.0,,32920.0,25270.0,16704.0,,,4978.0,331726.0
BAJFINANCE,2014-01-15 12:53:00,2013-12-31,2013-10-01,False,html_old,113874,102742.0,,37738.0,29485.0,19414.0,,,4978.0,0.0
BAJFINANCE,2014-05-20 14:37:00,2014-03-31,2014-01-01,False,html_old,117412,100323.0,,36822.0,27675.0,18209.0,,,5014.23,3970.12
BAJFINANCE,2014-07-16 16:05:00,2014-06-30,2014-04-01,False,html_old,120634,118010.0,,42572.0,32060.0,21136.0,,,5014.0,0.0
BAJFINANCE,2014-10-16 09:45:00,2014-09-30,2014-07-01,False,html_old,122830,117025.0,,39864.0,29873.0,19715.0,,,5014.0,0.0
BAJFINANCE,2015-01-15 17:09:00,2014-12-31,2014-10-01,False,html_old,125042,141643.0,,49994.0,39306.0,25838.0,,,5015.0,0.0
BAJFINANCE,2015-05-21 20:29:00,2015-03-31,2015-01-01,False,html_old,128495,135319.0,,48869.0,34455.0,23098.0,,,5015.0,0.0
BAJFINANCE,2015-07-23 14:43:00,2015-06-30,2015-04-01,False,html_old,1000159,157164.0,,55635.0,42243.0,27563.0,,,5363.28,0.0
BAJFINANCE,2015-10-21 15:57:00,2015-09-30,2015-07-01,False,html_old,1002189,159209.0,,57794.0,42796.0,27939.0,,,5363.28,0.0
BAJFINANCE,2016-02-06 17:57:00,2015-12-31,2015-10-01,False,html_old,1004768,197171.0,,69513.0,62519.0,40846.0,,,5363.28,
BAJFINANCE,2016-05-26 12:59:00,2016-03-31,2016-01-01,False,html_old,1008264,182115.0,,66263.0,48899.0,31504.0,,,5387.0,
BAJFINANCE,2016-08-06 18:44:00,2016-06-30,2016-04-01,False,html_old,1011045,216591.0,,76622.0,65153.0,42399.0,,,5387.0,
BAJFINANCE,2016-11-08 10:32:00,2016-09-30,2016-07-01,False,html_old,1015125,218020.0,,78352.0,62630.0,40776.0,,,10774.0,
BAJFINANCE,2017-02-01 14:45:00,2016-12-31,2016-10-01,False,html_old,1018236,252711.0,,89888.0,85000.0,55565.0,,,10959.0,
BAJFINANCE,2017-05-27 15:09:00,2017-03-31,2017-01-01,False,html_old,1022446,246073.0,,198323.0,68970.0,44915.0,,,10998.0,
BAJFINANCE,2017-07-27 20:53:00,2017-06-30,2017-04-01,False,html_old,1027805,315047.0,,223908.0,92543.0,60204.0,,,10998.0,
