symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
BALKRISIND,2007-02-02 19:14:00,2006-12-31,2006-10-01,False,html_old,43687,21592.0,21675.0,16922.0,3391.0,2219.0,11.48,11.28,1933.0,0.0
BALKRISIND,2007-06-05 09:55:00,2007-03-31,2007-01-01,False,html_old,45881,26853.0,26936.0,20884.0,4525.0,2505.0,12.95,12.76,1933.0,0.0
BALKRISIND,2007-07-30 22:00:00,2007-06-30,2007-04-01,False,html_old,47727,23128.0,23228.0,18210.0,3262.0,2124.0,10.99,10.89,1933.0,0.0
BALKRISIND,2007-11-05 11:07:00,2007-09-30,2007-07-01,False,html_old,50355,26673.0,26801.0,21938.0,4235.0,2823.0,14.59,14.39,1933.0,
BALKRISIND,2008-01-31 21:45:00,2007-12-31,2007-10-01,False,html_old,52419,25973.0,26105.0,20010.0,5549.0,3652.0,18.91,18.57,1933.0,
BALKRISIND,2008-06-16 17:03:00,2008-03-31,2008-01-01,False,html_old,54838,30614.0,30667.0,26566.0,3620.0,2176.0,11.25,11.14,1933.0,
BALKRISIND,2008-07-28 09:25:00,2008-06-30,2008-04-01,False,html_old,56332,29723.0,29839.0,26881.0,2197.0,1438.0,7.44,7.52,1933.0,
BALKRISIND,2008-10-20 09:19:00,2008-09-30,2008-07-01,False,html_old,57870,31995.0,,28549.0,2625.0,1709.0,8.84,8.95,1933.0,
BALKRISIND,2009-01-23 12:00:00,2008-12-31,2008-10-01,False,html_old,61117,32023.0,,28492.0,2637.0,1721.0,8.91,9.01,1933.0,
BALKRISIND,2009-05-18 09:31:00,2009-03-31,2009-01-01,False,html_old,63790,32162.0,,27897.0,3407.0,2179.0,11.17,11.31,1933.0,
BALKRISIND,2009-07-21 19:28:00,2009-06-30,2009-04-01,False,html_old,65778,30161.0,,21832.0,7931.0,5234.0,27.07,26.48,1933.0,
BALKRISIND,2009-10-30 18:54:00,2009-09-30,2009-07-01,False,html_old,69585,30120.0,,22888.0,6860.0,4530.0,23.45,22.99,1933.0,
BALKRISIND,2010-02-01 09:27:00,2009-12-31,2009-10-01,False,html_old,72251,34555.0,,27006.0,7218.0,4761.0,24.63,24.03,1933.0,
BALKRISIND,2010-05-31 12:48:00,2010-03-31,2010-01-01,False,html_old,75165,43860.0,,34553.0,9343.0,6347.0,32.82,32.0,1933.0,
BALKRISIND,2010-07-31 16:17:00,2010-06-30,2010-04-01,False,html_old,76627,45603.0,,38855.0,6622.0,4437.0,22.96,22.51,1933.0,
BALKRISIND,2010-11-01 13:12:00,2010-09-30,2010-07-01,False,html_old,79615,47408.0,,39646.0,7593.0,5103.0,26.39,25.8,1933.0,
BALKRISIND,2011-01-31 10:58:00,2010-12-31,2010-10-01,False,html_old,82070,49293.0,,42884.0,5658.0,3821.0,3.95,3.95,1933.0,
BALKRISIND,2011-05-24 14:51:00,2011-03-31,2011-01-01,False,html_old,85103,57390.0,,50181.0,7631.0,5205.0,5.39,5.39,1933.0,
BALKRISIND,2011-08-19 13:35:00,2011-06-30,2011-04-01,False,html_old,88565,58143.0,,49829.0,8301.0,5611.0,5.81,5.81,1933.0,
BALKRISIND,2011-10-24 12:29:00,2011-09-30,2011-07-01,False,html_old,89425,67532.0,,58015.0,9366.0,6327.0,6.54,6.54,1933.0,
BALKRISIND,2012-02-13 11:41:00,2011-12-31,2011-10-01,False,html_old,92541,75708.0,,64648.0,10790.0,7288.0,7.54,7.54,1933.0,
BALKRISIND,2012-06-11 12:28:00,2012-03-31,2012-01-01,False,html_old,96408,78666.0,,67591.0,11365.0,7627.0,7.54,7.54,1933.0,
BALKRISIND,2012-08-08 15:04:00,2012-06-30,2012-04-01,False,html_old,98067,82963.0,,69710.0,10830.0,7309.0,,,1933.0,
