symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
BANDHANBNK,2018-06-21 00:00:00,2018-03-31,2018-01-01,False,xbrl_new,1038875,,,,,,,,,
BANDHANBNK,2018-08-10 18:15:00,2018-06-30,2018-04-01,False,xbrl_new,1046668,,17668611000.0,,,,,,11928049000.0,
BANDHANBNK,2018-10-15 11:04:00,2018-09-30,2018-07-01,False,xbrl_new,1049599,,,,,,,,,
BANDHANBNK,2019-01-16 12:20:00,2018-12-31,2018-10-01,False,xbrl_new,1054344,,18836513000.0,,,,,,11928049000.0,
BANDHANBNK,2019-05-09 20:33:00,2019-03-31,2019-01-01,False,xbrl_new,1059428,,22205113000.0,,,,,,11930829000.0,
BANDHANBNK,2019-09-09 12:32:00,2019-06-30,2019-04-01,False,xbrl_new,1064987,,24327690000.0,,,,,,11930960000.0,
BANDHANBNK,2020-01-21 14:16:00,2019-12-31,2019-10-01,False,xbrl_new,1074396,,30753433000.0,,,,,,16100755000.0,
BANDHANBNK,2020-03-18 16:18:00,2019-09-30,2019-07-01,False,xbrl_new,1069664,,,,,,,,,
BANDHANBNK,2020-05-18 14:03:00,2020-03-31,2020-01-01,False,xbrl_new,1081658,,33464729000.0,,,,,,16102479000.0,
BANDHANBNK,2020-09-17 14:25:00,2020-06-30,2020-04-01,False,xbrl_new,1087006,,34048432000.0,,,,,,16102794000.0,
BANDHANBNK,2020-11-04 16:03:00,2020-09-30,2020-07-01,False,xbrl_new,1093985,,35793945000.0,,,,,,16103536000.0,
BANDHANBNK,2021-01-21 18:48:00,2020-12-31,2020-10-01,False,xbrl_new,1100075,,38611225000.0,,,,,,16103799000.0,
BANDHANBNK,2021-05-08 17:53:00,2021-03-31,2021-01-01,False,xbrl_new,1107221,,37879114000.0,,,,,,16105992000.0,
BANDHANBNK,2021-07-30 19:19:00,2021-06-30,2021-04-01,False,xbrl_new,1114470,,39433745000.0,,,,,,16106692000.0,
BANDHANBNK,2021-10-30 15:35:00,2021-09-30,2021-07-01,False,xbrl_new,1119084,,36725130000.0,,,,,,16107007000.0,
BANDHANBNK,2022-01-21 18:06:00,2021-12-31,2021-10-01,False,xbrl_new,1124642,,41209491000.0,,,,,,16107233000.0,
BANDHANBNK,2022-05-17 10:57:00,2022-03-31,2022-01-01,False,xbrl_new,1133027,,48359672000.0,,,,,,16107659000.0,
BANDHANBNK,2023-02-03 16:30:00,2022-12-31,2022-10-01,False,xbrl_new,1140697,,48409443000.0,,,,,,16108322000.0,
BANDHANBNK,2023-05-19 17:34:00,2023-03-31,2023-01-01,False,xbrl_new,1147803,,48973892000.0,,,,,,16108322000.0,
BANDHANBNK,2023-10-18 16:14:00,2023-09-30,2023-07-01,False,xbrl_new,1155441,,50321887000.0,,,,,,16108988000.0,
BANDHANBNK,2024-02-09 18:12:00,2023-12-31,2023-10-01,False,xbrl_new,1166263,,52105950000.0,,,,,,16109076000.0,
BANDHANBNK,2024-05-18 15:14:00,2024-03-31,2024-01-01,False,xbrl_new,1172406,,58834593000.0,,,,,,16109698000.0,
BANDHANBNK,2024-07-26 20:55:00,2024-06-30,2024-04-01,False,xbrl_new,1178168,,60633583000.0,,,,,,16109702000.0,
BANDHANBNK,2024-10-25 17:08:00,2024-09-30,2024-07-01,False,xbrl_new,1182554,,60945303000.0,,,,,,16109712000.0,
BANDHANBNK,2025-01-31 20:22:00,2024-12-31,2024-10-01,False,xbrl_new,1191959,,65745802000.0,,,,,,16109713000.0,
