symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
BGRENERGY,2008-01-28 22:26:00,2007-12-31,2007-10-01,False,html_old,51886,38275.66,38302.53,34478.95,3202.28,2182.06,3.32,3.29,7200.0,
BGRENERGY,2008-06-12 18:05:00,2008-03-31,2008-01-01,False,html_old,54770,57860.5,58148.93,52692.97,4566.33,3191.2,4.43,4.39,7200.0,39932.58
BGRENERGY,2008-07-30 15:50:00,2008-06-30,2008-04-01,False,html_old,56856,30683.19,31088.73,27702.5,2630.95,1723.11,2.39,2.37,7200.0,
BGRENERGY,2008-10-30 19:02:00,2008-09-30,2008-07-01,False,html_old,59730,42457.45,,38228.59,3617.54,2368.55,3.29,3.27,7200.0,
BGRENERGY,2009-01-28 18:47:00,2008-12-31,2008-10-01,False,html_old,61452,47242.77,,42477.54,4147.34,2720.79,3.78,3.75,7200.0,
BGRENERGY,2009-06-23 09:26:00,2009-03-31,2009-01-01,False,html_old,64667,71826.33,,63694.46,7069.41,4696.65,6.52,6.47,7200.0,48914.58
BGRENERGY,2009-07-24 16:53:00,2009-06-30,2009-04-01,False,html_old,65969,31106.61,,27089.52,3065.54,2023.56,2.81,2.79,7200.0,
BGRENERGY,2009-10-29 18:08:00,2009-09-30,2009-07-01,False,html_old,69186,46596.13,,41087.6,4629.95,3056.61,4.25,4.21,7200.0,
BGRENERGY,2010-01-30 17:25:00,2009-12-31,2009-10-01,False,html_old,72117,63514.49,,56609.93,6349.48,4190.95,5.82,5.78,7200.0,
BGRENERGY,2010-05-28 18:42:00,2010-03-31,2010-01-01,False,html_old,74853,165707.66,,148764.39,16422.57,10831.15,15.04,15.1,7200.0,63120.2
BGRENERGY,2010-07-30 20:23:00,2010-06-30,2010-04-01,False,html_old,76542,90543.03,,80600.88,9170.7,6053.58,8.41,8.39,7205.03,
BGRENERGY,2010-10-28 12:34:00,2010-09-30,2010-07-01,False,html_old,78873,113371.15,,100653.16,11780.57,7776.36,10.79,10.76,7210.95,
BGRENERGY,2011-02-10 12:23:00,2010-12-31,2010-10-01,False,html_old,82645,125107.19,,111310.31,12869.34,8755.47,12.14,12.11,7214.48,
BGRENERGY,2011-05-27 09:40:00,2011-03-31,2011-01-01,False,html_old,85293,145727.96,,130129.49,14379.54,9835.36,13.63,13.62,7216.18,
BGRENERGY,2011-07-27 17:59:00,2011-06-30,2011-04-01,False,html_old,87070,73118.0,,64183.0,7434.0,5025.0,6.96,6.95,7216.0,
BGRENERGY,2011-11-15 13:07:00,2011-09-30,2011-07-01,False,html_old,90656,77057.0,,66531.0,7606.0,5135.0,7.12,7.11,7216.0,
BGRENERGY,2012-02-06 18:05:00,2011-12-31,2011-10-01,False,html_old,92108,80234.0,,67654.0,8104.0,5474.0,7.59,7.59,7216.0,
BGRENERGY,2012-06-04 14:05:00,2012-03-31,2012-01-01,False,html_old,96348,113770.0,,100638.0,9539.0,6717.0,9.31,9.31,7216.0,
BGRENERGY,2012-08-04 16:16:00,2012-06-30,2012-04-01,False,html_old,98031,61079.0,,52701.0,4983.0,3366.0,,,7216.0,
BGRENERGY,2012-11-01 18:07:00,2012-09-30,2012-07-01,False,html_old,100444,62649.0,,53626.0,5140.0,3473.0,,,7216.0,
BGRENERGY,2013-02-09 16:58:00,2012-12-31,2012-10-01,False,html_old,102876,80491.0,,69875.0,6135.0,4144.0,,,7216.0,
BGRENERGY,2013-06-11 14:05:00,2013-03-31,2013-01-01,False,html_old,107250,106288.0,,93036.0,8293.0,5385.0,,,7216.0,0.0
BGRENERGY,2013-08-13 12:25:00,2013-06-30,2013-04-01,False,html_old,110262,81969.0,,71998.0,5661.0,3736.0,,,7216.0,0.0
BGRENERGY,2013-11-19 17:53:00,2013-09-30,2013-07-01,False,html_old,112753,82598.0,,72948.0,5312.0,3507.0,,,7216.0,0.0
BGRENERGY,2014-02-12 17:05:00,2013-12-31,2013-10-01,False,html_old,115105,83559.0,,73898.0,5083.0,3355.0,,,7216.0,114738.0
BGRENERGY,2014-06-02 13:21:00,2014-03-31,2014-01-01,False,html_old,119077,81207.0,,73152.0,3182.0,1909.0,,,7216.0,0.0
BGRENERGY,2014-08-20 19:13:00,2014-06-30,2014-04-01,False,html_old,122363,62936.0,,57055.0,1244.0,919.0,,,7216.0,0.0
BGRENERGY,2014-11-20 15:33:00,2014-09-30,2014-07-01,False,html_old,124083,69212.0,,62954.0,1516.0,951.0,,,7216.0,0.0
BGRENERGY,2015-02-17 16:29:00,2014-12-31,2014-10-01,False,html_old,126173,98808.0,,91770.0,2198.0,1451.0,,,7216.0,0.0
BGRENERGY,2015-06-01 15:17:00,2015-03-31,2015-01-01,False,html_old,130281,104436.0,,96338.0,2912.0,1882.0,,,7216.0,0.0
BGRENERGY,2015-08-04 13:54:00,2015-06-30,2015-04-01,False,html_old,1000646,89192.0,,82145.0,1750.0,1144.0,,,7216.0,0.0
