symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
BPCL,2007-05-24 17:27:00,2007-03-31,2007-01-01,False,html_old,45579,2412650.0,2438120.0,2285270.0,108590.0,67000.0,18.53,18.53,36150.0,0.0
BPCL,2007-07-27 21:29:00,2007-06-30,2007-04-01,True,html_old,47384,2408750.0,2452890.0,2374370.0,37530.0,23850.0,6.6,6.6,36150.0,0.0
BPCL,2007-07-27 21:29:00,2007-06-30,2007-04-01,False,html_old,47361,2386940.0,2430350.0,2366340.0,28850.0,19270.0,5.33,5.33,36150.0,0.0
BPCL,2007-10-31 16:27:00,2007-09-30,2007-07-01,False,html_old,50582,2517040.0,2553560.0,2383770.0,157510.0,103820.0,28.72,28.72,36150.0,
BPCL,2008-01-31 17:00:00,2007-12-31,2007-10-01,False,html_old,52353,2892840.0,2911880.0,2879780.0,28690.0,29130.0,8.06,8.06,36150.0,
BPCL,2008-06-17 15:02:00,2008-03-31,2008-01-01,False,html_old,54855,3257860.0,3271290.0,3205050.0,44680.0,5840.0,1.62,1.62,36150.0,
BPCL,2008-07-28 18:03:00,2008-06-30,2008-04-01,False,html_old,56440,3902200.0,3929770.0,4006040.0,-106430.0,-106670.0,-29.5,-29.5,36150.0,
BPCL,2008-07-28 18:03:00,2008-06-30,2008-04-01,True,html_old,56438,3928720.0,3956860.0,4018870.0,-92890.0,-99460.0,-28.45,-28.45,36150.0,
BPCL,2008-10-30 15:20:00,2008-09-30,2008-07-01,False,html_old,59565,3782620.0,,4023558.0,-262066.0,-262527.0,-72.61,-72.61,36154.0,
BPCL,2009-01-29 14:08:00,2008-12-31,2008-10-01,False,html_old,61542,3188448.0,,3066495.0,80361.0,79984.0,22.12,22.12,36154.0,
BPCL,2009-05-29 17:14:00,2009-03-31,2009-01-01,False,html_old,64256,2650503.0,,2261501.0,388543.0,362802.0,100.35,100.35,36154.0,
BPCL,2009-07-28 15:04:00,2009-06-30,2009-04-01,False,html_old,66242,2549278.0,,2497843.0,93062.0,61412.0,16.99,16.99,36154.0,
BPCL,2009-10-29 16:12:00,2009-09-30,2009-07-01,False,html_old,69101,2707103.0,,2749614.0,-24999.0,-15877.0,-4.39,-4.39,36154.0,
BPCL,2010-01-28 14:36:00,2009-12-31,2009-10-01,False,html_old,71519,3216124.0,,3192012.0,47709.0,37909.0,10.49,10.49,36154.0,
BPCL,2010-05-27 15:33:00,2010-03-31,2010-01-01,False,html_old,74641,3755090.0,,3674450.0,120833.0,70318.0,19.45,19.45,36154.0,
BPCL,2010-07-30 14:46:00,2010-06-30,2010-04-01,False,html_old,76451,3421189.0,,3603915.0,-171810.0,-171810.0,-47.52,-47.52,36154.0,
BPCL,2010-11-10 17:03:00,2010-09-30,2010-07-01,False,html_old,80210,3541619.0,,3335016.0,234022.0,214222.0,59.25,59.25,36154.0,
BPCL,2011-02-09 14:21:00,2010-12-31,2010-10-01,False,html_old,82572,3666547.0,,3630710.0,41438.0,18738.0,5.18,5.18,36154.0,
BPCL,2011-05-30 15:08:00,2011-03-31,2011-01-01,False,html_old,85553,4525151.0,,4409019.0,137615.0,93518.0,25.87,25.87,36154.0,
BPCL,2011-08-12 15:15:00,2011-06-30,2011-04-01,False,html_old,88145,4611769.0,,4879390.0,-256189.0,-256189.0,-70.86,-70.86,36154.0,
BPCL,2011-10-31 14:52:00,2011-09-30,2011-07-01,False,html_old,89655,4228190.0,,4545670.0,-322927.0,-322927.0,-89.32,-89.32,36154.0,
BPCL,2012-02-10 14:03:00,2011-12-31,2011-10-01,False,html_old,92416,5882445.0,,5560375.0,314223.0,313960.0,86.84,86.84,36154.0,
BPCL,2012-06-07 18:03:00,2012-03-31,2012-01-01,False,html_old,95534,6464218.0,,6005314.0,453310.0,396283.0,109.61,109.61,36154.0,
BPCL,2012-08-10 17:34:00,2012-06-30,2012-04-01,False,html_old,98330,5452272.0,,6317851.0,-883675.0,-883675.0,,,36154.0,
BPCL,2012-11-09 20:22:00,2012-09-30,2012-07-01,False,html_old,101163,5685952.0,,5189813.0,503479.0,503479.0,,,72308.0,
BPCL,2013-02-18 17:52:00,2012-12-31,2012-10-01,False,html_old,103389,6233984.0,,6054711.0,164757.0,164757.0,,,72308.0,
BPCL,2013-06-07 20:29:00,2013-03-31,2013-01-01,False,html_old,106851,6628201.0,,6031130.0,619008.0,479729.0,,,72308.0,1591094.0
BPCL,2013-08-16 17:29:00,2013-06-30,2013-04-01,False,html_old,110568,5870528.0,,5833033.0,21909.0,15032.0,,,72308.0,0.0
BPCL,2013-11-21 15:49:00,2013-09-30,2013-07-01,False,html_old,112942,6175738.0,,6061498.0,130195.0,93113.0,,,72308.0,0.0
BPCL,2014-02-18 12:29:00,2013-12-31,2013-10-01,False,html_old,115424,6473423.0,,6624267.0,-152878.0,-108894.0,,,72308.0,1591094.0
BPCL,2014-05-31 12:09:00,2014-03-31,2014-01-01,False,html_old,118857,7473660.0,,6903315.0,595672.0,406837.0,,,72308.0,1873568.0
BPCL,2014-08-18 11:37:00,2014-06-30,2014-04-01,False,html_old,121812,6674965.0,,6582730.0,179135.0,121626.0,,,72308.0,1873568.0
BPCL,2014-11-17 21:17:00,2014-09-30,2014-07-01,False,html_old,123851,6197851.0,,6154088.0,61024.0,46420.0,,,72308.0,1873568.0
BPCL,2015-02-18 12:41:00,2014-12-31,2014-10-01,False,html_old,126231,5787282.0,,5737094.0,77400.0,55116.0,,,72308.0,0.0
BPCL,2015-05-28 22:05:00,2015-03-31,2015-01-01,False,html_old,129571,5130428.0,,4754913.0,423992.0,285289.0,,,72308.0,0.0
BPCL,2015-08-16 17:17:00,2015-06-30,2015-04-01,False,html_old,1001560,5191669.0,,4868524.0,349616.0,237616.0,,,72308.0,0.0
BPCL,2015-11-10 16:00:00,2015-09-30,2015-07-01,False,html_old,1003438,4642273.0,,4555864.0,149404.0,101804.0,,,72308.0,0.0
BPCL,2016-02-13 13:57:00,2015-12-31,2015-10-01,False,html_old,1005680,4661314.0,,4470646.0,216370.0,148860.0,,,72308.0,
BPCL,2016-05-27 15:04:00,2016-03-31,2016-01-01,False,html_old,1008641,4414554.0,,4115103.0,349728.0,254908.0,,,72308.0,
BPCL,2016-09-27 19:04:00,2015-06-30,2015-04-01,False,html_old,1013051,5876777.0,,5555253.0,347847.0,236066.0,,,72308.0,
BPCL,2016-09-27 19:04:00,2016-06-30,2016-04-01,False,html_old,1013050,5696723.0,,5352805.0,374150.0,262050.0,,,72308.0,
BPCL,2016-11-18 08:59:00,2015-09-30,2015-07-01,False,html_old,1016245,5252558.0,,5164377.0,152037.0,103452.0,,,72308.0,
BPCL,2016-11-18 08:59:00,2016-09-30,2016-07-01,False,html_old,1016244,5486689.0,,5398421.0,184892.0,130518.0,,,144617.0,
BPCL,2017-02-13 20:42:00,2016-12-31,2016-10-01,False,html_old,1019218,6404611.0,,6126279.0,324906.0,227194.0,,,144617.0,
BPCL,2017-02-13 20:43:00,2015-12-31,2015-10-01,False,html_old,1019219,5318225.0,,5119795.0,224880.0,154515.0,,,72308.0,
BPCL,2017-06-06 16:55:00,2017-03-31,2017-01-01,False,html_old,1026405,6597925.0,6668561.0,6448230.0,220331.0,184168.0,14.04,14.04,131125.0,
BPCL,2017-08-21 18:45:00,2017-06-30,2017-04-01,False,html_old,1029467,6671729.0,6742295.0,6630939.0,111356.0,74456.0,3.79,3.79,131125.0,
BPCL,2017-11-20 19:24:00,2017-09-30,2017-07-01,False,html_old,1032967,6395540.0,6492771.0,6147513.0,345258.0,235740.0,11.99,11.99,196688.0,
BPCL,2018-03-19 19:40:00,2017-12-31,2017-10-01,False,html_old,1036881,6994315.0,7092256.0,6788455.0,303801.0,214374.0,10.9,10.9,196688.0,
BPCL,2018-04-23 07:07:00,2016-03-31,2016-01-01,False,xbrl_new,1026406,,,,,,,,,
BPCL,2018-06-26 20:12:00,2018-03-31,2018-01-01,False,xbrl_new,1044313,760669600000.0,768998900000.0,733060300000.0,35938600000.0,26736400000.0,13.59,13.59,19668800000.0,
BPCL,2018-08-28 11:58:00,2018-06-30,2018-04-01,False,xbrl_new,1048110,824309300000.0,829789600000.0,795967000000.0,33822600000.0,22932600000.0,11.66,11.66,19668800000.0,
BPCL,2018-11-20 17:29:00,2018-09-30,2018-07-01,False,xbrl_new,1050894,828848200000.0,834228300000.0,815501200000.0,18727100000.0,12187100000.0,6.2,6.2,19668750000.0,
BPCL,2019-02-13 15:56:00,2018-12-31,2018-10-01,False,xbrl_new,1056807,882378700000.0,892050600000.0,886155500000.0,5895100000.0,4951400000.0,2.52,2.52,19668750000.0,
BPCL,2019-05-21 16:16:00,2019-03-31,2019-01-01,False,xbrl_new,1061139,839416700000.0,849992800000.0,804041400000.0,45951400000.0,31249100000.0,15.89,15.89,19668800000.0,
BPCL,2019-08-09 20:22:00,2019-06-30,2019-04-01,False,xbrl_new,1066532,858595900000.0,863980400000.0,850462600000.0,13517800000.0,10751200000.0,5.47,5.47,19668800000.0,
BPCL,2019-08-09 20:29:00,2019-06-30,2019-04-01,True,xbrl_new,1066535,864128700000.0,869562900000.0,849744100000.0,19818800000.0,17995900000.0,8.26,8.26,19668800000.0,
BPCL,2019-11-08 14:25:00,2019-09-30,2019-07-01,False,xbrl_new,1070676,750566300000.0,759279100000.0,742727900000.0,16551200000.0,17084500000.0,8.69,8.69,19668800000.0,
