symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
BRFL,2007-07-04 13:36:00,2007-03-31,2007-01-01,False,html_old,46607,17328.15,17765.05,14402.7,2578.27,2154.72,3.58,3.25,6300.0,0.0
BRFL,2007-07-31 22:06:00,2007-06-30,2007-04-01,False,html_old,48039,20124.82,20522.71,16168.32,3169.71,2205.17,3.5,3.19,6300.0,0.0
BRFL,2007-10-30 21:33:00,2007-09-30,2007-07-01,False,html_old,50337,22461.01,23405.77,18197.89,4540.2,3067.78,4.87,4.44,6300.0,
BRFL,2008-01-22 21:35:00,2007-12-31,2007-10-01,False,html_old,51492,23875.35,24534.54,19345.48,4419.71,3456.86,5.49,5.0,6300.0,
BRFL,2008-06-30 22:46:00,2008-03-31,2008-01-01,False,html_old,55562,26149.87,25924.11,20288.26,5029.41,3383.17,5.37,4.9,6300.0,
BRFL,2008-07-26 17:54:00,2008-06-30,2008-04-01,False,html_old,56299,27506.96,27631.73,22087.12,4808.92,3493.32,5.46,5.46,6910.0,
BRFL,2008-10-31 22:15:00,2008-09-30,2008-07-01,False,html_old,60199,28702.46,,22796.79,4981.06,3668.7,5.31,5.31,6910.0,
BRFL,2009-01-31 21:34:00,2008-12-31,2008-10-01,False,html_old,62247,34492.63,,27158.47,5783.69,4167.53,6.03,6.03,6910.0,
BRFL,2009-08-01 17:17:00,2009-06-30,2009-04-01,False,html_old,67160,33634.78,,27143.01,4901.93,3728.97,4.5,4.5,8710.0,
BRFL,2009-11-03 18:01:00,2009-09-30,2009-07-01,False,html_old,70030,38644.44,,30944.18,5613.1,4103.46,4.71,4.71,8710.0,
BRFL,2010-02-01 08:51:00,2009-12-31,2009-10-01,False,html_old,72226,41793.71,,33281.88,6334.46,4723.44,4.91,4.65,10610.0,
BRFL,2010-08-05 09:18:00,2010-06-30,2010-04-01,False,html_old,76805,50269.94,,40375.62,7017.81,5216.95,4.66,4.49,11190.0,
BRFL,2010-11-16 18:39:00,2010-09-30,2010-07-01,False,html_old,80927,52318.15,,40755.37,8591.35,6219.21,5.56,5.36,11190.0,
BRFL,2011-02-17 18:33:00,2010-12-31,2010-10-01,False,html_old,82634,54417.84,,44334.42,6511.03,5318.78,4.29,3.86,12790.0,
BRFL,2011-08-10 11:19:00,2011-06-30,2011-04-01,False,html_old,87893,60382.21,,49331.32,7095.3,5681.18,4.36,4.05,13210.0,
BRFL,2011-11-07 16:54:00,2011-09-30,2011-07-01,False,html_old,89981,63408.66,,52386.23,6658.86,5441.58,4.12,3.97,13460.0,
BRFL,2012-02-13 11:41:00,2011-12-31,2011-10-01,False,html_old,92523,70093.23,,57223.46,6505.62,5371.52,3.98,3.77,13460.0,
BRFL,2012-06-12 17:27:00,2012-03-31,2012-01-01,False,html_old,96484,79612.0,,63067.0,10505.0,4157.0,3.04,2.88,13460.0,
BRFL,2012-08-21 08:49:00,2012-06-30,2012-04-01,False,html_old,98865,76516.0,,63190.0,7189.0,4962.0,,,13460.0,
BRFL,2012-11-10 18:54:00,2012-09-30,2012-07-01,False,html_old,101215,71434.0,,57282.0,6607.0,4358.0,,,13460.0,
BRFL,2013-02-27 17:25:00,2012-12-31,2012-10-01,False,html_old,103863,81874.0,,67300.0,6856.0,4720.0,,,13460.0,
BRFL,2013-06-19 16:41:00,2013-03-31,2013-01-01,False,html_old,107878,89655.0,,74811.0,10340.0,4836.0,,,13460.0,0.0
BRFL,2013-08-26 17:29:00,2013-06-30,2013-04-01,False,html_old,111370,60864.0,,55205.0,-40476.0,-41175.0,,,13460.0,0.0
BRFL,2013-11-19 15:21:00,2013-09-30,2013-07-01,False,html_old,112685,68575.0,,69964.0,-9738.0,-10485.0,,,13460.0,247002.0
BRFL,2014-02-19 13:21:00,2013-12-31,2013-10-01,False,html_old,115561,82292.0,,71064.0,-1428.0,-2147.0,,,13460.0,0.0
BRFL,2014-06-06 13:41:00,2014-03-31,2014-01-01,False,html_old,119601,79005.0,,77992.0,-10336.0,12820.0,,,13460.0,0.0
BRFL,2014-08-07 14:53:00,2014-06-30,2014-04-01,False,html_old,121135,79806.0,,73191.0,-5756.0,-3800.0,,,13460.0,0.0
BRFL,2014-11-17 16:33:00,2014-09-30,2014-07-01,False,html_old,123830,82901.0,,73316.0,-3755.0,-2512.0,,,13460.0,0.0
BRFL,2015-02-13 16:05:00,2014-12-31,2014-10-01,False,html_old,126078,88007.0,,78802.0,-3499.0,-2276.0,,,13460.0,0.0
BRFL,2015-05-27 16:01:00,2015-03-31,2015-01-01,False,html_old,129094,102553.0,,88311.0,905.0,714.0,,,13460.0,0.0
BRFL,2015-08-16 12:47:00,2015-06-30,2015-04-01,False,html_old,1001756,88739.0,,73341.0,1446.0,1301.0,,,13460.0,0.0
BRFL,2015-11-13 10:45:00,2015-09-30,2015-07-01,False,html_old,1003687,99343.0,,80090.0,3164.0,2069.0,,,13460.0,0.0
BRFL,2016-02-19 10:13:00,2015-12-31,2015-10-01,False,html_old,1006127,109375.0,,95870.0,742.0,486.0,,,13460.0,
BRFL,2016-05-23 11:35:00,2016-03-31,2016-01-01,False,html_old,1007759,119705.0,,108210.0,74.0,1029.0,,,13460.0,
BRFL,2016-09-28 10:18:00,2015-06-30,2015-04-01,False,html_old,1013695,88739.0,,73341.0,1446.0,-5045.0,,,13460.0,
BRFL,2016-09-28 10:18:00,2016-06-30,2016-04-01,False,html_old,1013694,101401.0,,86136.0,168.0,717.0,,,18300.0,
BRFL,2016-12-15 14:25:00,2016-09-30,2016-07-01,False,html_old,1017476,98163.0,,88523.0,-7730.0,-5356.0,,,18300.0,
BRFL,2016-12-15 15:13:00,2015-09-30,2015-07-01,False,html_old,1017477,99343.0,,80090.0,3164.0,2069.0,,,13460.0,
BRFL,2017-03-07 17:15:00,2016-12-31,2016-10-01,False,html_old,1020689,86188.0,,78264.0,-6346.0,-4568.0,,,18599.0,
BRFL,2017-03-07 17:16:00,2015-12-31,2015-10-01,False,html_old,1020690,109375.0,,95870.0,742.0,486.0,,,18300.0,
