symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
BSE,2017-02-23 13:19:00,2015-12-31,2015-10-01,False,html_old,1020219,6209.0,,7634.0,3458.0,3237.0,,,1074.0,
BSE,2017-02-23 13:19:00,2016-12-31,2016-10-01,False,html_old,1020217,7721.0,,8263.0,6951.0,7007.0,,,1074.0,
BSE,2017-05-12 18:40:00,2017-03-31,2017-01-01,True,html_old,1021374,15235.0,23113.0,14947.0,8166.0,7235.0,11.01,11.01,1076.0,
BSE,2017-05-12 18:51:00,2016-03-31,2016-01-01,True,html_old,1021375,12590.0,19031.0,11457.0,2238.0,2001.0,2.07,2.07,1074.0,
BSE,2017-05-12 19:02:00,2017-03-31,2017-01-01,False,html_old,1021378,9989.0,14736.0,10520.0,4216.0,4141.0,7.59,7.59,1076.0,
BSE,2017-05-12 19:06:00,2016-03-31,2016-01-01,False,html_old,1021379,8365.0,13810.0,8549.0,-75.0,401.0,0.73,0.73,1074.0,
BSE,2017-08-09 18:44:00,2017-06-30,2017-04-01,True,html_old,1028461,10264.0,15838.0,9711.0,6127.0,53672.0,95.94,95.94,1076.0,
BSE,2017-08-09 18:44:00,2016-06-30,2016-04-01,True,html_old,1028462,8121.0,14273.0,9212.0,3700.0,5242.0,8.01,8.01,1074.0,
BSE,2017-08-09 18:46:00,2016-06-30,2016-04-01,False,html_old,1028464,7244.0,14392.0,8293.0,4738.0,4549.0,8.33,8.33,1074.0,
BSE,2017-08-09 18:46:00,2017-06-30,2017-04-01,False,html_old,1028463,9179.0,16295.0,8282.0,39616.0,38439.0,70.42,70.42,1076.0,
BSE,2017-10-05 15:53:00,2015-12-31,2015-10-01,True,html_old,1020220,10813.0,,9778.0,10052.0,7599.0,,,1074.0,
BSE,2017-11-03 19:37:00,2017-09-30,2017-07-01,True,html_old,1032308,11075.0,16920.0,9608.0,7265.0,6002.0,12.24,12.24,1076.0,
BSE,2017-11-03 19:37:00,2017-09-30,2017-07-01,False,html_old,1032309,10058.0,15434.0,8035.0,7352.0,6285.0,11.51,11.51,1076.0,
BSE,2018-02-02 18:19:00,2017-12-31,2017-10-01,False,html_old,1036014,11507.0,15597.0,8651.0,6946.0,5560.0,10.19,10.19,1076.0,
BSE,2018-02-02 18:19:00,2017-12-31,2017-10-01,True,html_old,1036013,12570.0,17275.0,10341.0,6859.0,5241.0,10.75,10.75,1076.0,
BSE,2018-04-23 07:08:00,2016-09-30,2016-07-01,False,xbrl_new,1020218,,,,,,,,,
BSE,2018-04-23 07:08:00,2016-09-30,2016-07-01,True,xbrl_new,1020216,,,,,,,,,
BSE,2018-04-23 07:08:00,2016-12-31,2016-10-01,True,xbrl_new,1020215,,,,,,,,,
BSE,2018-05-25 19:05:00,2018-03-31,2018-01-01,False,xbrl_new,1039414,1250200000.0,1754900000.0,1005400000.0,749500000.0,611100000.0,11.23,11.23,106500000.0,
BSE,2018-05-25 19:06:00,2018-03-31,2018-01-01,True,xbrl_new,1039412,1365700000.0,1953400000.0,1236100000.0,703500000.0,620800000.0,11.41,11.41,106500000.0,
BSE,2018-08-06 13:03:00,2018-06-30,2018-04-01,True,xbrl_new,1047756,1169900000.0,1664100000.0,1109000000.0,527000000.0,515000000.0,9.64,9.64,103800000.0,
BSE,2018-08-06 13:07:00,2018-06-30,2018-04-01,False,xbrl_new,1047754,978800000.0,1461500000.0,904000000.0,552100000.0,518100000.0,9.69,9.69,103800000.0,
BSE,2018-11-23 13:54:00,2018-09-30,2018-07-01,False,xbrl_new,1051363,967500000.0,1524700000.0,981700000.0,594100000.0,530300000.0,10.09,10.09,103600000.0,
BSE,2018-11-23 18:35:00,2018-09-30,2018-07-01,True,xbrl_new,1051371,1151500000.0,1640500000.0,1172800000.0,431100000.0,458500000.0,8.72,8.72,103600000.0,
BSE,2019-02-06 19:03:00,2018-12-31,2018-10-01,False,xbrl_new,1055663,874900000.0,1562700000.0,1030700000.0,532000000.0,523600000.0,9.96,9.96,103600000.0,
BSE,2019-02-06 19:03:00,2018-12-31,2018-10-01,True,xbrl_new,1055673,1046800000.0,1771100000.0,1290000000.0,449400000.0,500700000.0,9.52,9.52,103600000.0,
BSE,2019-05-09 17:46:00,2019-03-31,2019-01-01,True,xbrl_new,1059706,1156900000.0,1820800000.0,1306600000.0,475400000.0,518600000.0,9.87,9.87,103600000.0,
BSE,2019-08-02 16:23:00,2019-06-30,2019-04-01,False,xbrl_new,1065723,954800000.0,1423500000.0,1011100000.0,412400000.0,343600000.0,6.54,6.54,103600000.0,
BSE,2019-08-02 16:45:00,2019-06-30,2019-04-01,True,xbrl_new,1065729,1121400000.0,1659700000.0,1191000000.0,431200000.0,413200000.0,7.86,7.86,103600000.0,
BSE,2019-09-04 12:07:00,2019-03-31,2019-01-01,False,xbrl_new,1059697,976400000.0,1575000000.0,1068200000.0,506800000.0,438500000.0,8.34,8.34,103600000.0,
BSE,2019-11-06 18:01:00,2019-09-30,2019-07-01,False,xbrl_new,1070439,904700000.0,1443300000.0,1109200000.0,334100000.0,392200000.0,7.51,7.51,90000000.0,
BSE,2019-11-06 18:02:00,2019-09-30,2019-07-01,True,xbrl_new,1070441,1088900000.0,1595800000.0,1342000000.0,253800000.0,362700000.0,6.95,6.95,90000000.0,
BSE,2020-02-12 10:31:00,2019-12-31,2019-10-01,False,xbrl_new,1078189,931500000.0,1249400000.0,1164300000.0,1000900000.0,985000000.0,21.5,21.5,90000000.0,
BSE,2020-02-12 10:36:00,2019-12-31,2019-10-01,True,xbrl_new,1078191,1099200000.0,1486600000.0,1400200000.0,406800000.0,449300000.0,9.81,9.81,90000000.0,
BSE,2020-05-22 12:11:00,2020-03-31,2020-01-01,False,xbrl_new,1082000,995300000.0,1305100000.0,1300300000.0,4800000.0,15900000.0,0.35,0.35,90000000.0,
BSE,2020-08-03 19:56:00,2020-06-30,2020-04-01,False,xbrl_new,1089304,853000000.0,1380800000.0,1035800000.0,345000000.0,323400000.0,7.06,7.06,90000000.0,
BSE,2020-08-03 20:03:00,2020-06-30,2020-04-01,True,xbrl_new,1089305,1032200000.0,1621100000.0,1324400000.0,296700000.0,324800000.0,7.09,7.09,90000000.0,
BSE,2020-08-20 17:43:00,2020-03-31,2020-01-01,True,xbrl_new,1082002,1195600000.0,1557900000.0,1561300000.0,-3400000.0,-19100000.0,-0.42,-0.42,90000000.0,
BSE,2020-11-07 19:29:00,2020-09-30,2020-07-01,True,xbrl_new,1095331,1253800000.0,1603700000.0,1291000000.0,167400000.0,460300000.0,10.05,10.05,90000000.0,
BSE,2020-11-07 19:33:00,2020-09-30,2020-07-01,False,xbrl_new,1095333,1074500000.0,1466900000.0,1066600000.0,255000000.0,286800000.0,6.26,6.26,90000000.0,
BSE,2021-02-11 20:10:00,2020-12-31,2020-10-01,True,xbrl_new,1103926,1205900000.0,1621600000.0,1361600000.0,260000000.0,314400000.0,6.86,6.86,90000000.0,
