symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
CAIRN,2007-04-27 17:58:00,2007-03-31,2007-01-01,True,html_old,44662,23639.33,27255.21,15037.13,6924.79,3756.2,0.21,0.21,177839.94,0.0
CAIRN,2007-04-27 17:58:00,2007-03-31,2007-01-01,False,html_old,44660,49.77,1260.24,2112.61,-854.36,-854.36,-0.05,-0.05,177839.94,0.0
CAIRN,2007-07-30 17:25:00,2007-06-30,2007-04-01,False,html_old,47651,36.1,884.69,1641.55,-756.86,-756.86,-0.04,-0.04,177839.94,0.0
CAIRN,2007-07-30 17:56:00,2007-06-30,2007-04-01,True,html_old,47653,24331.31,27843.93,26847.34,-3124.94,-7144.21,-0.4,-0.4,177839.94,0.0
CAIRN,2007-10-25 16:40:00,2007-09-30,2007-07-01,False,html_old,49203,28.13,794.38,1633.71,-839.33,-839.41,-0.05,-0.05,177839.94,
CAIRN,2007-10-25 17:01:00,2007-09-30,2007-07-01,True,html_old,49204,26581.45,30011.43,23260.64,6740.51,2324.16,0.13,0.13,177839.94,
CAIRN,2008-04-29 11:10:00,2008-03-31,2008-01-01,True,html_old,53406,31583.75,33759.7,17046.68,18237.34,11643.15,0.65,0.65,177919.17,
CAIRN,2008-04-29 11:14:00,2008-03-31,2008-01-01,False,html_old,53407,89.27,708.9,3133.85,-867.82,-873.72,-0.05,-0.05,177919.17,
CAIRN,2008-07-29 16:58:00,2008-06-30,2008-04-01,False,html_old,56616,97.0,2258.0,5158.0,-2900.0,-4668.0,-0.25,-0.25,189443.0,
CAIRN,2008-07-29 17:37:00,2008-06-30,2008-04-01,True,html_old,56618,40363.0,46143.0,23894.0,21962.0,13858.0,0.74,0.74,189443.0,
CAIRN,2008-10-29 16:35:00,2008-09-30,2008-07-01,False,html_old,59502,55.0,,3491.0,7292.0,8144.0,0.43,0.43,189443.0,
CAIRN,2008-10-29 16:35:00,2008-09-30,2008-07-01,True,html_old,59501,32063.0,,16569.0,36001.0,29332.0,1.55,1.54,189443.0,
CAIRN,2009-01-29 16:06:00,2008-12-31,2008-10-01,True,html_old,61585,21082.0,,18594.0,16937.0,23642.0,1.25,1.24,189667.0,
CAIRN,2009-01-29 16:29:00,2008-12-31,2008-10-01,False,html_old,61586,99.0,,2696.0,4861.0,4512.0,0.24,0.24,189667.0,
CAIRN,2009-07-29 19:17:00,2009-06-30,2009-04-01,True,html_old,66511,20495.0,,14504.0,2444.0,4544.0,0.24,0.24,189667.0,
