symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
CANFINHOME,2007-04-30 13:29:00,2007-03-31,2007-01-01,False,html_old,44763,5046.0,5046.0,434.7,907.0,569.3,2.77,2.77,2048.5,0.0
CANFINHOME,2007-07-18 15:54:00,2007-06-30,2007-04-01,False,html_old,46816,5236.6,5236.6,346.6,505.8,369.8,1.8,0.0,2048.5,0.0
CANFINHOME,2007-10-19 15:12:00,2007-09-30,2007-07-01,False,html_old,48704,5620.4,5620.4,295.1,1025.9,818.0,2.7,2.7,2048.5,
CANFINHOME,2008-01-16 17:52:00,2007-12-31,2007-10-01,False,html_old,51266,5578.7,5578.7,339.1,918.6,666.6,3.3,3.3,2048.5,
CANFINHOME,2008-05-15 18:41:00,2008-03-31,2008-01-01,False,html_old,54107,5711.1,5711.1,314.2,1318.0,986.0,4.8,4.8,2048.5,
CANFINHOME,2008-07-18 14:55:00,2008-06-30,2008-04-01,False,html_old,55878,5371.7,5371.7,381.8,813.5,595.5,2.9,2.9,2048.5,
CANFINHOME,2008-10-17 15:55:00,2008-09-30,2008-07-01,False,html_old,57824,5759.2,,219.3,1205.6,841.6,4.1,4.1,2048.5,
CANFINHOME,2009-01-19 11:35:00,2008-12-31,2008-10-01,False,html_old,60894,5732.8,,326.1,1051.0,771.4,3.8,3.8,2048.5,
CANFINHOME,2009-04-22 17:03:00,2009-03-31,2009-01-01,False,html_old,62743,5426.4,,314.6,1313.23,943.93,4.6,4.6,2048.5,
CANFINHOME,2009-07-23 16:10:00,2009-06-30,2009-04-01,False,html_old,65885,5002.2,,377.4,1070.9,790.9,3.9,3.9,2048.5,
CANFINHOME,2009-10-14 14:14:00,2009-09-30,2009-07-01,False,html_old,67627,5305.8,,294.9,1400.7,1028.7,5.0,5.0,2048.5,
