symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
CDSL,2017-08-09 00:00:00,2016-06-30,2016-04-01,True,html_old,1028216,3146.73,4210.18,1566.7,2643.48,1816.56,1.72,1.72,10450.0,
CDSL,2017-08-09 00:00:00,2017-03-31,2017-01-01,True,html_old,1028215,3818.31,4799.47,2027.86,2771.61,2352.12,2.24,2.24,10450.0,
CDSL,2017-08-09 00:00:00,2017-03-31,2017-01-01,False,html_old,1028212,3107.33,3928.0,1793.71,2134.29,1817.08,1.74,1.74,10450.0,
CDSL,2017-08-09 00:00:00,2016-06-30,2016-04-01,False,html_old,1028213,2592.16,3472.76,1420.97,2051.79,1403.29,1.34,1.34,10450.0,
CDSL,2017-08-09 15:32:00,2017-06-30,2017-04-01,True,html_old,1028214,4036.54,5032.81,1864.02,3168.79,2546.71,2.42,2.42,10450.0,
CDSL,2017-08-09 15:32:00,2017-06-30,2017-04-01,False,html_old,1028211,3229.78,3951.63,1678.62,2273.01,1931.54,1.85,1.85,10450.0,
CDSL,2017-10-31 10:25:00,2017-09-30,2017-07-01,False,html_old,1031963,3876.86,4509.65,1577.65,2932.0,2049.8,1.96,1.96,10450.0,
CDSL,2017-11-22 19:19:00,2017-09-30,2017-07-01,True,html_old,1031965,4721.4,5631.89,1865.01,3766.88,2684.68,2.56,2.56,10450.0,
CDSL,2018-01-22 18:57:00,2017-12-31,2017-10-01,True,html_old,1035311,5096.61,5703.21,2171.38,3531.83,2539.66,2.43,2.43,10450.0,
CDSL,2018-01-22 18:57:00,2016-12-31,2016-10-01,True,html_old,1035312,3746.27,4715.75,1847.96,2867.79,2037.11,1.94,1.94,10450.0,
CDSL,2018-01-22 18:57:00,2016-12-31,2016-10-01,False,html_old,1035310,3184.77,3973.5,1679.22,2294.28,1620.86,1.55,1.55,10450.0,
CDSL,2018-01-22 18:57:00,2017-12-31,2017-10-01,False,html_old,1035309,4081.56,4540.98,1897.15,2643.83,1827.96,1.75,1.75,10450.0,
CDSL,2018-06-07 16:23:00,2018-03-31,2018-01-01,True,xbrl_new,1038638,,,,,,,,,
CDSL,2018-06-07 16:23:00,2018-03-31,2018-01-01,False,xbrl_new,1038635,,,,,,,,,
CDSL,2018-08-02 18:58:00,2018-06-30,2018-04-01,True,xbrl_new,1047352,,,,,,,,,
CDSL,2018-08-02 18:58:00,2018-06-30,2018-04-01,False,xbrl_new,1047351,,,,,,,,,
CDSL,2018-10-30 11:52:00,2018-09-30,2018-07-01,True,xbrl_new,1050336,531467000.0,628873000.0,225102000.0,403771000.0,300008000.0,2.87,2.87,1045000000.0,
CDSL,2018-10-30 11:52:00,2018-09-30,2018-07-01,False,xbrl_new,1050334,410305000.0,482060000.0,186049000.0,296011000.0,220944000.0,2.12,2.12,1045000000.0,
CDSL,2019-01-29 15:46:00,2018-12-31,2018-10-01,True,xbrl_new,1054988,461674000.0,622204000.0,259536000.0,362668000.0,284574000.0,2.69,2.69,1045000000.0,
CDSL,2019-01-29 15:46:00,2018-12-31,2018-10-01,False,xbrl_new,1054986,374776000.0,488719000.0,214537000.0,274182000.0,215239000.0,2.06,2.06,1045000000.0,
CDSL,2019-05-07 18:43:00,2019-03-31,2019-01-01,True,xbrl_new,1059536,505420000.0,682866000.0,251015000.0,431851000.0,341889000.0,3.21,3.21,1045000000.0,
CDSL,2019-05-07 18:43:00,2019-03-31,2019-01-01,False,xbrl_new,1059534,378887000.0,509901000.0,202513000.0,307388000.0,244309000.0,2.34,2.34,1045000000.0,
CDSL,2019-07-25 19:11:00,2019-06-30,2019-04-01,True,xbrl_new,1065235,,,,,,,,,
CDSL,2019-07-25 19:11:00,2019-06-30,2019-04-01,False,xbrl_new,1065234,,,,,,,,,
CDSL,2019-10-18 19:48:00,2019-09-30,2019-07-01,False,xbrl_new,1068828,405938000.0,525756000.0,241015000.0,284741000.0,219491000.0,2.1,2.1,1045000000.0,
CDSL,2019-10-18 19:48:00,2019-09-30,2019-07-01,True,xbrl_new,1068830,526642000.0,693539000.0,311335000.0,382204000.0,290597000.0,2.81,2.81,1045000000.0,
CDSL,2020-01-23 20:00:00,2019-12-31,2019-10-01,True,xbrl_new,1074840,541086000.0,684878000.0,410667000.0,274211000.0,216056000.0,1.99,1.99,1045000000.0,
CDSL,2020-01-23 20:02:00,2019-12-31,2019-10-01,False,xbrl_new,1074842,417435000.0,521678000.0,344798000.0,176880000.0,140554000.0,1.35,1.35,1045000000.0,
CDSL,2020-05-16 21:19:00,2020-03-31,2020-01-01,False,xbrl_new,1081801,452746000.0,547956000.0,287918000.0,260038000.0,209650000.0,2.01,2.01,1045000000.0,
CDSL,2020-07-19 19:54:00,2020-03-31,2020-01-01,True,xbrl_new,1081803,598844000.0,729785000.0,371549000.0,358236000.0,281400000.0,2.74,2.74,1045000000.0,
CDSL,2020-07-25 20:00:00,2020-06-30,2020-04-01,False,xbrl_new,1087623,521762000.0,669635000.0,225257000.0,444378000.0,370101000.0,3.54,3.54,1045000000.0,
CDSL,2020-07-25 20:02:00,2020-06-30,2020-04-01,True,xbrl_new,1087624,652650000.0,860119000.0,296765000.0,563354000.0,467233000.0,4.42,4.42,1045000000.0,
CDSL,2020-10-25 12:48:00,2020-09-30,2020-07-01,False,xbrl_new,1092975,702405000.0,791479000.0,296374000.0,495105000.0,380604000.0,3.64,3.64,1045000000.0,
CDSL,2020-10-25 12:52:00,2020-09-30,2020-07-01,True,xbrl_new,1092977,892046000.0,1011664000.0,374577000.0,637087000.0,488697000.0,4.67,4.67,1045000000.0,
