symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
CENTRALBK,2008-01-24 15:29:00,2007-12-31,2007-10-01,False,html_old,51570,,,,,,,,,
CENTRALBK,2008-04-25 09:40:00,2008-03-31,2008-01-01,False,html_old,53147,,,,,,,,,
CENTRALBK,2008-07-31 13:59:00,2008-06-30,2008-04-01,False,html_old,57063,,,,,,,,,
CENTRALBK,2008-10-25 16:20:00,2008-09-30,2008-07-01,False,html_old,58914,,,,,,,,,
CENTRALBK,2009-01-27 17:12:00,2008-12-31,2008-10-01,False,html_old,61303,,,,,,,,,
CENTRALBK,2009-04-28 15:34:00,2009-03-31,2009-01-01,False,html_old,63047,,,,,,,,,
CENTRALBK,2009-07-27 13:40:00,2009-06-30,2009-04-01,False,html_old,66088,,,,,,,,,
CENTRALBK,2009-10-30 13:35:00,2009-09-30,2009-07-01,False,html_old,69408,,,,,,,,,
CENTRALBK,2010-01-28 15:05:00,2009-12-31,2009-10-01,False,html_old,71524,,,,,,,,,
CENTRALBK,2010-05-03 08:35:00,2010-03-31,2010-01-01,False,html_old,73313,,,,,,,,,
CENTRALBK,2010-05-24 12:48:00,2010-03-31,2010-01-01,False,html_old,74321,,,,,,,,,
CENTRALBK,2010-07-29 18:09:00,2010-06-30,2010-04-01,False,html_old,76334,,,,,,,,,
CENTRALBK,2010-10-26 14:52:00,2010-09-30,2010-07-01,False,html_old,78551,,,,,,,,,
CENTRALBK,2011-01-31 12:53:00,2010-12-31,2010-10-01,False,html_old,82081,,,,,,,,,
CENTRALBK,2011-05-06 16:19:00,2011-03-31,2011-01-01,False,html_old,84178,,,,,,,,,
CENTRALBK,2011-07-29 13:09:00,2011-06-30,2011-04-01,False,html_old,87229,,,,,,,,,
CENTRALBK,2011-11-03 17:58:00,2011-09-30,2011-07-01,False,html_old,89760,,,,,,,,,
CENTRALBK,2012-02-01 17:51:00,2011-12-31,2011-10-01,False,html_old,91790,,,,,,,,,
CENTRALBK,2012-05-09 13:24:00,2012-03-31,2012-01-01,False,html_old,94073,,,,,,,,,
CENTRALBK,2012-07-30 14:43:00,2012-06-30,2012-04-01,False,html_old,97725,,,,,,,,,
CENTRALBK,2012-11-06 16:50:00,2012-09-30,2012-07-01,False,html_old,100759,,,,,,,,,
CENTRALBK,2013-01-31 18:47:00,2012-12-31,2012-10-01,False,html_old,102457,,,,,,,,,
CENTRALBK,2013-05-24 18:09:00,2013-03-31,2013-01-01,False,html_old,105707,640357.0,,,,,,,,
CENTRALBK,2013-07-29 17:13:00,2013-06-30,2013-04-01,False,html_old,109332,644345.0,,,,,,,,
CENTRALBK,2013-11-22 12:17:00,2013-09-30,2013-07-01,False,html_old,113102,623651.0,,,,,,,,
CENTRALBK,2014-02-11 16:41:00,2013-12-31,2013-10-01,False,html_old,115030,670850.0,,,,,,,,
CENTRALBK,2014-05-12 15:05:00,2014-03-31,2014-01-01,False,html_old,117053,696167.0,,,,,,,,
CENTRALBK,2014-08-01 17:45:00,2014-06-30,2014-04-01,False,html_old,120970,692771.0,,,,,,,,
CENTRALBK,2014-11-13 18:29:00,2014-09-30,2014-07-01,False,html_old,123731,702110.0,,,,,,,,
CENTRALBK,2015-02-05 12:37:00,2014-12-31,2014-10-01,False,html_old,125692,703270.0,,,,,,,,
CENTRALBK,2015-05-18 14:33:00,2015-03-31,2015-01-01,False,html_old,128007,732151.0,,,,,,,,
CENTRALBK,2015-08-10 15:27:00,2015-06-30,2015-04-01,False,html_old,1000906,709900.0,,,,,,,,
CENTRALBK,2015-11-10 15:50:00,2015-09-30,2015-07-01,False,html_old,1003490,710419.0,,,,,,,,
CENTRALBK,2016-02-11 17:10:00,2015-12-31,2015-10-01,False,html_old,1005223,691162.0,,,,,,,,
CENTRALBK,2016-05-16 10:56:00,2016-03-31,2016-01-01,False,html_old,1007118,671188.0,,,,,,,,
CENTRALBK,2016-08-13 17:50:00,2016-06-30,2016-04-01,False,html_old,1011978,666268.0,,,,,,,,
CENTRALBK,2016-11-08 17:30:00,2016-09-30,2016-07-01,False,html_old,1015419,696545.0,,,,,,,,
CENTRALBK,2017-02-07 17:15:00,2016-12-31,2016-10-01,False,html_old,1018659,678787.0,,,,,,,,
CENTRALBK,2017-05-27 17:11:00,2017-03-31,2017-01-01,False,html_old,1022224,712106.0,,,,,,,,
CENTRALBK,2017-07-31 16:09:00,2017-06-30,2017-04-01,False,html_old,1028206,687078.0,,,,,,,,
CENTRALBK,2017-11-01 20:22:00,2017-09-30,2017-07-01,False,html_old,1032008,689626.0,,,,,,,,
CENTRALBK,2018-03-19 18:24:00,2017-12-31,2017-10-01,False,html_old,1036790,658932.0,,,,,,,,
CENTRALBK,2018-08-03 14:20:00,2018-03-31,2018-01-01,False,xbrl_new,1040756,,,,,,,,,
CENTRALBK,2018-08-10 18:41:00,2018-06-30,2018-04-01,False,xbrl_new,1047380,,59048200000.0,,,,,,26181600000.0,
CENTRALBK,2018-11-26 16:56:00,2018-09-30,2018-07-01,False,xbrl_new,1053349,,61970000000.0,,,,,,26181600000.0,
CENTRALBK,2019-02-06 16:23:00,2018-12-31,2018-10-01,False,xbrl_new,1055784,,63291700000.0,,,,,,29725100000.0,
CENTRALBK,2019-05-16 19:35:00,2019-03-31,2019-01-01,False,xbrl_new,1060603,,,,,,,,,
CENTRALBK,2019-09-09 10:31:00,2019-06-30,2019-04-01,False,xbrl_new,1068132,,64935500000.0,,,,,,41259200000.0,
CENTRALBK,2019-09-09 14:01:00,2019-06-30,2019-04-01,True,xbrl_new,1065958,,64935500000.0,,,,,,41259200000.0,
CENTRALBK,2020-08-15 02:09:00,2020-03-31,2020-01-01,True,xbrl_new,1085899,,67434700000.0,,,,,,57097600000.0,
CENTRALBK,2020-08-15 02:20:00,2020-03-31,2020-01-01,False,xbrl_new,1086119,,67237300000.0,,,,,,57097600000.0,
CENTRALBK,2020-10-16 15:22:00,2020-06-30,2020-04-01,True,xbrl_new,1089984,,67518600000.0,,,,,,57097600000.0,
CENTRALBK,2020-10-16 15:23:00,2020-06-30,2020-04-01,False,xbrl_new,1089982,,67266800000.0,,,,,,57097600000.0,
CENTRALBK,2020-11-10 17:00:00,2020-09-30,2020-07-01,False,xbrl_new,1094985,,68339400000.0,,,,,,58755600000.0,
CENTRALBK,2021-02-09 18:36:00,2020-12-31,2020-10-01,False,xbrl_new,1102824,,65569800000.0,,,,,,58755600000.0,
CENTRALBK,2021-02-09 18:40:00,2020-12-31,2020-10-01,True,xbrl_new,1102826,,65843100000.0,,,,,,58755600000.0,
CENTRALBK,2021-06-07 20:15:00,2021-03-31,2021-01-01,False,xbrl_new,1109589,,57798400000.0,,,,,,58755600000.0,
