symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
CHENNPETRO,2007-05-11 18:01:00,2007-03-31,2007-01-01,False,html_old,45245,572524.0,575899.0,532332.0,31181.0,18909.0,12.7,12.7,14900.0,0.0
CHENNPETRO,2007-07-11 18:18:00,2007-06-30,2007-04-01,False,html_old,46688,622170.0,622997.0,563030.0,48999.0,32315.0,21.7,21.7,14900.0,0.0
CHENNPETRO,2007-10-30 18:40:00,2007-09-30,2007-07-01,False,html_old,50236,633654.0,637517.0,596934.0,34969.0,23026.0,15.46,15.46,14900.0,
CHENNPETRO,2008-01-23 14:34:00,2007-12-31,2007-10-01,False,html_old,51512,706091.0,710299.0,671002.0,35206.0,22562.0,15.15,15.15,14900.0,
CHENNPETRO,2008-05-15 16:43:00,2008-03-31,2008-01-01,False,html_old,54100,839946.0,836673.0,778506.0,52989.0,34392.0,23.1,23.1,14900.0,
CHENNPETRO,2008-07-18 14:44:00,2008-06-30,2008-04-01,False,html_old,55874,1125320.0,1126333.0,1014821.0,107712.0,70327.0,47.23,47.23,14900.0,
CHENNPETRO,2008-10-21 14:20:00,2008-09-30,2008-07-01,False,html_old,58055,1028328.0,,1040034.0,-16189.0,-10266.0,-6.89,-6.89,14900.0,
CHENNPETRO,2009-01-24 14:16:00,2008-12-31,2008-10-01,False,html_old,61216,561745.0,,748248.0,-192630.0,-126989.0,-85.28,-85.28,14900.0,
CHENNPETRO,2009-05-29 09:14:00,2009-03-31,2009-01-01,False,html_old,64215,480998.0,,435640.0,41796.0,27200.0,18.27,18.27,14900.0,
CHENNPETRO,2009-07-27 14:24:00,2009-06-30,2009-04-01,False,html_old,66100,566039.0,,525920.0,46167.0,30472.0,20.46,20.46,14900.0,
CHENNPETRO,2009-10-28 13:31:00,2009-09-30,2009-07-01,False,html_old,68677,699714.0,,674326.0,21087.0,13920.0,9.35,9.35,14900.0,
CHENNPETRO,2010-01-29 13:17:00,2009-12-31,2009-10-01,False,html_old,71706,684984.0,,679769.0,10590.0,22036.0,14.8,14.8,14900.0,
CHENNPETRO,2010-05-18 13:27:00,2010-03-31,2010-01-01,False,html_old,74108,546526.0,,558646.0,-9468.0,-6106.0,-4.1,-4.1,14900.0,
CHENNPETRO,2010-07-28 13:34:00,2010-06-30,2010-04-01,False,html_old,76159,632765.0,,638368.0,-8282.0,-5531.0,-3.71,-3.71,14900.0,
CHENNPETRO,2010-10-22 13:32:00,2010-09-30,2010-07-01,False,html_old,78224,812222.0,,794018.0,14652.0,9778.0,6.57,6.57,14900.0,
CHENNPETRO,2011-01-24 12:25:00,2010-12-31,2010-10-01,False,html_old,81646,834761.0,,807368.0,23190.0,15494.0,10.4,10.4,14900.0,
CHENNPETRO,2011-05-27 09:40:00,2011-03-31,2011-01-01,False,html_old,85341,1031034.0,,982287.0,46792.0,31411.0,21.09,21.09,14900.0,
CHENNPETRO,2011-07-27 16:27:00,2011-06-30,2011-04-01,False,html_old,87062,989528.0,,992242.0,-8159.0,-5512.0,-3.7,-3.7,14900.0,
CHENNPETRO,2011-10-18 15:00:00,2011-09-30,2011-07-01,False,html_old,89157,942311.0,,972506.0,-30023.0,7318.0,4.91,4.91,14900.0,
CHENNPETRO,2012-02-02 21:03:00,2011-12-31,2011-10-01,False,html_old,91952,1115085.0,,1117997.0,-9386.0,-6341.0,-4.26,-4.26,14900.0,
