symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
DEEPAKNTR,2010-09-29 08:30:00,2010-06-30,2010-04-01,False,html_old,77797,15409.4,,14844.74,822.03,588.32,5.62,5.62,1045.38,
DEEPAKNTR,2010-11-02 18:39:00,2010-09-30,2010-07-01,False,html_old,79812,14658.79,,14001.68,832.55,548.71,5.25,5.25,1045.38,
DEEPAKNTR,2011-02-04 17:25:00,2010-12-31,2010-10-01,False,html_old,82377,17110.62,,16382.71,961.7,661.26,6.33,6.33,1045.38,
DEEPAKNTR,2011-05-06 18:20:00,2011-03-31,2011-01-01,False,html_old,84196,18947.16,,18168.16,1079.43,781.45,7.47,7.47,1045.38,
DEEPAKNTR,2011-08-05 15:21:00,2011-06-30,2011-04-01,False,html_old,87697,16462.46,,15885.99,827.92,609.47,5.82,5.82,1045.38,
DEEPAKNTR,2011-11-04 16:40:00,2011-09-30,2011-07-01,False,html_old,89931,17945.72,,17746.91,381.55,280.9,2.68,2.68,1045.38,
DEEPAKNTR,2012-02-06 14:21:00,2011-12-31,2011-10-01,False,html_old,92070,20889.33,,20415.52,612.4,460.29,4.4,4.4,1045.38,
DEEPAKNTR,2012-05-15 15:00:00,2012-03-31,2012-01-01,False,html_old,94466,22352.78,,21236.31,1336.72,957.62,9.15,9.15,1045.38,
DEEPAKNTR,2012-08-15 13:44:00,2012-06-30,2012-04-01,False,html_old,98172,20656.7,,19684.12,1791.09,1209.88,,,1045.38,
DEEPAKNTR,2012-11-02 13:20:00,2012-09-30,2012-07-01,False,html_old,100467,24328.12,,23660.44,1062.09,717.36,,,1045.38,
DEEPAKNTR,2013-02-21 20:01:00,2012-12-31,2012-10-01,False,html_old,103615,24915.91,,23894.39,1061.01,913.05,,,1045.38,
DEEPAKNTR,2013-05-18 16:45:00,2013-03-31,2013-01-01,False,html_old,104971,30508.03,,29476.8,1343.61,942.06,,,1045.38,0.0
DEEPAKNTR,2013-08-06 15:09:00,2013-06-30,2013-04-01,False,html_old,109833,25797.89,,25112.21,543.52,364.13,,,1045.38,0.0
DEEPAKNTR,2013-11-21 12:29:00,2013-09-30,2013-07-01,False,html_old,112864,31091.9,,29682.17,747.81,747.81,,,1045.38,0.0
DEEPAKNTR,2014-02-12 12:05:00,2013-12-31,2013-10-01,False,html_old,115059,33382.48,,31491.42,1677.24,1134.97,,,1045.38,0.0
DEEPAKNTR,2014-05-07 19:21:00,2014-03-31,2014-01-01,False,html_old,116884,35465.42,,33036.12,2522.99,1585.95,,,1045.38,0.0
DEEPAKNTR,2014-08-12 15:33:00,2014-06-30,2014-04-01,False,html_old,121471,32013.04,,30536.17,1243.64,967.28,,,2090.76,0.0
DEEPAKNTR,2014-11-12 12:21:00,2014-09-30,2014-07-01,False,html_old,123653,35966.87,,33386.7,2008.48,1580.58,,,2090.76,0.0
DEEPAKNTR,2015-01-23 18:57:00,2014-12-31,2014-10-01,False,html_old,125206,30201.35,,28053.89,1497.13,1273.42,,,2090.76,0.0
DEEPAKNTR,2015-05-21 13:33:00,2015-03-31,2015-01-01,False,html_old,128375,33005.96,,30435.27,2024.99,1523.02,,,2090.76,0.0
DEEPAKNTR,2015-07-27 12:41:00,2015-06-30,2015-04-01,False,html_old,1000275,33637.16,,30983.38,1866.79,1335.75,,,2090.76,0.0
DEEPAKNTR,2015-11-07 17:10:00,2015-09-30,2015-07-01,False,html_old,1003257,33444.79,,30695.41,2074.12,1477.67,,,2090.76,0.0
DEEPAKNTR,2016-02-13 14:48:00,2015-12-31,2015-10-01,False,html_old,1005038,31370.28,,28731.49,2254.09,1645.29,,,2090.76,
DEEPAKNTR,2016-05-16 11:57:00,2016-03-31,2016-01-01,False,html_old,1006877,33583.05,,30439.43,2937.51,2056.2,,,2325.76,
DEEPAKNTR,2016-08-13 13:16:00,2016-06-30,2016-04-01,False,html_old,1011836,31013.04,,28516.84,9321.5,6785.87,,,2325.76,
DEEPAKNTR,2016-11-22 19:31:00,2016-09-30,2016-07-01,False,html_old,1016902,29907.19,,27700.71,2165.8,1541.2,,,2325.76,
DEEPAKNTR,2017-02-21 15:14:00,2016-12-31,2016-10-01,False,html_old,1020537,27557.78,,25976.3,1112.02,801.11,,,2325.76,
DEEPAKNTR,2017-05-27 18:15:00,2017-03-31,2017-01-01,False,html_old,1021594,32072.67,,30505.96,2487.75,2075.64,,,2614.22,
DEEPAKNTR,2017-09-02 16:59:00,2016-06-30,2016-04-01,False,html_old,1028792,33734.94,34184.45,32012.86,9248.77,6738.31,5.75,5.75,2325.76,
DEEPAKNTR,2017-09-02 16:59:00,2017-06-30,2017-04-01,False,html_old,1028790,33841.23,36359.82,33289.16,3070.66,2010.44,1.51,1.51,2614.23,
DEEPAKNTR,2017-11-21 17:22:00,2016-09-30,2016-07-01,False,html_old,1033132,32364.54,32704.95,30616.73,2088.22,1479.73,1.24,1.24,2325.76,
DEEPAKNTR,2017-11-21 17:22:00,2017-09-30,2017-07-01,False,html_old,1033131,35298.71,35629.61,32653.73,2975.88,2268.67,1.74,1.74,2614.23,
DEEPAKNTR,2018-01-24 16:30:00,2016-12-31,2016-10-01,False,html_old,1035349,30103.77,30317.36,29295.59,1021.77,735.76,0.63,0.63,2325.76,
DEEPAKNTR,2018-01-24 16:30:00,2017-12-31,2017-10-01,False,html_old,1035348,37076.59,37177.6,34105.9,3071.7,2034.36,1.56,1.56,2614.23,
DEEPAKNTR,2018-06-15 18:52:00,2017-03-31,2017-01-01,False,xbrl_new,1039531,3929485000.0,3994006000.0,3684988000.0,309018000.0,203203000.0,1.51,1.51,272786000.0,
DEEPAKNTR,2018-06-15 18:52:00,2018-03-31,2018-01-01,False,xbrl_new,1039530,3929485000.0,3994006000.0,3684988000.0,309018000.0,203203000.0,1.51,1.51,272786000.0,
DEEPAKNTR,2018-08-24 10:35:00,2018-06-30,2018-04-01,False,xbrl_new,1047728,4210240000.0,4218220000.0,3884619000.0,333601000.0,217826000.0,1.6,1.6,272786000.0,
DEEPAKNTR,2018-10-30 16:30:00,2018-09-30,2018-07-01,False,xbrl_new,1050231,4327095000.0,4330417000.0,3889782000.0,440635000.0,280684000.0,2.06,2.06,272786000.0,
DEEPAKNTR,2019-02-07 20:05:00,2018-12-31,2018-10-01,False,xbrl_new,1055681,4523148000.0,4578080000.0,4097594000.0,480486000.0,316215000.0,2.32,2.32,272786000.0,
DEEPAKNTR,2019-05-07 18:05:00,2019-03-31,2019-01-01,True,xbrl_new,1059583,4858704000.0,4877704000.0,4007429000.0,870275000.0,565696000.0,4.15,4.15,272786000.0,
DEEPAKNTR,2019-08-02 19:16:00,2019-06-30,2019-04-01,True,xbrl_new,1065769,10509800000.0,10625700000.0,8613400000.0,2012300000.0,1316100000.0,9.65,9.65,272800000.0,
