symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
DELTACORP,2008-01-31 22:34:00,2007-12-31,2007-10-01,True,html_old,52410,4603.62,4771.92,3052.71,1289.74,666.59,2.63,2.63,1050.48,
DELTACORP,2008-01-31 22:34:00,2007-12-31,2007-10-01,False,html_old,52404,1555.56,1751.73,579.86,742.4,419.9,4.0,4.0,1050.48,
DELTACORP,2008-06-18 19:12:00,2008-03-31,2008-01-01,False,html_old,54915,2233.56,2615.08,1596.49,381.84,146.78,0.14,0.14,1355.28,
DELTACORP,2008-07-30 21:54:00,2008-06-30,2008-04-01,False,html_old,57011,1087.28,1768.09,522.1,453.53,370.02,0.27,0.27,1355.28,
DELTACORP,2008-07-30 21:54:00,2008-06-30,2008-04-01,True,html_old,57010,3388.66,3783.14,2021.95,931.93,495.26,0.16,0.16,1355.28,
DELTACORP,2008-10-27 15:25:00,2008-09-30,2008-07-01,True,html_old,59256,1258.32,,409.75,791.45,433.12,0.31,0.31,1355.28,
DELTACORP,2008-10-27 15:25:00,2008-09-30,2008-07-01,False,html_old,59254,1184.4,,206.8,1178.98,864.98,0.64,0.64,1355.28,
DELTACORP,2009-01-30 11:48:00,2008-12-31,2008-10-01,True,html_old,61721,2512.61,,2117.66,378.31,156.36,0.11,0.11,1355.28,
DELTACORP,2009-01-30 11:52:00,2008-12-31,2008-10-01,False,html_old,61722,706.66,,213.24,14.7,32.52,0.02,0.02,1355.28,
DELTACORP,2009-07-29 17:22:00,2009-06-30,2009-04-01,False,html_old,66455,1237.85,,171.87,372.34,325.87,0.24,0.22,1355.28,
DELTACORP,2009-07-29 17:22:00,2009-06-30,2009-04-01,True,html_old,66454,2797.63,,1698.4,242.7,206.87,0.17,0.16,1355.28,
DELTACORP,2009-10-29 11:06:00,2009-09-30,2009-07-01,True,html_old,68950,3369.2,,2558.7,950.8,512.31,0.31,0.31,1671.61,
DELTACORP,2009-10-29 11:06:00,2009-09-30,2009-07-01,False,html_old,68948,1418.54,,184.17,576.64,438.66,0.32,0.32,1671.61,
DELTACORP,2010-01-25 09:01:00,2009-12-31,2009-10-01,False,html_old,71190,1495.46,,306.84,693.41,472.87,0.28,0.28,1671.61,
DELTACORP,2010-01-25 09:10:00,2009-12-31,2009-10-01,True,html_old,71193,3364.59,,1900.25,861.43,392.01,0.22,0.22,1671.61,
DELTACORP,2010-07-28 17:13:00,2010-06-30,2010-04-01,True,html_old,76211,3211.0,,1888.0,873.0,403.0,0.26,0.26,1671.61,
DELTACORP,2010-07-28 17:13:00,2010-06-30,2010-04-01,False,html_old,76210,889.0,,166.0,409.0,301.0,0.18,0.18,1671.61,
DELTACORP,2010-11-01 09:59:00,2010-09-30,2010-07-01,False,html_old,79395,25214.0,,9718.0,15279.0,12637.0,7.56,7.52,1671.61,
DELTACORP,2010-11-01 10:11:00,2010-09-30,2010-07-01,True,html_old,79426,27555.0,,11144.0,16005.0,13176.0,7.87,7.83,1671.61,
DELTACORP,2011-02-04 17:47:00,2010-12-31,2010-10-01,True,html_old,82386,2824.0,,2588.0,289.0,583.0,0.3,0.29,2018.08,
DELTACORP,2011-02-04 17:47:00,2010-12-31,2010-10-01,False,html_old,82385,30.0,,273.0,43.0,78.0,0.04,0.04,2018.08,
DELTACORP,2011-07-28 14:20:00,2011-06-30,2011-04-01,True,html_old,87131,9117.0,,6057.0,3137.0,2042.0,0.59,0.56,2018.08,
DELTACORP,2011-07-28 14:20:00,2011-06-30,2011-04-01,False,html_old,87126,30.0,,264.0,-27.0,-71.0,-0.04,-0.04,2018.08,
DELTACORP,2011-10-25 12:57:00,2011-09-30,2011-07-01,True,html_old,89511,4945.0,,3802.0,1174.0,707.0,0.24,0.24,2238.63,
DELTACORP,2011-10-25 12:57:00,2011-09-30,2011-07-01,False,html_old,89510,30.0,,285.0,-53.0,-74.0,-0.04,-0.04,2238.63,
DELTACORP,2012-02-04 13:12:00,2011-12-31,2011-10-01,True,html_old,91871,14637.0,,11129.0,3434.0,2367.0,0.71,0.71,2238.63,
DELTACORP,2012-02-04 13:12:00,2011-12-31,2011-10-01,False,html_old,91862,30.0,,249.0,31.0,18.0,0.01,0.01,2238.63,
DELTACORP,2012-06-12 17:27:00,2012-03-31,2012-01-01,False,html_old,93743,27.0,,268.0,25.0,56.0,0.03,0.03,2239.18,
DELTACORP,2012-06-12 17:27:00,2012-03-31,2012-01-01,True,html_old,93738,7795.0,,6085.0,1895.0,1533.0,0.52,0.52,2239.18,
DELTACORP,2012-08-04 16:16:00,2012-06-30,2012-04-01,True,html_old,98019,7198.0,,4445.0,3112.0,1882.0,,,2239.18,
DELTACORP,2012-08-28 13:25:00,2012-06-30,2012-04-01,False,html_old,99238,35.0,,213.0,908.0,749.0,,,2239.18,
DELTACORP,2012-10-26 21:05:00,2012-09-30,2012-07-01,True,html_old,100089,19388.4,,15299.16,4235.88,3052.37,,,2239.17,
DELTACORP,2012-10-26 21:05:00,2012-09-30,2012-07-01,False,html_old,100087,35.01,,282.11,114.7,59.0,,,2239.18,
DELTACORP,2013-02-18 17:52:00,2012-12-31,2012-10-01,True,html_old,103327,10340.26,,8374.89,2038.85,1485.5,,,2251.76,
DELTACORP,2013-02-18 17:52:00,2012-12-31,2012-10-01,False,html_old,103324,1420.22,,1626.98,846.01,687.01,,,2251.76,
DELTACORP,2013-05-23 12:49:00,2013-03-31,2013-01-01,True,html_old,105426,5614.11,,6907.48,-892.88,-1357.57,,,2268.51,0.0
DELTACORP,2013-05-23 12:49:00,2013-03-31,2013-01-01,False,html_old,105424,1551.61,,1330.1,868.6,745.65,,,2268.51,0.0
DELTACORP,2013-08-05 13:05:00,2013-06-30,2013-04-01,True,html_old,109693,25947.37,,19061.31,6673.5,4070.39,,,2268.51,0.0
DELTACORP,2013-08-05 13:05:00,2013-06-30,2013-04-01,False,html_old,109692,37.27,,220.35,10.77,-16.25,,,2268.51,0.0
DELTACORP,2013-11-15 17:05:00,2013-09-30,2013-07-01,True,html_old,112515,13907.92,,11152.58,2591.8,993.42,,,2268.51,0.0
DELTACORP,2013-11-27 17:13:00,2013-09-30,2013-07-01,False,html_old,113658,237.5,,325.37,2144.12,1666.11,,,2268.51,0.0
DELTACORP,2014-02-04 18:33:00,2013-12-31,2013-10-01,True,html_old,114599,9046.58,,6620.53,2977.47,1492.99,,,2275.76,0.0
DELTACORP,2014-02-04 18:33:00,2013-12-31,2013-10-01,False,html_old,114600,37.73,,305.3,1109.59,893.71,,,2275.76,0.0
DELTACORP,2014-06-06 14:49:00,2014-03-31,2014-01-01,False,html_old,119631,11392.02,,7099.74,4234.52,3669.82,,,2275.76,0.0
DELTACORP,2014-06-06 14:49:00,2014-03-31,2014-01-01,True,html_old,119629,7156.55,,5671.99,-496.63,-54.92,,,2275.76,0.0
DELTACORP,2014-08-08 18:09:00,2014-06-30,2014-04-01,True,html_old,121214,5571.05,,6126.93,-1967.53,-2040.09,,,2292.78,0.0
DELTACORP,2014-08-08 18:09:00,2014-06-30,2014-04-01,False,html_old,121215,3871.52,,3131.47,540.27,207.09,,,2292.78,0.0
