symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
DENABANK,2007-05-07 09:18:00,2007-03-31,2007-01-01,False,html_old,44466,,,,,,,,,
DENABANK,2007-07-26 13:30:00,2007-06-30,2007-04-01,False,html_old,47207,,,,,,,,,
DENABANK,2007-10-27 21:17:00,2007-09-30,2007-07-01,False,html_old,49490,,,,,,,,,
DENABANK,2008-01-23 12:49:00,2007-12-31,2007-10-01,False,html_old,51501,,,,,,,,,
DENABANK,2008-04-30 14:35:00,2008-03-31,2008-01-01,False,html_old,53622,,,,,,,,,
DENABANK,2008-07-28 13:27:00,2008-06-30,2008-04-01,False,html_old,56365,,,,,,,,,
DENABANK,2008-10-23 12:15:00,2008-09-30,2008-07-01,False,html_old,58372,,,,,,,,,
DENABANK,2009-01-29 12:14:00,2008-12-31,2008-10-01,False,html_old,61518,,,,,,,,,
DENABANK,2009-04-29 12:49:00,2009-03-31,2009-01-01,False,html_old,63127,,,,,,,,,
DENABANK,2009-07-25 14:10:00,2009-06-30,2009-04-01,False,html_old,65991,,,,,,,,,
DENABANK,2009-10-26 11:05:00,2009-09-30,2009-07-01,False,html_old,68191,,,,,,,,,
DENABANK,2010-01-28 11:28:00,2009-12-31,2009-10-01,False,html_old,71452,,,,,,,,,
DENABANK,2010-04-27 12:49:00,2010-03-31,2010-01-01,False,html_old,72886,,,,,,,,,
DENABANK,2010-07-26 18:24:00,2010-06-30,2010-04-01,False,html_old,76002,,,,,,,,,
DENABANK,2010-10-26 12:36:00,2010-09-30,2010-07-01,False,html_old,78506,,,,,,,,,
DENABANK,2011-01-27 13:16:00,2010-12-31,2010-10-01,False,html_old,81797,,,,,,,,,
DENABANK,2011-04-29 11:43:00,2011-03-31,2011-01-01,False,html_old,83825,,,,,,,,,
DENABANK,2011-07-29 13:09:00,2011-06-30,2011-04-01,False,html_old,87230,,,,,,,,,
DENABANK,2011-10-31 14:52:00,2011-09-30,2011-07-01,False,html_old,89660,,,,,,,,,
DENABANK,2012-02-06 15:05:00,2011-12-31,2011-10-01,False,html_old,92083,,,,,,,,,
DENABANK,2012-05-08 13:00:00,2012-03-31,2012-01-01,False,html_old,93948,,,,,,,,,
DENABANK,2012-07-27 13:23:00,2012-06-30,2012-04-01,False,html_old,97665,,,,,,,,,
DENABANK,2012-11-06 18:11:00,2012-09-30,2012-07-01,False,html_old,100720,,,,,,,,,
DENABANK,2013-01-30 21:36:00,2012-12-31,2012-10-01,False,html_old,102377,,,,,,,,,
DENABANK,2013-05-22 13:37:00,2013-03-31,2013-01-01,False,html_old,105286,253944.0,,,,,,,,
DENABANK,2013-07-31 17:21:00,2013-06-30,2013-04-01,False,html_old,109468,276568.0,,,,,,,,
DENABANK,2013-11-22 17:05:00,2013-09-30,2013-07-01,False,html_old,113306,259994.0,,,,,,,,
DENABANK,2014-02-12 19:25:00,2013-12-31,2013-10-01,False,html_old,115144,263309.0,,,,,,,,
DENABANK,2014-05-28 15:17:00,2014-03-31,2014-01-01,False,html_old,118247,286678.0,,,,,,,,
DENABANK,2014-08-18 18:49:00,2014-06-30,2014-04-01,False,html_old,121951,282458.0,,,,,,,,
DENABANK,2014-11-19 14:53:00,2014-09-30,2014-07-01,False,html_old,123947,288522.0,,,,,,,,
DENABANK,2015-02-10 11:21:00,2014-12-31,2014-10-01,False,html_old,125912,286731.0,,,,,,,,
DENABANK,2015-05-21 16:21:00,2015-03-31,2015-01-01,False,html_old,128431,290769.0,,,,,,,,
DENABANK,2015-07-31 18:08:00,2015-06-30,2015-04-01,False,html_old,1000481,291486.0,,,,,,,,
DENABANK,2015-11-10 15:57:00,2015-09-30,2015-07-01,False,html_old,1003416,287208.0,,,,,,,,
DENABANK,2016-02-19 10:09:00,2015-12-31,2015-10-01,False,html_old,1005215,272223.0,,,,,,,,
DENABANK,2016-05-19 11:14:00,2016-03-31,2016-01-01,False,html_old,1007214,285335.0,,,,,,,,
DENABANK,2016-08-13 13:24:00,2016-06-30,2016-04-01,False,html_old,1012186,290735.0,,,,,,,,
DENABANK,2016-11-09 20:42:00,2016-09-30,2016-07-01,False,html_old,1015474,291413.0,,,,,,,,
DENABANK,2017-02-11 16:41:00,2016-12-31,2016-10-01,False,html_old,1019347,299951.0,,,,,,,,
DENABANK,2017-05-24 20:25:00,2017-03-31,2017-01-01,False,html_old,1021604,261208.0,,,,,,,,
DENABANK,2017-07-31 15:15:00,2016-06-30,2016-04-01,False,html_old,1028219,290735.0,,,,,,,,
DENABANK,2017-07-31 15:15:00,2017-03-31,2017-01-01,False,html_old,1028218,261208.0,,,,,,,,
DENABANK,2017-07-31 15:15:00,2017-06-30,2017-04-01,False,html_old,1028217,262028.0,,,,,,,,
DENABANK,2017-11-21 17:23:00,2017-09-30,2017-07-01,False,html_old,1032943,260883.0,,,,,,,,
DENABANK,2018-03-16 19:41:00,2017-12-31,2017-10-01,False,html_old,1038325,247596.0,,,,,,,,
DENABANK,2018-07-05 00:00:00,2018-03-31,2018-01-01,False,xbrl_new,1040084,,,,,,,,,
DENABANK,2018-09-05 15:50:00,2018-06-30,2018-04-01,False,xbrl_new,1049011,,24100100000.0,,,,,,22590500000.0,
DENABANK,2018-11-02 14:21:00,2018-09-30,2018-07-01,False,xbrl_new,1050674,,,,,,,,,
DENABANK,2019-02-11 12:24:00,2018-12-31,2018-10-01,False,xbrl_new,1055443,,22929500000.0,,,,,,22590500000.0,
