symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
EASUNREYRL,2007-02-01 17:55:00,2006-12-31,2006-10-01,False,html_old,43956,2765.0,2812.0,2155.0,555.0,367.0,11.02,11.02,333.0,0.0
EASUNREYRL,2007-05-30 18:22:00,2007-03-31,2007-01-01,False,html_old,45793,4615.0,4714.0,3564.0,975.0,676.0,20.28,20.28,333.0,0.0
EASUNREYRL,2007-07-30 20:30:00,2007-06-30,2007-04-01,False,html_old,47711,3808.0,3856.0,3038.0,666.0,444.0,13.33,13.33,333.0,0.0
EASUNREYRL,2007-10-29 22:08:00,2007-09-30,2007-07-01,False,html_old,49938,5136.0,5175.0,4196.0,871.0,581.0,3.49,3.49,333.0,
EASUNREYRL,2008-01-23 20:47:00,2007-12-31,2007-10-01,False,html_old,51547,4168.0,4221.0,3519.0,591.0,520.0,2.8,2.11,371.0,
EASUNREYRL,2008-06-02 09:36:00,2008-03-31,2008-01-01,True,html_old,54600,5759.0,6962.0,5401.0,1488.0,1235.0,6.06,5.1,408.0,
EASUNREYRL,2008-06-02 09:42:00,2008-03-31,2008-01-01,False,html_old,54601,5423.0,5701.0,4775.0,861.0,635.0,3.12,2.62,408.0,
EASUNREYRL,2008-08-01 09:53:00,2008-06-30,2008-04-01,False,html_old,57275,3638.0,3806.0,3213.0,529.0,351.0,1.72,1.45,408.0,
EASUNREYRL,2008-10-31 16:39:00,2008-09-30,2008-07-01,False,html_old,59777,3850.0,,3708.0,270.0,173.0,0.83,0.71,415.0,
EASUNREYRL,2009-01-23 18:57:00,2008-12-31,2008-10-01,False,html_old,61183,3331.0,,3305.0,140.0,86.0,0.43,0.36,415.0,
EASUNREYRL,2009-08-01 17:38:00,2009-06-30,2009-04-01,False,html_old,67097,3639.0,,3542.0,37.0,24.0,0.11,0.1,415.0,
EASUNREYRL,2009-10-30 15:39:00,2009-09-30,2009-07-01,False,html_old,69495,5690.0,,5357.0,296.0,223.0,1.07,0.92,415.0,
EASUNREYRL,2010-01-29 18:05:00,2009-12-31,2009-10-01,False,html_old,71841,4539.0,,4600.0,5976.0,4962.0,23.89,23.45,415.0,
EASUNREYRL,2010-05-15 17:32:00,2010-03-31,2010-01-01,False,html_old,73993,7717.0,,7285.0,452.0,363.0,1.75,1.72,415.0,
EASUNREYRL,2010-07-28 09:35:00,2010-06-30,2010-04-01,False,html_old,76133,4060.0,,3973.0,82.0,79.0,0.38,0.37,415.0,
EASUNREYRL,2010-10-30 14:13:00,2010-09-30,2010-07-01,False,html_old,79316,8605.0,,8010.0,581.0,448.0,2.16,2.12,415.0,
EASUNREYRL,2011-02-01 16:33:00,2010-12-31,2010-10-01,False,html_old,82224,5911.0,,5561.0,124.0,26.0,0.13,0.12,415.0,
EASUNREYRL,2011-07-25 19:27:00,2011-06-30,2011-04-01,False,html_old,86942,4849.0,,5509.0,-500.0,-512.0,-2.45,-2.4,415.0,
