symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ESSAROIL,2007-04-24 19:12:00,2007-03-31,2007-01-01,False,html_old,44431,26527.0,26817.0,26341.0,112.0,99.0,0.01,0.01,113953.0,0.0
ESSAROIL,2007-07-25 19:02:00,2007-06-30,2007-04-01,False,html_old,47165,19133.0,19795.0,20199.0,-550.0,-567.0,-0.05,-0.05,113953.0,0.0
ESSAROIL,2007-11-01 09:49:00,2007-09-30,2007-07-01,False,html_old,50717,17660.0,18025.0,19424.0,-1398.0,-1409.0,-0.12,-0.12,113953.0,
ESSAROIL,2008-01-29 21:16:00,2007-12-31,2007-10-01,False,html_old,52018,14703.0,14952.0,16272.0,-1320.0,-1340.0,-0.12,-0.12,113953.0,
ESSAROIL,2008-04-28 09:36:00,2008-03-31,2008-01-01,False,html_old,53268,4746.0,4907.0,5807.0,-1099.0,-848.0,-0.07,-0.07,117376.0,
ESSAROIL,2008-07-31 22:21:00,2008-06-30,2008-04-01,False,html_old,57344,895047.0,901603.0,880552.0,4648.0,2993.0,0.25,0.25,117376.0,
ESSAROIL,2008-10-31 16:19:00,2008-09-30,2008-07-01,False,html_old,59975,1364600.0,,1343200.0,4000.0,2600.0,0.22,0.22,120200.0,
ESSAROIL,2009-01-31 21:22:00,2008-12-31,2008-10-01,False,html_old,62218,837900.0,,814500.0,-125900.0,-123000.0,-10.25,-10.24,120200.0,
ESSAROIL,2009-05-19 09:24:00,2009-03-31,2009-01-01,False,html_old,63848,679300.0,,588200.0,62900.0,66000.0,5.53,5.53,120200.0,
ESSAROIL,2009-07-20 19:17:00,2009-06-30,2009-04-01,False,html_old,65729,677400.0,,632600.0,20300.0,16900.0,1.41,1.4,120200.0,
ESSAROIL,2009-10-31 20:21:00,2009-09-30,2009-07-01,False,html_old,70087,956300.0,,942700.0,-11300.0,-9400.0,-0.78,-0.78,120200.0,
ESSAROIL,2010-01-23 14:24:00,2009-12-31,2009-10-01,False,html_old,71150,992700.0,,992100.0,-24100.0,-22600.0,-1.88,-1.88,120200.0,
ESSAROIL,2010-04-13 20:50:00,2010-03-31,2010-01-01,False,html_old,72588,1045400.0,,1004500.0,18000.0,18000.0,1.5,1.48,120200.0,
ESSAROIL,2010-07-27 09:52:00,2010-06-30,2010-04-01,False,html_old,76010,1053100.0,,1034400.0,-7300.0,-7000.0,-0.54,-0.54,136600.0,
ESSAROIL,2010-10-18 17:52:00,2010-09-30,2010-07-01,False,html_old,77962,1090900.0,,1051400.0,14400.0,13000.0,0.95,0.9,136600.0,
ESSAROIL,2011-01-17 15:13:00,2010-12-31,2010-10-01,False,html_old,81461,1223300.0,,1169100.0,34100.0,27300.0,2.0,1.89,136600.0,
ESSAROIL,2011-04-11 15:41:00,2011-03-31,2011-01-01,False,html_old,83407,1331500.0,,1265200.0,42200.0,32100.0,2.35,2.21,136600.0,
ESSAROIL,2011-07-11 16:24:00,2011-06-30,2011-04-01,False,html_old,86623,1494600.0,,1433900.0,44800.0,46900.0,3.43,3.22,136600.0,
ESSAROIL,2011-11-01 16:29:00,2011-09-30,2011-07-01,False,html_old,89762,1293900.0,,1307200.0,-24100.0,-16600.0,-1.22,-1.22,136600.0,
ESSAROIL,2012-02-22 19:55:00,2011-12-31,2011-10-01,False,html_old,93226,1285100.0,,1264000.0,-406800.0,-398600.0,-29.19,-29.19,136600.0,
ESSAROIL,2012-05-25 08:43:00,2012-03-31,2012-01-01,False,html_old,94794,1751400.0,,1737200.0,-51500.0,-51500.0,-3.77,-3.77,136600.0,
ESSAROIL,2012-08-21 15:41:00,2012-06-30,2012-04-01,False,html_old,98715,1999300.0,,2075100.0,-140000.0,-140000.0,,,136600.0,
ESSAROIL,2012-11-20 11:51:00,2012-09-30,2012-07-01,False,html_old,101751,2096300.0,,2031200.0,10500.0,10500.0,,,136600.0,
ESSAROIL,2013-01-15 17:56:00,2012-12-31,2012-10-01,False,html_old,102031,2381700.0,,2314200.0,3200.0,3200.0,,,136600.0,
ESSAROIL,2013-05-22 18:29:00,2013-03-31,2013-01-01,False,html_old,105354,2353400.0,,2262800.0,20000.0,20000.0,,,136600.0,0.0
ESSAROIL,2013-08-22 16:13:00,2013-06-30,2013-04-01,False,html_old,111169,2235800.0,,2169600.0,-86300.0,-86300.0,,,1366.0,0.0
ESSAROIL,2013-10-28 15:17:00,2013-09-30,2013-07-01,False,html_old,111737,2569451.0,,2447909.0,-7132.0,-7132.0,,,136567.0,0.0
ESSAROIL,2014-02-10 19:09:00,2013-12-31,2013-10-01,False,html_old,114962,2508905.0,,2463719.0,5200.0,5200.0,,,144952.0,0.0
ESSAROIL,2014-05-21 17:09:00,2014-03-31,2014-01-01,False,html_old,117577,2521122.0,,2408821.0,101129.0,100800.0,,,144952.0,-27544.0
ESSAROIL,2014-08-19 13:53:00,2014-06-30,2014-04-01,False,html_old,122014,2481062.0,,2370682.0,68359.0,68359.0,,,144952.0,96451.0
ESSAROIL,2014-11-12 14:05:00,2014-09-30,2014-07-01,False,html_old,123668,2237089.0,,2166299.0,22606.0,22606.0,,,144952.0,96451.0
ESSAROIL,2015-02-17 12:17:00,2014-12-31,2014-10-01,False,html_old,126160,2023800.0,,1900300.0,5200.0,5200.0,,,145000.0,0.0
ESSAROIL,2015-05-26 13:09:00,2015-03-31,2015-01-01,False,html_old,128893,1556267.0,,1452600.0,54581.0,54581.0,,,144952.0,96451.0
ESSAROIL,2015-07-31 18:21:00,2015-06-30,2015-04-01,False,html_old,1000504,1630300.0,,1478000.0,106300.0,106300.0,,,145000.0,0.0
ESSAROIL,2015-11-06 17:25:00,2015-09-30,2015-07-01,False,html_old,1003077,1307749.0,,1246916.0,20083.0,20083.0,,,144952.0,240297.0
ESSAROIL,2016-02-12 12:47:00,2015-12-31,2015-10-01,False,html_old,1005156,1086128.0,,979422.0,36446.0,36446.0,,,145067.0,
