symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
EVERONN,2007-10-30 19:11:00,2007-09-30,2007-07-01,False,html_old,50262,2273.87,2287.87,1835.33,356.27,258.89,2.03,,1385.12,
EVERONN,2008-01-19 16:53:00,2007-12-31,2007-10-01,False,html_old,51349,2913.74,2982.29,2319.08,593.19,404.54,3.18,,1385.12,
EVERONN,2008-04-30 11:09:00,2008-03-31,2008-01-01,False,html_old,53569,3049.2,3120.9,1906.75,1126.29,680.64,5.34,5.34,1385.12,8107.0
EVERONN,2008-07-14 14:34:00,2008-06-30,2008-04-01,False,html_old,55789,2226.25,2257.91,1662.36,484.89,306.83,2.24,2.08,1512.04,
EVERONN,2008-07-14 16:51:00,2008-06-30,2008-04-01,True,html_old,55790,2226.25,2257.91,1662.36,484.89,306.83,2.24,2.08,1512.04,
EVERONN,2008-10-29 11:51:00,2008-09-30,2008-07-01,True,html_old,59444,4307.29,,3152.86,1221.53,651.22,4.41,4.41,1512.04,
EVERONN,2008-10-29 12:23:00,2008-09-30,2008-07-01,False,html_old,59445,3395.4,,2090.04,1372.49,803.08,5.44,5.44,1512.04,
EVERONN,2009-01-28 18:23:00,2008-12-31,2008-10-01,True,html_old,61441,4355.1,,3117.1,1227.7,788.65,5.41,5.41,1526.04,
EVERONN,2009-01-28 18:23:00,2008-12-31,2008-10-01,False,html_old,61440,3453.18,,2205.22,1237.79,799.12,5.34,5.34,1512.04,
EVERONN,2009-07-27 15:56:00,2009-06-30,2009-04-01,False,html_old,66113,2823.69,,2026.4,657.93,429.39,2.84,2.65,1512.04,
EVERONN,2009-10-21 16:43:00,2009-09-30,2009-07-01,False,html_old,67851,4871.54,,3068.97,1600.75,1061.57,7.02,6.56,1512.04,
EVERONN,2009-10-21 16:49:00,2009-09-30,2009-07-01,True,html_old,67853,7313.04,,5308.74,1802.54,1178.11,7.79,7.28,1512.04,
EVERONN,2010-01-27 14:53:00,2009-12-31,2009-10-01,True,html_old,71351,7991.7,,5881.0,1897.16,1214.57,8.03,8.03,1512.04,
EVERONN,2010-01-27 14:53:00,2009-12-31,2009-10-01,False,html_old,71350,5904.0,,3728.48,1962.24,1305.41,8.63,8.63,1512.04,
EVERONN,2010-08-11 14:44:00,2010-06-30,2010-04-01,False,html_old,77081,4456.51,,3089.04,1082.54,726.12,4.8,4.8,1512.04,
EVERONN,2010-08-11 14:44:00,2010-06-30,2010-04-01,True,html_old,77080,6749.08,,5391.35,1036.09,693.41,4.59,4.59,1512.04,
EVERONN,2010-10-27 17:00:00,2010-09-30,2010-07-01,True,html_old,78758,10805.69,,7942.79,2293.75,1555.15,10.29,9.89,1512.04,
EVERONN,2010-10-27 18:37:00,2010-09-30,2010-07-01,False,html_old,78790,7381.61,,4422.75,2394.26,1598.95,10.57,10.17,1512.04,
EVERONN,2011-02-08 15:33:00,2010-12-31,2010-10-01,False,html_old,82523,8570.08,,4932.74,3255.19,2162.4,14.3,13.76,1903.19,
EVERONN,2011-02-08 15:36:00,2010-12-31,2010-10-01,True,html_old,82524,11527.38,,8235.82,2894.14,1894.7,12.12,11.81,1903.19,
EVERONN,2011-08-11 18:38:00,2011-06-30,2011-04-01,True,html_old,88060,9818.62,,7467.48,1452.08,967.15,5.04,4.88,1919.96,
EVERONN,2011-08-11 18:38:00,2011-06-30,2011-04-01,False,html_old,88051,6685.23,,4226.45,1651.83,1103.1,5.75,5.57,52801.92,
EVERONN,2011-11-16 10:10:00,2011-09-30,2011-07-01,True,html_old,90687,7955.72,,7374.58,-559.29,-377.35,-1.97,-1.82,1919.96,
EVERONN,2011-11-16 10:10:00,2011-09-30,2011-07-01,False,html_old,90685,6381.78,,4643.46,665.61,430.33,2.24,2.39,1919.96,
EVERONN,2012-02-15 19:01:00,2011-12-31,2011-10-01,True,html_old,92826,9210.3,,9335.74,-1517.73,-1048.39,-5.26,-5.26,2181.77,
EVERONN,2012-02-15 19:01:00,2011-12-31,2011-10-01,False,html_old,92823,8827.91,,8263.58,-1039.54,-654.86,-3.29,-3.29,2181.77,
