symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
FORTIS,2007-07-31 20:19:00,2007-06-30,2007-04-01,True,html_old,47977,12678.46,13464.1,11851.94,-2156.35,-3491.06,-6.45,-6.45,22666.65,0.0
FORTIS,2007-07-31 20:19:00,2007-06-30,2007-04-01,False,html_old,47975,3437.55,4245.18,3195.99,-321.64,-330.14,-0.61,-0.61,22666.65,0.0
FORTIS,2007-10-30 12:27:00,2007-09-30,2007-07-01,True,html_old,50040,12103.51,12871.82,14119.27,-2660.34,-2766.42,-4.68,-4.68,22666.65,
FORTIS,2007-10-30 12:27:00,2007-09-30,2007-07-01,False,html_old,50039,4056.11,4671.58,4392.25,-520.9,-528.62,-0.93,-0.93,22666.65,
FORTIS,2008-01-25 21:07:00,2007-12-31,2007-10-01,True,html_old,51542,12155.11,13761.83,14179.18,-1952.3,-1936.07,-3.2,-3.2,22666.65,
FORTIS,2008-01-25 21:07:00,2007-12-31,2007-10-01,False,html_old,51541,3850.69,4930.04,3889.3,174.86,160.45,0.28,0.28,22666.65,
FORTIS,2008-06-30 21:47:00,2008-03-31,2008-01-01,False,html_old,55550,4084.87,5161.05,3985.98,982.05,960.1,1.7,1.7,22666.65,
FORTIS,2008-06-30 21:47:00,2008-03-31,2008-01-01,True,html_old,55549,13284.07,14701.15,14545.47,-706.86,-1056.17,-1.75,-1.75,22666.65,
FORTIS,2008-07-30 15:50:00,2008-06-30,2008-04-01,False,html_old,56851,4027.0,4438.0,4077.0,-131.0,-144.0,-0.26,-0.26,22667.0,
FORTIS,2008-07-30 15:50:00,2008-06-30,2008-04-01,True,html_old,56850,13935.0,14835.0,13684.0,58.0,7.0,0.17,0.17,22667.0,
FORTIS,2008-10-29 14:03:00,2008-09-30,2008-07-01,True,html_old,59466,15475.0,,14916.0,1176.0,1052.0,1.76,1.76,22667.0,
FORTIS,2008-10-29 14:29:00,2008-09-30,2008-07-01,False,html_old,59473,3998.0,,4548.0,-318.0,-330.0,-0.58,-0.58,22667.0,
FORTIS,2009-01-20 20:03:00,2008-12-31,2008-10-01,False,html_old,60991,4399.0,,4556.0,-152.0,-163.0,-0.28,-0.28,22667.0,
FORTIS,2009-02-26 17:52:00,2008-12-31,2008-10-01,True,html_old,62510,15841.0,,14809.0,753.0,681.0,0.89,0.89,22667.0,
FORTIS,2009-06-30 13:57:00,2009-03-31,2009-01-01,False,html_old,65190,4426.0,,4634.0,-65.0,-79.0,-0.03,-0.03,22667.0,
FORTIS,2009-06-30 14:14:00,2009-03-31,2009-01-01,True,html_old,65192,17008.0,,15970.0,832.0,669.0,0.21,0.21,22667.0,
FORTIS,2009-07-24 13:42:00,2009-06-30,2009-04-01,True,html_old,65942,18277.0,,16869.0,941.0,760.0,0.33,0.33,22667.0,
FORTIS,2009-07-24 14:10:00,2009-06-30,2009-04-01,False,html_old,65947,4859.0,,4873.0,-148.0,-156.0,-0.07,-0.07,22667.0,
FORTIS,2009-10-27 13:36:00,2009-09-30,2009-07-01,False,html_old,68428,4764.0,,4664.0,220.0,228.0,0.1,0.1,22667.0,
FORTIS,2009-11-05 17:30:00,2009-09-30,2009-07-01,True,html_old,68430,18758.0,,17240.0,1392.0,1299.0,0.57,0.57,22667.0,
FORTIS,2010-01-22 14:50:00,2009-12-31,2009-10-01,True,html_old,71108,22948.0,,21073.0,2358.0,2275.0,0.88,0.64,31732.0,
FORTIS,2010-01-22 14:50:00,2009-12-31,2009-10-01,False,html_old,71099,4944.0,,4883.0,1240.0,1240.0,0.5,0.37,31732.0,
FORTIS,2010-05-28 16:05:00,2010-03-31,2010-01-01,True,html_old,74797,32690.0,,30558.0,2642.0,2665.0,1.02,1.02,31732.0,
FORTIS,2010-05-28 16:05:00,2010-03-31,2010-01-01,False,html_old,74794,5550.0,,5432.0,1704.0,1704.0,0.64,0.64,31732.0,
FORTIS,2010-08-06 14:07:00,2010-06-30,2010-04-01,True,html_old,76844,33425.0,,31189.0,-1124.0,-1341.0,-0.44,-0.44,40506.0,
FORTIS,2010-08-06 14:10:00,2010-06-30,2010-04-01,False,html_old,76845,5933.0,,5519.0,2763.0,2763.0,0.85,0.85,40506.0,
