symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
FRETAIL,2016-10-03 16:59:00,2015-06-30,2015-04-01,False,html_old,1014105,40941.0,,48839.0,-8695.0,-8695.0,,,171975.0,
FRETAIL,2016-10-03 16:59:00,2016-06-30,2016-04-01,False,html_old,1014104,389151.0,,386976.0,7055.0,7055.0,,,9427.0,
FRETAIL,2016-12-12 09:52:00,2016-09-30,2016-07-01,False,html_old,1017296,412985.0,,407146.0,7363.0,7363.0,,,9427.0,
FRETAIL,2016-12-12 09:53:00,2015-09-30,2015-07-01,False,html_old,1017297,35986.0,,41595.0,-5669.0,-5669.0,,,171975.0,
FRETAIL,2017-02-08 16:49:00,2015-12-31,2015-10-01,False,html_old,1018790,243582.0,,242732.0,5383.0,5383.0,,,9427.0,
FRETAIL,2017-02-08 16:49:00,2016-12-31,2016-10-01,False,html_old,1018789,432175.0,,427290.0,10105.0,10105.0,,,9427.0,
FRETAIL,2017-05-27 14:16:00,2017-03-31,2017-01-01,False,html_old,1023334,434327.0,448639.0,436334.0,12305.0,0.0,0.0,0.0,9436.0,
FRETAIL,2017-08-18 16:12:00,2017-06-30,2017-04-01,False,html_old,1028698,470493.0,470744.0,455959.0,14785.0,14785.0,3.02,3.02,9436.0,
FRETAIL,2017-11-08 22:10:00,2017-09-30,2017-07-01,False,html_old,1032445,450630.0,450916.0,435600.0,15316.0,15316.0,3.13,3.13,9796.0,
FRETAIL,2018-02-14 13:09:00,2017-12-31,2017-10-01,False,html_old,1036221,469339.0,469607.0,451293.0,18314.0,18314.0,3.7,3.7,10040.0,
FRETAIL,2018-04-02 17:42:00,2016-03-31,2016-01-01,False,xbrl_new,1023335,,,,,,,,,
FRETAIL,2018-05-26 00:00:00,2018-03-31,2018-01-01,False,xbrl_new,1041256,45746540000.0,45777960000.0,44375500000.0,-4636260000.0,-4636260000.0,-9.24,-9.24,1004000000.0,
FRETAIL,2018-08-28 13:36:00,2018-06-30,2018-04-01,False,xbrl_new,1048141,45387100000.0,45419400000.0,43888200000.0,1531200000.0,1531200000.0,3.05,3.05,1005000000.0,
FRETAIL,2018-11-26 12:11:00,2018-09-30,2018-07-01,False,xbrl_new,1053281,49285200000.0,49344000000.0,47593000000.0,1751000000.0,1751000000.0,3.48,3.48,1005100000.0,
FRETAIL,2019-02-11 19:19:00,2018-12-31,2018-10-01,False,xbrl_new,1055890,53010700000.0,53062800000.0,51048500000.0,2014300000.0,2014300000.0,4.01,4.01,1005200000.0,
