symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
FSL,2007-04-27 09:48:00,2007-03-31,2007-01-01,False,html_old,44588,12049.0,12182.9,8627.7,2377.7,2308.2,0.6,0.56,42508.4,0.0
FSL,2007-04-27 10:11:00,2007-03-31,2007-01-01,True,html_old,44591,27470.2,27679.6,21948.8,3567.9,3491.4,0.9,0.85,42508.4,0.0
FSL,2007-07-28 15:14:00,2007-06-30,2007-04-01,True,html_old,47443,27001.5,28215.2,21483.3,5040.5,4430.9,1.04,0.99,42515.7,0.0
FSL,2007-07-28 15:14:00,2007-06-30,2007-04-01,False,html_old,47441,11328.8,11807.1,9420.8,1608.0,1895.8,0.45,0.42,42515.7,0.0
FSL,2007-10-29 14:51:00,2007-09-30,2007-07-01,False,html_old,49722,12034.3,12524.7,11533.6,1222.8,1545.9,0.36,0.35,,
FSL,2007-10-29 21:14:00,2007-09-30,2007-07-01,True,html_old,49723,28053.9,29651.9,24722.2,4694.3,4548.1,1.07,1.02,,
FSL,2008-01-29 21:16:00,2007-12-31,2007-10-01,True,html_old,52016,35892.0,38251.0,33909.2,2392.3,2021.0,0.48,0.44,42701.8,
FSL,2008-01-29 21:16:00,2007-12-31,2007-10-01,False,html_old,52013,12318.1,12821.5,11819.3,1135.0,1489.3,0.35,0.32,42701.8,
FSL,2008-04-29 19:07:00,2008-03-31,2008-01-01,False,html_old,53500,13485.5,13635.8,11216.2,722.2,833.4,0.2,0.15,,
FSL,2008-04-29 21:04:00,2008-03-31,2008-01-01,True,html_old,53502,36924.3,37923.0,33606.2,2191.6,2062.7,0.49,0.38,,
FSL,2008-07-30 17:28:00,2008-06-30,2008-04-01,True,html_old,56885,40788.77,40956.57,44986.24,-4260.88,-5003.69,-1.17,-1.17,,
FSL,2008-07-30 17:28:00,2008-06-30,2008-04-01,False,html_old,56882,13492.54,13798.78,20144.4,-5762.52,-5822.22,-1.36,-1.36,,
FSL,2008-10-31 22:15:00,2008-09-30,2008-07-01,False,html_old,60153,14489.14,,12157.31,2953.78,2697.02,0.63,0.49,,
FSL,2008-11-24 12:42:00,2008-09-30,2008-07-01,True,html_old,60668,42901.03,,38168.54,3545.11,2819.07,0.66,0.52,42818.97,
FSL,2009-01-31 22:50:00,2008-12-31,2008-10-01,False,html_old,62275,14115.09,,14020.33,-316.07,-94.24,-0.02,-0.02,,
FSL,2009-01-31 22:50:00,2008-12-31,2008-10-01,True,html_old,62272,44733.57,,42415.37,1506.06,1177.38,0.27,0.21,,
FSL,2009-04-29 09:05:00,2009-03-31,2009-01-01,True,html_old,63103,47461.8,,38663.44,4278.71,4085.5,0.95,0.95,,
FSL,2009-04-29 09:12:00,2009-03-31,2009-01-01,False,html_old,63100,14826.25,,7284.28,4443.75,4730.08,1.1,1.1,,
FSL,2009-07-29 09:38:00,2009-06-30,2009-04-01,True,html_old,66346,48074.24,,43855.13,4477.39,3828.7,0.89,0.78,42848.28,
FSL,2009-07-29 10:00:00,2009-06-30,2009-04-01,False,html_old,66349,15272.77,,13473.33,2478.68,2527.26,0.59,0.54,42848.28,
FSL,2009-10-28 09:20:00,2009-09-30,2009-07-01,True,html_old,68631,48838.83,,43988.39,3503.8,2924.41,0.68,0.61,42885.41,
FSL,2009-10-28 09:20:00,2009-09-30,2009-07-01,False,html_old,68629,16381.9,,14712.53,1370.49,1513.82,0.35,0.35,42885.41,
FSL,2010-01-27 09:09:00,2009-12-31,2009-10-01,True,html_old,71313,48398.48,,44413.34,3974.69,3332.22,0.78,0.7,,
FSL,2010-01-27 09:09:00,2009-12-31,2009-10-01,False,html_old,71312,16643.76,,15310.03,906.76,1018.66,0.24,0.24,42912.72,
