symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
GODREJPROP,2010-01-22 11:59:00,2009-12-31,2009-10-01,False,html_old,71075,421.6,,842.13,2114.63,1759.43,2.87,2.87,6985.0,
GODREJPROP,2010-01-22 12:00:00,2009-12-31,2009-10-01,True,html_old,71074,2027.9,,2453.39,2130.4,1768.89,2.87,2.87,6985.0,
GODREJPROP,2010-05-17 13:22:00,2010-03-31,2010-01-01,False,html_old,74059,9297.84,,10103.61,7169.48,5646.06,8.08,8.08,6985.0,
GODREJPROP,2010-05-17 13:30:00,2010-03-31,2010-01-01,True,html_old,74061,15023.4,,15539.16,7480.2,5847.91,8.23,8.23,6985.0,
GODREJPROP,2010-07-19 09:16:00,2010-06-30,2010-04-01,False,html_old,75656,1853.0,,1973.54,3034.62,2181.56,3.12,3.12,6985.0,
GODREJPROP,2010-07-19 09:16:00,2010-06-30,2010-04-01,True,html_old,75655,4115.45,,4069.12,3216.22,2303.11,3.21,3.21,6985.0,
GODREJPROP,2010-10-18 10:21:00,2010-09-30,2010-07-01,True,html_old,77922,3429.1,,3371.2,4974.93,3380.1,4.71,4.71,6985.0,
GODREJPROP,2010-10-18 10:21:00,2010-09-30,2010-07-01,False,html_old,77920,2010.1,,2204.21,4700.68,3199.8,4.58,4.58,6985.0,
GODREJPROP,2011-01-14 12:25:00,2010-12-31,2010-10-01,True,html_old,81434,4817.41,,4272.21,2538.42,1770.45,2.22,2.22,6985.0,
GODREJPROP,2011-01-14 12:25:00,2010-12-31,2010-10-01,False,html_old,81433,2544.01,,2651.72,1858.74,1325.29,1.9,1.9,6985.0,
GODREJPROP,2011-05-09 09:58:00,2011-03-31,2011-01-01,True,html_old,84217,31761.15,,23328.18,9780.75,6814.13,8.59,8.59,6985.0,
GODREJPROP,2011-05-09 09:58:00,2011-03-31,2011-01-01,False,html_old,84215,22026.98,,17394.21,5961.48,3908.7,5.6,5.6,6985.0,
GODREJPROP,2011-07-22 15:03:00,2011-06-30,2011-04-01,True,html_old,86854,13004.94,,11135.58,2005.69,1368.25,1.44,1.44,6985.0,
GODREJPROP,2011-07-22 15:03:00,2011-06-30,2011-04-01,False,html_old,86852,5788.06,,4981.68,920.29,634.9,0.91,0.91,6985.0,
GODREJPROP,2011-10-21 19:57:00,2011-09-30,2011-07-01,False,html_old,89362,9206.09,,7846.75,2426.39,1653.37,2.35,2.35,6985.0,
GODREJPROP,2011-10-21 19:57:00,2011-09-30,2011-07-01,True,html_old,89360,13056.96,,10834.57,3311.69,2231.72,2.78,2.78,6985.0,
GODREJPROP,2012-01-19 14:26:00,2011-12-31,2011-10-01,True,html_old,91359,14300.45,,12397.6,4532.75,3025.23,4.1,4.1,6985.0,
GODREJPROP,2012-01-19 14:26:00,2011-12-31,2011-10-01,False,html_old,91358,9984.08,,8617.14,3970.98,2695.4,3.86,3.86,6985.0,
GODREJPROP,2012-05-10 15:30:00,2012-03-31,2012-01-01,False,html_old,93770,6378.11,,7616.94,3111.45,3152.79,4.48,4.48,7830.68,
GODREJPROP,2012-06-15 15:31:00,2012-03-31,2012-01-01,True,html_old,94500,34374.35,,27226.84,9994.35,6253.81,,,7803.68,
GODREJPROP,2012-08-01 11:16:00,2012-06-30,2012-04-01,True,html_old,97858,21198.45,,18679.74,4542.81,2580.25,,,7804.55,
GODREJPROP,2012-08-01 11:16:00,2012-06-30,2012-04-01,False,html_old,97857,5624.25,,5618.88,3150.98,2690.68,,,7804.55,
GODREJPROP,2012-11-01 13:09:00,2012-09-30,2012-07-01,True,html_old,100399,20731.59,,16192.61,7049.61,4894.74,,,7804.55,
GODREJPROP,2012-11-01 13:09:00,2012-09-30,2012-07-01,False,html_old,100398,5003.79,,5891.52,3605.11,3133.94,,,7804.55,
GODREJPROP,2013-01-31 18:47:00,2012-12-31,2012-10-01,False,html_old,102372,26641.02,,19237.66,7461.15,5128.81,,,7804.61,
GODREJPROP,2013-05-22 13:05:00,2013-03-31,2013-01-01,False,html_old,105280,10054.62,,10818.77,4009.29,3662.54,,,7804.61,0.0
GODREJPROP,2013-05-22 13:05:00,2013-03-31,2013-01-01,True,html_old,105278,27955.81,,21461.21,9832.12,7125.11,,,7804.61,0.0
GODREJPROP,2013-08-01 11:01:00,2013-06-30,2013-04-01,True,html_old,109510,18730.56,,16222.03,8121.73,5135.88,,,7805.36,0.0
GODREJPROP,2013-08-01 11:01:00,2013-06-30,2013-04-01,False,html_old,109511,8156.58,,8954.31,1418.07,1408.48,,,7805.36,0.0
GODREJPROP,2013-11-22 14:09:00,2013-09-30,2013-07-01,False,html_old,113189,9056.1,,9469.92,2475.35,2428.45,,,9961.62,0.0
GODREJPROP,2013-11-22 14:09:00,2013-09-30,2013-07-01,True,html_old,113188,28744.24,,22708.48,9248.26,6059.01,,,9961.62,0.0
