symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
GRSE,2019-02-13 17:36:00,2018-12-31,2018-10-01,False,xbrl_new,1056671,4885948000.0,5300925000.0,4566587000.0,712521000.0,449057000.0,3.92,3.92,1145500000.0,
GRSE,2019-05-29 19:21:00,2019-03-31,2019-01-01,False,xbrl_new,1063062,4892099000.0,5391724000.0,4661413000.0,730139000.0,336220000.0,2.94,2.94,1145520000.0,
GRSE,2019-08-09 16:31:00,2019-06-30,2019-04-01,False,xbrl_new,1066422,1679582000.0,2193601000.0,1831170000.0,362431000.0,252767000.0,2.21,2.21,1145520000.0,
GRSE,2019-10-31 15:34:00,2019-09-30,2019-07-01,False,xbrl_new,1069872,4390187000.0,5090822000.0,4320697000.0,770125000.0,590237000.0,5.15,5.15,1145520000.0,
GRSE,2020-02-01 18:29:00,2019-12-31,2019-10-01,False,xbrl_new,1075922,3696312000.0,4208730000.0,3794090000.0,414640000.0,294961000.0,2.57,2.57,1145520000.0,
GRSE,2020-06-06 18:34:00,2020-03-31,2020-01-01,False,xbrl_new,1082815,4566872000.0,5094794000.0,4297210000.0,691514000.0,496852000.0,4.34,4.34,1145520000.0,
GRSE,2020-08-13 17:41:00,2020-06-30,2020-04-01,False,xbrl_new,1090226,1099584000.0,1599185000.0,1581543000.0,17642000.0,1486000.0,0.01,0.01,1145520000.0,
GRSE,2020-11-11 15:34:00,2020-09-30,2020-07-01,False,xbrl_new,1096399,2724406000.0,3197987000.0,2452054000.0,538439000.0,376973000.0,3.29,3.29,1145520000.0,
GRSE,2021-02-09 15:41:00,2020-12-31,2020-10-01,False,xbrl_new,1102688,3596035000.0,3989460000.0,3259758000.0,729702000.0,576214000.0,5.03,5.03,1145520000.0,
GRSE,2021-05-17 20:01:00,2021-03-31,2021-01-01,False,xbrl_new,1107751,3988328000.0,4497677000.0,3712286000.0,785391000.0,580039000.0,5.06,5.06,1145520000.0,
GRSE,2021-07-28 11:37:00,2021-03-31,2021-01-01,False,xbrl_new,1114130,3988328000.0,4497677000.0,3712286000.0,785391000.0,580039000.0,5.06,5.06,1145520000.0,
GRSE,2021-08-13 17:32:00,2021-06-30,2021-04-01,False,xbrl_new,1116282,3041864000.0,3440135000.0,3098752000.0,264529000.0,205937000.0,1.8,1.8,1145520000.0,
GRSE,2021-11-13 14:33:00,2021-09-30,2021-07-01,False,xbrl_new,1122624,4218309000.0,4580407000.0,3763916000.0,816491000.0,587894000.0,5.13,5.13,1145520000.0,
GRSE,2022-02-11 17:30:00,2021-12-31,2021-10-01,False,xbrl_new,1128624,4868827000.0,5307083000.0,4447575000.0,859508000.0,629452000.0,5.49,5.49,1145520000.0,
GRSE,2022-05-25 16:03:00,2022-03-31,2022-01-01,False,xbrl_new,1134525,5446137000.0,5850044000.0,5218156000.0,631888000.0,471985000.0,4.12,4.12,1145520000.0,
GRSE,2022-08-11 16:23:00,2022-06-30,2022-04-01,False,xbrl_new,2728,5797727000.0,6206241000.0,5563798000.0,642443000.0,501762000.0,4.38,4.38,1145520000.0,
GRSE,2022-11-10 17:18:00,2022-09-30,2022-07-01,False,xbrl_new,7570,6820136000.0,7228371000.0,6440619000.0,787752000.0,587285000.0,5.13,5.13,1145520000.0,
GRSE,2023-02-10 18:38:00,2022-12-31,2022-10-01,False,xbrl_new,1142716,6991451000.0,7493829000.0,6634808000.0,859021000.0,639219000.0,5.58,5.58,1145520000.0,
GRSE,2023-05-24 18:02:00,2023-03-31,2023-01-01,False,xbrl_new,1148593,6011661000.0,6710889000.0,5947926000.0,762963000.0,552974000.0,4.83,4.83,1145520000.0,
GRSE,2023-08-11 17:12:00,2023-06-30,2023-04-01,False,xbrl_new,1154248,7559032000.0,8265410000.0,7245993000.0,1019417000.0,766807000.0,6.69,6.69,1145520000.0,
GRSE,2023-11-10 17:43:00,2023-09-30,2023-07-01,False,xbrl_new,1160983,8979143000.0,9694613000.0,8619721000.0,1074892000.0,807381000.0,7.05,7.05,1145520000.0,
GRSE,2024-02-13 19:17:00,2023-12-31,2023-10-01,False,xbrl_new,1167780,9230978000.0,10046123000.0,8859405000.0,1186718000.0,882532000.0,7.7,7.7,1145520000.0,
GRSE,2024-05-22 18:17:00,2024-03-31,2024-01-01,False,xbrl_new,1173155,10157270000.0,10916496000.0,9388314000.0,1528182000.0,1115957000.0,9.74,9.74,1145520000.0,
GRSE,2024-08-08 13:42:00,2024-06-30,2024-04-01,False,xbrl_new,1179295,10097205000.0,10835892000.0,9681469000.0,1154423000.0,871938000.0,7.61,7.61,1145520000.0,
GRSE,2024-11-13 17:48:00,2024-09-30,2024-07-01,False,xbrl_new,1187007,11529239000.0,12278373000.0,10973042000.0,1305331000.0,977739000.0,8.54,8.54,1145520000.0,
GRSE,2025-02-03 17:57:00,2024-12-31,2024-10-01,False,xbrl_new,1192157,12710076000.0,13431249000.0,12093637000.0,1337612000.0,981855000.0,8.57,8.57,1145520000.0,
GRSE,2025-03-07 15:14:00,2024-12-31,2024-10-01,False,xbrl_new,1197180,12710076000.0,13431249000.0,12093637000.0,1337612000.0,981855000.0,8.57,8.57,1145520000.0,
