symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
GTL,2007-04-25 15:11:00,2007-03-31,2007-01-01,False,html_old,44464,,,,,,,,,
GTL,2007-04-25 15:32:00,2007-03-31,2007-01-01,True,html_old,44479,,,,,,,,,
GTL,2007-07-24 14:45:00,2007-06-30,2007-04-01,True,html_old,47043,,,,,,,,,
GTL,2007-07-24 14:45:00,2007-06-30,2007-04-01,False,html_old,47042,,,,,,,,,
GTL,2007-10-22 13:59:00,2007-09-30,2007-07-01,False,html_old,48773,,,,,,,,,
GTL,2007-10-22 14:17:00,2007-09-30,2007-07-01,True,html_old,48780,,,,,,,,,
GTL,2008-01-24 14:28:00,2007-12-31,2007-10-01,False,html_old,51584,,,,,,,,,
GTL,2008-01-24 15:29:00,2007-12-31,2007-10-01,True,html_old,51586,,,,,,,,,
GTL,2008-04-11 14:59:00,2008-03-31,2008-01-01,True,html_old,52849,,,,,,,,,
GTL,2008-04-11 15:14:00,2008-03-31,2008-01-01,False,html_old,52852,,,,,,,,,
GTL,2008-07-10 14:01:00,2008-06-30,2008-04-01,True,html_old,55760,,,,,,,,,
GTL,2008-07-10 14:01:00,2008-06-30,2008-04-01,False,html_old,55759,,,,,,,,,
GTL,2008-10-16 13:24:00,2008-09-30,2008-07-01,True,html_old,57761,,,,,,,,,
GTL,2008-10-16 13:29:00,2008-09-30,2008-07-01,False,html_old,57762,,,,,,,,,
GTL,2009-01-15 15:34:00,2008-12-31,2008-10-01,True,html_old,60849,,,,,,,,,
GTL,2009-01-15 16:07:00,2008-12-31,2008-10-01,False,html_old,60851,,,,,,,,,
GTL,2009-04-22 15:55:00,2009-03-31,2009-01-01,True,html_old,62735,,,,,,,,,
GTL,2009-04-22 15:59:00,2009-03-31,2009-01-01,False,html_old,62738,,,,,,,,,
GTL,2009-07-22 14:06:00,2009-06-30,2009-04-01,True,html_old,65793,,,,,,,,,
GTL,2009-07-22 14:18:00,2009-06-30,2009-04-01,False,html_old,65796,,,,,,,,,
GTL,2009-10-27 13:54:00,2009-09-30,2009-07-01,False,html_old,68446,,,,,,,,,
GTL,2009-10-27 13:59:00,2009-09-30,2009-07-01,True,html_old,68450,,,,,,,,,
GTL,2010-01-29 13:21:00,2009-12-31,2009-10-01,False,html_old,71708,,,,,,,,,
GTL,2010-01-29 13:33:00,2009-12-31,2009-10-01,True,html_old,71712,,,,,,,,,
GTL,2010-04-20 15:19:00,2010-03-31,2010-01-01,False,html_old,72641,,,,,,,,,
GTL,2010-04-20 15:44:00,2010-03-31,2010-01-01,True,html_old,72640,,,,,,,,,
GTL,2010-07-27 13:40:00,2010-06-30,2010-04-01,False,html_old,76038,,,,,,,,,
GTL,2010-07-27 13:40:00,2010-06-30,2010-04-01,True,html_old,76037,,,,,,,,,
GTL,2010-11-03 17:10:00,2010-09-30,2010-07-01,True,html_old,79898,,,,,,,,,
GTL,2010-11-03 17:10:00,2010-09-30,2010-07-01,False,html_old,79896,,,,,,,,,
GTL,2011-01-24 14:31:00,2010-12-31,2010-10-01,True,html_old,81655,,,,,,,,,
GTL,2011-01-24 14:31:00,2010-12-31,2010-10-01,False,html_old,81654,,,,,,,,,
GTL,2011-04-28 19:33:00,2011-03-31,2011-01-01,True,html_old,83768,,,,,,,,,
GTL,2011-04-28 19:33:00,2011-03-31,2011-01-01,False,html_old,83766,,,,,,,,,
GTL,2011-11-18 11:42:00,2011-09-30,2011-07-01,False,html_old,90981,,,,,,,,,
GTL,2011-11-18 11:42:00,2011-09-30,2011-07-01,True,html_old,90979,,,,,,,,,
GTL,2012-02-11 15:48:00,2011-12-31,2011-10-01,False,html_old,92443,,,,,,,,,
GTL,2012-02-11 15:48:00,2011-12-31,2011-10-01,True,html_old,92440,,,,,,,,,
GTL,2012-05-29 12:00:00,2012-03-31,2012-01-01,False,html_old,95141,47995.0,,46306.0,-15689.0,-17492.0,-11.63,-11.63,9727.0,
GTL,2012-05-30 19:16:00,2012-03-31,2012-01-01,True,html_old,95152,56563.0,,60279.0,-22386.0,-24603.0,-16.5,-16.5,9727.0,
GTL,2012-08-01 15:14:00,2012-06-30,2012-04-01,True,html_old,97903,61598.0,,68167.0,-20123.0,-20133.0,,,14853.0,
GTL,2012-08-01 15:14:00,2012-06-30,2012-04-01,False,html_old,97901,51290.0,,59142.0,-20908.0,-20908.0,,,14853.0,
GTL,2012-10-31 15:04:00,2012-09-30,2012-07-01,False,html_old,100292,50079.0,,48236.0,-11056.0,-11093.0,,,15696.0,
GTL,2012-10-31 15:04:00,2012-09-30,2012-07-01,True,html_old,100291,61534.0,,60583.0,-12457.0,-12574.0,,,15696.0,
GTL,2013-02-06 20:04:00,2012-12-31,2012-10-01,True,html_old,102711,71566.0,,66795.0,-7919.0,-8136.0,,,15696.0,
GTL,2013-02-06 20:04:00,2012-12-31,2012-10-01,False,html_old,102710,58840.0,,53913.0,-7154.0,-7154.0,,,15696.0,
GTL,2013-05-24 18:05:00,2013-03-31,2013-01-01,True,html_old,105704,65432.65,,67313.7,-14652.45,-14633.48,,,15695.77,0.0
GTL,2013-05-24 18:05:00,2013-03-31,2013-01-01,False,html_old,105702,56947.93,,57843.08,-12782.5,-12782.5,,,15695.77,0.0
GTL,2013-08-05 16:17:00,2013-06-30,2013-04-01,True,html_old,109742,65180.51,,64308.04,-13837.49,-13823.91,,,15729.68,0.0
GTL,2013-08-05 16:17:00,2013-06-30,2013-04-01,False,html_old,109741,56154.22,,55852.34,-12634.67,-12594.88,,,15729.68,0.0
GTL,2013-11-05 17:37:00,2013-09-30,2013-07-01,True,html_old,111963,62986.94,,63105.35,-17495.35,-17538.55,,,15729.68,0.0
