symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
GUJNRECOKE,2007-04-09 16:46:00,2007-03-31,2007-01-01,False,html_old,44175,17901.0,18667.0,11336.0,6045.0,5093.0,2.09,2.09,24391.0,0.0
GUJNRECOKE,2007-07-30 09:48:00,2007-06-30,2007-04-01,False,html_old,47523,14889.0,15238.0,8970.0,5021.0,4282.0,1.71,1.26,26113.0,0.0
GUJNRECOKE,2007-10-15 09:35:00,2007-09-30,2007-07-01,False,html_old,48465,10207.0,11359.0,9058.0,1587.0,1255.0,0.46,0.38,28811.0,
GUJNRECOKE,2008-01-21 09:18:00,2007-12-31,2007-10-01,False,html_old,51354,24280.0,25257.0,17433.0,7015.0,4997.0,1.59,1.45,32404.0,
GUJNRECOKE,2008-04-24 17:19:00,2008-03-31,2008-01-01,False,html_old,53132,38064.0,39936.0,29912.0,8907.0,6420.0,2.33,1.98,33702.0,
GUJNRECOKE,2008-07-18 14:37:00,2008-06-30,2008-04-01,True,html_old,55872,38860.0,40377.0,24216.0,14611.0,12299.0,3.62,3.13,33709.0,
GUJNRECOKE,2008-07-18 14:41:00,2008-06-30,2008-04-01,False,html_old,55873,37764.0,38212.0,25870.0,11369.0,9440.0,2.8,2.42,33709.0,
GUJNRECOKE,2008-11-01 16:15:00,2008-09-30,2008-07-01,False,html_old,60371,49605.0,,35836.0,12283.0,10275.0,3.05,2.65,33709.0,
GUJNRECOKE,2009-01-19 10:13:00,2008-12-31,2008-10-01,False,html_old,60893,43433.0,,40093.0,1579.0,1326.0,0.28,0.24,47192.0,
GUJNRECOKE,2009-06-27 17:44:00,2009-03-31,2009-01-01,False,html_old,64904,21458.0,,20087.0,-11413.0,-10318.0,-2.19,-1.89,47192.0,
GUJNRECOKE,2009-07-20 09:56:00,2009-06-30,2009-04-01,False,html_old,65699,31004.0,,30451.0,554.0,364.0,0.08,0.07,47692.0,
GUJNRECOKE,2009-10-30 11:20:00,2009-09-30,2009-07-01,False,html_old,69331,38341.0,,33144.0,2790.0,2021.0,0.42,0.41,47692.0,
GUJNRECOKE,2010-01-25 08:58:00,2009-12-31,2009-10-01,False,html_old,71191,31247.0,,25533.0,3540.0,2668.0,0.56,0.48,48092.0,
GUJNRECOKE,2010-05-31 12:06:00,2010-03-31,2010-01-01,False,html_old,75215,39594.0,,38468.0,553.0,134.0,0.02,0.06,49819.0,
GUJNRECOKE,2010-07-09 13:31:00,2010-06-30,2010-04-01,False,html_old,75576,45215.0,,38799.0,3036.0,2004.0,0.37,0.36,54801.0,
GUJNRECOKE,2010-11-12 11:32:00,2010-09-30,2010-07-01,False,html_old,80460,24357.0,,20909.0,1478.0,992.0,0.17,0.17,55785.0,
GUJNRECOKE,2011-02-07 10:48:00,2010-12-31,2010-10-01,False,html_old,82443,43884.0,,39910.0,2159.0,2105.0,0.38,0.37,55797.0,
GUJNRECOKE,2011-04-25 11:44:00,2011-03-31,2011-01-01,False,html_old,83554,45938.0,,40750.0,5638.0,5082.0,0.92,0.91,55814.0,
GUJNRECOKE,2011-07-18 10:30:00,2011-06-30,2011-04-01,False,html_old,86690,43615.0,,33893.0,5845.0,3866.0,0.67,0.67,57729.0,
GUJNRECOKE,2011-11-08 12:31:00,2011-09-30,2011-07-01,False,html_old,89995,27004.0,,24190.0,1228.0,804.0,0.14,0.14,57737.0,
GUJNRECOKE,2012-02-13 21:01:00,2011-12-31,2011-10-01,False,html_old,92713,33557.0,,25508.0,277.0,190.0,0.03,0.03,57737.0,
GUJNRECOKE,2012-06-01 14:46:00,2012-03-31,2012-01-01,False,html_old,95629,33042.0,,29859.0,-6797.0,-4551.0,-0.79,-0.79,57737.0,
GUJNRECOKE,2012-08-24 19:16:00,2012-06-30,2012-04-01,False,html_old,99000,52612.0,,48727.0,-1656.0,-1102.0,,,57737.0,
GUJNRECOKE,2012-10-19 20:20:00,2012-09-30,2012-07-01,False,html_old,99861,33183.0,,23817.0,2541.0,1672.0,,,57737.0,
GUJNRECOKE,2013-01-10 11:47:00,2012-12-31,2012-10-01,False,html_old,101991,52711.0,,41382.0,3187.0,2012.0,,,62237.0,
GUJNRECOKE,2013-06-07 17:05:00,2013-03-31,2013-01-01,False,html_old,106726,32798.0,,25544.0,554.0,515.0,,,62237.0,0.0
GUJNRECOKE,2013-08-16 16:41:00,2013-06-30,2013-04-01,False,html_old,110533,32653.0,,35077.0,152.0,367.0,,,62737.0,0.0
GUJNRECOKE,2013-11-12 16:41:00,2013-09-30,2013-07-01,False,html_old,112352,32255.0,,37639.0,-13379.0,-9042.0,,,62737.0,0.0
GUJNRECOKE,2014-02-10 16:13:00,2013-12-31,2013-10-01,False,html_old,114948,19386.0,,51564.0,-39587.0,-27748.0,,,62737.0,0.0
GUJNRECOKE,2014-05-27 14:49:00,2014-03-31,2014-01-01,False,html_old,117992,8944.0,,46337.0,-30625.0,-19657.0,,,62737.0,0.0
GUJNRECOKE,2014-08-20 11:09:00,2014-06-30,2014-04-01,False,html_old,122184,6299.0,,12578.0,-5082.0,-6676.0,,,67303.0,0.0
GUJNRECOKE,2014-11-07 12:21:00,2014-09-30,2014-07-01,False,html_old,123402,9397.99,,13779.7,-11524.51,-7733.67,,,67597.3,0.0
GUJNRECOKE,2015-02-26 11:33:00,2014-12-31,2014-10-01,False,html_old,127050,11126.93,,17344.62,-14001.09,-9485.5,,,73595.3,0.0
GUJNRECOKE,2015-05-26 12:53:00,2015-03-31,2015-01-01,False,html_old,128884,11070.05,,14470.65,-12175.8,-8278.86,,,74247.3,0.0
GUJNRECOKE,2015-08-10 18:41:00,2015-06-30,2015-04-01,False,html_old,1001032,24202.52,,32335.53,-8307.26,-5633.68,,,74365.0,0.0
GUJNRECOKE,2015-11-09 12:30:00,2015-09-30,2015-07-01,False,html_old,1003403,23866.43,,30306.97,-14342.74,-9689.28,,,74365.0,0.0
GUJNRECOKE,2016-02-01 16:20:00,2015-12-31,2015-10-01,False,html_old,1004368,14162.0,,46883.0,-41180.0,-30073.0,,,101753.0,
GUJNRECOKE,2016-05-30 10:52:00,2016-03-31,2016-01-01,False,html_old,1009510,10916.0,,59424.0,-51714.0,-35158.0,,,160757.0,
GUJNRECOKE,2016-09-27 10:53:00,2015-06-30,2015-04-01,False,html_old,1013563,24737.0,,32912.0,-8944.0,-6066.0,,,74365.0,
GUJNRECOKE,2016-09-27 10:53:00,2016-06-30,2016-04-01,False,html_old,1013562,7268.0,,9144.0,-10880.0,-10880.0,,,165704.0,
GUJNRECOKE,2016-12-22 14:34:00,2015-09-30,2015-07-01,False,html_old,1017394,24389.0,,30839.0,-13385.0,-9043.0,,,69117.0,
GUJNRECOKE,2016-12-22 14:34:00,2016-09-30,2016-07-01,False,html_old,1017393,13358.0,,14759.0,-11010.0,-11010.0,,,165704.0,
GUJNRECOKE,2017-02-15 18:36:00,2015-12-31,2015-10-01,False,html_old,1019595,14345.0,,46964.0,-41232.0,-30080.0,,,101753.0,
GUJNRECOKE,2017-02-15 18:36:00,2016-12-31,2016-10-01,False,html_old,1019594,18182.0,,21235.0,-12626.0,-12626.0,,,165704.0,
GUJNRECOKE,2017-06-16 11:57:00,2017-03-31,2017-01-01,False,html_old,1025797,15313.0,15710.0,48775.0,-33065.0,-33065.0,0.0,0.0,165704.0,
GUJNRECOKE,2017-09-01 20:34:00,2017-06-30,2017-04-01,False,html_old,1029892,10014.0,10015.0,21897.0,-11882.0,-11882.0,0.0,0.0,165704.0,
GUJNRECOKE,2017-11-21 18:51:00,2017-09-30,2017-07-01,False,html_old,1033549,13325.0,13326.0,23914.0,-10588.0,-10588.0,0.0,0.0,165704.0,
GUJNRECOKE,2018-02-28 18:23:00,2017-12-31,2017-10-01,False,html_old,1037998,19868.0,19869.0,29687.0,-9818.0,-9818.0,0.0,0.0,165704.0,
GUJNRECOKE,2018-06-27 15:05:00,2018-03-31,2018-01-01,False,xbrl_new,1043842,1420400000.0,1421900000.0,2465700000.0,-1043800000.0,-1043800000.0,-0.63,0.63,16570400000.0,
