symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
GUJSIDHCEM,2007-07-31 19:26:00,2007-06-30,2007-04-01,False,html_old,47894,11427.05,11546.44,7774.12,3350.78,2091.95,1.45,1.45,14466.84,0.0
GUJSIDHCEM,2007-09-13 20:24:00,2007-03-31,2007-01-01,False,html_old,48059,12854.31,13598.47,10323.99,2806.58,3111.28,2.15,2.15,14466.84,0.0
GUJSIDHCEM,2007-10-31 15:39:00,2007-09-30,2007-07-01,False,html_old,50557,7687.25,7836.7,7046.0,652.86,422.1,0.29,0.29,14466.84,
GUJSIDHCEM,2008-01-29 21:56:00,2007-12-31,2007-10-01,False,html_old,51987,8124.03,8216.31,7792.35,408.68,-333.4,-0.23,,14466.84,
GUJSIDHCEM,2008-04-28 18:02:00,2008-03-31,2008-01-01,False,html_old,53356,12185.87,12573.58,10744.11,2269.57,2427.62,1.68,1.68,14466.84,
GUJSIDHCEM,2009-01-28 20:25:00,2008-12-31,2008-10-01,False,html_old,61459,11296.82,,9504.01,1874.68,1160.32,0.8,0.8,14466.84,
GUJSIDHCEM,2009-05-05 19:25:00,2009-03-31,2009-01-01,False,html_old,63532,11888.71,,9771.22,2170.02,1800.8,1.25,1.25,14466.84,
GUJSIDHCEM,2009-07-24 14:50:00,2009-06-30,2009-04-01,False,html_old,65897,11084.3,,8661.67,2450.88,1688.27,1.17,1.17,14466.84,
GUJSIDHCEM,2009-10-30 13:27:00,2009-09-30,2009-07-01,False,html_old,69349,8722.08,,8641.69,91.99,-584.15,-0.4,-0.4,14466.84,
GUJSIDHCEM,2010-07-29 20:43:00,2010-06-30,2010-04-01,False,html_old,76378,9504.47,,8820.58,700.28,462.27,0.32,0.32,14466.84,
GUJSIDHCEM,2010-10-29 13:25:00,2010-09-30,2010-07-01,False,html_old,79160,5043.25,,7380.01,-2101.21,-1292.39,-0.89,-0.89,14466.84,
GUJSIDHCEM,2011-02-07 09:26:00,2010-12-31,2010-10-01,False,html_old,82430,7422.31,,8195.24,-275.56,-4.47,0.0,0.0,14466.84,
GUJSIDHCEM,2011-08-10 17:07:00,2011-06-30,2011-04-01,False,html_old,87954,11260.4,,10512.93,912.55,616.48,0.43,0.43,14466.84,
GUJSIDHCEM,2011-11-09 18:57:00,2011-09-30,2011-07-01,False,html_old,90146,8015.04,,9660.83,-1673.24,-1308.21,-0.9,-0.9,14466.84,
GUJSIDHCEM,2012-02-08 16:07:00,2011-12-31,2011-10-01,False,html_old,92233,12212.68,,11437.43,786.21,470.58,0.33,0.33,14466.84,
GUJSIDHCEM,2012-05-14 20:09:00,2012-03-31,2012-01-01,False,html_old,94259,12170.66,,11286.79,1143.84,772.74,0.53,0.53,14466.84,
GUJSIDHCEM,2012-08-10 09:36:00,2012-06-30,2012-04-01,False,html_old,98252,13297.81,,11397.84,2809.81,1898.17,,,14466.84,
GUJSIDHCEM,2012-11-08 17:20:00,2012-09-30,2012-07-01,False,html_old,100957,10458.12,,9183.6,1440.16,876.62,,,14466.84,
GUJSIDHCEM,2013-02-09 19:03:00,2012-12-31,2012-10-01,False,html_old,102897,9580.12,,9882.69,-120.16,-102.18,,,14466.84,
