symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
HARRMALAYA,2007-04-30 21:48:00,2007-03-31,2007-01-01,False,html_old,44924,5942.0,6026.0,5463.0,217.0,199.0,1.08,1.08,1845.0,0.0
HARRMALAYA,2007-07-30 21:00:00,2007-06-30,2007-04-01,False,html_old,47731,4007.0,4181.0,3802.0,64.0,48.0,0.26,0.26,1845.0,0.0
HARRMALAYA,2007-10-31 23:11:00,2007-09-30,2007-07-01,False,html_old,50640,5007.0,5180.0,4885.0,247.0,221.0,1.2,1.2,1845.0,
HARRMALAYA,2008-01-30 23:14:00,2007-12-31,2007-10-01,False,html_old,52241,4960.0,5122.0,4533.0,425.0,397.0,2.15,2.15,1845.0,
HARRMALAYA,2008-05-28 18:55:00,2008-03-31,2008-01-01,False,html_old,54451,6015.0,6197.0,5812.0,-37.0,-48.0,-0.26,-0.26,1845.0,
HARRMALAYA,2008-07-29 12:13:00,2008-06-30,2008-04-01,False,html_old,56534,6929.0,7047.0,6024.0,736.0,676.0,3.66,3.66,1845.0,
HARRMALAYA,2008-10-22 15:43:00,2008-09-30,2008-07-01,False,html_old,58239,8836.0,,7806.0,838.0,740.0,4.01,4.01,1845.0,
HARRMALAYA,2009-01-27 14:09:00,2008-12-31,2008-10-01,False,html_old,61274,6968.0,,6644.0,139.0,87.0,0.47,0.47,1845.0,
HARRMALAYA,2009-05-26 14:06:00,2009-03-31,2009-01-01,False,html_old,64054,5993.0,,6833.0,-911.0,-899.0,-4.87,-4.87,1845.0,
HARRMALAYA,2009-07-23 18:41:00,2009-06-30,2009-04-01,False,html_old,65902,6882.0,,6364.0,330.0,293.0,1.59,1.59,1845.0,
HARRMALAYA,2009-10-26 17:28:00,2009-09-30,2009-07-01,False,html_old,68325,8428.0,,7892.0,376.0,322.0,1.75,1.75,1845.0,
HARRMALAYA,2010-01-29 14:30:00,2009-12-31,2009-10-01,False,html_old,71707,8379.0,,7476.0,752.0,636.0,3.45,3.45,1845.0,
HARRMALAYA,2010-05-11 18:24:00,2010-03-31,2010-01-01,False,html_old,73748,8946.0,,8849.0,-105.0,-105.0,-0.57,-0.57,1845.0,
HARRMALAYA,2010-08-09 18:37:00,2010-06-30,2010-04-01,False,html_old,76966,7632.0,,7773.0,-389.0,-389.0,-2.11,-2.11,1845.0,
HARRMALAYA,2010-10-26 13:19:00,2010-09-30,2010-07-01,False,html_old,78510,8949.0,,9327.0,-598.0,-598.0,-3.24,-3.24,1845.0,
HARRMALAYA,2011-02-09 16:54:00,2010-12-31,2010-10-01,False,html_old,82598,9428.0,,8878.0,557.0,557.0,3.02,3.02,1845.0,
HARRMALAYA,2011-06-17 12:18:00,2011-03-31,2011-01-01,False,html_old,86243,10426.0,,9648.0,955.0,825.0,4.47,4.47,1845.0,
HARRMALAYA,2011-07-27 14:37:00,2011-06-30,2011-04-01,False,html_old,87054,8529.0,,7829.0,492.0,347.0,1.88,1.88,1845.0,
HARRMALAYA,2011-11-21 15:51:00,2011-09-30,2011-07-01,False,html_old,90874,8341.0,,8810.0,-582.0,-437.0,-2.37,-2.37,1845.0,
HARRMALAYA,2012-02-17 21:39:00,2011-12-31,2011-10-01,False,html_old,93119,9285.0,,8291.0,730.0,730.0,3.96,3.96,1845.0,
HARRMALAYA,2012-05-16 18:56:00,2012-03-31,2012-01-01,False,html_old,94670,9765.0,,9222.0,378.0,-122.0,-0.66,-0.66,1845.0,
HARRMALAYA,2012-09-05 09:34:00,2012-06-30,2012-04-01,False,html_old,99496,6717.0,,7158.0,-423.0,-423.0,,,1845.0,
HARRMALAYA,2012-11-10 14:31:00,2012-09-30,2012-07-01,False,html_old,101226,8231.0,,8432.0,-359.0,-359.0,,,1845.0,
HARRMALAYA,2013-02-22 11:36:00,2012-12-31,2012-10-01,False,html_old,103755,9724.0,,8650.0,1014.0,1014.0,,,1845.0,
HARRMALAYA,2013-06-21 18:21:00,2013-03-31,2013-01-01,False,html_old,108153,8673.0,,8944.0,116.0,-2.0,,,1845.0,0.0
HARRMALAYA,2013-08-17 12:13:00,2013-06-30,2013-04-01,False,html_old,110737,7428.0,,8121.0,37.0,37.0,,,1845.0,16164.0
HARRMALAYA,2013-11-22 13:49:00,2013-09-30,2013-07-01,False,html_old,113182,8491.0,,8709.0,-172.0,-306.0,,,1845.0,0.0
