symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
HCLTECH,2007-04-17 17:25:00,2007-03-31,2007-01-01,False,html_old,44228,95897.0,102337.0,72696.0,24749.0,23859.0,3.67,3.47,13274.0,0.0
HCLTECH,2007-08-13 17:02:00,2007-06-30,2007-04-01,False,html_old,48236,94113.0,123872.0,73775.0,44785.0,39123.0,5.89,5.7,13274.0,0.0
HCLTECH,2007-10-16 15:56:00,2007-09-30,2007-07-01,False,html_old,48531,110286.0,114611.0,86636.0,27595.0,26417.0,3.98,3.86,13276.0,
HCLTECH,2008-01-17 16:14:00,2007-12-31,2007-10-01,False,html_old,51287,112920.0,118530.0,89984.0,27970.0,26695.0,4.02,3.89,13276.0,
HCLTECH,2008-04-15 15:55:00,2008-03-31,2008-01-01,False,html_old,52871,127558.0,131183.0,102004.0,28564.0,26308.0,3.96,3.85,13303.0,
HCLTECH,2008-08-01 16:12:00,2008-06-30,2008-04-01,False,html_old,57395,110775.0,114256.0,110522.0,3398.0,-1354.0,-0.21,-0.21,13327.0,
HCLTECH,2008-10-15 16:51:00,2008-09-30,2008-07-01,False,html_old,57735,117580.0,,94879.0,27431.0,25379.0,3.8,3.72,13374.0,
HCLTECH,2009-01-23 16:34:00,2008-12-31,2008-10-01,False,html_old,61169,130485.0,,94846.0,47870.0,39801.0,5.95,5.9,13393.0,
HCLTECH,2009-04-22 09:02:00,2009-03-31,2009-01-01,False,html_old,62722,104890.0,,90703.0,18414.0,15257.0,2.28,2.26,13395.0,
HCLTECH,2009-08-25 09:35:00,2009-06-30,2009-04-01,False,html_old,67365,114554.0,,91461.0,25677.0,19294.0,2.88,2.85,13405.0,
HCLTECH,2009-10-28 09:01:00,2009-09-30,2009-07-01,False,html_old,68627,124732.0,,93486.0,34510.0,30075.0,4.49,4.38,13425.0,
HCLTECH,2010-01-25 08:29:00,2009-12-31,2009-10-01,False,html_old,71187,121371.0,,95386.0,26929.0,25544.0,3.8,3.7,13470.0,
HCLTECH,2010-04-21 08:36:00,2010-03-31,2010-01-01,False,html_old,72656,128711.0,,100783.0,28873.0,26257.0,3.89,3.79,13522.0,
HCLTECH,2010-07-29 08:28:00,2010-06-30,2010-04-01,False,html_old,76255,133061.0,,109107.0,24970.0,23782.0,3.51,3.43,13576.0,
