symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
HDFCBANK,2007-04-24 16:59:00,2007-03-31,2007-01-01,False,html_old,44415,,,,,,,,,
HDFCBANK,2007-07-10 13:50:00,2007-06-30,2007-04-01,False,html_old,46670,,,,,,,,,
HDFCBANK,2007-10-12 13:10:00,2007-09-30,2007-07-01,False,html_old,48423,,,,,,,,,
HDFCBANK,2008-01-21 16:38:00,2007-12-31,2007-10-01,False,html_old,51397,,,,,,,,,
HDFCBANK,2008-04-24 16:03:00,2008-03-31,2008-01-01,False,html_old,53101,,,,,,,,,
HDFCBANK,2008-07-28 13:50:00,2008-06-30,2008-04-01,False,html_old,56375,,,,,,,,,
HDFCBANK,2008-10-16 15:54:00,2008-09-30,2008-07-01,False,html_old,57771,,,,,,,,,
HDFCBANK,2009-01-14 13:45:00,2008-12-31,2008-10-01,False,html_old,60833,,,,,,,,,
HDFCBANK,2009-04-23 18:01:00,2009-03-31,2009-01-01,False,html_old,62794,,,,,,,,,
HDFCBANK,2009-07-14 12:28:00,2009-06-30,2009-04-01,False,html_old,65588,,,,,,,,,
HDFCBANK,2009-10-14 13:37:00,2009-09-30,2009-07-01,False,html_old,67624,,,,,,,,,
HDFCBANK,2010-01-15 13:17:00,2009-12-31,2009-10-01,False,html_old,70815,,,,,,,,,
HDFCBANK,2010-04-24 15:56:00,2010-03-31,2010-01-01,False,html_old,72777,,,,,,,,,
HDFCBANK,2010-07-19 15:32:00,2010-06-30,2010-04-01,False,html_old,75674,,,,,,,,,
HDFCBANK,2010-10-19 17:15:00,2010-09-30,2010-07-01,False,html_old,78004,,,,,,,,,
HDFCBANK,2011-01-27 18:07:00,2010-12-31,2010-10-01,False,html_old,81832,,,,,,,,,
HDFCBANK,2011-04-18 17:26:00,2011-03-31,2011-01-01,False,html_old,83445,,,,,,,,,
HDFCBANK,2011-07-19 13:50:00,2011-06-30,2011-04-01,False,html_old,86728,,,,,,,,,
HDFCBANK,2011-10-19 14:09:00,2011-09-30,2011-07-01,False,html_old,89195,,,,,,,,,
HDFCBANK,2012-01-19 14:26:00,2011-12-31,2011-10-01,False,html_old,91360,,,,,,,,,
HDFCBANK,2012-04-18 13:36:00,2012-03-31,2012-01-01,False,html_old,93390,,,,,,,,,
HDFCBANK,2012-07-13 18:50:00,2012-06-30,2012-04-01,False,html_old,97310,,,,,,,,,
HDFCBANK,2012-10-12 16:26:00,2012-09-30,2012-07-01,False,html_old,99739,,,,,,,,,
HDFCBANK,2013-01-18 14:52:00,2012-12-31,2012-10-01,False,html_old,102065,,,,,,,,,
HDFCBANK,2013-04-26 14:21:00,2013-03-31,2013-01-01,False,html_old,104174,1112754.0,,,,,,,,
HDFCBANK,2013-07-18 10:13:00,2013-06-30,2013-04-01,False,html_old,108995,1158856.0,,,,,,,,
HDFCBANK,2013-10-15 16:41:00,2013-09-30,2013-07-01,False,html_old,111515,1193769.0,,,,,,,,
HDFCBANK,2014-01-17 14:29:00,2013-12-31,2013-10-01,False,html_old,113911,1273895.0,,,,,,,,
HDFCBANK,2014-04-22 17:25:00,2014-03-31,2014-01-01,False,html_old,116306,1278998.0,,,,,,,,
HDFCBANK,2014-07-21 14:05:00,2014-06-30,2014-04-01,False,html_old,120695,1307065.0,,,,,,,,
HDFCBANK,2014-10-22 12:25:00,2014-09-30,2014-07-01,False,html_old,122952,1389473.0,,,,,,,,
HDFCBANK,2015-02-18 16:45:00,2014-12-31,2014-10-01,False,html_old,126327,1493074.0,,,,,,,,
HDFCBANK,2015-04-24 11:45:00,2015-03-31,2015-01-01,False,html_old,127178,1557013.0,,,,,,,,
HDFCBANK,2015-07-21 16:46:00,2015-06-30,2015-04-01,False,html_old,1000112,1650297.0,,,,,,,,
HDFCBANK,2015-10-23 12:48:00,2015-09-30,2015-07-01,False,html_old,1002181,1732428.0,,,,,,,,
HDFCBANK,2016-02-14 17:06:00,2015-12-31,2015-10-01,False,html_old,1004318,1828331.0,,,,,,,,
HDFCBANK,2016-04-29 11:48:00,2016-03-31,2016-01-01,False,html_old,1006251,1886261.0,,,,,,,,
HDFCBANK,2016-07-27 18:40:00,2016-06-30,2016-04-01,False,html_old,1010921,1932263.0,,,,,,,,
HDFCBANK,2016-11-07 14:10:00,2016-09-30,2016-07-01,False,html_old,1014867,1997089.0,,,,,,,,
HDFCBANK,2017-01-24 14:14:00,2016-12-31,2016-10-01,False,html_old,1017903,2074827.0,,,,,,,,
HDFCBANK,2017-06-18 12:45:00,2017-03-31,2017-01-01,False,html_old,1020830,2156066.0,,,,,,,,
HDFCBANK,2017-08-02 14:54:00,2017-06-30,2017-04-01,False,html_old,1027959,2218538.0,,,,,,,,
HDFCBANK,2017-10-31 13:51:00,2017-09-30,2017-07-01,False,html_old,1031792,2327618.0,,,,,,,,
HDFCBANK,2018-01-22 19:02:00,2017-12-31,2017-10-01,False,html_old,1035301,2445044.0,,,,,,,,
HDFCBANK,2018-07-31 19:35:00,2018-03-31,2018-01-01,False,xbrl_new,1038631,,,,,,,,,
HDFCBANK,2018-08-10 14:18:00,2018-06-30,2018-04-01,False,xbrl_new,1046956,,263670400000.0,,,,,,5208300000.0,
HDFCBANK,2018-10-23 10:44:00,2018-09-30,2018-07-01,False,xbrl_new,1049790,,,,,,,,,
HDFCBANK,2019-01-21 19:01:00,2018-12-31,2018-10-01,False,xbrl_new,1054595,,308112700000.0,,,,,,5439000000.0,
HDFCBANK,2019-04-23 18:11:00,2019-03-31,2019-01-01,False,xbrl_new,1059034,,312044600000.0,,,,,,5446600000.0,
HDFCBANK,2019-09-09 12:31:00,2019-06-30,2019-04-01,True,xbrl_new,1065017,,343244500000.0,,,,,,5465600000.0,
HDFCBANK,2019-09-09 12:31:00,2019-06-30,2019-04-01,False,xbrl_new,1065016,,323618400000.0,,,,,,5465600000.0,
HDFCBANK,2019-10-25 20:02:00,2019-09-30,2019-07-01,False,xbrl_new,1068991,,337550000000.0,,,,,,5470800000.0,
HDFCBANK,2020-01-21 14:45:00,2019-12-31,2019-10-01,True,xbrl_new,1074596,,383257000000.0,,,,,,5477000000.0,
HDFCBANK,2020-01-21 15:05:00,2019-12-31,2019-10-01,False,xbrl_new,1074594,,360390000000.0,,,,,,5477000000.0,
HDFCBANK,2020-01-24 14:55:00,2019-09-30,2019-07-01,True,xbrl_new,1074666,,361309600000.0,,,,,,5470800000.0,
HDFCBANK,2020-04-20 12:12:00,2020-03-31,2020-01-01,False,xbrl_new,1081307,,359176300000.0,,,,,,5483300000.0,
HDFCBANK,2020-04-20 12:17:00,2020-03-31,2020-01-01,True,xbrl_new,1081309,,382871700000.0,,,,,,5483300000.0,
HDFCBANK,2020-07-29 02:14:00,2020-06-30,2020-04-01,True,xbrl_new,1087202,,366985900000.0,,,,,,5490300000.0,
HDFCBANK,2020-07-29 02:14:00,2020-06-30,2020-04-01,False,xbrl_new,1087203,,344532800000.0,,,,,,5490300000.0,
HDFCBANK,2020-11-05 18:05:00,2020-09-30,2020-07-01,True,xbrl_new,1092521,,384384700000.0,,,,,,5503700000.0,
HDFCBANK,2020-11-05 18:06:00,2020-09-30,2020-07-01,False,xbrl_new,1092519,,360694200000.0,,,,,,5503700000.0,
HDFCBANK,2021-01-18 12:35:00,2020-12-31,2020-10-01,False,xbrl_new,1099767,,375229200000.0,,,,,,5507700000.0,
HDFCBANK,2021-01-18 12:37:00,2020-12-31,2020-10-01,True,xbrl_new,1099769,,398387300000.0,,,,,,5507700000.0,
HDFCBANK,2021-04-19 18:50:00,2021-03-31,2021-01-01,False,xbrl_new,1106400,,380175000000.0,,,,,,5512800000.0,
HDFCBANK,2021-07-19 11:45:00,2021-06-30,2021-04-01,False,xbrl_new,1113701,,367714700000.0,,,,,,5526700000.0,
HDFCBANK,2021-07-19 11:48:00,2021-06-30,2021-04-01,True,xbrl_new,1113702,,389336300000.0,,,,,,5526700000.0,
HDFCBANK,2021-10-18 17:48:00,2021-09-30,2021-07-01,False,xbrl_new,1117245,,387541600000.0,,,,,,5537500000.0,
HDFCBANK,2021-10-18 17:50:00,2021-09-30,2021-07-01,True,xbrl_new,1117247,,414363600000.0,,,,,,5537500000.0,
HDFCBANK,2022-01-17 11:41:00,2021-12-31,2021-10-01,True,xbrl_new,1124240,,433649600000.0,,,,,,5542400000.0,
HDFCBANK,2022-04-18 14:30:00,2022-03-31,2022-01-01,False,xbrl_new,1130953,,410857800000.0,,,,,,5545500000.0,
HDFCBANK,2022-04-18 14:32:00,2022-03-31,2022-01-01,True,xbrl_new,1130955,,439604500000.0,,,,,,5545500000.0,
HDFCBANK,2022-04-26 16:16:00,2021-12-31,2021-10-01,False,xbrl_new,1124238,,406516000000.0,,,,,,5542400000.0,
HDFCBANK,2022-04-26 16:33:00,2021-03-31,2021-01-01,True,xbrl_new,1106398,,409094900000.0,,,,,,5512800000.0,
HDFCBANK,2022-07-16 18:40:00,2022-06-30,2022-04-01,True,xbrl_new,41,,442023200000.0,,,,,,5554600000.0,
HDFCBANK,2022-07-16 18:40:00,2022-06-30,2022-04-01,False,xbrl_new,21,,415602700000.0,,,,,,5554600000.0,
HDFCBANK,2022-10-18 13:53:00,2022-09-30,2022-07-01,False,xbrl_new,421,,461819600000.0,,,,,,5570000000.0,
HDFCBANK,2022-10-18 13:54:00,2022-09-30,2022-07-01,True,xbrl_new,423,,491821000000.0,,,,,,5570000000.0,
HDFCBANK,2023-01-14 15:39:00,2022-12-31,2022-10-01,False,xbrl_new,1138622,,512076100000.0,,,,,,5576800000.0,
HDFCBANK,2023-01-14 16:36:00,2022-12-31,2022-10-01,True,xbrl_new,1138624,,541228400000.0,,,,,,5576800000.0,
HDFCBANK,2023-04-17 14:24:00,2023-03-31,2023-01-01,False,xbrl_new,1145088,,538505400000.0,,,,,,5579700000.0,
HDFCBANK,2023-04-17 14:25:00,2023-03-31,2023-01-01,True,xbrl_new,1145090,,571588400000.0,,,,,,5579700000.0,
HDFCBANK,2023-07-17 18:26:00,2023-06-30,2023-04-01,False,xbrl_new,1151873,,578166700000.0,,,,,,5591800000.0,
HDFCBANK,2023-07-17 18:34:00,2023-06-30,2023-04-01,True,xbrl_new,1151874,,610212900000.0,,,,,,5591800000.0,
