symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
HFCL,2011-09-02 18:23:00,2011-06-30,2011-04-01,False,html_old,88943,4847.26,,4648.71,-476.33,-476.33,-0.06,-0.05,9923.95,
HFCL,2011-11-11 17:30:00,2011-09-30,2011-07-01,False,html_old,90336,4977.95,,4279.62,34.64,34.64,-0.01,-0.01,9923.95,
HFCL,2012-02-15 21:07:00,2011-12-31,2011-10-01,False,html_old,92760,7019.91,,6249.08,217.3,217.3,,,12393.77,
HFCL,2012-06-01 16:49:00,2012-03-31,2012-01-01,False,html_old,96066,9225.66,,8320.8,1372.39,1367.27,0.1,0.1,12393.77,
HFCL,2012-07-23 14:42:00,2012-06-30,2012-04-01,False,html_old,97405,12745.43,,11279.95,1765.04,1765.04,,,12393.77,
HFCL,2012-11-05 18:35:00,2012-09-30,2012-07-01,False,html_old,100554,11322.15,,9998.37,915.68,915.68,,,12939.77,
HFCL,2013-02-02 15:34:00,2012-12-31,2012-10-01,False,html_old,102313,13944.5,,11948.02,1346.93,1346.93,,,12393.77,
HFCL,2013-05-13 16:57:00,2013-03-31,2013-01-01,False,html_old,104683,22522.87,,20717.52,1456.39,1452.39,,,12393.77,0.0
HFCL,2013-07-23 11:21:00,2013-06-30,2013-04-01,False,html_old,109109,25832.8,,23834.47,1529.07,1529.07,,,12393.77,0.0
HFCL,2013-10-17 09:41:00,2013-09-30,2013-07-01,False,html_old,111521,50402.95,,44725.3,5015.56,5015.56,,,12393.77,0.0
HFCL,2014-01-20 11:13:00,2013-12-31,2013-10-01,False,html_old,113922,58132.04,,51939.0,5548.08,5548.08,,,12393.77,0.0
HFCL,2014-05-02 18:21:00,2014-03-31,2014-01-01,False,html_old,116639,67509.87,,64682.95,2658.19,2655.19,,,12393.77,0.0
HFCL,2014-07-11 10:25:00,2014-06-30,2014-04-01,False,html_old,120611,61881.75,,54399.76,6946.69,6946.69,,,12393.77,0.0
HFCL,2014-10-21 14:25:00,2014-09-30,2014-07-01,False,html_old,122891,65058.0,,57721.0,6894.0,6894.0,,,12394.0,0.0
HFCL,2015-01-21 14:25:00,2014-12-31,2014-10-01,False,html_old,125123,60050.0,,54924.0,4207.0,4207.0,,,12394.0,0.0
HFCL,2015-05-19 11:53:00,2015-03-31,2015-01-01,False,html_old,128036,68118.43,,66806.78,945.41,943.54,,,12393.77,0.0
HFCL,2015-08-04 09:51:00,2015-06-30,2015-04-01,False,html_old,1000594,62537.07,,54402.06,11238.28,11238.28,,,12393.77,0.0
HFCL,2015-10-27 14:51:00,2015-09-30,2015-07-01,False,html_old,1002302,58751.74,,50957.64,7169.02,7169.02,,,12393.77,0.0
HFCL,2016-02-14 16:53:00,2015-12-31,2015-10-01,False,html_old,1004276,59274.0,,51412.0,7016.0,7016.0,,,12394.0,
HFCL,2016-05-16 15:34:00,2016-03-31,2016-01-01,False,html_old,1006932,76391.0,,74988.0,-13522.0,-13522.0,,,12394.0,
HFCL,2016-11-16 12:35:00,2016-06-30,2016-04-01,False,html_old,1013630,50399.0,,44463.0,4618.0,4618.0,,,12394.0,
HFCL,2016-11-16 12:37:00,2015-06-30,2015-04-01,False,html_old,1013631,62537.0,,54194.0,10940.0,10940.0,,,12394.0,
HFCL,2016-12-08 13:42:00,2015-09-30,2015-07-01,False,html_old,1017212,65270.0,,58463.0,6303.0,6303.0,,,12394.0,
HFCL,2016-12-08 13:42:00,2016-09-30,2016-07-01,False,html_old,1017211,47034.0,,43310.0,2489.0,2489.0,,,12394.0,
HFCL,2016-12-08 14:09:00,2016-09-30,2016-07-01,True,html_old,1017213,49255.0,,45412.0,2417.0,2417.0,,,12394.0,
HFCL,2017-02-17 18:26:00,2016-12-31,2016-10-01,True,html_old,1020482,46022.0,,41863.0,2557.0,2582.0,,,12394.0,
HFCL,2017-02-17 18:26:00,2015-12-31,2015-10-01,False,html_old,1020481,65726.0,,57474.0,7042.0,7042.0,,,12394.0,
HFCL,2017-02-17 18:26:00,2016-12-31,2016-10-01,False,html_old,1020480,44199.0,,40598.0,2078.0,2103.0,,,12394.0,
HFCL,2017-05-27 19:25:00,2017-03-31,2017-01-01,False,html_old,1021889,77449.0,78366.0,75179.0,3187.0,3162.0,27.0,27.0,12394.0,
HFCL,2017-05-27 19:30:00,2017-03-31,2017-01-01,True,html_old,1021893,83258.0,84586.0,81373.0,3213.0,3137.0,25.0,25.0,12394.0,
HFCL,2017-09-01 20:51:00,2017-06-30,2017-04-01,False,html_old,1029162,90371.0,90961.0,86948.0,4013.0,2563.0,0.22,0.22,12394.0,
HFCL,2017-11-10 12:15:00,2017-09-30,2017-07-01,False,html_old,1032531,66371.0,66788.0,62742.0,4046.0,2517.0,0.2,0.2,12394.0,
HFCL,2018-02-15 14:06:00,2017-12-31,2017-10-01,False,html_old,1036847,85393.0,85743.0,80320.0,5423.0,4548.0,0.36,0.36,12394.0,
HFCL,2018-04-02 19:32:00,2016-03-31,2016-01-01,False,xbrl_new,1021890,,,,,,,,,
