symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
HONAUT,2007-02-03 15:16:00,2006-12-31,2006-10-01,False,html_old,43996,19540.0,19820.0,16970.0,2530.0,1520.0,17.2,17.2,880.0,0.0
HONAUT,2007-04-12 16:57:00,2007-03-31,2007-01-01,False,html_old,44185,18900.0,18950.0,16670.0,2030.0,1580.0,17.91,17.91,880.0,0.0
HONAUT,2007-07-30 20:30:00,2007-06-30,2007-04-01,False,html_old,47715,21620.0,21660.0,19260.0,2130.0,1390.0,15.65,15.65,880.0,0.0
HONAUT,2007-10-22 11:40:00,2007-09-30,2007-07-01,False,html_old,48751,22710.0,22880.0,20060.0,2750.0,1830.0,20.75,20.75,880.0,
HONAUT,2008-01-25 10:46:00,2007-12-31,2007-10-01,False,html_old,51648,23600.0,23690.0,21690.0,1940.0,1710.0,19.3,19.3,880.0,
HONAUT,2008-04-09 14:53:00,2008-03-31,2008-01-01,False,html_old,52843,22010.0,22130.0,20690.0,1430.0,1090.0,12.32,12.32,880.0,
HONAUT,2008-07-28 20:54:00,2008-06-30,2008-04-01,False,html_old,56466,23682.0,23931.0,21324.0,2591.0,1780.0,20.13,20.13,884.0,
HONAUT,2008-10-14 19:09:00,2008-09-30,2008-07-01,False,html_old,57714,22841.0,,19498.0,4294.0,2895.0,32.75,32.75,884.0,
HONAUT,2009-02-12 10:56:00,2008-12-31,2008-10-01,False,html_old,62403,27722.0,,24326.0,3445.0,2420.0,27.37,27.37,884.0,
HONAUT,2009-04-16 12:31:00,2009-03-31,2009-01-01,False,html_old,62656,27478.0,,23197.0,4320.0,2981.0,33.71,33.71,884.0,
HONAUT,2009-07-31 12:31:00,2009-06-30,2009-04-01,False,html_old,66866,27823.0,,23831.0,4594.0,3188.0,36.06,36.06,884.0,
HONAUT,2009-10-23 14:18:00,2009-09-30,2009-07-01,False,html_old,68020,26689.0,,22415.0,4551.0,3614.0,40.88,40.88,884.0,
HONAUT,2010-02-01 15:40:00,2009-12-31,2009-10-01,False,html_old,72331,31908.0,,27501.0,4735.0,3497.0,39.55,39.55,884.0,
HONAUT,2010-04-22 14:38:00,2010-03-31,2010-01-01,False,html_old,72686,27867.0,,24064.0,3965.0,3069.0,34.71,34.71,884.0,
HONAUT,2010-07-16 13:03:00,2010-06-30,2010-04-01,False,html_old,75635,33167.0,,31383.0,2411.0,2278.0,25.76,25.76,884.0,
HONAUT,2010-10-13 16:49:00,2010-09-30,2010-07-01,False,html_old,77861,36400.0,,33589.0,3123.0,2588.0,29.28,29.28,884.0,
HONAUT,2011-02-09 14:56:00,2010-12-31,2010-10-01,False,html_old,82574,38037.0,,33902.0,4391.0,2574.0,29.12,29.12,884.0,
HONAUT,2011-04-21 18:20:00,2011-03-31,2011-01-01,False,html_old,83508,35147.0,,31532.0,4028.0,3181.0,35.98,35.98,884.0,
HONAUT,2011-07-20 18:46:00,2011-06-30,2011-04-01,False,html_old,86774,34771.0,,31545.0,3600.0,2580.0,29.19,29.19,884.0,
HONAUT,2011-10-18 17:25:00,2011-09-30,2011-07-01,False,html_old,89172,41215.0,,39196.0,2532.0,1568.0,17.74,17.74,884.0,
HONAUT,2012-04-20 18:34:00,2012-03-31,2012-01-01,False,html_old,93396,41262.0,,39180.0,2325.0,1656.0,18.73,18.73,884.0,
HONAUT,2012-07-19 15:32:00,2012-06-30,2012-04-01,False,html_old,97343,38656.0,,37634.0,1657.0,1175.0,,,884.0,
HONAUT,2012-10-26 21:05:00,2012-09-30,2012-07-01,False,html_old,100096,40785.0,,38289.0,2787.0,2116.0,,,884.0,
HONAUT,2013-02-15 12:28:00,2012-12-31,2012-10-01,False,html_old,103124,45338.0,,40491.0,5163.0,3570.0,,,884.0,
HONAUT,2013-06-28 13:05:00,2013-03-31,2013-01-01,False,html_old,108622,38541.0,,36497.0,2257.0,1528.0,,,884.0,0.0
HONAUT,2013-07-19 16:53:00,2013-06-30,2013-04-01,False,html_old,109040,43379.0,,40084.0,3895.0,2806.0,,,884.0,69631.0
HONAUT,2013-11-18 17:01:00,2013-09-30,2013-07-01,False,html_old,112599,43590.0,,42563.0,1841.0,1397.0,,,884.0,69631.0
HONAUT,2014-02-06 18:33:00,2013-12-31,2013-10-01,False,html_old,114749,45178.0,,41283.0,4285.0,2885.0,,,884.0,0.0
HONAUT,2014-05-05 11:37:00,2014-03-31,2014-01-01,False,html_old,116692,40712.0,,37266.0,3815.0,2558.0,,,884.0,77213.0
HONAUT,2014-08-18 15:25:00,2014-06-30,2014-04-01,False,html_old,121856,44665.0,,40873.0,4250.0,2862.0,,,884.0,77213.0
HONAUT,2014-11-24 11:41:00,2014-09-30,2014-07-01,False,html_old,124843,51189.0,,46667.0,5025.0,2988.0,,,884.0,0.0
HONAUT,2015-02-10 12:25:00,2014-12-31,2014-10-01,False,html_old,125942,60452.0,,55071.0,3356.0,2300.0,,,884.0,0.0
HONAUT,2015-07-21 16:51:00,2015-06-30,2015-04-01,False,html_old,1000109,51275.0,,45915.0,5948.0,3721.0,,,884.0,87303.0
HONAUT,2015-11-05 11:07:00,2015-09-30,2015-07-01,False,html_old,1002771,50929.0,,45582.0,6163.0,4128.0,,,884.0,87303.0
HONAUT,2016-02-14 17:21:00,2015-12-31,2015-10-01,False,html_old,1005744,60049.0,,55047.0,5703.0,3204.0,,,884.0,
HONAUT,2016-05-24 10:13:00,2016-03-31,2016-01-01,False,html_old,1007861,56403.0,,52769.0,4350.0,2798.0,,,884.0,
HONAUT,2016-09-28 14:24:00,2015-06-30,2015-04-01,False,html_old,1014006,51275.0,,45878.0,6001.0,3751.0,,,884.0,
HONAUT,2016-09-28 14:24:00,2016-03-31,2016-01-01,False,html_old,1014005,56403.0,,52361.0,4773.0,3067.0,,,884.0,
HONAUT,2016-09-28 14:24:00,2016-06-30,2016-04-01,False,html_old,1014004,56391.0,,51946.0,5847.0,3819.0,,,884.0,
HONAUT,2016-11-12 19:20:00,2016-09-30,2016-07-01,False,html_old,1015821,58886.0,,52423.0,7069.0,4538.0,,,884.0,
HONAUT,2016-11-12 19:21:00,2015-09-30,2015-07-01,False,html_old,1015822,51668.0,,46293.0,6208.0,4151.0,,,884.0,
HONAUT,2017-02-11 17:06:00,2016-12-31,2016-10-01,False,html_old,1018745,68182.0,,59377.0,9896.0,6402.0,,,884.0,
HONAUT,2017-02-11 17:07:00,2015-12-31,2015-10-01,False,html_old,1018746,60813.0,,55895.0,5635.0,3152.0,,,884.0,
HONAUT,2017-06-07 18:22:00,2017-03-31,2017-01-01,False,html_old,1023857,60121.0,61222.0,53303.0,7919.0,2186.0,24.73,24.73,884.0,
HONAUT,2017-08-18 17:28:00,2017-06-30,2017-04-01,False,html_old,1028938,,,,,,,,,
HONAUT,2017-11-22 16:06:00,2017-09-30,2017-07-01,False,html_old,1033649,67288.0,68229.0,56944.0,11285.0,7373.0,83.39,83.39,884.0,
HONAUT,2018-02-28 19:07:00,2017-12-31,2017-10-01,False,html_old,1037351,72132.0,72808.0,63267.0,9541.0,6226.0,70.42,70.42,884.0,
HONAUT,2018-05-26 16:42:00,2018-03-31,2018-01-01,False,xbrl_new,1040324,6397600000.0,6522700000.0,5640800000.0,881900000.0,583700000.0,66.02,66.02,88400000.0,
HONAUT,2018-08-20 11:04:00,2018-06-30,2018-04-01,False,xbrl_new,1047898,7703700000.0,7950400000.0,6537100000.0,1413300000.0,917100000.0,103.73,103.73,88400000.0,
HONAUT,2018-11-22 11:54:00,2018-09-30,2018-07-01,False,xbrl_new,1051025,7823100000.0,8036000000.0,6537000000.0,1499000000.0,973900000.0,110.15,110.15,88400000.0,
HONAUT,2019-02-11 19:07:00,2018-12-31,2018-10-01,False,xbrl_new,1055908,8117900000.0,8295100000.0,6975500000.0,1319600000.0,856200000.0,96.86,96.86,88400000.0,
HONAUT,2019-05-13 18:32:00,2019-03-31,2019-01-01,False,xbrl_new,1060192,8102700000.0,8252500000.0,6935500000.0,1317000000.0,841200000.0,95.14,95.14,88400000.0,
HONAUT,2019-08-10 11:31:00,2019-06-30,2019-04-01,False,xbrl_new,1066566,8570300000.0,8756500000.0,6990300000.0,1766200000.0,1141000000.0,129.05,129.05,88400000.0,
HONAUT,2019-10-26 16:21:00,2019-09-30,2019-07-01,False,xbrl_new,1069723,8275200000.0,8536500000.0,6871000000.0,1665500000.0,1202100000.0,135.96,135.96,88400000.0,
HONAUT,2020-02-03 19:32:00,2019-12-31,2019-10-01,False,xbrl_new,1076050,9012000000.0,9203800000.0,7259400000.0,1944400000.0,1447400000.0,163.71,163.71,88400000.0,
HONAUT,2020-05-22 18:13:00,2020-03-31,2020-01-01,False,xbrl_new,1082026,7042600000.0,7379800000.0,5890400000.0,1489400000.0,1111400000.0,125.7,125.7,88400000.0,
HONAUT,2020-08-06 20:12:00,2020-06-30,2020-04-01,False,xbrl_new,1089535,7362300000.0,7536600000.0,6214000000.0,1322600000.0,980800000.0,110.93,110.93,88400000.0,
HONAUT,2020-11-10 16:17:00,2020-09-30,2020-07-01,False,xbrl_new,1095779,7596900000.0,7740500000.0,6285600000.0,1454900000.0,1080500000.0,122.21,122.21,88400000.0,
HONAUT,2021-02-04 21:51:00,2020-12-31,2020-10-01,False,xbrl_new,1101873,8741600000.0,9026100000.0,7006000000.0,2020100000.0,1498900000.0,169.53,169.53,88400000.0,
HONAUT,2021-06-01 15:43:00,2021-03-31,2021-01-01,False,xbrl_new,1109278,6727000000.0,6964300000.0,5581700000.0,1382600000.0,1040200000.0,117.65,117.65,88400000.0,
HONAUT,2021-08-05 19:26:00,2021-06-30,2021-04-01,False,xbrl_new,1114858,6832000000.0,7050000000.0,5814000000.0,1236000000.0,915300000.0,103.52,103.52,88400000.0,
HONAUT,2021-11-13 20:10:00,2021-09-30,2021-07-01,False,xbrl_new,1123232,7371900000.0,7581600000.0,6443500000.0,1138100000.0,852000000.0,96.36,96.36,88400000.0,
HONAUT,2022-02-11 18:18:00,2021-12-31,2021-10-01,False,xbrl_new,1128696,8599500000.0,8742900000.0,7526900000.0,1216000000.0,897300000.0,101.49,101.49,88400000.0,
HONAUT,2022-05-13 16:30:00,2022-03-31,2022-01-01,False,xbrl_new,1132669,6679800000.0,6932100000.0,5946000000.0,986100000.0,726700000.0,82.19,82.19,88400000.0,
HONAUT,2022-08-13 19:02:00,2022-06-30,2022-04-01,False,xbrl_new,3372,7861700000.0,8153700000.0,6780100000.0,1373600000.0,1019700000.0,115.33,115.33,88400000.0,
HONAUT,2022-11-08 17:24:00,2022-09-30,2022-07-01,False,xbrl_new,6780,7942500000.0,8391300000.0,6804800000.0,1586500000.0,1179400000.0,133.393,133.393,88400000.0,
HONAUT,2023-02-08 17:38:00,2022-12-31,2022-10-01,False,xbrl_new,1141703,10174900000.0,10449300000.0,9012200000.0,1437100000.0,1060700000.0,119.97,119.97,88400000.0,
HONAUT,2023-05-17 21:01:00,2023-03-31,2023-01-01,False,xbrl_new,1147433,8496800000.0,8764100000.0,7248700000.0,1515400000.0,1120300000.0,126.71,126.71,88400000.0,
HONAUT,2023-08-14 22:37:00,2023-06-30,2023-04-01,False,xbrl_new,1155064,9323200000.0,9652700000.0,8260800000.0,1391900000.0,1034400000.0,116.99,116.99,88400000.0,
HONAUT,2023-11-06 20:28:00,2023-09-30,2023-07-01,False,xbrl_new,1158145,11042000000.0,11443000000.0,9804000000.0,1639000000.0,1219000000.0,137.82,137.82,88000000.0,
HONAUT,2024-02-08 18:36:00,2023-12-31,2023-10-01,False,xbrl_new,1165687,10710000000.0,10991000000.0,9246000000.0,1745000000.0,1279000000.0,144.6,144.6,88000000.0,
HONAUT,2024-05-15 18:53:00,2024-03-31,2024-01-01,False,xbrl_new,1171720,9507358000.0,9923317000.0,7949988000.0,1973329000.0,1481827000.0,167.59,167.59,88415000.0,
HONAUT,2024-08-05 19:45:00,2024-06-30,2024-04-01,False,xbrl_new,1178965,9604485000.0,10047138000.0,8206424000.0,1840714000.0,1364600000.0,154.34,154.34,88415000.0,
HONAUT,2024-10-29 18:34:00,2024-09-30,2024-07-01,False,xbrl_new,1183544,10238997000.0,10651023000.0,9098005000.0,1553018000.0,1151018000.0,130.18,130.18,88415000.0,
HONAUT,2025-02-07 17:00:00,2024-12-31,2024-10-01,False,xbrl_new,1193301,10907816000.0,11407604000.0,9647606000.0,1759998000.0,1320506000.0,149.35,149.35,88415000.0,
