symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
HSCL,2007-05-31 15:04:00,2007-03-31,2007-01-01,False,html_old,45819,7517.0,7644.0,4883.0,2325.0,1661.0,6.04,6.02,3151.0,0.0
HSCL,2007-08-09 18:16:00,2007-06-30,2007-04-01,False,html_old,48145,7578.0,7930.0,5065.0,2438.0,1852.0,5.88,5.81,3151.0,0.0
HSCL,2007-10-24 17:56:00,2007-09-30,2007-07-01,False,html_old,49052,8289.0,8385.0,5518.0,2625.0,1991.0,6.32,6.25,3151.0,
HSCL,2008-01-16 16:32:00,2007-12-31,2007-10-01,False,html_old,51261,9013.0,9020.0,5937.0,2841.0,2181.0,6.92,6.78,3151.0,
HSCL,2008-06-17 09:37:00,2008-03-31,2008-01-01,False,html_old,54851,11446.0,11536.0,8365.0,2693.0,2269.0,7.2,6.56,3151.0,
HSCL,2008-07-25 19:11:00,2008-06-30,2008-04-01,False,html_old,56249,9150.0,9176.0,6087.0,2724.0,2101.0,6.63,6.1,3185.0,
HSCL,2008-10-29 17:19:00,2008-09-30,2008-07-01,False,html_old,59506,11377.0,,7944.0,3002.0,2302.0,7.23,6.65,3185.0,
HSCL,2009-01-29 17:52:00,2008-12-31,2008-10-01,False,html_old,61635,8644.0,,5380.0,3015.0,2303.0,7.23,6.65,3185.0,
HSCL,2009-07-21 17:54:00,2009-06-30,2009-04-01,False,html_old,65775,8487.0,,4957.0,3056.0,2268.0,7.11,7.11,3226.0,
HSCL,2009-10-16 18:40:00,2009-09-30,2009-07-01,False,html_old,67746,12501.0,,8036.0,3688.0,2830.0,8.77,8.14,3226.0,
HSCL,2010-01-28 18:24:00,2009-12-31,2009-10-01,False,html_old,71583,14534.0,,9922.0,3883.0,2912.0,9.03,8.38,3226.0,
HSCL,2010-05-28 19:08:00,2010-03-31,2010-01-01,False,html_old,74885,15701.0,,12003.0,3898.0,2724.0,7.48,7.41,3857.0,
HSCL,2010-08-04 20:21:00,2010-06-30,2010-04-01,False,html_old,76804,15406.0,,12408.0,2440.0,1830.0,4.74,4.54,3857.0,
