symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
IDBI,2007-04-20 16:28:00,2007-03-31,2007-01-01,False,html_old,44299,,,,,,,,,
IDBI,2007-07-18 12:23:00,2007-06-30,2007-04-01,False,html_old,46797,,,,,,,,,
IDBI,2007-10-16 12:41:00,2007-09-30,2007-07-01,False,html_old,48521,,,,,,,,,
IDBI,2008-01-17 18:20:00,2007-12-31,2007-10-01,False,html_old,51274,,,,,,,,,
IDBI,2008-04-26 15:57:00,2008-03-31,2008-01-01,False,html_old,53233,,,,,,,,,
IDBI,2008-07-22 13:49:00,2008-06-30,2008-04-01,False,html_old,55972,,,,,,,,,
IDBI,2008-10-24 18:46:00,2008-09-30,2008-07-01,False,html_old,58779,,,,,,,,,
IDBI,2009-01-23 15:01:00,2008-12-31,2008-10-01,False,html_old,61150,,,,,,,,,
IDBI,2009-04-24 13:52:00,2009-03-31,2009-01-01,False,html_old,62824,,,,,,,,,
IDBI,2009-07-15 13:37:00,2009-06-30,2009-04-01,False,html_old,65606,,,,,,,,,
IDBI,2009-10-26 13:43:00,2009-09-30,2009-07-01,False,html_old,68240,,,,,,,,,
IDBI,2010-01-15 13:20:00,2009-12-31,2009-10-01,False,html_old,70816,,,,,,,,,
IDBI,2010-04-30 14:24:00,2010-03-31,2010-01-01,False,html_old,73240,,,,,,,,,
IDBI,2010-07-22 13:02:00,2010-06-30,2010-04-01,False,html_old,75792,,,,,,,,,
IDBI,2010-10-28 15:16:00,2010-09-30,2010-07-01,False,html_old,78950,,,,,,,,,
IDBI,2011-01-25 18:49:00,2010-12-31,2010-10-01,False,html_old,81751,,,,,,,,,
IDBI,2011-04-19 12:39:00,2011-03-31,2011-01-01,False,html_old,83456,,,,,,,,,
IDBI,2011-07-30 17:11:00,2011-06-30,2011-04-01,False,html_old,87408,,,,,,,,,
IDBI,2011-10-20 14:41:00,2011-09-30,2011-07-01,False,html_old,89251,,,,,,,,,
IDBI,2012-01-31 17:42:00,2011-12-31,2011-10-01,False,html_old,91809,,,,,,,,,
IDBI,2012-04-23 14:23:00,2012-03-31,2012-01-01,False,html_old,93397,,,,,,,,,
IDBI,2012-07-31 17:32:00,2012-06-30,2012-04-01,False,html_old,97822,,,,,,,,,
IDBI,2012-10-31 11:02:00,2012-09-30,2012-07-01,False,html_old,100287,,,,,,,,,
IDBI,2013-01-18 21:46:00,2012-12-31,2012-10-01,False,html_old,102078,,,,,,,,,
IDBI,2013-04-26 17:09:00,2013-03-31,2013-01-01,False,html_old,104187,754378.0,,,,,,,,
IDBI,2013-07-18 15:25:00,2013-06-30,2013-04-01,False,html_old,109018,744542.0,,,,,,,,
IDBI,2013-11-06 10:01:00,2013-09-30,2013-07-01,False,html_old,112018,711444.0,,,,,,,,
IDBI,2014-02-01 16:13:00,2013-12-31,2013-10-01,False,html_old,114475,714988.0,,,,,,,,
IDBI,2014-05-02 11:25:00,2014-03-31,2014-01-01,False,html_old,116571,786652.0,,,,,,,,
IDBI,2014-08-22 11:33:00,2014-06-30,2014-04-01,False,html_old,122647,723274.0,,,,,,,,
IDBI,2014-11-06 11:41:00,2014-09-30,2014-07-01,False,html_old,123382,761052.0,,,,,,,,
IDBI,2015-02-07 16:09:00,2014-12-31,2014-10-01,False,html_old,125824,793599.0,,,,,,,,
IDBI,2015-05-29 10:05:00,2015-03-31,2015-01-01,False,html_old,129576,938237.0,,,,,,,,
IDBI,2015-08-12 18:09:00,2015-06-30,2015-04-01,False,html_old,1001177,790337.0,,,,,,,,
IDBI,2015-11-05 20:16:00,2015-09-30,2015-07-01,False,html_old,1002789,791364.0,,,,,,,,
IDBI,2016-02-13 14:39:00,2015-12-31,2015-10-01,False,html_old,1005710,736186.0,,,,,,,,
IDBI,2016-05-24 11:32:00,2016-03-31,2016-01-01,False,html_old,1007656,827458.0,,,,,,,,
IDBI,2016-08-13 17:33:00,2016-06-30,2016-04-01,False,html_old,1011856,821943.0,,,,,,,,
IDBI,2016-08-26 11:36:00,2016-03-31,2016-01-01,False,html_old,1012501,827458.0,,,,,,,,
IDBI,2016-10-25 20:44:00,2016-09-30,2016-07-01,False,html_old,1014874,838720.0,,,,,,,,
IDBI,2017-02-08 16:08:00,2016-12-31,2016-10-01,False,html_old,1018803,710421.0,,,,,,,,
IDBI,2017-06-16 14:55:00,2017-03-31,2017-01-01,False,html_old,1022489,804812.0,,,,,,,,
IDBI,2017-08-31 16:30:00,2017-06-30,2017-04-01,False,html_old,1029772,,,,,,,,,
IDBI,2017-11-02 12:23:00,2017-09-30,2017-07-01,False,html_old,1032066,284783.0,,,,,,,,
IDBI,2018-02-16 12:30:00,2017-12-31,2017-10-01,False,html_old,1035873,,,,,,,,,
IDBI,2018-08-03 14:22:00,2018-03-31,2018-01-01,False,xbrl_new,1042338,,,,,,,,,
IDBI,2018-08-25 00:23:00,2018-06-30,2018-04-01,False,xbrl_new,1049214,,64025000000.0,,,,,,41811900000.0,
IDBI,2018-12-04 13:06:00,2018-09-30,2018-07-01,False,xbrl_new,1054173,,,,,,,,,
IDBI,2019-02-08 17:10:00,2018-12-31,2018-10-01,False,xbrl_new,1055956,,61909400000.0,,,,,,69087000000.0,
IDBI,2019-06-27 11:35:00,2019-03-31,2019-01-01,False,xbrl_new,1063905,,66160600000.0,,,,,,77362900000.0,
IDBI,2019-09-09 10:24:00,2019-06-30,2019-04-01,True,xbrl_new,1067518,,59277600000.0,,,,,,77362900000.0,
IDBI,2019-09-09 13:48:00,2019-06-30,2019-04-01,False,xbrl_new,1067502,,59239300000.0,,,,,,77362900000.0,
IDBI,2020-01-13 19:29:00,2019-09-30,2019-07-01,True,xbrl_new,1070822,,62797100000.0,,,,,,77362900000.0,
IDBI,2020-01-13 19:29:00,2019-09-30,2019-07-01,False,xbrl_new,1070818,,62310200000.0,,,,,,77362900000.0,
IDBI,2020-02-24 19:10:00,2019-12-31,2019-10-01,False,xbrl_new,1078092,,62156000000.0,,,,,,103805900000.0,
IDBI,2020-02-24 19:11:00,2019-12-31,2019-10-01,True,xbrl_new,1078097,,62672300000.0,,,,,,103805900000.0,
IDBI,2020-06-11 15:31:00,2020-03-31,2020-01-01,False,xbrl_new,1082513,,69249400000.0,,,,,,103805900000.0,
IDBI,2020-08-20 17:04:00,2020-03-31,2020-01-01,True,xbrl_new,1082515,,70107400000.0,,,,,,103805900000.0,
IDBI,2020-11-04 17:25:00,2020-06-30,2020-04-01,True,xbrl_new,1087828,,59551700000.0,,,,,,103805900000.0,
IDBI,2020-11-04 17:27:00,2020-06-30,2020-04-01,False,xbrl_new,1087827,,59010200000.0,,,,,,103805900000.0,
IDBI,2020-11-06 11:35:00,2020-09-30,2020-07-01,False,xbrl_new,1093474,,57610600000.0,,,,,,103805900000.0,
IDBI,2020-11-06 11:38:00,2020-09-30,2020-07-01,True,xbrl_new,1093476,,58084300000.0,,,,,,103805900000.0,
IDBI,2021-01-28 17:42:00,2020-12-31,2020-10-01,False,xbrl_new,1100603,,59322500000.0,,,,,,107524000000.0,
IDBI,2021-01-28 17:44:00,2020-12-31,2020-10-01,True,xbrl_new,1100605,,59878600000.0,,,,,,107524000000.0,
IDBI,2021-05-04 11:01:00,2021-03-31,2021-01-01,False,xbrl_new,1106926,,69625900000.0,,,,,,107524000000.0,
IDBI,2021-05-04 11:04:00,2021-03-31,2021-01-01,True,xbrl_new,1106928,,70521800000.0,,,,,,107524000000.0,
IDBI,2021-07-28 17:22:00,2021-06-30,2021-04-01,True,xbrl_new,1114188,,65948600000.0,,,,,,107524000000.0,
IDBI,2021-07-28 17:22:00,2021-06-30,2021-04-01,False,xbrl_new,1114187,,65549500000.0,,,,,,107524000000.0,
IDBI,2021-10-21 17:15:00,2021-09-30,2021-07-01,False,xbrl_new,1117465,,50006400000.0,,,,,,107524000000.0,
IDBI,2021-10-21 17:16:00,2021-09-30,2021-07-01,True,xbrl_new,1117467,,50592000000.0,,,,,,107524000000.0,
IDBI,2022-01-21 17:42:00,2021-12-31,2021-10-01,False,xbrl_new,1124636,,57728600000.0,,,,,,107524000000.0,
IDBI,2022-01-21 17:43:00,2021-12-31,2021-10-01,True,xbrl_new,1124638,,58387300000.0,,,,,,107524000000.0,
IDBI,2022-05-02 17:53:00,2022-03-31,2022-01-01,False,xbrl_new,1131562,,54440800000.0,,,,,,107524000000.0,
IDBI,2022-05-02 17:55:00,2022-03-31,2022-01-01,True,xbrl_new,1131566,,55329400000.0,,,,,,107524000000.0,
IDBI,2022-10-21 18:58:00,2022-09-30,2022-07-01,False,xbrl_new,523,,60655100000.0,,,,,,107524000000.0,
IDBI,2022-10-21 18:58:00,2022-09-30,2022-07-01,True,xbrl_new,519,,60522300000.0,,,,,,107524000000.0,
IDBI,2023-01-23 16:30:00,2022-12-31,2022-10-01,False,xbrl_new,1139032,,60883100000.0,,,,,,107524000000.0,
IDBI,2023-01-23 16:32:00,2022-12-31,2022-10-01,True,xbrl_new,1139038,,61524300000.0,,,,,,107524000000.0,
IDBI,2023-04-29 17:18:00,2023-03-31,2023-01-01,False,xbrl_new,1145714,,70138400000.0,,,,,,107524000000.0,
IDBI,2023-04-29 17:28:00,2023-03-31,2023-01-01,True,xbrl_new,1145718,,71334300000.0,,,,,,107524000000.0,
IDBI,2023-07-24 16:25:00,2023-06-30,2023-04-01,False,xbrl_new,1152101,,77119500000.0,,,,,,107524000000.0,
IDBI,2023-07-24 16:26:00,2023-06-30,2023-04-01,True,xbrl_new,1152103,,77709100000.0,,,,,,107524000000.0,
IDBI,2023-10-21 17:04:00,2023-09-30,2023-07-01,False,xbrl_new,1155789,,69241800000.0,,,,,,107524000000.0,
IDBI,2023-10-21 17:05:00,2023-09-30,2023-07-01,True,xbrl_new,1155791,,70636600000.0,,,,,,107524000000.0,
IDBI,2024-01-20 20:17:00,2023-12-31,2023-10-01,False,xbrl_new,1162558,,75142700000.0,,,,,,107524000000.0,
IDBI,2024-01-20 20:31:00,2023-12-31,2023-10-01,True,xbrl_new,1162560,,75799100000.0,,,,,,107524000000.0,
IDBI,2024-05-04 18:21:00,2024-03-31,2024-01-01,False,xbrl_new,1170359,,78866400000.0,,,,,,107524000000.0,
IDBI,2024-05-04 18:22:00,2024-03-31,2024-01-01,True,xbrl_new,1170361,,79559500000.0,,,,,,107524000000.0,
IDBI,2024-07-22 17:57:00,2024-06-30,2024-04-01,False,xbrl_new,1177799,,74712500000.0,,,,,,107524000000.0,
IDBI,2024-07-22 18:05:00,2024-06-30,2024-04-01,True,xbrl_new,1177800,,75271600000.0,,,,,,107524000000.0,
IDBI,2024-10-25 18:06:00,2024-09-30,2024-07-01,False,xbrl_new,1182633,,87545400000.0,,,,,,107524000000.0,
IDBI,2024-10-25 18:10:00,2024-09-30,2024-07-01,True,xbrl_new,1182641,,88127900000.0,,,,,,107524000000.0,
IDBI,2025-01-20 17:39:00,2024-12-31,2024-10-01,False,xbrl_new,1190023,,85649200000.0,,,,,,107524000000.0,
IDBI,2025-01-20 17:40:00,2024-12-31,2024-10-01,True,xbrl_new,1190025,,86289900000.0,,,,,,107524000000.0,
