symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
IGL,2007-05-28 17:05:00,2007-03-31,2007-01-01,False,html_old,45682,16430.09,16765.33,9316.04,5963.81,4005.56,2.86,2.86,14000.0,0.0
IGL,2007-07-26 16:06:00,2007-06-30,2007-04-01,False,html_old,47251,16175.25,16575.06,9304.9,5713.78,3842.06,2.74,2.74,14000.02,0.0
IGL,2007-10-30 19:11:00,2007-09-30,2007-07-01,False,html_old,50266,17409.62,17884.39,11491.1,6393.29,4284.92,3.06,3.06,14000.02,
IGL,2008-01-31 12:34:00,2007-12-31,2007-10-01,False,html_old,52282,18273.2,18852.64,12077.01,6775.63,4502.02,3.22,3.22,14000.02,
IGL,2008-06-18 13:47:00,2008-03-31,2008-01-01,False,html_old,54892,18739.75,19629.53,12422.7,7206.83,4816.54,3.44,3.44,14000.02,
IGL,2008-07-22 15:06:00,2008-06-30,2008-04-01,False,html_old,55980,19073.46,19699.21,13155.98,6543.23,4368.19,3.12,3.12,14000.02,
IGL,2008-10-24 20:23:00,2008-09-30,2008-07-01,False,html_old,58835,21518.63,,14695.14,7510.96,5017.59,3.58,3.58,14000.02,
IGL,2009-01-30 19:11:00,2008-12-31,2008-10-01,False,html_old,61867,21944.59,,16828.85,5779.98,3829.75,2.74,2.74,14000.02,
IGL,2009-05-28 10:40:00,2009-03-31,2009-01-01,False,html_old,64133,22740.4,,17333.1,6051.88,4031.93,2.88,2.88,14000.02,
IGL,2009-07-29 13:37:00,2009-06-30,2009-04-01,False,html_old,66390,23255.97,,16623.33,7268.67,4827.4,3.45,3.45,14000.02,
IGL,2009-10-27 18:47:00,2009-09-30,2009-07-01,False,html_old,68591,27314.03,,19249.02,8564.92,5680.33,4.06,4.06,14000.02,
IGL,2010-01-21 16:20:00,2009-12-31,2009-10-01,False,html_old,71018,28461.44,,20089.35,8900.66,5893.22,4.21,4.21,14000.02,
IGL,2010-05-22 18:06:00,2010-03-31,2010-01-01,False,html_old,74294,28780.42,,21516.93,7709.55,5148.7,3.68,3.68,14000.02,
IGL,2010-08-12 14:18:00,2010-06-30,2010-04-01,False,html_old,77158,33500.88,,25138.97,8547.64,5713.96,4.08,4.08,14000.02,
IGL,2010-11-12 14:22:00,2010-09-30,2010-07-01,False,html_old,80502,44507.4,,34595.84,9935.42,6627.8,4.73,4.73,14000.02,
IGL,2011-01-10 10:07:00,2010-12-31,2010-10-01,False,html_old,81408,45470.63,,35397.75,9966.94,6719.16,4.8,4.8,14000.02,
IGL,2011-06-22 13:25:00,2011-03-31,2011-01-01,False,html_old,86228,50927.95,,40335.29,10120.73,6915.93,4.94,4.94,14000.02,
IGL,2011-08-01 14:20:00,2011-06-30,2011-04-01,False,html_old,87477,53639.02,,41126.65,11846.82,8006.67,5.72,5.72,14000.02,
IGL,2011-10-19 17:28:00,2011-09-30,2011-07-01,False,html_old,89214,59690.44,,47398.96,11325.44,7722.46,5.52,5.52,14000.02,
IGL,2012-01-24 21:00:00,2011-12-31,2011-10-01,False,html_old,91543,66154.21,,54949.34,10159.04,6915.02,4.94,4.94,14000.02,
IGL,2012-05-16 18:56:00,2012-03-31,2012-01-01,False,html_old,94522,72025.73,,59148.65,11791.51,8075.66,5.77,5.77,14000.02,
IGL,2012-07-31 12:23:00,2012-06-30,2012-04-01,False,html_old,97756,76022.61,,62363.28,12466.89,8504.93,,,14000.02,
IGL,2012-11-07 15:03:00,2012-09-30,2012-07-01,False,html_old,100839,85463.55,,69630.87,14815.49,9921.26,,,14000.02,
IGL,2013-02-11 15:51:00,2012-12-31,2012-10-01,False,html_old,102928,86803.09,,72976.55,12815.69,8633.81,,,14000.02,
IGL,2013-05-28 15:17:00,2013-03-31,2013-01-01,False,html_old,105896,88177.74,,74580.96,12720.62,8352.51,,,14000.02,0.0
IGL,2013-08-16 17:45:00,2013-06-30,2013-04-01,False,html_old,110583,90146.0,,76193.0,13178.0,8758.0,,,14000.0,0.0
IGL,2013-11-22 12:01:00,2013-09-30,2013-07-01,False,html_old,113082,100902.0,,86369.0,14037.0,9275.0,,,14000.0,0.0
IGL,2014-02-18 15:01:00,2013-12-31,2013-10-01,False,html_old,115464,104043.0,,90207.0,13445.0,8946.0,,,14000.0,0.0
