symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
INDUSINDBK,2007-05-25 15:11:00,2007-03-31,2007-01-01,False,html_old,45600,,,,,,,,,
INDUSINDBK,2007-07-25 14:36:00,2007-06-30,2007-04-01,False,html_old,47129,,,,,,,,,
INDUSINDBK,2007-11-02 19:53:00,2007-09-30,2007-07-01,False,html_old,50924,,,,,,,,,
INDUSINDBK,2008-01-30 14:38:00,2007-12-31,2007-10-01,False,html_old,52119,,,,,,,,,
INDUSINDBK,2008-06-24 16:34:00,2008-03-31,2008-01-01,False,html_old,55063,,,,,,,,,
INDUSINDBK,2008-07-25 15:24:00,2008-06-30,2008-04-01,False,html_old,56217,,,,,,,,,
INDUSINDBK,2008-10-16 13:07:00,2008-09-30,2008-07-01,False,html_old,57758,,,,,,,,,
INDUSINDBK,2009-01-15 13:53:00,2008-12-31,2008-10-01,False,html_old,60843,,,,,,,,,
INDUSINDBK,2009-05-05 14:14:00,2009-03-31,2009-01-01,False,html_old,63525,,,,,,,,,
INDUSINDBK,2009-07-08 13:20:00,2009-06-30,2009-04-01,False,html_old,65551,,,,,,,,,
INDUSINDBK,2009-10-14 13:32:00,2009-09-30,2009-07-01,False,html_old,67622,,,,,,,,,
INDUSINDBK,2010-01-15 13:23:00,2009-12-31,2009-10-01,False,html_old,70817,,,,,,,,,
INDUSINDBK,2010-04-16 14:15:00,2010-03-31,2010-01-01,False,html_old,72604,,,,,,,,,
INDUSINDBK,2010-07-09 15:37:00,2010-06-30,2010-04-01,False,html_old,75577,,,,,,,,,
INDUSINDBK,2010-10-11 14:54:00,2010-09-30,2010-07-01,False,html_old,77833,,,,,,,,,
INDUSINDBK,2011-01-17 14:14:00,2010-12-31,2010-10-01,False,html_old,81455,,,,,,,,,
INDUSINDBK,2011-04-18 14:23:00,2011-03-31,2011-01-01,False,html_old,83436,,,,,,,,,
INDUSINDBK,2011-07-08 18:31:00,2011-06-30,2011-04-01,False,html_old,86615,,,,,,,,,
INDUSINDBK,2011-10-18 16:13:00,2011-09-30,2011-07-01,False,html_old,89161,,,,,,,,,
INDUSINDBK,2012-01-10 16:18:00,2011-12-31,2011-10-01,False,html_old,91284,,,,,,,,,
INDUSINDBK,2012-04-19 16:08:00,2012-03-31,2012-01-01,False,html_old,93394,,,,,,,,,
INDUSINDBK,2012-07-10 15:38:00,2012-06-30,2012-04-01,False,html_old,97282,,,,,,,,,
INDUSINDBK,2012-10-10 16:00:00,2012-09-30,2012-07-01,False,html_old,99719,,,,,,,,,
INDUSINDBK,2013-01-09 14:48:00,2012-12-31,2012-10-01,False,html_old,101989,,,,,,,,,
INDUSINDBK,2013-04-23 18:25:00,2013-03-31,2013-01-01,False,html_old,104156,219066.0,,,,,,,,
INDUSINDBK,2013-07-12 17:29:00,2013-06-30,2013-04-01,False,html_old,108973,238281.0,,,,,,,,
INDUSINDBK,2013-10-15 18:33:00,2013-09-30,2013-07-01,False,html_old,111519,243530.0,,,,,,,,
INDUSINDBK,2014-01-13 16:37:00,2013-12-31,2013-10-01,False,html_old,113863,262376.0,,,,,,,,
INDUSINDBK,2014-04-23 12:33:00,2014-03-31,2014-01-01,False,html_old,116322,270219.0,,,,,,,,
INDUSINDBK,2014-07-10 11:09:00,2014-06-30,2014-04-01,False,html_old,120608,287368.0,,,,,,,,
INDUSINDBK,2014-10-20 15:37:00,2014-09-30,2014-07-01,False,html_old,122861,293703.0,,,,,,,,
INDUSINDBK,2015-01-14 10:57:00,2014-12-31,2014-10-01,False,html_old,125027,304770.0,,,,,,,,
INDUSINDBK,2015-07-14 15:34:00,2015-06-30,2015-04-01,False,html_old,1000032,344784.0,,,,,,,,
INDUSINDBK,2015-10-12 12:12:00,2015-09-30,2015-07-01,False,html_old,1002071,358131.0,,,,,,,,
INDUSINDBK,2016-04-25 12:07:00,2016-03-31,2016-01-01,False,html_old,1006247,404449.0,,,,,,,,
INDUSINDBK,2016-04-25 16:29:00,2015-12-31,2015-10-01,False,html_old,1004154,376670.0,,,,,,,,
INDUSINDBK,2016-04-25 17:33:00,2015-03-31,2015-01-01,False,html_old,1006180,323743.0,,,,,,,,
INDUSINDBK,2016-07-12 11:39:00,2016-06-30,2016-04-01,False,html_old,1010871,426466.0,,,,,,,,
INDUSINDBK,2016-10-21 09:59:00,2016-09-30,2016-07-01,False,html_old,1014572,443972.0,,,,,,,,
INDUSINDBK,2017-01-11 10:54:00,2016-12-31,2016-10-01,False,html_old,1017682,471613.0,,,,,,,,
INDUSINDBK,2017-06-16 15:12:00,2017-03-31,2017-01-01,False,html_old,1020807,504131.0,,,,,,,,
INDUSINDBK,2017-07-17 16:22:00,2017-06-30,2017-04-01,False,html_old,1027706,530277.0,,,,,,,,
INDUSINDBK,2017-10-13 15:02:00,2017-09-30,2017-07-01,False,html_old,1031654,539592.0,,,,,,,,
INDUSINDBK,2018-01-11 20:38:00,2017-12-31,2017-10-01,False,html_old,1035149,547354.0,,,,,,,,
INDUSINDBK,2018-05-18 10:54:00,2018-03-31,2018-01-01,False,xbrl_new,1038602,,,,,,,,,
INDUSINDBK,2018-08-10 15:51:00,2018-06-30,2018-04-01,False,xbrl_new,1046522,,63697500000.0,,,,,,6004400000.0,
INDUSINDBK,2018-10-17 12:48:00,2018-09-30,2018-07-01,False,xbrl_new,1049667,,,,,,,,,
INDUSINDBK,2019-01-16 11:31:00,2018-12-31,2018-10-01,False,xbrl_new,1054332,,,,,,,,,
INDUSINDBK,2019-05-23 12:00:00,2019-03-31,2019-01-01,False,xbrl_new,1061454,,,,,,,,,
INDUSINDBK,2019-09-09 11:34:00,2019-06-30,2019-04-01,True,xbrl_new,1064848,,86246200000.0,,,,,,6031400000.0,
INDUSINDBK,2019-09-09 11:44:00,2019-06-30,2019-04-01,False,xbrl_new,1064847,,86246200000.0,,,,,,6031400000.0,
INDUSINDBK,2019-11-04 11:56:00,2019-09-30,2019-07-01,False,xbrl_new,1068628,,,,,,,,,
INDUSINDBK,2019-11-04 11:57:00,2019-09-30,2019-07-01,True,xbrl_new,1068630,,,,,,,,,
INDUSINDBK,2020-01-23 20:41:00,2019-12-31,2019-10-01,False,xbrl_new,1074390,,90739300000.0,,,,,,6930700000.0,
INDUSINDBK,2020-01-23 20:47:00,2019-12-31,2019-10-01,True,xbrl_new,1074388,,90745500000.0,,,,,,6930700000.0,
INDUSINDBK,2020-04-30 20:03:00,2020-03-31,2020-01-01,False,xbrl_new,1081397,,91585700000.0,,,,,,6935400000.0,
INDUSINDBK,2020-04-30 20:10:00,2020-03-31,2020-01-01,True,xbrl_new,1081399,,91588000000.0,,,,,,6935400000.0,
INDUSINDBK,2020-09-29 19:14:00,2020-06-30,2020-04-01,False,xbrl_new,1087856,,86809200000.0,,,,,,6935700000.0,
INDUSINDBK,2020-09-29 19:17:00,2020-06-30,2020-04-01,True,xbrl_new,1087858,,86821700000.0,,,,,,6935700000.0,
INDUSINDBK,2020-11-05 20:58:00,2020-09-30,2020-07-01,True,xbrl_new,1093634,,87315200000.0,,,,,,7564500000.0,
INDUSINDBK,2020-11-05 20:59:00,2020-09-30,2020-07-01,False,xbrl_new,1093632,,87310500000.0,,,,,,7564500000.0,
INDUSINDBK,2021-01-29 20:54:00,2020-12-31,2020-10-01,True,xbrl_new,1101048,,88872800000.0,,,,,,7571100000.0,
INDUSINDBK,2021-01-29 22:06:00,2020-12-31,2020-10-01,False,xbrl_new,1101066,,89469600000.0,,,,,,7571100000.0,
INDUSINDBK,2021-05-01 15:22:00,2021-03-31,2021-01-01,True,xbrl_new,1106866,,91997100000.0,,,,,,7733700000.0,
INDUSINDBK,2021-05-04 19:01:00,2021-03-31,2021-01-01,False,xbrl_new,1106868,,91994800000.0,,,,,,7733700000.0,
INDUSINDBK,2021-07-27 20:41:00,2021-06-30,2021-04-01,False,xbrl_new,1114109,,93557700000.0,,,,,,7738800000.0,
INDUSINDBK,2021-07-27 20:48:00,2021-06-30,2021-04-01,True,xbrl_new,1114110,,93627600000.0,,,,,,7738800000.0,
INDUSINDBK,2021-10-28 15:26:00,2021-09-30,2021-07-01,True,xbrl_new,1118307,,94880600000.0,,,,,,7741200000.0,
INDUSINDBK,2021-11-10 17:39:00,2021-09-30,2021-07-01,False,xbrl_new,1120663,,94875600000.0,,,,,,7741200000.0,
INDUSINDBK,2022-01-29 18:33:00,2021-12-31,2021-10-01,True,xbrl_new,1125608,,96143400000.0,,,,,,7745500000.0,
