symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
INDUSTOWER,2013-02-27 19:31:00,2012-12-31,2012-10-01,False,html_old,103941,,,,,,,,,
INDUSTOWER,2013-02-28 18:33:00,2012-12-31,2012-10-01,True,html_old,104029,,,,,,,,,
INDUSTOWER,2013-05-23 18:05:00,2013-03-31,2013-01-01,False,html_old,105550,,,,,,,,,
INDUSTOWER,2013-05-23 18:05:00,2013-03-31,2013-01-01,True,html_old,105548,,,,,,,,,
INDUSTOWER,2013-07-30 17:53:00,2013-06-30,2013-04-01,False,html_old,109384,,,,,,,,,
INDUSTOWER,2013-07-31 13:21:00,2013-06-30,2013-04-01,True,html_old,109428,,,,,,,,,
INDUSTOWER,2013-11-06 11:33:00,2013-09-30,2013-07-01,True,html_old,112046,,,,,,,,,
INDUSTOWER,2013-11-06 11:33:00,2013-09-30,2013-07-01,False,html_old,112047,,,,,,,,,
INDUSTOWER,2014-02-01 13:25:00,2013-12-31,2013-10-01,True,html_old,114403,,,,,,,,,
INDUSTOWER,2014-02-20 15:09:00,2013-12-31,2013-10-01,False,html_old,115820,,,,,,,,,
INDUSTOWER,2014-04-25 15:57:00,2014-03-31,2014-01-01,False,html_old,116366,,,,,,,,,
INDUSTOWER,2014-04-25 15:57:00,2014-03-31,2014-01-01,True,html_old,116364,,,,,,,,,
INDUSTOWER,2014-07-25 19:01:00,2014-06-30,2014-04-01,False,html_old,120839,,,,,,,,,
INDUSTOWER,2014-07-25 19:01:00,2014-06-30,2014-04-01,True,html_old,120838,,,,,,,,,
INDUSTOWER,2014-10-29 10:57:00,2014-09-30,2014-07-01,True,html_old,123114,,,,,,,,,
INDUSTOWER,2014-10-29 10:57:00,2014-09-30,2014-07-01,False,html_old,123115,,,,,,,,,
INDUSTOWER,2015-02-04 14:37:00,2014-12-31,2014-10-01,False,html_old,125610,,,,,,,,,
INDUSTOWER,2015-02-04 14:37:00,2014-12-31,2014-10-01,True,html_old,125609,,,,,,,,,
INDUSTOWER,2015-04-29 16:33:00,2015-03-31,2015-01-01,True,html_old,127268,,,,,,,,,
INDUSTOWER,2015-04-29 16:33:00,2015-03-31,2015-01-01,False,html_old,127267,,,,,,,,,
INDUSTOWER,2015-07-24 16:33:00,2015-06-30,2015-04-01,True,html_old,1000146,,,,,,,,,
INDUSTOWER,2015-07-24 16:33:00,2015-06-30,2015-04-01,False,html_old,1000145,,,,,,,,,
INDUSTOWER,2015-10-27 16:00:00,2015-09-30,2015-07-01,False,html_old,1002220,,,,,,,,,
INDUSTOWER,2015-10-27 16:00:00,2015-09-30,2015-07-01,True,html_old,1002221,,,,,,,,,
INDUSTOWER,2016-01-30 13:39:00,2015-12-31,2015-10-01,True,html_old,1004411,,,,,,,,,
INDUSTOWER,2016-01-30 13:39:00,2015-12-31,2015-10-01,False,html_old,1004410,,,,,,,,,
INDUSTOWER,2016-05-18 11:16:00,2016-03-31,2016-01-01,False,html_old,1007094,,,,,,,,,
INDUSTOWER,2016-05-18 11:16:00,2016-03-31,2016-01-01,True,html_old,1007095,,,,,,,,,
INDUSTOWER,2016-10-03 16:31:00,2015-06-30,2015-04-01,True,html_old,1013592,,,,,,,,,
INDUSTOWER,2016-10-03 16:31:00,2016-03-31,2016-01-01,True,html_old,1013591,,,,,,,,,
INDUSTOWER,2016-10-03 16:31:00,2016-06-30,2016-04-01,True,html_old,1013590,,,,,,,,,
INDUSTOWER,2016-10-03 16:31:00,2015-06-30,2015-04-01,False,html_old,1013589,,,,,,,,,
INDUSTOWER,2016-10-03 16:31:00,2016-03-31,2016-01-01,False,html_old,1013588,,,,,,,,,
INDUSTOWER,2016-10-03 16:31:00,2016-06-30,2016-04-01,False,html_old,1013587,,,,,,,,,
INDUSTOWER,2016-10-26 16:02:00,2015-09-30,2015-07-01,True,html_old,1014872,,,,,,,,,
INDUSTOWER,2016-10-26 16:02:00,2015-09-30,2015-07-01,False,html_old,1014871,,,,,,,,,
INDUSTOWER,2016-10-26 16:02:00,2016-09-30,2016-07-01,True,html_old,1014870,,,,,,,,,
INDUSTOWER,2016-10-26 16:02:00,2016-09-30,2016-07-01,False,html_old,1014869,,,,,,,,,
INDUSTOWER,2017-01-25 21:07:00,2015-12-31,2015-10-01,True,html_old,1017919,,,,,,,,,
INDUSTOWER,2017-01-25 21:07:00,2015-12-31,2015-10-01,False,html_old,1017918,,,,,,,,,
INDUSTOWER,2017-01-25 21:07:00,2016-12-31,2016-10-01,True,html_old,1017917,,,,,,,,,
INDUSTOWER,2017-01-25 21:07:00,2016-12-31,2016-10-01,False,html_old,1017916,,,,,,,,,
INDUSTOWER,2017-06-16 13:03:00,2017-03-31,2017-01-01,True,html_old,1021614,,,,,,,,,
INDUSTOWER,2017-06-16 13:03:00,2017-03-31,2017-01-01,False,html_old,1021613,,,,,,,,,
INDUSTOWER,2017-08-04 21:02:00,2017-06-30,2017-04-01,True,html_old,1027985,,,,,,,,,
INDUSTOWER,2017-08-04 21:02:00,2017-06-30,2017-04-01,False,html_old,1027984,,,,,,,,,
INDUSTOWER,2017-11-01 10:48:00,2017-09-30,2017-07-01,True,html_old,1032050,,,,,,,,,
INDUSTOWER,2017-11-01 10:48:00,2017-09-30,2017-07-01,False,html_old,1032049,,,,,,,,,
INDUSTOWER,2018-01-22 16:48:00,2017-12-31,2017-10-01,True,html_old,1035240,,,,,,,,,
INDUSTOWER,2018-01-22 16:48:00,2017-12-31,2017-10-01,False,html_old,1035239,,,,,,,,,
INDUSTOWER,2018-06-08 14:57:00,2018-03-31,2018-01-01,True,xbrl_new,1038705,,,,,,,,,
INDUSTOWER,2018-06-08 14:57:00,2018-03-31,2018-01-01,False,xbrl_new,1038703,,,,,,,,,
INDUSTOWER,2018-08-03 18:08:00,2018-06-30,2018-04-01,True,xbrl_new,1047064,,,,,,,,,
INDUSTOWER,2018-08-03 18:08:00,2018-06-30,2018-04-01,False,xbrl_new,1047063,,,,,,,,,
INDUSTOWER,2018-10-29 15:36:00,2018-09-30,2018-07-01,True,xbrl_new,1050060,17202000000.0,17404000000.0,11207000000.0,6197000000.0,5998000000.0,3.24,3.24,18496000000.0,
INDUSTOWER,2018-10-29 15:39:00,2018-09-30,2018-07-01,False,xbrl_new,1050056,17191000000.0,17393000000.0,11174000000.0,6219000000.0,4032000000.0,2.18,2.18,18496000000.0,
INDUSTOWER,2019-01-28 15:33:00,2018-12-31,2018-10-01,True,xbrl_new,1054819,17332000000.0,17595000000.0,10575000000.0,7020000000.0,6484000000.0,3.51,3.51,18496000000.0,
INDUSTOWER,2019-01-28 15:35:00,2018-12-31,2018-10-01,False,xbrl_new,1054813,17325000000.0,17588000000.0,10555000000.0,7033000000.0,4689000000.0,2.54,2.54,18496000000.0,
INDUSTOWER,2019-05-07 17:57:00,2019-03-31,2019-01-01,False,xbrl_new,1059108,16746000000.0,16932000000.0,10920000000.0,6012000000.0,3890000000.0,2.1,2.1,18496000000.0,
INDUSTOWER,2019-05-07 17:58:00,2019-03-31,2019-01-01,True,xbrl_new,1059110,16758000000.0,16944000000.0,10935000000.0,6009000000.0,6076000000.0,3.29,3.29,18496082000.0,
INDUSTOWER,2019-07-25 16:46:00,2019-06-30,2019-04-01,True,xbrl_new,1065208,17254000000.0,17782000000.0,10813000000.0,6969000000.0,8870000000.0,4.8,4.8,18496000000.0,
INDUSTOWER,2019-07-25 16:49:00,2019-06-30,2019-04-01,False,xbrl_new,1065210,17243000000.0,17771000000.0,10783000000.0,6988000000.0,4481000000.0,2.42,2.42,18496000000.0,
INDUSTOWER,2019-10-22 16:05:00,2019-09-30,2019-07-01,True,xbrl_new,1069009,16683000000.0,16883000000.0,10717000000.0,6166000000.0,9635000000.0,5.21,5.21,18496000000.0,
INDUSTOWER,2019-10-22 16:14:00,2019-09-30,2019-07-01,False,xbrl_new,1069015,16670000000.0,16870000000.0,10693000000.0,6177000000.0,4780000000.0,2.58,2.58,18496000000.0,
INDUSTOWER,2020-01-31 17:49:00,2019-12-31,2019-10-01,True,xbrl_new,1075760,16672000000.0,16845000000.0,11310000000.0,5535000000.0,7987000000.0,4.32,4.32,18496000000.0,
INDUSTOWER,2020-01-31 17:51:00,2019-12-31,2019-10-01,False,xbrl_new,1075766,16659000000.0,16832000000.0,11290000000.0,5542000000.0,4141000000.0,2.24,2.24,18496000000.0,
INDUSTOWER,2020-04-24 15:40:00,2020-03-31,2020-01-01,False,xbrl_new,1081369,16811000000.0,17197000000.0,11782000000.0,5415000000.0,4064000000.0,2.2,2.2,18496000000.0,
INDUSTOWER,2020-04-27 12:54:00,2020-03-31,2020-01-01,True,xbrl_new,1081367,16821000000.0,17207000000.0,11807000000.0,5400000000.0,6495000000.0,3.51,3.51,18496000000.0,
INDUSTOWER,2020-07-28 16:06:00,2020-06-30,2020-04-01,True,xbrl_new,1087799,16354000000.0,16519000000.0,11149000000.0,5370000000.0,7036000000.0,3.81,3.8,18496000000.0,
INDUSTOWER,2020-07-28 16:09:00,2020-06-30,2020-04-01,False,xbrl_new,1087802,16343000000.0,20708000000.0,11123000000.0,9585000000.0,8232000000.0,4.45,4.45,18496000000.0,
INDUSTOWER,2020-10-24 15:39:00,2020-09-30,2020-07-01,False,xbrl_new,1092947,17659000000.0,17881000000.0,11907000000.0,5974000000.0,4459000000.0,2.41,2.41,18496000000.0,
INDUSTOWER,2020-10-24 15:42:00,2020-09-30,2020-07-01,True,xbrl_new,1092949,17664000000.0,17886000000.0,11928000000.0,5958000000.0,7326000000.0,3.96,3.96,18496000000.0,
INDUSTOWER,2021-01-29 18:49:00,2020-12-31,2020-10-01,True,xbrl_new,1101010,40607000000.0,41416000000.0,31795000000.0,9621000000.0,9791000000.0,4.94,4.94,26949000000.0,
INDUSTOWER,2021-01-29 18:52:00,2020-12-31,2020-10-01,False,xbrl_new,1101016,40598000000.0,41407000000.0,31773000000.0,9634000000.0,7043000000.0,3.55,3.55,26949000000.0,
INDUSTOWER,2021-04-22 21:45:00,2021-03-31,2021-01-01,False,xbrl_new,1106468,64908000000.0,65680000000.0,47713000000.0,17967000000.0,13648000000.0,5.06,5.06,26949000000.0,
INDUSTOWER,2021-04-22 21:51:00,2021-03-31,2021-01-01,True,xbrl_new,1106470,64918000000.0,65691000000.0,47734000000.0,17957000000.0,13637000000.0,5.06,5.06,26949000000.0,
INDUSTOWER,2021-07-29 22:03:00,2021-06-30,2021-04-01,False,xbrl_new,1114351,67956000000.0,68525000000.0,49740000000.0,18785000000.0,14168000000.0,5.26,5.26,26949000000.0,
INDUSTOWER,2021-07-29 22:08:00,2021-06-30,2021-04-01,True,xbrl_new,1114352,67970000000.0,68539000000.0,49769000000.0,18770000000.0,14153000000.0,5.25,5.25,26949000000.0,
INDUSTOWER,2021-10-26 17:14:00,2021-09-30,2021-07-01,True,xbrl_new,1117886,68765000000.0,69692000000.0,49358000000.0,20334000000.0,15585000000.0,5.79,5.79,26949000000.0,
INDUSTOWER,2021-10-26 17:15:00,2021-09-30,2021-07-01,False,xbrl_new,1117888,68752000000.0,69679000000.0,49332000000.0,20347000000.0,15598000000.0,5.79,5.79,26949000000.0,
INDUSTOWER,2022-01-28 16:04:00,2021-12-31,2021-10-01,True,xbrl_new,1125318,69274000000.0,70213000000.0,49324000000.0,20889000000.0,15708000000.0,5.83,5.83,26949000000.0,
INDUSTOWER,2022-01-28 16:09:00,2021-12-31,2021-10-01,False,xbrl_new,1125326,69259000000.0,70198000000.0,49291000000.0,20907000000.0,15726000000.0,5.84,5.84,26949000000.0,
INDUSTOWER,2022-05-06 20:23:00,2022-03-31,2022-01-01,True,xbrl_new,1131992,71163000000.0,72253000000.0,47939000000.0,24314000000.0,18285000000.0,6.79,6.79,26949000000.0,
INDUSTOWER,2022-05-06 20:27:00,2022-03-31,2022-01-01,False,xbrl_new,1131994,71115000000.0,72205000000.0,48001000000.0,24204000000.0,18179000000.0,6.75,6.75,26949000000.0,
INDUSTOWER,2022-08-03 19:25:00,2022-06-30,2022-04-01,True,xbrl_new,1344,68973000000.0,69898000000.0,63467000000.0,6431000000.0,4773000000.0,1.771,1.771,26949000000.0,
INDUSTOWER,2022-10-28 18:05:00,2022-09-30,2022-07-01,False,xbrl_new,5123,79666000000.0,80295000000.0,68535000000.0,11760000000.0,8730000000.0,3.239,3.239,26949000000.0,
INDUSTOWER,2022-10-28 18:07:00,2022-09-30,2022-07-01,True,xbrl_new,5109,79666000000.0,80295000000.0,68545000000.0,11750000000.0,8718000000.0,3.236,3.235,26949000000.0,
INDUSTOWER,2023-01-25 17:13:00,2022-12-31,2022-10-01,True,xbrl_new,1139462,67650000000.0,68548000000.0,73141000000.0,-9521000000.0,-7082000000.0,-2.63,-2.63,26949000000.0,
INDUSTOWER,2023-01-25 17:14:00,2022-12-31,2022-10-01,False,xbrl_new,1139468,67650000000.0,68548000000.0,73135000000.0,-9515000000.0,-7076000000.0,-2.63,-2.63,26949000000.0,
INDUSTOWER,2023-04-27 16:49:00,2023-03-31,2023-01-01,False,xbrl_new,1145429,67529000000.0,68689000000.0,49757000000.0,18932000000.0,13990000000.0,5.19,5.19,26949000000.0,
INDUSTOWER,2023-04-27 16:51:00,2023-03-31,2023-01-01,True,xbrl_new,1145431,67529000000.0,68690000000.0,49757000000.0,18933000000.0,13991000000.0,5.19,5.19,26949000000.0,
INDUSTOWER,2023-07-28 14:54:00,2023-06-30,2023-04-01,False,xbrl_new,1152457,70759000000.0,71324000000.0,53191000000.0,18133000000.0,13509000000.0,5.01,5.01,26949000000.0,
INDUSTOWER,2023-07-28 14:56:00,2023-06-30,2023-04-01,True,xbrl_new,1152458,70759000000.0,71324000000.0,53221000000.0,18103000000.0,13479000000.0,5.0,5.0,26949000000.0,
INDUSTOWER,2023-10-26 17:30:00,2023-09-30,2023-07-01,False,xbrl_new,1156025,71325000000.0,72297000000.0,54824000000.0,17473000000.0,12953000000.0,4.81,4.81,26949000000.0,
INDUSTOWER,2023-10-26 17:32:00,2023-09-30,2023-07-01,True,xbrl_new,1156027,71325000000.0,72297000000.0,54830000000.0,17467000000.0,12947000000.0,4.81,4.8,26949000000.0,
INDUSTOWER,2024-01-24 16:26:00,2023-12-31,2023-10-01,False,xbrl_new,1162844,71990000000.0,72979000000.0,52205000000.0,20774000000.0,15414000000.0,5.72,5.72,26949000000.0,
INDUSTOWER,2024-01-24 16:30:00,2023-12-31,2023-10-01,True,xbrl_new,1162848,71990000000.0,72979000000.0,52214000000.0,20765000000.0,15405000000.0,5.72,5.72,26949000000.0,
INDUSTOWER,2024-05-01 18:47:00,2024-03-31,2024-01-01,False,xbrl_new,1170022,71932000000.0,73017000000.0,48125000000.0,24892000000.0,18534000000.0,6.88,6.88,26949000000.0,
INDUSTOWER,2024-05-01 19:02:00,2024-03-31,2024-01-01,True,xbrl_new,1170024,71932000000.0,73017000000.0,48128000000.0,24889000000.0,18531000000.0,6.88,6.88,26949000000.0,
INDUSTOWER,2024-07-31 17:50:00,2024-06-30,2024-04-01,False,xbrl_new,1178518,73830000000.0,74394000000.0,48471000000.0,25923000000.0,19264000000.0,7.15,7.15,26949000000.0,
INDUSTOWER,2024-07-31 17:52:00,2024-06-30,2024-04-01,True,xbrl_new,1178520,73830000000.0,74394000000.0,48476000000.0,25918000000.0,19259000000.0,7.15,7.15,26949000000.0,
INDUSTOWER,2024-10-23 16:58:00,2024-09-30,2024-07-01,False,xbrl_new,1182073,74653000000.0,75791000000.0,46001000000.0,29790000000.0,22224000000.0,8.3,8.3,26381000000.0,
INDUSTOWER,2024-10-23 17:01:00,2024-09-30,2024-07-01,True,xbrl_new,1182079,74653000000.0,75792000000.0,45991000000.0,29801000000.0,22235000000.0,8.3,8.3,26381000000.0,
INDUSTOWER,2025-01-24 15:30:00,2024-12-31,2024-10-01,False,xbrl_new,1190429,75474000000.0,76313000000.0,24155000000.0,52158000000.0,39970000000.0,15.15,15.15,26381000000.0,
INDUSTOWER,2025-01-24 15:36:00,2024-12-31,2024-10-01,True,xbrl_new,1190433,75474000000.0,76312000000.0,24124000000.0,52188000000.0,40032000000.0,15.18,15.18,26381000000.0,
