symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
ITC,2007-05-25 14:09:00,2007-03-31,2007-01-01,False,html_old,45597,346634.0,356862.0,253603.0,94043.0,65069.0,1.73,1.73,37622.0,0.0
ITC,2007-07-27 10:44:00,2007-06-30,2007-04-01,False,html_old,47298,332523.0,342680.0,219767.0,112893.0,78287.0,2.08,2.08,37622.0,0.0
ITC,2007-10-26 12:35:00,2007-09-30,2007-07-01,False,html_old,49327,327338.0,348163.0,234759.0,113313.0,77087.0,2.05,2.04,37639.0,
ITC,2008-01-18 12:50:00,2007-12-31,2007-10-01,False,html_old,51300,345799.0,359539.0,236801.0,122555.0,83072.0,2.21,2.2,37658.0,
ITC,2008-05-23 13:53:00,2008-03-31,2008-01-01,False,html_old,54286,393439.0,409807.0,301121.0,108416.0,73564.0,1.95,1.93,37686.0,
ITC,2008-07-30 17:28:00,2008-06-30,2008-04-01,False,html_old,56891,389970.0,401405.0,289869.0,111395.0,74867.0,1.99,1.97,37686.0,
ITC,2008-10-24 11:49:00,2008-09-30,2008-07-01,False,html_old,58626,376329.0,,278127.0,118907.0,80272.0,2.13,2.12,37702.0,
ITC,2009-01-19 13:42:00,2008-12-31,2008-10-01,False,html_old,60906,383331.0,,262481.0,133095.0,90321.0,2.4,2.39,37715.0,
ITC,2009-05-22 15:24:00,2009-03-31,2009-01-01,False,html_old,63982,389181.0,,277421.0,119177.0,80899.0,2.15,2.14,37744.0,
ITC,2009-07-23 13:44:00,2009-06-30,2009-04-01,False,html_old,65859,408268.0,,289718.0,131747.0,87870.0,2.33,2.32,37744.0,
ITC,2009-10-23 11:54:00,2009-09-30,2009-07-01,False,html_old,67987,429259.0,,290355.0,149203.0,100991.0,2.67,2.66,37802.0,
ITC,2010-01-22 12:43:00,2009-12-31,2009-10-01,False,html_old,71081,453185.0,,302738.0,170102.0,114417.0,3.02,2.99,37953.0,
ITC,2010-05-21 14:45:00,2010-03-31,2010-01-01,False,html_old,74234,505379.0,,366751.0,150479.0,102822.0,2.71,2.68,38182.0,
ITC,2010-07-22 13:12:00,2010-06-30,2010-04-01,False,html_old,75793,481663.0,,336993.0,157009.0,107031.0,2.8,2.77,38182.0,
ITC,2010-10-29 12:00:00,2010-09-30,2010-07-01,False,html_old,79147,506120.0,,343628.0,183003.0,124674.0,1.83,1.61,76774.0,
ITC,2011-01-21 12:49:00,2010-12-31,2010-10-01,False,html_old,81590,545349.0,,365255.0,203127.0,138908.0,1.81,1.78,77059.0,
ITC,2011-05-20 15:30:00,2011-03-31,2011-01-01,False,html_old,85004,583626.0,,421137.0,183677.0,128148.0,1.66,1.65,77381.0,
ITC,2011-07-28 12:30:00,2011-06-30,2011-04-01,False,html_old,87130,576747.0,,405054.0,193703.0,133272.0,1.72,1.7,77381.0,
ITC,2011-10-24 12:29:00,2011-09-30,2011-07-01,False,html_old,89449,597418.0,,403636.0,221548.0,151431.0,1.95,1.93,77730.0,
ITC,2012-01-20 13:36:00,2011-12-31,2011-10-01,False,html_old,91387,619543.0,,404063.0,247666.0,170098.0,2.19,2.16,77962.0,
ITC,2012-05-29 17:27:00,2012-03-31,2012-01-01,False,html_old,95599,686135.0,,487933.0,226836.0,161436.0,2.07,2.04,78184.0,
ITC,2012-07-26 12:12:00,2012-06-30,2012-04-01,False,html_old,97603,665221.0,,453952.0,233655.0,160214.0,,,78229.0,
ITC,2012-10-19 20:20:00,2012-09-30,2012-07-01,False,html_old,99850,714600.0,,472717.0,266110.0,183642.0,,,78563.0,
ITC,2013-01-18 12:38:00,2012-12-31,2012-10-01,False,html_old,102063,762707.0,,505956.0,295719.0,205185.0,,,78783.0,
ITC,2013-05-21 12:49:00,2013-03-31,2013-01-01,False,html_old,105134,818030.0,,575777.0,272934.0,192798.0,,,79018.0,0.0
ITC,2013-07-25 16:37:00,2013-06-30,2013-04-01,False,html_old,109190,733852.0,,483469.0,276224.0,189133.0,,,79018.0,0.0
