symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
JINDALSTEL,2007-05-21 14:41:00,2007-03-31,2007-01-01,False,html_old,45469,105392.0,107404.0,66224.0,26849.0,20277.0,66.84,65.78,1540.0,0.0
JINDALSTEL,2007-07-30 14:18:00,2007-06-30,2007-04-01,False,html_old,47579,122313.0,123273.0,74395.0,34023.0,25011.0,81.22,80.15,1540.0,0.0
JINDALSTEL,2007-10-29 20:09:00,2007-09-30,2007-07-01,False,html_old,49803,126904.0,127194.0,84619.0,34665.0,27747.0,90.11,88.92,1540.0,
JINDALSTEL,2008-01-28 15:01:00,2007-12-31,2007-10-01,False,html_old,51755,139561.0,140741.0,98204.0,37540.0,31905.0,20.72,20.45,1540.0,
JINDALSTEL,2008-05-27 16:43:00,2008-03-31,2008-01-01,False,html_old,54394,152297.0,154779.0,104722.0,44023.0,39033.0,25.35,24.69,1540.0,
JINDALSTEL,2008-07-25 19:11:00,2008-06-30,2008-04-01,False,html_old,56247,189531.0,190274.0,129547.0,55979.0,40230.0,26.01,25.6,1547.0,
JINDALSTEL,2008-10-30 17:25:00,2008-09-30,2008-07-01,False,html_old,59618,221612.0,,157935.0,59545.0,45000.0,29.09,28.64,1547.0,
JINDALSTEL,2009-01-29 16:29:00,2008-12-31,2008-10-01,False,html_old,61597,178001.0,,128000.0,43712.0,32517.0,21.02,20.7,1547.0,
JINDALSTEL,2009-07-29 13:43:00,2009-06-30,2009-04-01,False,html_old,66393,157570.0,,114031.0,41959.0,30006.0,19.4,19.15,1547.0,
JINDALSTEL,2009-07-29 13:53:00,2009-06-30,2009-04-01,True,html_old,66396,274814.0,,139228.0,127517.0,98847.0,63.89,63.09,1547.0,
JINDALSTEL,2009-10-31 14:46:00,2009-09-30,2009-07-01,True,html_old,69836,244357.0,,138706.0,98616.0,80836.0,8.69,8.61,9308.0,
JINDALSTEL,2009-10-31 14:46:00,2009-09-30,2009-07-01,False,html_old,69829,159653.0,,117392.0,39028.0,30501.0,3.28,3.25,9308.0,
JINDALSTEL,2010-01-28 18:16:00,2009-12-31,2009-10-01,True,html_old,71590,267529.0,,148995.0,111003.0,87435.0,,,9308.0,
JINDALSTEL,2010-01-28 18:16:00,2009-12-31,2009-10-01,False,html_old,71588,175757.0,,128148.0,43575.0,32562.0,,,9308.0,
JINDALSTEL,2010-05-04 15:36:00,2010-03-31,2010-01-01,True,html_old,73446,317559.0,,197150.0,118209.0,96338.0,10.35,10.27,9312.0,
JINDALSTEL,2010-05-04 15:39:00,2010-03-31,2010-01-01,False,html_old,73447,238884.0,,174174.0,66188.0,54899.0,5.9,5.85,9312.0,
JINDALSTEL,2010-07-28 16:39:00,2010-06-30,2010-04-01,False,html_old,76208,211886.0,,147774.0,57589.0,43569.0,4.68,4.67,9339.0,
JINDALSTEL,2010-07-28 16:47:00,2010-06-30,2010-04-01,True,html_old,76209,299824.0,,168710.0,123668.0,95697.0,10.11,10.09,9339.0,
JINDALSTEL,2010-10-26 15:49:00,2010-09-30,2010-07-01,True,html_old,78568,307795.0,,185346.0,115419.0,89424.0,9.45,9.43,9339.0,
JINDALSTEL,2010-10-26 15:49:00,2010-09-30,2010-07-01,False,html_old,78564,229547.0,,160736.0,62020.0,47817.0,5.13,5.12,9339.0,
JINDALSTEL,2011-01-24 15:25:00,2010-12-31,2010-10-01,True,html_old,81665,316815.0,,186789.0,123355.0,95110.0,10.02,10.01,9339.0,
JINDALSTEL,2011-01-24 15:25:00,2010-12-31,2010-10-01,False,html_old,81664,240440.0,,165635.0,66548.0,50193.0,5.38,5.37,9339.0,
JINDALSTEL,2011-04-21 18:05:00,2011-03-31,2011-01-01,True,html_old,83518,384812.0,,246155.0,136360.0,100170.0,10.73,10.72,,
JINDALSTEL,2011-04-21 18:05:00,2011-03-31,2011-01-01,False,html_old,83516,271616.0,,186751.0,89179.0,64833.0,6.95,6.94,,
JINDALSTEL,2011-07-28 19:06:00,2011-06-30,2011-04-01,True,html_old,87197,394016.0,,264342.0,122179.0,93303.0,9.83,9.82,9345.0,
JINDALSTEL,2011-07-28 19:06:00,2011-06-30,2011-04-01,False,html_old,87196,252259.0,,176970.0,64101.0,47016.0,5.03,5.02,9345.0,
JINDALSTEL,2011-10-18 18:20:00,2011-09-30,2011-07-01,True,html_old,89178,440661.0,,305369.0,119509.0,89181.0,9.37,9.36,9345.0,
JINDALSTEL,2011-10-18 18:20:00,2011-09-30,2011-07-01,False,html_old,89177,331722.0,,246102.0,58689.0,39579.0,4.24,4.23,9345.0,
JINDALSTEL,2012-01-18 18:46:00,2011-12-31,2011-10-01,True,html_old,91348,435451.0,,294688.0,133506.0,101588.0,10.67,10.67,9348.0,
JINDALSTEL,2012-01-18 18:46:00,2011-12-31,2011-10-01,False,html_old,91345,329514.0,,251313.0,65011.0,46107.0,4.93,4.93,9348.0,
JINDALSTEL,2012-05-22 11:43:00,2012-03-31,2012-01-01,False,html_old,93469,415086.0,,310115.0,96500.0,78363.0,8.38,8.38,9348.0,
JINDALSTEL,2012-06-06 18:33:00,2012-03-31,2012-01-01,True,html_old,93790,546526.0,,396376.0,143666.0,116154.0,12.49,12.49,9348.0,
JINDALSTEL,2012-07-25 18:01:00,2012-06-30,2012-04-01,True,html_old,97524,468041.0,,346108.0,49773.0,38548.0,,,9348.0,
JINDALSTEL,2012-07-25 18:01:00,2012-06-30,2012-04-01,False,html_old,97522,331182.0,,253054.0,2006.0,1242.0,,,9348.0,
JINDALSTEL,2012-11-09 19:42:00,2012-09-30,2012-07-01,True,html_old,101093,460693.0,,332783.0,124715.0,90345.0,,,9348.0,
JINDALSTEL,2012-11-09 19:42:00,2012-09-30,2012-07-01,False,html_old,101091,354197.0,,257720.0,84129.0,58221.0,,,9348.0,
JINDALSTEL,2013-02-20 19:02:00,2012-12-31,2012-10-01,True,html_old,103523,468331.0,,339102.0,114720.0,86994.0,,,9348.0,
JINDALSTEL,2013-02-20 19:02:00,2012-12-31,2012-10-01,False,html_old,103517,377972.0,,279720.0,74009.0,52047.0,,,9348.0,
JINDALSTEL,2013-05-18 14:21:00,2013-03-31,2013-01-01,False,html_old,104920,4213.7,,,,,,,,
JINDALSTEL,2013-05-18 14:21:00,2013-03-31,2013-01-01,True,html_old,104919,5648.44,,,,,,,,
JINDALSTEL,2013-08-05 17:57:00,2013-06-30,2013-04-01,False,html_old,109768,338514.0,,288116.0,31850.0,23886.0,,,9348.0,0.0
JINDALSTEL,2013-08-05 17:57:00,2013-06-30,2013-04-01,True,html_old,109767,449080.0,,365674.0,66928.0,50126.0,,,9348.0,0.0
JINDALSTEL,2013-11-05 19:09:00,2013-09-30,2013-07-01,False,html_old,112012,363394.0,,297593.0,35163.0,25668.0,,,9348.0,0.0
JINDALSTEL,2013-11-05 19:09:00,2013-09-30,2013-07-01,True,html_old,112011,494903.0,,396084.0,62740.0,45494.0,,,9348.0,0.0
JINDALSTEL,2014-01-29 13:49:00,2013-12-31,2013-10-01,False,html_old,114199,374944.0,,286541.0,54558.0,36558.0,,,9263.0,0.0
JINDALSTEL,2014-01-29 13:49:00,2013-12-31,2013-10-01,True,html_old,114198,533579.0,,413657.0,81896.0,55921.0,,,9263.0,0.0
JINDALSTEL,2014-04-30 14:57:00,2014-03-31,2014-01-01,False,html_old,116502,366021.0,,303063.0,38493.0,43083.0,,,9149.0,0.0
JINDALSTEL,2014-04-30 14:57:00,2014-03-31,2014-01-01,True,html_old,116501,506439.0,,430269.0,39637.0,37839.0,,,9149.0,0.0
JINDALSTEL,2014-08-11 16:09:00,2014-06-30,2014-04-01,False,html_old,121317,351833.0,,280744.0,37003.0,30627.0,,,9149.0,0.0
JINDALSTEL,2014-08-11 16:21:00,2014-06-30,2014-04-01,True,html_old,121319,487044.0,,401652.0,51682.0,40158.0,,,9149.0,0.0
JINDALSTEL,2014-11-10 18:41:00,2014-09-30,2014-07-01,False,html_old,123534,318284.0,,253818.0,23674.0,28728.0,,,9149.0,0.0
JINDALSTEL,2014-11-11 10:17:00,2014-09-30,2014-07-01,True,html_old,123550,507267.0,,415337.0,43117.0,40011.0,,,9149.0,0.0
JINDALSTEL,2015-02-04 17:57:00,2014-12-31,2014-10-01,False,html_old,125642,350045.0,,297447.0,-76671.0,-66960.0,,,9149.0,0.0
JINDALSTEL,2015-02-04 17:57:00,2014-12-31,2014-10-01,True,html_old,125641,497371.0,,433451.0,-181313.0,-167511.0,,,9149.0,0.0
JINDALSTEL,2015-05-29 13:01:00,2015-03-31,2015-01-01,True,html_old,129621,448103.0,,443669.0,-67761.0,-58117.0,,,9149.0,0.0
