symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
JISLJALEQS,2007-05-07 09:18:00,2007-03-31,2007-01-01,False,html_old,45017,44939.0,46518.0,37790.0,5676.0,2585.0,4.44,4.44,6148.0,0.0
JISLJALEQS,2007-07-20 13:05:00,2007-06-30,2007-04-01,False,html_old,46894,32740.0,33766.0,27186.0,3233.0,2822.0,4.53,4.5,6512.0,0.0
JISLJALEQS,2007-10-23 20:04:00,2007-09-30,2007-07-01,False,html_old,48896,32926.0,33729.0,27744.0,3340.0,3000.0,5.29,5.29,6624.0,
JISLJALEQS,2008-01-24 17:02:00,2007-12-31,2007-10-01,False,html_old,51594,41172.0,41479.0,33994.0,4526.0,4485.0,7.05,7.02,6765.0,
JISLJALEQS,2008-04-21 15:31:00,2008-03-31,2008-01-01,False,html_old,52959,59894.0,60587.0,48654.0,8652.0,3659.0,4.76,4.74,7206.0,
JISLJALEQS,2008-07-29 12:08:00,2008-06-30,2008-04-01,False,html_old,56525,47431.0,47610.0,41510.0,2991.0,2956.0,4.1,4.08,7218.0,
JISLJALEQS,2008-10-25 13:31:00,2008-09-30,2008-07-01,False,html_old,58787,46386.0,,41290.0,2510.0,2450.0,3.39,3.37,7238.0,
JISLJALEQS,2009-02-02 11:52:00,2008-12-31,2008-10-01,False,html_old,62312,53190.0,,44332.0,5624.0,5564.0,7.69,7.64,7238.0,
JISLJALEQS,2009-05-04 12:50:00,2009-03-31,2009-01-01,False,html_old,63477,68500.0,,57660.0,7611.0,1325.0,1.32,1.32,7238.0,
JISLJALEQS,2009-07-30 22:26:00,2009-06-30,2009-04-01,False,html_old,66836,56688.0,,44130.0,8415.0,5559.0,7.48,7.44,7489.0,
JISLJALEQS,2009-10-28 14:01:00,2009-09-30,2009-07-01,False,html_old,68704,54986.0,,45333.0,6335.0,4256.0,5.66,5.64,7544.0,
JISLJALEQS,2010-01-28 12:28:00,2009-12-31,2009-10-01,False,html_old,71462,63087.0,,51430.0,8155.0,5736.0,7.6,7.57,7551.0,
JISLJALEQS,2010-05-11 16:09:00,2010-03-31,2010-01-01,False,html_old,73732,94409.0,,74439.0,16890.0,11734.0,15.26,15.22,7603.0,
JISLJALEQS,2010-08-09 15:17:00,2010-06-30,2010-04-01,False,html_old,76949,72060.0,,60049.0,7637.0,5231.0,6.87,6.86,7622.0,
JISLJALEQS,2010-11-08 14:15:00,2010-09-30,2010-07-01,False,html_old,80001,63683.0,,50080.0,8881.0,6199.0,8.13,8.11,7624.0,
JISLJALEQS,2011-01-28 09:36:00,2010-12-31,2010-10-01,False,html_old,81879,69326.0,,57590.0,10327.0,7147.0,1.88,1.87,7624.0,
JISLJALEQS,2011-04-29 17:15:00,2011-03-31,2011-01-01,False,html_old,83870,120016.0,,99737.0,16901.0,10926.0,2.9,2.9,7714.0,
JISLJALEQS,2011-08-10 12:05:00,2011-06-30,2011-04-01,False,html_old,87710,93158.0,,76045.0,11409.0,8235.0,2.14,2.14,7714.0,
JISLJALEQS,2011-11-08 11:33:00,2011-09-30,2011-07-01,False,html_old,89997,75031.0,,67570.0,1422.0,1157.0,0.29,0.29,7718.0,
JISLJALEQS,2012-02-13 15:40:00,2011-12-31,2011-10-01,False,html_old,92634,81635.0,,74210.0,132.0,124.0,0.03,0.03,8104.0,
JISLJALEQS,2012-05-22 19:38:00,2012-03-31,2012-01-01,False,html_old,94305,121162.0,,98384.0,14337.0,17343.0,4.27,4.27,8104.0,
JISLJALEQS,2012-08-27 17:09:00,2012-06-30,2012-04-01,False,html_old,99187,84361.0,,77823.0,-2304.0,-1688.0,,,8104.0,
JISLJALEQS,2012-11-20 11:51:00,2012-09-30,2012-07-01,False,html_old,101744,60314.0,,49459.0,2043.0,3625.0,,,8104.0,
JISLJALEQS,2013-02-11 15:51:00,2012-12-31,2012-10-01,False,html_old,102902,75021.0,,71227.0,-5214.0,-3117.0,,,9098.0,
JISLJALEQS,2013-06-07 15:09:00,2013-03-31,2013-01-01,False,html_old,106677,120915.0,,110007.0,10342.0,4190.0,,,9098.0,0.0
JISLJALEQS,2013-08-16 20:13:00,2013-06-30,2013-04-01,True,html_old,110652,138628.0,,124835.0,-8145.0,-5987.0,,,9098.0,206080.0
JISLJALEQS,2013-08-16 20:13:00,2013-06-30,2013-04-01,False,html_old,110653,96581.0,,84862.0,-6542.0,-4651.0,,,9098.0,222950.0
JISLJALEQS,2013-11-19 20:21:00,2013-09-30,2013-07-01,True,html_old,112762,120140.0,,111566.0,-10598.0,-8010.0,,,9098.0,206080.0
JISLJALEQS,2013-11-19 20:21:00,2013-09-30,2013-07-01,False,html_old,112763,79071.0,,71676.0,-8683.0,-6503.0,,,9098.0,222950.0
JISLJALEQS,2014-02-07 19:25:00,2013-12-31,2013-10-01,False,html_old,114879,94028.0,,85423.0,3280.0,3384.0,,,9098.0,0.0
JISLJALEQS,2014-02-07 19:29:00,2013-12-31,2013-10-01,True,html_old,114880,135237.0,,125481.0,1953.0,2600.0,,,9098.0,0.0
JISLJALEQS,2014-05-26 14:33:00,2014-03-31,2014-01-01,False,html_old,117879,135398.0,,119958.0,8937.0,8161.0,,,9248.0,0.0
JISLJALEQS,2014-05-26 14:33:00,2014-03-31,2014-01-01,True,html_old,117878,180576.0,,163279.0,8196.0,7537.0,,,9248.0,0.0
JISLJALEQS,2014-08-18 14:25:00,2014-06-30,2014-04-01,False,html_old,121844,99072.0,,90401.0,1859.0,1612.0,,,9248.0,0.0
JISLJALEQS,2014-08-18 14:37:00,2014-06-30,2014-04-01,True,html_old,121845,153044.0,,141414.0,2350.0,2034.0,,,9248.0,0.0
JISLJALEQS,2014-11-19 17:29:00,2014-09-30,2014-07-01,False,html_old,124007,80678.0,,74332.0,-2856.0,-1942.0,,,9248.0,0.0
JISLJALEQS,2014-11-19 17:53:00,2014-09-30,2014-07-01,True,html_old,124008,125316.0,,117416.0,-3487.0,-2353.0,,,9248.0,0.0
JISLJALEQS,2015-02-14 15:45:00,2014-12-31,2014-10-01,False,html_old,126118,82200.0,,77750.0,-5283.0,-2986.0,,,9248.0,0.0
JISLJALEQS,2015-02-14 15:45:00,2014-12-31,2014-10-01,True,html_old,126117,125812.0,,120330.0,-7207.0,-3955.0,,,9248.0,0.0
JISLJALEQS,2015-05-19 13:01:00,2015-03-31,2015-01-01,False,html_old,128053,151510.0,,135818.0,9732.0,8256.0,,,9248.0,0.0
JISLJALEQS,2015-05-19 13:01:00,2015-03-31,2015-01-01,True,html_old,128051,200906.0,,182321.0,11413.0,9729.0,,,9248.0,0.0
JISLJALEQS,2015-08-10 18:11:00,2015-06-30,2015-04-01,False,html_old,1001021,107421.0,,96161.0,2531.0,2042.0,,,9248.0,226900.0
JISLJALEQS,2015-08-10 18:13:00,2015-06-30,2015-04-01,True,html_old,1001022,156913.0,,143128.0,2211.0,1809.0,,,9248.0,204742.0
JISLJALEQS,2015-11-18 19:32:00,2015-09-30,2015-07-01,False,html_old,1003503,81420.0,,74759.0,-4013.0,-2720.0,,,9248.0,0.0
JISLJALEQS,2016-01-13 19:50:00,2015-09-30,2015-07-01,True,html_old,1003504,129990.0,,122043.0,-4834.0,-3007.0,,,9248.0,226900.0
JISLJALEQS,2016-02-15 15:20:00,2015-12-31,2015-10-01,False,html_old,1006079,87863.0,,82125.0,1214.0,1365.0,,,9248.0,
JISLJALEQS,2016-02-15 15:22:00,2015-12-31,2015-10-01,True,html_old,1006080,136191.0,,129317.0,943.0,878.0,,,9248.0,
JISLJALEQS,2016-05-31 17:35:00,2016-03-31,2016-01-01,True,html_old,1010392,198899.0,,179387.0,11351.0,8904.0,,,9530.0,
JISLJALEQS,2016-05-31 17:35:00,2016-03-31,2016-01-01,False,html_old,1010390,140349.0,,123793.0,9509.0,6438.0,,,9530.0,
JISLJALEQS,2016-09-21 18:24:00,2015-06-30,2015-04-01,True,html_old,1013132,157969.0,,146213.0,1525.0,1377.0,,,9248.0,
JISLJALEQS,2016-09-21 18:24:00,2016-06-30,2016-04-01,True,html_old,1013131,162948.0,,149097.0,6934.0,6091.0,,,9530.0,
JISLJALEQS,2016-09-21 18:24:00,2015-06-30,2015-04-01,False,html_old,1013130,108714.0,,98017.0,2647.0,2195.0,,,9248.0,
JISLJALEQS,2016-09-21 18:24:00,2016-06-30,2016-04-01,False,html_old,1013129,91070.0,,82049.0,3936.0,3530.0,,,9530.0,
JISLJALEQS,2016-11-19 21:33:00,2015-09-30,2015-07-01,False,html_old,1015991,85199.0,,77881.0,-724.0,-568.0,,,9248.0,
JISLJALEQS,2016-11-19 21:34:00,2015-09-30,2015-07-01,True,html_old,1015993,133419.0,,125695.0,-1351.0,-629.0,,,9248.0,
JISLJALEQS,2016-12-08 14:54:00,2016-09-30,2016-07-01,True,html_old,1015992,144882.0,,134713.0,1196.0,2935.0,,,9589.0,
JISLJALEQS,2016-12-08 14:54:00,2016-09-30,2016-07-01,False,html_old,1015990,72106.0,,66034.0,-541.0,469.0,,,9589.0,
JISLJALEQS,2017-02-21 18:16:00,2015-12-31,2015-10-01,True,html_old,1020368,138745.0,,132688.0,-3657.0,-2349.0,,,9248.0,
JISLJALEQS,2017-02-21 18:16:00,2015-12-31,2015-10-01,False,html_old,1020366,90698.0,,86012.0,-2835.0,-1283.0,,,9248.0,
JISLJALEQS,2017-02-22 15:48:00,2016-12-31,2016-10-01,True,html_old,1020367,145107.0,,136004.0,144.0,660.0,,,9589.0,
JISLJALEQS,2017-02-22 15:48:00,2016-12-31,2016-10-01,False,html_old,1020365,79813.0,,74980.0,-1242.0,49.0,,,9589.0,
JISLJALEQS,2017-06-09 12:26:00,2017-03-31,2017-01-01,True,html_old,1023582,228655.0,229786.0,213989.0,15797.0,7711.0,0.0,0.0,9589.0,
JISLJALEQS,2017-06-09 12:26:00,2017-03-31,2017-01-01,False,html_old,1023578,133008.0,141333.0,123168.0,18165.0,12332.0,0.0,0.0,9589.0,
JISLJALEQS,2017-09-26 11:36:00,2017-06-30,2017-04-01,True,html_old,1029910,173352.0,174686.0,169983.0,4703.0,4642.0,0.86,0.86,9589.0,
