symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
JUBLFOOD,2010-02-08 09:00:00,2009-12-31,2009-10-01,False,html_old,72403,11713.58,,10387.45,1142.68,1137.17,1.91,1.91,5962.17,
JUBLFOOD,2010-05-10 17:19:00,2010-03-31,2010-01-01,False,html_old,73675,12405.54,,11171.12,1041.48,1040.4,1.67,1.67,6362.17,
JUBLFOOD,2010-07-30 12:43:00,2010-06-30,2010-04-01,False,html_old,76415,13550.87,,11670.75,1870.99,1527.99,2.39,2.34,6396.05,
JUBLFOOD,2010-11-04 14:01:00,2010-09-30,2010-07-01,False,html_old,79951,16330.28,,14060.79,2294.47,1843.51,2.87,2.81,6434.29,
JUBLFOOD,2011-02-07 18:01:00,2010-12-31,2010-10-01,False,html_old,82487,18563.9,,16124.06,2509.16,1895.85,2.94,2.89,6444.04,
JUBLFOOD,2011-05-12 16:38:00,2011-03-31,2011-01-01,False,html_old,84478,19362.5,,16894.37,2568.3,1932.76,3.0,2.94,6453.22,
JUBLFOOD,2011-08-12 17:21:00,2011-06-30,2011-04-01,False,html_old,88172,21686.4,,18421.2,3394.0,2316.7,3.59,3.53,6453.2,
JUBLFOOD,2011-11-03 15:38:00,2011-09-30,2011-07-01,False,html_old,89869,24031.96,,20607.25,3478.93,2367.04,3.66,3.61,6466.69,
JUBLFOOD,2012-02-13 13:34:00,2011-12-31,2011-10-01,False,html_old,92540,27697.62,,23420.34,4338.75,2947.47,4.54,4.48,6492.58,
JUBLFOOD,2012-05-12 19:09:00,2012-03-31,2012-01-01,False,html_old,94306,28295.54,,24072.6,4254.53,2933.24,4.51,4.46,6507.79,
JUBLFOOD,2012-07-25 18:01:00,2012-06-30,2012-04-01,False,html_old,97542,31444.47,,26889.11,4751.13,3234.92,,,6507.79,
JUBLFOOD,2012-11-07 15:03:00,2012-09-30,2012-07-01,False,html_old,100829,34203.78,,29722.84,4682.23,3234.87,,,6514.72,
JUBLFOOD,2013-02-05 20:47:00,2012-12-31,2012-10-01,False,html_old,102660,38508.33,,33197.34,5508.0,3770.06,,,6520.14,
JUBLFOOD,2013-05-10 16:53:00,2013-03-31,2013-01-01,False,html_old,104608,36575.41,,31975.6,4801.48,3271.09,,,6528.34,0.0
JUBLFOOD,2013-08-05 18:49:00,2013-06-30,2013-04-01,False,html_old,109779,39642.98,,34772.5,5099.45,3400.4,,,6534.12,0.0
JUBLFOOD,2013-11-05 16:45:00,2013-09-30,2013-07-01,False,html_old,111947,43660.44,,38930.18,4977.37,3324.36,,,65341150.0,37093.22
JUBLFOOD,2014-02-05 11:49:00,2013-12-31,2013-10-01,False,html_old,114629,45651.09,,40876.12,5018.91,3359.93,,,6542.69,37093.22
JUBLFOOD,2014-05-20 15:37:00,2014-03-31,2014-01-01,False,html_old,117431,43365.15,,39931.91,3676.59,2495.07,,,6543.9,48458.99
JUBLFOOD,2014-08-12 18:41:00,2014-06-30,2014-04-01,False,html_old,121531,47673.74,,44017.06,3836.57,2772.65,,,6543.9,49803.07
JUBLFOOD,2014-11-04 15:29:00,2014-09-30,2014-07-01,False,html_old,123266,50107.76,,46371.29,3959.15,2900.62,,,6548.33,0.0
