symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
KOPRAN,2007-07-01 19:19:00,2007-03-31,2007-01-01,False,html_old,46511,1829.0,2017.0,2723.0,-1425.0,-1430.0,-4.49,-3.81,3225.0,0.0
KOPRAN,2008-02-02 13:02:00,2007-12-31,2007-10-01,False,html_old,52548,2246.0,2407.0,2602.0,-394.0,657.0,1.94,1.94,3349.0,
KOPRAN,2008-08-08 17:51:00,2008-06-30,2008-04-01,False,html_old,56952,2625.0,2695.0,2902.0,-376.0,-380.0,-1.1,-0.99,3525.0,
KOPRAN,2008-10-27 08:51:00,2008-09-30,2008-07-01,False,html_old,59186,3089.0,,3347.0,-322.0,-324.0,-0.94,-0.84,3626.0,
KOPRAN,2009-01-31 19:00:00,2008-12-31,2008-10-01,False,html_old,62025,2943.0,,3466.0,-614.0,-617.0,-1.77,-1.59,3525.0,
KOPRAN,2009-06-30 22:38:00,2009-03-31,2009-01-01,False,html_old,65371,3027.0,,2993.0,5.0,2.0,-0.02,-0.02,3525.0,
KOPRAN,2009-07-29 17:45:00,2009-06-30,2009-04-01,False,html_old,66465,3552.0,,3528.0,11.0,11.0,0.01,0.01,3525.0,
KOPRAN,2009-11-03 19:16:00,2009-09-30,2009-07-01,False,html_old,70156,4185.0,,4053.0,58.0,58.0,0.14,0.13,3710.0,
KOPRAN,2010-01-29 16:49:00,2009-12-31,2009-10-01,False,html_old,71833,3981.0,,3867.0,787.0,787.0,0.28,0.27,3710.0,
KOPRAN,2010-05-14 15:24:00,2010-03-31,2010-01-01,False,html_old,73893,3891.0,,4089.0,143.0,143.0,0.36,0.34,3710.0,
KOPRAN,2010-08-10 18:06:00,2010-06-30,2010-04-01,False,html_old,77041,4481.0,,4562.0,27.0,27.0,0.05,0.05,3710.0,
KOPRAN,2010-11-18 21:28:00,2010-09-30,2010-07-01,False,html_old,81036,5255.0,,5245.0,134.0,161.0,0.4,0.4,3905.0,
KOPRAN,2011-02-21 16:31:00,2010-12-31,2010-10-01,False,html_old,83255,4053.0,,4030.0,136.0,136.0,0.33,0.33,3905.0,
KOPRAN,2011-06-09 09:17:00,2011-03-31,2011-01-01,False,html_old,84826,4774.0,,4669.0,213.0,213.0,0.52,0.52,3905.0,
KOPRAN,2011-07-30 15:33:00,2011-06-30,2011-04-01,False,html_old,87362,4406.0,,4468.0,52.0,52.0,0.11,0.11,3905.0,
KOPRAN,2011-11-21 18:04:00,2011-09-30,2011-07-01,False,html_old,91037,4610.0,,4725.0,61.0,61.0,0.13,0.13,3905.0,
KOPRAN,2012-02-15 19:01:00,2011-12-31,2011-10-01,False,html_old,92571,4853.0,,4602.0,191.0,191.0,0.47,0.47,3905.0,
KOPRAN,2012-05-25 08:43:00,2012-03-31,2012-01-01,False,html_old,94677,5392.0,,5063.0,310.0,310.0,0.79,0.79,3905.0,
KOPRAN,2012-08-17 18:26:00,2012-06-30,2012-04-01,False,html_old,98691,4968.0,,4637.0,251.0,251.0,,,3905.0,
KOPRAN,2012-11-12 18:40:00,2012-09-30,2012-07-01,False,html_old,101411,6290.0,,5824.0,323.0,323.0,,,3905.0,
KOPRAN,2013-02-18 17:52:00,2012-12-31,2012-10-01,False,html_old,103329,5633.0,,5383.0,226.0,226.0,,,3905.0,
KOPRAN,2013-06-24 16:37:00,2013-03-31,2013-01-01,False,html_old,108254,7455.0,,6956.0,406.0,406.0,,,3905.0,0.0
KOPRAN,2013-08-20 14:53:00,2013-06-30,2013-04-01,False,html_old,110994,5810.0,,5490.0,279.0,279.0,,,3905.0,0.0
KOPRAN,2013-11-22 15:05:00,2013-09-30,2013-07-01,False,html_old,113207,7854.0,,7215.0,503.0,503.0,,,3905.0,0.0
KOPRAN,2014-02-20 16:49:00,2013-12-31,2013-10-01,False,html_old,115846,7628.0,,7152.0,307.0,307.0,,,3905.0,0.0
KOPRAN,2014-06-09 18:57:00,2014-03-31,2014-01-01,False,html_old,120074,8124.0,,7382.0,615.0,615.0,,,3905.0,0.0
KOPRAN,2014-08-20 12:29:00,2014-06-30,2014-04-01,False,html_old,122213,6689.0,,6246.0,303.0,303.0,,,3905.0,0.0
KOPRAN,2014-11-21 15:21:00,2014-09-30,2014-07-01,False,html_old,124325,7749.0,,7373.0,309.0,309.0,,,3905.0,0.0
KOPRAN,2015-02-20 12:57:00,2014-12-31,2014-10-01,False,html_old,126933,6868.0,,6623.0,152.0,152.0,,,4110.0,0.0
KOPRAN,2015-05-30 16:29:00,2015-03-31,2015-01-01,False,html_old,129998,10531.0,,9784.0,784.0,784.0,,,4110.0,0.0
KOPRAN,2015-08-14 20:40:00,2015-06-30,2015-04-01,False,html_old,1001642,4259.0,,3964.0,201.0,258.0,,,4110.0,0.0
KOPRAN,2015-08-14 20:42:00,2015-06-30,2015-04-01,True,html_old,1001643,6094.0,,5948.0,31.0,61.0,,,4110.0,0.0
KOPRAN,2015-11-07 16:17:00,2015-09-30,2015-07-01,False,html_old,1003305,5198.0,,4669.0,403.0,403.0,,,4110.0,0.0
KOPRAN,2015-11-07 16:17:00,2015-09-30,2015-07-01,True,html_old,1003306,7790.0,,7354.0,283.0,283.0,,,4110.0,0.0
