symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
LITL,2007-05-15 09:48:00,2007-03-31,2007-01-01,False,html_old,45270,21723.5,22021.0,17328.0,3960.1,2426.6,1.64,1.64,21979.3,0.0
LITL,2007-05-16 20:48:00,2007-03-31,2007-01-01,True,html_old,45272,48947.5,50056.5,35836.6,10178.1,5690.0,3.78,3.78,21979.3,0.0
LITL,2007-07-26 21:05:00,2007-06-30,2007-04-01,True,html_old,47289,59144.1,60327.9,47677.9,8985.6,5128.8,2.33,2.33,21979.3,0.0
LITL,2007-07-26 21:05:00,2007-06-30,2007-04-01,False,html_old,47283,15200.6,15685.0,12381.8,2626.5,1699.1,0.77,0.77,21979.3,0.0
LITL,2007-10-29 09:47:00,2007-09-30,2007-07-01,False,html_old,49622,37940.3,38855.0,33447.3,4650.8,3427.8,1.62,1.6,21979.3,
LITL,2007-10-29 09:49:00,2007-09-30,2007-07-01,True,html_old,49626,64672.2,66868.5,54267.4,10340.6,8476.9,2.89,2.85,21979.3,
LITL,2008-01-29 19:48:00,2007-12-31,2007-10-01,True,html_old,51991,77815.1,79682.1,62438.1,15056.2,12022.2,3.91,3.85,21979.3,
LITL,2008-01-29 19:48:00,2007-12-31,2007-10-01,False,html_old,51988,38214.5,38928.0,32292.8,5902.7,3891.3,1.84,1.81,21979.3,
LITL,2008-05-30 10:16:00,2008-03-31,2008-01-01,False,html_old,54535,66187.8,66894.5,48890.3,16528.1,10999.3,5.21,5.09,21979.3,
LITL,2008-06-02 17:58:00,2008-03-31,2008-01-01,True,html_old,54620,122494.4,126776.6,96786.0,28119.3,20503.2,7.55,7.37,21979.3,
LITL,2008-07-30 20:14:00,2008-06-30,2008-04-01,True,html_old,56961,91393.45,92678.26,78339.32,11409.22,8525.93,2.8,2.77,21979.33,
LITL,2008-07-30 20:14:00,2008-06-30,2008-04-01,False,html_old,56951,53386.94,53716.65,45292.27,6657.73,4687.73,2.22,2.2,21979.3,
LITL,2008-10-31 22:44:00,2008-09-30,2008-07-01,False,html_old,60198,63259.38,,54679.8,6209.11,3987.48,1.89,1.87,21979.33,
LITL,2008-10-31 23:04:00,2008-09-30,2008-07-01,True,html_old,60210,127897.07,,114402.85,10108.05,7004.79,2.44,2.41,21979.33,
LITL,2009-01-30 22:06:00,2008-12-31,2008-10-01,False,html_old,61954,104342.79,,92621.63,8783.4,5873.19,2.78,2.74,21979.33,
LITL,2009-01-30 22:06:00,2008-12-31,2008-10-01,True,html_old,61939,130011.22,,162853.02,16140.98,12037.4,3.78,3.73,21979.33,
LITL,2009-05-30 15:58:00,2009-03-31,2009-01-01,False,html_old,64294,185435.99,,163233.84,18653.04,11938.48,5.65,5.57,21983.38,
LITL,2009-05-30 15:58:00,2009-03-31,2009-01-01,True,html_old,64287,181153.01,,183441.58,18396.7,11582.84,4.25,4.19,21983.38,
LITL,2009-07-29 13:26:00,2009-06-30,2009-04-01,False,html_old,66384,144627.0,,125122.0,18909.0,12865.0,6.08,5.98,21983.0,
LITL,2009-07-29 20:27:00,2009-06-30,2009-04-01,True,html_old,66389,219289.0,,195423.0,21820.0,13688.0,5.47,5.38,21983.0,
LITL,2009-10-27 19:23:00,2009-09-30,2009-07-01,False,html_old,68615,146761.0,,125550.0,18070.0,12738.0,5.72,5.63,23825.0,
LITL,2009-10-28 09:01:00,2009-09-30,2009-07-01,True,html_old,68618,192656.0,,166833.0,22508.0,14815.0,5.5,5.41,23825.0,
LITL,2010-01-28 09:12:00,2009-12-31,2009-10-01,True,html_old,71443,161071.0,,135898.0,21710.0,13116.0,,,23825.0,
LITL,2010-01-28 09:12:00,2009-12-31,2009-10-01,False,html_old,71442,131352.0,,111440.0,17284.0,11451.0,,,23825.0,
LITL,2010-06-01 10:15:00,2010-03-31,2010-01-01,True,html_old,75319,204836.0,,199461.0,27177.0,15168.0,0.49,0.48,23855.0,
LITL,2010-06-01 10:31:00,2010-03-31,2010-01-01,False,html_old,75317,157195.0,,145905.0,17748.0,11584.0,0.5,0.49,23855.0,
LITL,2010-08-16 08:46:00,2010-06-30,2010-04-01,True,html_old,77510,153249.0,,173638.0,25768.0,22235.0,0.84,0.83,23855.0,
LITL,2010-08-16 08:46:00,2010-06-30,2010-04-01,False,html_old,77509,103752.0,,90334.0,10727.0,7132.0,0.31,0.3,23855.0,
LITL,2010-11-12 10:24:00,2010-09-30,2010-07-01,True,html_old,80454,204174.0,,180477.0,13409.0,9626.0,0.3,0.3,23855.0,
LITL,2010-11-12 10:24:00,2010-09-30,2010-07-01,False,html_old,80452,108828.0,,100495.0,6318.0,4579.0,0.2,0.19,23855.0,
LITL,2011-02-07 19:26:00,2010-12-31,2010-10-01,False,html_old,82490,201063.0,,176707.0,19887.0,13356.0,0.57,0.57,23872.0,
LITL,2011-02-08 11:22:00,2010-12-31,2010-10-01,True,html_old,82489,154838.0,,101566.0,54102.0,20414.0,0.71,0.7,23872.0,
LITL,2011-08-22 12:36:00,2011-06-30,2011-04-01,False,html_old,88531,171526.0,,150872.0,12209.0,8270.0,0.36,0.35,23884.0,
LITL,2011-08-22 12:36:00,2011-06-30,2011-04-01,True,html_old,88528,194208.0,,158455.0,38825.0,29563.0,0.06,0.06,23884.0,
LITL,2011-11-14 11:56:00,2011-09-30,2011-07-01,False,html_old,90510,174423.0,,163224.0,2584.0,1651.0,0.07,0.07,23884.0,
LITL,2011-11-14 11:56:00,2011-09-30,2011-07-01,True,html_old,90509,189660.0,,185784.0,10898.0,5228.0,-1.11,-1.11,23884.0,
LITL,2012-02-16 16:16:00,2011-12-31,2011-10-01,True,html_old,92890,301719.0,,260228.0,35852.0,30513.0,0.27,0.27,23884.0,
LITL,2012-02-16 16:16:00,2011-12-31,2011-10-01,False,html_old,92884,252607.0,,242353.0,941.0,2470.0,0.11,0.11,23884.0,
LITL,2012-06-06 18:33:00,2012-03-31,2012-01-01,False,html_old,96415,256221.0,,249425.0,-5109.0,-824.0,-0.04,-0.04,23897.0,
LITL,2012-06-06 18:33:00,2012-03-31,2012-01-01,True,html_old,96407,335747.0,,293012.0,25127.0,22936.0,0.31,0.31,23897.0,
LITL,2012-09-11 17:27:00,2012-06-30,2012-04-01,True,html_old,99620,347979.0,,316545.0,-36166.0,-38349.0,,,23901.0,
LITL,2012-09-11 17:27:00,2012-06-30,2012-04-01,False,html_old,99618,158106.0,,147065.0,-4739.0,-4739.0,,,23901.0,
LITL,2012-11-21 16:49:00,2012-09-30,2012-07-01,False,html_old,101644,115803.0,,105092.0,1536.0,720.0,,,23901.0,
LITL,2012-11-21 17:11:00,2012-09-30,2012-07-01,True,html_old,101844,318477.0,,294327.0,-6048.0,-12903.0,,,23901.0,
LITL,2013-02-21 20:01:00,2012-12-31,2012-10-01,True,html_old,103728,346935.0,,326981.0,-39817.0,-44265.0,,,23901.0,
LITL,2013-02-21 20:01:00,2012-12-31,2012-10-01,False,html_old,103727,84605.0,,80284.0,-8924.0,-8924.0,,,23901.0,
LITL,2013-06-24 12:33:00,2013-03-31,2013-01-01,True,html_old,108203,356957.0,,294701.0,-9120.0,-12334.0,,,23924.0,0.0
LITL,2013-06-24 12:33:00,2013-03-31,2013-01-01,False,html_old,108201,114426.0,,87255.0,13966.0,14277.0,,,23924.0,0.0
LITL,2013-08-23 17:41:00,2013-06-30,2013-04-01,False,html_old,111300,55909.0,,45378.0,-11803.0,-11803.0,,,23924.0,0.0
LITL,2013-08-23 17:45:00,2013-06-30,2013-04-01,True,html_old,111303,256403.0,,248445.0,-54913.0,-59172.0,,,23924.0,0.0
LITL,2013-11-25 16:57:00,2013-09-30,2013-07-01,False,html_old,113547,49998.0,,50685.0,-18984.0,-18984.0,,,23924.0,0.0
LITL,2013-11-25 17:01:00,2013-09-30,2013-07-01,True,html_old,113551,245190.0,,221153.0,-57061.0,-59964.0,,,23924.0,0.0
LITL,2014-02-05 17:17:00,2013-12-31,2013-10-01,False,html_old,114667,45736.0,,53017.0,-18247.0,-18247.0,,,23924.0,0.0
LITL,2014-02-05 17:17:00,2013-12-31,2013-10-01,True,html_old,114666,238431.0,,222544.0,-50124.0,-55175.0,,,23924.0,0.0
LITL,2014-05-30 18:33:00,2014-03-31,2014-01-01,True,html_old,118748,273818.0,,282427.0,-83545.0,-62739.0,,,23924.0,0.0
LITL,2014-05-30 18:33:00,2014-03-31,2014-01-01,False,html_old,118746,71347.0,,106527.0,-46966.0,-46966.0,,,23924.0,0.0
LITL,2014-08-21 18:01:00,2014-06-30,2014-04-01,False,html_old,122558,35173.0,,36132.0,-14892.0,-14892.0,,,23963.0,0.0
LITL,2014-08-22 10:33:00,2014-06-30,2014-04-01,True,html_old,122641,258972.0,,216102.0,-26970.0,-34181.0,,,23963.0,0.0
LITL,2015-01-13 14:09:00,2014-09-30,2014-07-01,False,html_old,125011,45757.0,,50577.0,-8942.0,-8942.0,,,23963.0,0.0
LITL,2015-01-13 14:13:00,2014-09-30,2014-07-01,True,html_old,125012,234830.0,,227394.0,-55270.0,-56109.0,,,23963.0,0.0
LITL,2015-02-19 18:25:00,2014-12-31,2014-10-01,True,html_old,126810,218145.0,,194560.0,-63827.0,-63988.0,,,24509.0,0.0
LITL,2015-02-19 18:25:00,2014-12-31,2014-10-01,False,html_old,126809,25654.0,,30326.0,-20100.0,-20100.0,,,24509.0,0.0
LITL,2015-06-05 14:33:00,2015-03-31,2015-01-01,False,html_old,131147,32299.0,,40543.0,-27829.0,-23289.0,,,24509.0,0.0
LITL,2015-06-05 14:33:00,2015-03-31,2015-01-01,True,html_old,131145,222427.0,,222031.0,-77595.0,-58608.0,,,24509.0,0.0
LITL,2015-08-28 14:23:00,2015-06-30,2015-04-01,False,html_old,1001833,23725.0,,24195.0,-8732.0,-8732.0,,,24727.0,0.0
LITL,2015-08-28 14:23:00,2015-06-30,2015-04-01,True,html_old,1001832,149490.0,,143439.0,-31149.0,-31918.0,,,24727.0,0.0
LITL,2016-05-02 11:30:00,2015-12-31,2015-10-01,False,html_old,1005603,51374.0,,48692.0,-19477.0,-19477.0,,,27379.0,
LITL,2016-05-28 18:44:00,2016-03-31,2016-01-01,False,html_old,1009257,80692.0,,77230.0,-16891.0,-16900.0,,,27379.0,
LITL,2016-05-28 18:57:00,2016-03-31,2016-01-01,True,html_old,1009255,204474.0,,172184.0,-21692.0,-21418.0,,,27379.0,
LITL,2016-05-29 18:06:00,2015-12-31,2015-10-01,True,html_old,1005556,172130.0,,137627.0,-9420.0,15270.0,,,27379.0,
LITL,2016-09-22 12:16:00,2015-06-30,2015-04-01,True,html_old,1013264,152265.0,,139761.0,-31767.0,-35931.0,,,24727.0,
LITL,2016-09-22 12:16:00,2016-06-30,2016-04-01,True,html_old,1013263,172056.0,,157739.0,-52053.0,-49895.0,,,27378.0,
LITL,2016-09-22 12:23:00,2015-06-30,2015-04-01,False,html_old,1013216,23725.0,,21540.0,-9602.0,-9602.0,,,24727.0,
LITL,2016-09-22 12:23:00,2016-06-30,2016-04-01,False,html_old,1013215,34303.0,,24620.0,-12777.0,-12777.0,,,27378.0,
LITL,2016-10-24 18:27:00,2015-09-30,2015-07-01,False,html_old,1004108,111117.0,,89576.0,609.0,609.0,,,27378.0,0.0
LITL,2016-10-24 18:27:00,2015-09-30,2015-07-01,True,html_old,1004107,265282.0,,169340.0,25049.0,23852.0,,,27379.0,0.0
LITL,2016-12-26 14:59:00,2016-09-30,2016-07-01,True,html_old,1017383,200065.0,,165647.0,-29554.0,-29348.0,,,27378.0,
LITL,2016-12-26 15:01:00,2015-09-30,2015-07-01,True,html_old,1017384,269725.0,,190195.0,16674.0,16450.0,,,27378.0,
LITL,2016-12-26 15:21:00,2016-09-30,2016-07-01,False,html_old,1017379,47850.0,,39478.0,-15063.0,-15063.0,,,27378.0,
LITL,2016-12-26 15:23:00,2015-09-30,2015-07-01,False,html_old,1017380,111117.0,,88052.0,520.0,520.0,,,27378.0,
LITL,2017-02-17 17:08:00,2016-12-31,2016-10-01,True,html_old,1019981,160771.0,,177955.0,-86519.0,-88414.0,,,27378.0,
LITL,2017-02-17 17:10:00,2015-12-31,2015-10-01,True,html_old,1019982,175619.0,,137059.0,-8769.0,5038.0,,,27378.0,
LITL,2017-02-17 17:12:00,2016-12-31,2016-10-01,False,html_old,1019942,22584.0,,35926.0,-38852.0,-38852.0,,,27378.0,
LITL,2017-02-17 17:13:00,2015-12-31,2015-10-01,False,html_old,1019943,51374.0,,48956.0,-19932.0,-19932.0,,,27378.0,
LITL,2017-06-12 20:30:00,2017-03-31,2017-01-01,False,html_old,1026310,58421.0,66896.0,89156.0,-22260.0,-22260.0,-0.79,-0.79,33026.0,
LITL,2017-06-12 20:34:00,2017-03-31,2017-01-01,True,html_old,1026624,197199.0,201248.0,261744.0,-60948.0,-58427.0,-1.88,-1.88,33026.0,
LITL,2017-10-05 09:44:00,2017-06-30,2017-04-01,False,html_old,1031510,,,,,,,,,
LITL,2017-11-22 11:02:00,2017-09-30,2017-07-01,False,html_old,1033637,1148.0,2121.0,46608.0,-57543.0,-57543.0,-1.76,-1.76,33026.0,
LITL,2018-03-01 19:09:00,2017-12-31,2017-10-01,False,html_old,1037862,1006.0,1782.0,44404.0,-42622.0,-42622.0,-1.3,-1.3,33026.0,
LITL,2018-04-02 17:50:00,2016-03-31,2016-01-01,True,xbrl_new,1026625,,,,,,,,,
LITL,2018-04-23 07:51:00,2016-03-31,2016-01-01,False,xbrl_new,1026311,,,,,,,,,
