symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
LML,2007-02-02 19:14:00,2006-12-31,2006-10-01,False,html_old,43744,54.0,62.0,425.0,-1440.0,-1445.0,-1.8,-1.8,8035.0,0.0
LML,2007-04-20 15:25:00,2007-03-31,2007-01-01,False,html_old,44310,60.0,64.0,528.0,-1523.0,-1528.0,-1.9,-1.9,8035.0,0.0
LML,2007-08-10 19:49:00,2007-06-30,2007-04-01,False,html_old,48220,2225.0,2322.0,2418.0,-1121.0,-1125.0,-1.4,-1.4,8035.0,0.0
LML,2007-12-28 19:45:00,2007-09-30,2007-07-01,False,html_old,51155,4141.0,4360.0,5436.0,-1577.0,-1563.0,-1.94,-1.94,8035.0,
LML,2008-01-31 23:46:00,2007-12-31,2007-10-01,False,html_old,52427,3084.0,3112.0,3662.0,-1100.0,-1108.0,-1.38,-1.38,8035.0,
LML,2008-05-02 19:11:00,2008-03-31,2008-01-01,False,html_old,53812,2991.0,3004.0,3941.0,-1508.0,-1518.0,-1.89,-1.89,8035.0,
LML,2008-07-29 18:31:00,2008-06-30,2008-04-01,False,html_old,56639,2474.03,2512.15,3250.6,-1322.65,-1331.58,-1.66,-1.66,8035.27,
LML,2008-11-01 11:48:00,2008-09-30,2008-07-01,False,html_old,60085,2620.34,,3531.87,-1506.96,-1515.08,-1.89,-1.89,8035.27,
LML,2009-01-19 09:38:00,2008-12-31,2008-10-01,False,html_old,60891,1771.62,,2797.09,-2998.71,-3008.46,-3.74,-3.74,8035.27,
LML,2009-04-30 13:38:00,2009-03-31,2009-01-01,False,html_old,63174,4045.44,,4438.69,-716.72,-727.18,-0.9,-0.9,8035.27,
LML,2009-07-31 13:27:00,2009-06-30,2009-04-01,False,html_old,66879,5201.01,,5676.32,-767.09,-767.09,-0.95,-0.95,8035.27,
LML,2009-12-31 09:49:00,2009-09-30,2009-07-01,False,html_old,70741,4650.79,,5229.23,-663.82,-659.59,-0.8,-0.8,8198.43,
LML,2010-01-30 17:42:00,2009-12-31,2009-10-01,False,html_old,72136,5487.3,,6023.44,-826.08,-826.08,-1.01,-1.01,8198.43,
LML,2010-05-15 15:09:00,2010-03-31,2010-01-01,False,html_old,73975,5020.04,,5834.12,-523.77,-523.77,-0.64,-0.64,8198.43,
LML,2010-08-14 18:24:00,2010-06-30,2010-04-01,False,html_old,77494,6072.42,,6648.74,-916.56,-916.56,-1.12,-1.12,8198.43,
LML,2010-11-09 16:12:00,2010-09-30,2010-07-01,False,html_old,80089,4900.4,,6261.47,-1734.33,-1734.33,-2.12,-2.12,8198.43,
LML,2011-08-11 18:38:00,2011-06-30,2011-04-01,False,html_old,88059,6808.94,,7312.61,-951.09,-951.09,-1.16,-1.16,8198.43,
LML,2011-11-11 12:20:00,2011-09-30,2011-07-01,False,html_old,90278,8325.56,,8878.07,-960.87,-960.87,-1.17,-1.17,8198.43,
LML,2012-02-13 15:40:00,2011-12-31,2011-10-01,False,html_old,92549,8342.05,,8805.89,-925.94,-925.94,-1.13,-1.13,8198.43,
LML,2012-05-14 20:09:00,2012-03-31,2012-01-01,False,html_old,94393,6231.06,,7343.24,-1684.83,-1684.83,-2.06,-2.06,8198.43,
LML,2012-08-25 17:02:00,2012-06-30,2012-04-01,False,html_old,98883,6944.3,,7447.11,-1094.51,-1094.51,,,8198.43,
LML,2012-11-07 15:03:00,2012-09-30,2012-07-01,False,html_old,100574,4551.47,,5806.32,-1961.85,-1961.85,,,8198.43,
LML,2013-02-13 13:06:00,2012-12-31,2012-10-01,False,html_old,103191,5774.47,,6727.53,-1746.08,-1746.08,,,8198.43,
LML,2013-06-25 16:13:00,2013-03-31,2013-01-01,False,html_old,108357,6384.58,,7338.64,-1742.96,-1742.96,,,8198.43,0.0
LML,2013-08-17 17:01:00,2013-06-30,2013-04-01,False,html_old,110858,4885.28,,6290.76,-2269.34,-2269.34,,,8198.43,-62635.21
LML,2013-11-18 17:13:00,2013-09-30,2013-07-01,False,html_old,112605,6551.76,,7441.9,-1489.3,-1489.3,,,8198.43,0.0
LML,2014-02-18 14:29:00,2013-12-31,2013-10-01,False,html_old,115458,7914.65,,8382.25,-1118.93,-1118.93,,,8198.43,-62635.21
LML,2014-05-26 11:13:00,2014-03-31,2014-01-01,False,html_old,117847,6292.94,,7483.96,-2405.19,-2405.19,,,8198.43,-69917.97
LML,2014-08-18 15:33:00,2014-06-30,2014-04-01,False,html_old,121861,5080.84,,6244.63,-2083.92,-2083.92,,,8198.43,0.0
LML,2014-11-24 13:29:00,2014-09-30,2014-07-01,False,html_old,124872,6193.48,,7211.16,-1841.58,-1841.58,,,8198.43,0.0
LML,2015-02-18 18:09:00,2014-12-31,2014-10-01,False,html_old,126369,4915.53,,5942.23,-1989.82,-1989.82,,,8198.43,0.0
LML,2015-06-04 17:25:00,2015-03-31,2015-01-01,False,html_old,131012,3744.38,,5129.92,-2194.1,-2194.1,,,8198.43,0.0
LML,2015-08-14 20:17:00,2015-06-30,2015-04-01,False,html_old,1001569,3679.69,,4881.82,-2228.67,-2228.67,,,8198.43,0.0
LML,2015-11-05 20:20:00,2015-09-30,2015-07-01,False,html_old,1002915,3490.86,,4545.51,-2091.24,-2091.24,,,8198.43,0.0
LML,2016-02-13 16:49:00,2015-12-31,2015-10-01,False,html_old,1005601,3859.22,,4567.87,-1849.8,-1849.8,,,8198.43,
LML,2016-06-01 10:41:00,2016-03-31,2016-01-01,False,html_old,1010472,4286.9,,4875.22,-1666.06,-1666.06,,,8198.43,
LML,2016-08-13 17:12:00,2016-06-30,2016-04-01,False,html_old,1012054,2539.51,,3577.76,-2233.48,-2233.48,,,8198.43,
LML,2016-11-16 20:06:00,2016-09-30,2016-07-01,False,html_old,1016079,89.63,,1819.64,-3029.56,-3029.56,,,8198.43,
LML,2017-02-13 11:30:00,2016-12-31,2016-10-01,False,html_old,1019626,65.36,,1638.69,-2733.04,-2733.04,,,8198.43,
LML,2017-05-29 13:51:00,2017-03-31,2017-01-01,False,html_old,1022817,1428.79,,4259.9,-1072.73,-1072.73,,,8198.43,
LML,2017-09-22 17:18:00,2016-06-30,2016-04-01,False,html_old,1031070,2603.99,2623.23,4849.43,-2226.2,-2226.2,-2.72,-2.72,8198.43,
LML,2017-09-22 17:18:00,2017-06-30,2017-04-01,False,html_old,1031069,938.86,1193.5,3921.23,-2727.73,-2727.73,-3.33,-3.33,8198.43,
LML,2018-03-05 10:49:00,2017-09-30,2017-07-01,False,html_old,1037959,508.71,511.65,3174.44,-8887.11,-8887.11,-10.84,-10.84,0.0,
LML,2018-03-05 10:49:00,2016-12-31,2016-10-01,False,html_old,1037960,69.47,242.58,2968.34,-2725.76,-2725.76,-3.32,-3.32,0.0,
LML,2018-03-05 10:49:00,2017-12-31,2017-10-01,False,html_old,1037958,35.9,37.65,2447.05,-2409.4,-2409.4,-2.94,-2.94,0.0,
