symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
LOVABLE,2011-08-25 17:43:00,2011-06-30,2011-04-01,False,html_old,88774,4696.1,,3846.1,893.7,700.22,4.17,4.17,1680.0,
LOVABLE,2011-11-22 13:17:00,2011-09-30,2011-07-01,False,html_old,91083,3531.43,,2913.47,663.1,460.13,2.74,2.74,1680.0,
LOVABLE,2012-02-13 12:09:00,2011-12-31,2011-10-01,False,html_old,92585,3541.32,,3043.88,516.08,352.83,2.1,2.1,1680.0,
LOVABLE,2012-05-15 21:03:00,2012-03-31,2012-01-01,False,html_old,94481,1909.11,,1739.05,698.29,652.04,3.88,3.88,1680.0,
LOVABLE,2012-08-27 17:09:00,2012-06-30,2012-04-01,False,html_old,98533,5276.1,,4495.92,1004.79,751.94,,,1680.0,
LOVABLE,2012-11-12 15:08:00,2012-09-30,2012-07-01,False,html_old,101189,4010.52,,3366.62,624.79,432.05,,,1680.0,
LOVABLE,2013-02-12 18:29:00,2012-12-31,2012-10-01,False,html_old,103155,3782.36,,3178.58,573.85,402.01,,,1680.0,
LOVABLE,2013-06-14 19:17:00,2013-03-31,2013-01-01,False,html_old,107626,2039.67,,1925.63,344.46,302.52,,,1680.0,0.0
LOVABLE,2013-08-06 18:09:00,2013-06-30,2013-04-01,False,html_old,109871,5568.93,,4513.14,1644.36,1303.28,,,1680.0,0.0
LOVABLE,2013-11-19 16:37:00,2013-09-30,2013-07-01,False,html_old,112720,4213.88,,3486.77,658.87,441.39,,,1680.0,0.0
LOVABLE,2014-02-19 17:05:00,2013-12-31,2013-10-01,False,html_old,115651,3917.91,,3445.02,450.15,318.52,,,1680.0,0.0
LOVABLE,2014-05-31 11:25:00,2014-03-31,2014-01-01,False,html_old,118817,2196.4,,2111.78,132.59,52.76,,,1680.0,0.0
LOVABLE,2014-08-21 16:53:00,2014-06-30,2014-04-01,False,html_old,122537,5931.5,,4829.84,1400.38,1030.74,,,1680.0,0.0
