symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
MAHSEAMLES,2007-04-25 13:01:00,2007-03-31,2007-01-01,False,html_old,44446,36683.0,37772.0,29304.0,8009.0,5307.0,8.71,8.62,3497.0,0.0
MAHSEAMLES,2007-07-30 17:25:00,2007-06-30,2007-04-01,False,html_old,47623,35193.0,36282.0,26993.0,8778.0,5810.0,8.24,8.24,3527.0,0.0
MAHSEAMLES,2007-10-30 17:55:00,2007-09-30,2007-07-01,False,html_old,50124,38562.0,39144.0,30666.0,8422.0,5816.0,8.24,8.24,3527.0,
MAHSEAMLES,2008-02-01 18:52:00,2007-12-31,2007-10-01,False,html_old,52360,37698.0,38855.0,31283.0,7504.0,5116.0,7.25,7.25,3527.0,
MAHSEAMLES,2008-04-29 17:10:00,2008-03-31,2008-01-01,False,html_old,53471,38431.0,39616.0,31366.0,8119.0,5405.0,7.66,7.66,3527.0,
MAHSEAMLES,2008-07-30 15:05:00,2008-06-30,2008-04-01,False,html_old,56834,35171.0,36393.0,27319.0,8959.0,6030.0,8.55,8.55,3527.0,
MAHSEAMLES,2008-10-24 10:20:00,2008-09-30,2008-07-01,False,html_old,58495,58693.0,,51816.0,9537.0,6391.0,9.06,9.06,3527.0,
MAHSEAMLES,2009-01-30 19:01:00,2008-12-31,2008-10-01,False,html_old,61865,57751.0,,50551.0,9307.0,6409.0,9.09,9.09,3527.0,
MAHSEAMLES,2009-04-23 14:37:00,2009-03-31,2009-01-01,False,html_old,62768,54865.0,,45235.0,9718.0,6463.0,9.16,9.16,3527.0,
MAHSEAMLES,2009-07-22 15:36:00,2009-06-30,2009-04-01,False,html_old,65812,42251.0,,32833.0,9864.0,6522.0,9.25,9.25,3527.0,
MAHSEAMLES,2009-10-27 14:25:00,2009-09-30,2009-07-01,False,html_old,68476,41007.0,,30755.0,10783.0,7116.0,10.09,10.09,3527.0,
MAHSEAMLES,2010-01-27 15:54:00,2009-12-31,2009-10-01,False,html_old,71374,37055.0,,27405.0,10815.0,7218.0,10.23,10.23,3527.0,
MAHSEAMLES,2010-05-03 15:15:00,2010-03-31,2010-01-01,False,html_old,73392,38810.0,,29996.0,11548.0,7507.0,10.64,10.64,3527.0,
MAHSEAMLES,2010-07-26 15:24:00,2010-06-30,2010-04-01,False,html_old,75982,39799.0,,30912.0,12349.0,10046.0,14.24,14.24,3527.0,
MAHSEAMLES,2010-11-01 19:23:00,2010-09-30,2010-07-01,False,html_old,79303,40797.0,,32406.0,11226.0,8008.0,11.35,11.35,3527.0,
MAHSEAMLES,2011-01-31 14:57:00,2010-12-31,2010-10-01,False,html_old,82104,40578.0,,30542.0,11132.0,7569.0,10.73,10.73,3527.0,
MAHSEAMLES,2011-05-03 15:25:00,2011-03-31,2011-01-01,False,html_old,84063,54799.0,,41424.0,14832.0,9061.0,12.85,12.85,3527.0,
MAHSEAMLES,2011-08-04 18:11:00,2011-06-30,2011-04-01,False,html_old,87649,47850.0,,38493.0,10554.0,7165.0,10.16,10.16,3527.0,
MAHSEAMLES,2011-10-31 10:27:00,2011-09-30,2011-07-01,False,html_old,89625,57767.0,,47477.0,11645.0,8117.0,11.51,11.51,3527.0,
MAHSEAMLES,2012-02-06 11:59:00,2011-12-31,2011-10-01,False,html_old,92058,61747.0,,51975.0,10935.0,8101.0,11.48,11.48,3527.0,
MAHSEAMLES,2012-05-15 21:03:00,2012-03-31,2012-01-01,False,html_old,94443,61818.0,,53761.0,11422.0,8357.0,11.85,11.85,3527.0,
MAHSEAMLES,2012-08-09 13:23:00,2012-06-30,2012-04-01,False,html_old,98216,52097.0,,44879.0,8930.0,6536.0,,,3527.0,
MAHSEAMLES,2012-11-20 16:55:00,2012-09-30,2012-07-01,False,html_old,101775,48072.0,,43504.0,5240.0,4333.0,,,3527.0,
MAHSEAMLES,2013-02-11 15:51:00,2012-12-31,2012-10-01,False,html_old,102827,39162.0,,36700.0,3807.0,2840.0,,,3527.0,
MAHSEAMLES,2013-06-14 18:45:00,2013-03-31,2013-01-01,False,html_old,107605,32870.0,,33681.0,1797.0,1623.0,,,3527.0,0.0
MAHSEAMLES,2013-08-17 17:49:00,2013-06-30,2013-04-01,False,html_old,110889,32735.0,,30395.0,3481.0,2758.0,,,3517.0,0.0
MAHSEAMLES,2013-11-05 18:57:00,2013-09-30,2013-07-01,False,html_old,111998,28439.0,,26788.0,2619.0,2016.0,,,3481.0,216783.0
MAHSEAMLES,2014-01-24 18:05:00,2013-12-31,2013-10-01,False,html_old,114074,26678.0,,26198.0,2330.0,2099.0,,,3433.0,216783.0
MAHSEAMLES,2014-06-19 16:25:00,2014-03-31,2014-01-01,False,html_old,120361,32665.0,,32047.0,2707.0,2839.0,,,3414.0,0.0
MAHSEAMLES,2014-08-12 15:17:00,2014-06-30,2014-04-01,False,html_old,121464,26900.0,,26393.0,2563.0,2248.0,,,3350.0,217823.0
MAHSEAMLES,2014-11-18 12:33:00,2014-09-30,2014-07-01,False,html_old,123872,36394.0,,34214.0,4157.0,3491.0,,,3350.0,0.0
MAHSEAMLES,2015-02-07 16:09:00,2014-12-31,2014-10-01,False,html_old,125828,34962.0,,32129.0,4579.0,3503.0,,,3350.0,0.0
MAHSEAMLES,2015-08-06 16:32:00,2015-06-30,2015-04-01,False,html_old,1000754,23760.0,,26216.0,-1160.0,-834.0,,,3350.0,0.0
MAHSEAMLES,2015-11-02 15:18:00,2015-09-30,2015-07-01,False,html_old,1002564,26328.0,,26860.0,579.0,426.0,,,3350.0,0.0
MAHSEAMLES,2016-02-03 21:57:00,2015-12-31,2015-10-01,False,html_old,1004603,19002.0,,19788.0,691.0,495.0,,,3350.0,
MAHSEAMLES,2016-05-28 20:18:00,2016-03-31,2016-01-01,False,html_old,1008931,32504.0,,28624.0,6533.0,3829.0,,,3350.0,
MAHSEAMLES,2016-10-01 14:51:00,2015-06-30,2015-04-01,False,html_old,1014061,25766.0,,29049.0,-1724.0,-1491.0,,,3350.0,
MAHSEAMLES,2016-10-01 14:51:00,2016-06-30,2016-04-01,False,html_old,1014060,31693.0,,30578.0,3502.0,2390.0,,,3350.0,
MAHSEAMLES,2016-12-13 15:03:00,2016-09-30,2016-07-01,False,html_old,1017422,33655.0,,29547.0,6003.0,3882.0,,,3350.0,
MAHSEAMLES,2016-12-13 15:07:00,2015-09-30,2015-07-01,False,html_old,1017423,28927.0,,30660.0,476.0,382.0,,,3350.0,
MAHSEAMLES,2017-02-17 18:15:00,2015-12-31,2015-10-01,False,html_old,1019325,20639.0,,22325.0,534.0,508.0,,,3350.0,
MAHSEAMLES,2017-02-17 18:15:00,2016-12-31,2016-10-01,False,html_old,1019324,41958.0,,37888.0,6524.0,4365.0,,,3350.0,
MAHSEAMLES,2017-06-14 17:58:00,2016-03-31,2016-01-01,False,html_old,1024366,35215.0,38557.0,32428.0,6129.0,3748.0,0.0,0.0,3350.0,
MAHSEAMLES,2017-06-14 17:58:00,2017-03-31,2017-01-01,False,html_old,1024365,49166.0,50985.0,44443.0,6542.0,3915.0,0.0,0.0,3350.0,
MAHSEAMLES,2017-09-04 18:54:00,2017-06-30,2017-04-01,False,html_old,1029792,47971.0,49908.0,44077.0,5831.0,3725.0,5.56,5.56,3350.0,
MAHSEAMLES,2017-11-10 12:29:00,2017-09-30,2017-07-01,False,html_old,1032641,48269.0,49904.0,44478.0,5426.0,3398.0,5.07,5.07,3350.0,
MAHSEAMLES,2018-02-09 11:09:00,2017-12-31,2017-10-01,False,html_old,1036044,56219.0,58272.0,52588.0,5684.0,3877.0,5.79,5.79,3350.0,
MAHSEAMLES,2018-06-25 13:35:00,2018-03-31,2018-01-01,False,xbrl_new,1042029,6313400000.0,6469500000.0,5259700000.0,1209800000.0,884200000.0,13.2,13.2,335000000.0,
MAHSEAMLES,2018-08-31 14:08:00,2018-06-30,2018-04-01,False,xbrl_new,1048859,6074300000.0,6425700000.0,4846400000.0,1579300000.0,1003500000.0,14.98,14.98,335000000.0,
MAHSEAMLES,2018-11-22 18:32:00,2018-09-30,2018-07-01,False,xbrl_new,1051165,7030400000.0,7324200000.0,5967700000.0,1356500000.0,884900000.0,13.21,13.21,335000000.0,
MAHSEAMLES,2019-02-19 15:20:00,2018-12-31,2018-10-01,False,xbrl_new,1057218,7858800000.0,7942100000.0,6515100000.0,1427000000.0,927700000.0,13.85,13.85,335000000.0,
MAHSEAMLES,2019-05-30 14:27:00,2019-03-31,2019-01-01,False,xbrl_new,1063344,9648200000.0,9610600000.0,7583400000.0,567400000.0,-192400000.0,-2.87,-2.87,335000000.0,
MAHSEAMLES,2019-08-08 11:51:00,2019-06-30,2019-04-01,False,xbrl_new,1066143,6903100000.0,7085500000.0,5689800000.0,1395700000.0,914200000.0,13.64,13.64,335000000.0,
MAHSEAMLES,2019-08-08 12:02:00,2019-06-30,2019-04-01,True,xbrl_new,1066151,6961600000.0,7147100000.0,5795900000.0,1351200000.0,764700000.0,11.54,11.54,335000000.0,
MAHSEAMLES,2019-11-15 12:22:00,2019-09-30,2019-07-01,False,xbrl_new,1073303,7881000000.0,8076900000.0,6543500000.0,1533400000.0,1963000000.0,29.3,29.3,335000000.0,
MAHSEAMLES,2019-11-15 12:33:00,2019-09-30,2019-07-01,True,xbrl_new,1073319,7905600000.0,8098800000.0,6613500000.0,1485300000.0,1841300000.0,27.62,27.62,335000000.0,
MAHSEAMLES,2020-02-07 18:07:00,2019-12-31,2019-10-01,False,xbrl_new,1077197,5604200000.0,5753800000.0,4752900000.0,1000900000.0,760500000.0,11.35,11.35,335000000.0,
MAHSEAMLES,2020-02-07 18:17:00,2019-12-31,2019-10-01,True,xbrl_new,1077209,5696900000.0,5847100000.0,4891300000.0,955800000.0,649000000.0,9.76,9.76,335000000.0,
MAHSEAMLES,2020-07-28 15:53:00,2020-03-31,2020-01-01,False,xbrl_new,1087795,5780100000.0,5763200000.0,4934800000.0,-3675700000.0,-3844500000.0,-57.38,-57.38,335000000.0,
MAHSEAMLES,2020-07-28 15:55:00,2020-03-31,2020-01-01,True,xbrl_new,1087797,5884200000.0,5855200000.0,5260600000.0,-1873900000.0,-2108000000.0,-36.4,-36.4,335000000.0,
MAHSEAMLES,2020-08-21 17:57:00,2020-06-30,2020-04-01,False,xbrl_new,1090699,4567300000.0,4817300000.0,3942600000.0,874700000.0,660300000.0,9.86,9.86,335000000.0,
MAHSEAMLES,2020-08-21 17:58:00,2020-06-30,2020-04-01,True,xbrl_new,1090700,4589800000.0,4757400000.0,4026900000.0,730500000.0,450000000.0,2.86,2.86,335000000.0,
