symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
MARICO,2007-04-26 18:00:00,2007-03-31,2007-01-01,True,html_old,44575,39696.0,40566.0,35686.0,3261.0,2812.0,0.46,0.46,0.0,0.0
MARICO,2007-04-26 18:00:00,2007-03-31,2007-01-01,False,html_old,44574,33574.0,33738.0,29751.0,3059.0,2747.0,0.44,0.44,6090.0,0.0
MARICO,2007-07-25 14:03:00,2007-06-30,2007-04-01,True,html_old,47121,46913.0,46983.0,40316.0,5382.0,4018.0,0.66,0.66,0.0,0.0
MARICO,2007-07-25 14:08:00,2007-06-30,2007-04-01,False,html_old,47120,39606.0,39861.0,33955.0,5256.0,3957.0,0.65,0.65,6090.0,0.0
MARICO,2007-10-24 20:12:00,2007-09-30,2007-07-01,True,html_old,49010,46379.0,46431.0,40549.0,5233.0,4224.0,0.69,0.69,,
MARICO,2007-10-24 20:12:00,2007-09-30,2007-07-01,False,html_old,49003,38584.0,38804.0,33793.0,4738.0,3811.0,0.63,0.63,6090.0,
MARICO,2008-01-24 15:08:00,2007-12-31,2007-10-01,True,html_old,51576,50624.0,51377.0,45275.0,5419.0,4587.0,0.75,0.75,,
MARICO,2008-01-24 15:08:00,2007-12-31,2007-10-01,False,html_old,51574,41559.0,41861.0,36960.0,4612.0,4023.0,0.66,0.66,6090.0,
MARICO,2008-04-24 15:14:00,2008-03-31,2008-01-01,True,html_old,53093,46753.0,47123.0,42990.0,4468.0,4078.0,0.67,0.67,,
MARICO,2008-04-24 15:14:00,2008-03-31,2008-01-01,False,html_old,53089,37129.0,37359.0,34108.0,2721.0,2551.0,0.41,0.41,6090.0,
MARICO,2008-07-24 13:58:00,2008-06-30,2008-04-01,True,html_old,56086,60093.0,60193.0,53273.0,6121.0,4629.0,0.76,0.76,,
MARICO,2008-07-24 14:04:00,2008-06-30,2008-04-01,False,html_old,56088,49840.0,50006.0,44378.0,5003.0,3869.0,0.64,0.64,6090.0,
MARICO,2008-10-21 13:41:00,2008-09-30,2008-07-01,True,html_old,58041,60349.59,,53778.42,5827.15,4713.9,0.77,0.77,6090.0,
MARICO,2008-10-21 13:46:00,2008-09-30,2008-07-01,False,html_old,58043,48781.25,,42985.14,5337.18,4512.13,0.74,0.74,6090.0,
MARICO,2009-01-22 13:17:00,2008-12-31,2008-10-01,False,html_old,61064,50044.98,,43396.46,6378.29,5171.7,0.85,0.85,6090.0,
MARICO,2009-01-30 09:57:00,2008-12-31,2008-10-01,True,html_old,61708,62275.55,,55344.56,6567.71,5090.04,0.84,0.84,6090.0,
MARICO,2009-04-22 13:05:00,2009-03-31,2009-01-01,True,html_old,62728,56116.27,,49829.28,4446.33,4436.44,0.73,0.73,6090.0,
MARICO,2009-04-22 13:05:00,2009-03-31,2009-01-01,False,html_old,62727,42951.78,,37657.58,384.73,659.16,0.11,0.11,6090.0,
MARICO,2009-07-23 12:52:00,2009-06-30,2009-04-01,False,html_old,65853,54976.77,,46705.73,7896.61,6118.18,1.0,1.0,6090.29,
MARICO,2009-07-23 12:54:00,2009-06-30,2009-04-01,True,html_old,65854,69672.4,,61018.05,7700.01,5597.28,0.92,0.92,6090.29,
MARICO,2009-10-28 13:13:00,2009-09-30,2009-07-01,False,html_old,68686,51728.94,,44907.75,6654.64,5214.17,0.86,0.86,6091.64,
MARICO,2009-10-28 13:24:00,2009-09-30,2009-07-01,True,html_old,68688,69220.72,,61510.35,7568.38,6241.96,1.02,1.02,6091.64,
MARICO,2010-01-28 13:04:00,2009-12-31,2009-10-01,True,html_old,71476,66956.92,,58736.41,8143.06,6311.87,1.02,1.02,6092.59,
MARICO,2010-01-28 13:04:00,2009-12-31,2009-10-01,False,html_old,71474,50539.44,,42804.77,7617.33,6128.93,1.01,1.01,6092.59,
MARICO,2010-04-28 13:55:00,2010-03-31,2010-01-01,True,html_old,72979,60225.57,,53303.09,6375.32,5203.21,0.85,0.85,6093.26,
MARICO,2010-04-28 14:03:00,2010-03-31,2010-01-01,False,html_old,72985,45840.14,,39129.68,7088.63,6040.59,0.99,0.99,6093.26,
MARICO,2010-07-28 13:32:00,2010-06-30,2010-04-01,False,html_old,76158,58773.47,,50691.99,7895.05,6757.17,1.11,1.1,6093.84,
MARICO,2010-07-28 13:37:00,2010-06-30,2010-04-01,True,html_old,76162,79014.72,,69670.81,9087.05,7469.96,1.23,1.22,6093.84,
MARICO,2010-10-26 13:46:00,2010-09-30,2010-07-01,True,html_old,78516,77876.54,,69347.12,8597.43,7334.02,1.2,1.2,6140.7,
MARICO,2010-10-26 13:54:00,2010-09-30,2010-07-01,False,html_old,78514,54006.08,,47550.51,6199.62,5966.21,0.98,0.97,6140.7,
MARICO,2011-01-27 12:31:00,2010-12-31,2010-10-01,False,html_old,81791,61053.84,,54972.05,6291.53,5629.27,0.92,0.91,6142.96,
MARICO,2011-01-27 12:31:00,2010-12-31,2010-10-01,True,html_old,81790,81773.87,,73267.53,8432.46,7097.48,1.16,1.15,6142.96,
MARICO,2011-05-02 14:25:00,2011-03-31,2011-01-01,True,html_old,84006,74734.8,,69876.3,11526.69,7243.32,1.17,1.16,6144.0,
MARICO,2011-05-02 15:01:00,2011-03-31,2011-01-01,False,html_old,84008,62106.62,,53318.49,17069.09,13180.57,2.15,2.14,6144.0,
MARICO,2011-07-27 18:08:00,2011-06-30,2011-04-01,True,html_old,87086,104861.75,,94039.34,10754.29,8651.01,1.41,1.41,6146.16,
MARICO,2011-07-27 18:08:00,2011-06-30,2011-04-01,False,html_old,87085,80759.45,,70753.43,9777.26,8161.65,1.33,1.33,6146.16,
MARICO,2011-11-04 14:22:00,2011-09-30,2011-07-01,False,html_old,89913,71833.86,,62947.36,9310.7,7989.23,1.3,1.3,6148.31,
MARICO,2011-11-04 14:22:00,2011-09-30,2011-07-01,True,html_old,89912,97445.28,,87550.64,10048.15,7995.78,1.27,1.27,6148.31,
MARICO,2012-02-02 19:01:00,2011-12-31,2011-10-01,False,html_old,91950,76751.88,,66796.7,10054.52,8736.71,1.42,1.42,6148.5,
MARICO,2012-02-02 19:01:00,2011-12-31,2011-10-01,True,html_old,91947,105781.55,,95492.28,10392.22,8611.08,1.37,1.37,6148.5,
MARICO,2012-05-12 19:09:00,2012-03-31,2012-01-01,True,html_old,93650,91771.27,,82681.78,8836.05,6948.42,1.13,1.13,6149.34,
MARICO,2012-05-12 19:09:00,2012-03-31,2012-01-01,False,html_old,93648,67717.52,,58985.26,10784.9,8770.84,1.43,1.43,6149.34,
MARICO,2012-08-06 14:39:00,2012-06-30,2012-04-01,True,html_old,98022,126720.75,,110176.46,16604.68,12578.32,,,6445.22,
MARICO,2012-08-06 14:39:00,2012-06-30,2012-04-01,False,html_old,98021,97212.35,,80845.39,16713.51,13335.53,,,6445.22,
MARICO,2012-11-02 16:20:00,2012-09-30,2012-07-01,True,html_old,100499,115589.48,,103070.22,11817.57,8885.99,,,6445.55,
MARICO,2012-11-02 16:20:00,2012-09-30,2012-07-01,False,html_old,100498,82745.91,,72863.91,9324.39,7495.73,,,6445.55,
MARICO,2013-02-01 15:45:00,2012-12-31,2012-10-01,True,html_old,102512,116399.13,,102150.05,14059.64,10455.8,,,6447.08,
MARICO,2013-02-01 15:45:00,2012-12-31,2012-10-01,False,html_old,102510,86791.19,,74840.05,13688.96,11016.81,,,6447.08,
MARICO,2013-05-08 18:45:00,2013-03-31,2013-01-01,False,html_old,104498,73133.08,,63264.69,14471.19,11060.51,,,6447.72,0.0
