symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
MARUTI,2007-04-24 13:36:00,2007-03-31,2007-01-01,False,html_old,44389,442976.0,463474.0,387873.0,66863.0,44856.0,15.53,15.53,14446.0,0.0
MARUTI,2007-07-26 13:26:00,2007-06-30,2007-04-01,False,html_old,47204,393082.0,415407.0,335603.0,70074.0,49960.0,17.29,17.29,14446.0,0.0
MARUTI,2007-10-29 12:54:00,2007-09-30,2007-07-01,False,html_old,49673,454737.0,473583.0,403770.0,68410.0,46650.0,16.15,16.15,14446.0,
MARUTI,2008-01-29 13:16:00,2007-12-31,2007-10-01,False,html_old,51910,467413.0,484480.0,414761.0,68283.0,46704.0,16.17,16.17,14446.0,
MARUTI,2008-04-24 12:00:00,2008-03-31,2008-01-01,False,html_old,53085,478388.0,506994.0,461843.0,43538.0,29768.0,10.3,10.3,14446.0,
MARUTI,2008-07-21 17:10:00,2008-06-30,2008-04-01,False,html_old,55949,475358.0,508236.0,445600.0,60953.0,46585.0,16.12,16.12,14446.0,
MARUTI,2008-10-24 13:22:00,2008-09-30,2008-07-01,False,html_old,58635,483026.0,,464375.0,42514.0,29612.0,10.25,10.25,14446.0,
MARUTI,2009-01-29 13:12:00,2008-12-31,2008-10-01,False,html_old,61527,453712.0,,450652.0,29247.0,21357.0,7.39,7.39,14446.0,
MARUTI,2009-04-24 15:02:00,2009-03-31,2009-01-01,False,html_old,62837,633437.0,,618074.0,34873.0,24313.0,8.42,8.42,14446.0,
MARUTI,2009-07-23 12:36:00,2009-06-30,2009-04-01,False,html_old,65851,636471.0,,589592.0,80730.0,58354.0,20.2,20.2,14446.0,
MARUTI,2009-10-24 13:56:00,2009-09-30,2009-07-01,False,html_old,68121,708067.0,,648958.0,81707.0,57000.0,19.73,19.73,14446.0,
MARUTI,2010-01-23 13:59:00,2009-12-31,2009-10-01,False,html_old,71158,737265.0,,657172.0,101401.0,68753.0,23.8,23.8,14446.0,
MARUTI,2010-04-26 13:55:00,2010-03-31,2010-01-01,False,html_old,72835,828082.0,,753652.0,95415.0,65655.0,22.73,22.73,14446.0,
MARUTI,2010-07-26 09:04:00,2010-06-30,2010-04-01,False,html_old,75925,809039.0,,768072.0,64303.0,46536.0,16.11,16.11,14446.0,
MARUTI,2010-10-30 14:13:00,2010-09-30,2010-07-01,False,html_old,79404,897737.0,,842514.0,84638.0,59824.0,20.71,20.71,14446.0,
MARUTI,2011-01-29 13:20:00,2010-12-31,2010-10-01,False,html_old,82011,932613.0,,882960.0,79276.0,56517.0,19.56,19.56,14446.0,
MARUTI,2011-04-25 14:58:00,2011-03-31,2011-01-01,False,html_old,83565,990585.0,,937913.0,82657.0,65986.0,22.84,22.84,14446.0,
MARUTI,2011-07-26 15:30:00,2011-06-30,2011-04-01,False,html_old,86961,836147.0,,795737.0,74625.0,54923.0,19.01,19.01,14446.0,
MARUTI,2011-10-29 15:13:00,2011-09-30,2011-07-01,False,html_old,89608,757541.0,,760380.0,33464.0,24044.0,8.32,8.32,14446.0,
MARUTI,2012-01-23 20:04:00,2011-12-31,2011-10-01,False,html_old,91459,771787.0,,776412.0,26130.0,20562.0,7.12,7.12,14446.0,
MARUTI,2012-05-14 20:09:00,2012-03-31,2012-01-01,False,html_old,93602,1152452.0,,1119908.0,80399.0,63984.0,22.15,22.15,14446.0,
MARUTI,2012-07-30 11:05:00,2012-06-30,2012-04-01,False,html_old,97709,1052924.0,,1033177.0,52554.0,42377.0,,,14446.0,
MARUTI,2012-10-30 16:11:00,2012-09-30,2012-07-01,False,html_old,100257,807011.0,,814392.0,27982.0,22745.0,,,14446.0,
MARUTI,2013-01-28 10:00:00,2012-12-31,2012-10-01,False,html_old,102257,1095695.0,,1066740.0,67563.0,50129.0,,,14446.0,
MARUTI,2013-05-07 20:45:00,2013-03-31,2013-01-01,False,html_old,104428,1305626.0,,1212029.0,151007.0,123962.0,,,15104.0,0.0
MARUTI,2013-07-25 20:37:00,2013-06-30,2013-04-01,False,html_old,109212,999512.0,,955134.0,84607.0,63161.0,,,15104.0,0.0
MARUTI,2013-11-05 11:37:00,2013-09-30,2013-07-01,False,html_old,111864,1021183.0,,964580.0,87989.0,67023.0,,,15104.0,0.0
MARUTI,2014-02-01 16:05:00,2013-12-31,2013-10-01,False,html_old,114471,1061968.0,,1008043.0,88556.0,68115.0,,,15104.0,0.0
MARUTI,2014-04-25 17:41:00,2014-03-31,2014-01-01,False,html_old,116371,1181813.0,,1141755.0,104703.0,80005.0,,,15104.0,0.0
MARUTI,2014-08-01 14:29:00,2014-06-30,2014-04-01,False,html_old,120954,1107351.0,,1062508.0,100254.0,76228.0,,,15104.0,0.0
