symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
MEGH,2007-07-30 21:00:00,2007-06-30,2007-04-01,False,html_old,47701,11190.06,11393.09,9562.05,1041.08,802.93,0.39,0.39,2543.14,0.0
MEGH,2007-07-31 12:17:00,2007-06-30,2007-04-01,True,html_old,47819,11344.0,11344.0,9511.46,1041.85,809.94,0.0,0.0,0.0,0.0
MEGH,2007-10-30 15:39:00,2007-09-30,2007-07-01,False,html_old,50098,17040.99,17333.46,15807.9,1164.58,918.14,0.4,0.4,2543.14,
MEGH,2007-11-05 11:07:00,2007-09-30,2007-07-01,True,html_old,50136,16951.73,17244.27,15759.71,1123.35,876.91,0.4,0.4,2543.14,
MEGH,2008-01-25 15:31:00,2007-12-31,2007-10-01,True,html_old,51682,13555.86,14334.77,12988.59,995.53,834.04,0.38,0.38,2543.14,
MEGH,2008-01-25 15:31:00,2007-12-31,2007-10-01,False,html_old,51681,13721.68,14500.37,13045.21,1104.8,943.31,0.4,0.4,2543.14,
MEGH,2008-05-28 12:18:00,2008-03-31,2008-01-01,True,html_old,54416,18363.32,18760.09,17446.59,893.52,1240.45,0.44,0.44,2543.14,
MEGH,2008-05-30 18:44:00,2008-03-31,2008-01-01,False,html_old,54292,17371.17,17728.86,16496.15,1431.56,1095.32,0.43,0.43,2543.14,
MEGH,2008-07-30 14:01:00,2008-06-30,2008-04-01,True,html_old,56803,21365.71,21737.02,19136.74,1905.25,1297.96,0.51,0.51,2543.14,
MEGH,2008-07-30 14:36:00,2008-06-30,2008-04-01,False,html_old,56802,20844.8,21217.2,18558.04,2014.28,1412.12,0.56,0.56,2543.14,
MEGH,2008-10-24 14:28:00,2008-09-30,2008-07-01,False,html_old,58678,25432.5,,23018.99,2010.2,1541.04,0.61,0.61,2543.14,
