symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
MFSL,2007-05-18 11:43:00,2007-03-31,2007-01-01,False,html_old,45388,4890.0,5249.0,4862.0,93.0,-382.0,-0.21,-0.21,3598.0,0.0
MFSL,2007-07-31 18:50:00,2007-06-30,2007-04-01,False,html_old,47923,4826.0,6161.0,5215.0,341.0,381.0,0.2,0.2,4431.0,0.0
MFSL,2007-10-29 17:40:00,2007-09-30,2007-07-01,False,html_old,49766,7212.0,9769.0,7570.0,1833.0,1692.0,0.76,0.76,4435.0,
MFSL,2008-01-28 17:43:00,2007-12-31,2007-10-01,False,html_old,51790,7749.0,10464.0,7978.0,2134.0,2095.0,0.94,0.94,4435.0,
MFSL,2008-05-20 09:25:00,2008-03-31,2008-01-01,False,html_old,54149,8643.0,11143.0,8510.0,2223.0,2022.0,0.91,0.91,4435.0,
MFSL,2008-07-18 16:21:00,2008-06-30,2008-04-01,False,html_old,55880,9152.0,11886.0,10011.0,1476.0,1361.0,0.61,0.61,4440.0,
MFSL,2008-10-22 15:37:00,2008-09-30,2008-07-01,False,html_old,58249,10233.0,,10474.0,1323.0,1173.0,0.53,0.53,4440.0,
MFSL,2009-01-28 13:58:00,2008-12-31,2008-10-01,False,html_old,61375,7822.0,,8336.0,278.0,326.0,0.15,0.15,4441.0,
MFSL,2009-06-26 14:38:00,2009-03-31,2009-01-01,False,html_old,64812,8168.0,,8480.0,-2035.0,-676.0,-0.3,-0.3,4441.0,
MFSL,2009-07-30 14:39:00,2009-06-30,2009-04-01,False,html_old,66640,7779.0,,8136.0,50.0,21.0,0.01,0.01,4647.0,
MFSL,2009-10-30 18:15:00,2009-09-30,2009-07-01,False,html_old,69559,8300.0,,8566.0,213.0,197.0,0.08,0.08,4647.0,
MFSL,2010-01-29 16:09:00,2009-12-31,2009-10-01,False,html_old,71801,8063.0,,8491.0,57.0,-40.0,-0.02,-0.02,4647.0,
MFSL,2010-05-31 11:40:00,2010-03-31,2010-01-01,False,html_old,75202,8890.0,,9396.0,-62.0,-237.0,-0.1,-0.1,4647.0,
MFSL,2010-07-30 18:40:00,2010-06-30,2010-04-01,False,html_old,76523,8882.0,,9977.0,315.0,-283.0,-0.12,-0.12,4647.0,
MFSL,2010-10-27 19:38:00,2010-09-30,2010-07-01,False,html_old,78811,9412.0,,10991.0,-1579.0,-1895.0,-0.82,-0.82,4650.0,
MFSL,2011-02-11 14:43:00,2010-12-31,2010-10-01,False,html_old,82738,11026.0,,11803.0,-662.0,-685.0,-0.29,-0.29,4650.0,
MFSL,2011-06-09 17:51:00,2011-03-31,2011-01-01,False,html_old,86074,11609.0,,12897.0,-1555.0,-1347.0,-0.58,-0.58,4650.0,
MFSL,2011-08-12 19:36:00,2011-06-30,2011-04-01,False,html_old,88190,17686.0,,17567.0,-100.0,-175.0,-0.07,-0.07,5131.0,
MFSL,2011-11-15 15:44:00,2011-09-30,2011-07-01,False,html_old,90669,18624.0,,19392.0,-1085.0,-1037.0,-0.4,-0.4,5291.0,
MFSL,2012-02-16 21:03:00,2011-12-31,2011-10-01,False,html_old,92875,17707.0,,17632.0,-236.0,-191.0,-0.07,-0.07,5291.0,
MFSL,2012-06-06 13:08:00,2012-03-31,2012-01-01,False,html_old,96461,17372.0,,19115.0,102.0,-139.0,-0.05,-0.05,5291.0,
MFSL,2012-08-14 17:47:00,2012-06-30,2012-04-01,False,html_old,98427,19836.0,,20855.0,69171.0,53654.0,,,5308.0,
MFSL,2012-11-10 19:51:00,2012-09-30,2012-07-01,False,html_old,101275,17714.0,,20084.0,-2031.0,-1743.0,,,5309.0,
MFSL,2013-06-14 19:01:00,2013-03-31,2013-01-01,False,html_old,107620,18117.51,,21503.57,-3478.13,1574.87,,,5310.41,0.0
MFSL,2013-08-17 17:17:00,2013-06-30,2013-04-01,False,html_old,110871,15650.0,,17558.0,10052.0,10114.0,,,5319.0,303283.0
MFSL,2013-11-18 16:17:00,2013-09-30,2013-07-01,False,html_old,112585,19010.0,,20746.0,142.0,199.0,,,5318.72,303283.0
MFSL,2014-02-17 12:25:00,2013-12-31,2013-10-01,False,html_old,115286,19500.0,,21530.0,7422.0,7368.0,,,5322.0,317072.0
MFSL,2014-05-30 16:09:00,2014-03-31,2014-01-01,False,html_old,118685,21427.0,,20836.0,378.0,836.0,,,5325.0,313309.0
MFSL,2014-08-21 16:01:00,2014-06-30,2014-04-01,False,html_old,122516,0.0,,2177.0,9154.0,8126.0,,,5326.0,0.0
MFSL,2014-11-21 16:01:00,2014-09-30,2014-07-01,False,html_old,124347,0.0,,2426.0,-946.0,-1130.0,,,5330.0,0.0
MFSL,2015-02-19 19:13:00,2014-12-31,2014-10-01,False,html_old,126863,0.0,,2894.0,38740.0,32923.0,,,5330.0,0.0
MFSL,2015-08-13 15:35:00,2015-06-30,2015-04-01,False,html_old,1001247,4551.0,,2062.0,2501.0,2459.0,,,5332.0,0.0
MFSL,2015-11-07 15:39:00,2015-09-30,2015-07-01,False,html_old,1003115,0.0,,1995.0,1103.0,274.0,,,5339.0,0.0
MFSL,2016-02-13 18:06:00,2015-12-31,2015-10-01,False,html_old,1005573,13642.0,,1789.0,11866.0,12737.0,,,5339.0,
MFSL,2016-05-30 18:40:00,2016-03-31,2016-01-01,False,html_old,1009771,0.0,,3693.0,-2383.0,-2383.0,,,5340.0,
MFSL,2016-08-11 16:49:00,2016-06-30,2016-04-01,False,html_old,1011560,527.0,,2478.0,10712.0,10712.0,,,5340.0,
MFSL,2016-11-09 19:49:00,2016-09-30,2016-07-01,False,html_old,1015407,1296.0,,2687.0,-1312.0,-1312.0,,,5341.0,
MFSL,2017-02-11 17:20:00,2016-12-31,2016-10-01,False,html_old,1019277,10321.0,,2301.0,8049.0,8049.0,,,5345.0,
MFSL,2017-06-17 15:00:00,2017-03-31,2017-01-01,False,html_old,1025189,702.0,,2762.0,-2049.0,-2049.0,,,5345.0,
MFSL,2017-08-21 13:57:00,2017-06-30,2017-04-01,False,html_old,1028866,9165.0,,2517.0,6658.0,6658.0,,,5346.0,
MFSL,2017-11-22 19:42:00,2017-09-30,2017-07-01,False,html_old,1033139,554.0,,2527.0,-1938.0,-1938.0,,,5368.0,
MFSL,2018-02-14 17:16:00,2017-12-31,2017-10-01,False,html_old,1036747,11974.0,,3106.0,8880.0,8880.0,,,5368.0,
MFSL,2018-06-21 20:40:00,2018-03-31,2018-01-01,False,xbrl_new,1042220,118100000.0,,248800000.0,-129600000.0,,-0.48,-0.48,536800000.0,
MFSL,2018-08-20 13:49:00,2018-06-30,2018-04-01,False,xbrl_new,1047861,,,,,,,,,
MFSL,2018-11-27 18:58:00,2018-09-30,2018-07-01,False,xbrl_new,1053080,,,,,,,,,
MFSL,2018-11-27 18:59:00,2017-09-30,2017-07-01,False,xbrl_new,1053081,,,,,,,,,
MFSL,2019-02-19 12:20:00,2018-12-31,2018-10-01,False,xbrl_new,1057084,,,,,,,,,
MFSL,2019-05-29 15:13:00,2019-03-31,2019-01-01,False,xbrl_new,1062724,99700000.0,104000000.0,1200200000.0,-1096200000.0,-1096200000.0,-4.09,-4.09,538800000.0,
MFSL,2019-09-09 19:15:00,2019-06-30,2019-04-01,True,xbrl_new,1065950,,,,,,,,,
MFSL,2019-09-09 19:15:00,2019-06-30,2019-04-01,False,xbrl_new,1065949,,,,,,,,,
MFSL,2019-11-19 16:52:00,2019-09-30,2019-07-01,True,xbrl_new,1070451,,,,,,,,,
MFSL,2019-12-03 16:27:00,2019-09-30,2019-07-01,False,xbrl_new,1074018,,,,,,,,,
MFSL,2020-02-06 15:49:00,2019-12-31,2019-10-01,False,xbrl_new,1076487,801800000.0,801900000.0,185900000.0,616000000.0,616000000.0,2.29,2.28,539000000.0,
MFSL,2020-02-06 15:50:00,2019-12-31,2019-10-01,True,xbrl_new,1076489,53656800000.0,53657400000.0,51884900000.0,1772500000.0,1475800000.0,3.91,3.9,539000000.0,
MFSL,2020-06-03 11:16:00,2020-03-31,2020-01-01,False,xbrl_new,1082180,2298000000.0,2298000000.0,394900000.0,1903100000.0,665300000.0,2.47,2.47,539000000.0,
MFSL,2020-06-03 11:16:00,2020-03-31,2020-01-01,True,xbrl_new,1082182,42640600000.0,42656400000.0,41345800000.0,1310600000.0,66700000.0,-1.34,-1.34,539000000.0,
MFSL,2020-09-29 18:47:00,2020-06-30,2020-04-01,True,xbrl_new,1088218,55046100000.0,55173200000.0,53666200000.0,1507000000.0,1815300000.0,4.85,4.85,539100000.0,
MFSL,2020-09-29 18:49:00,2020-06-30,2020-04-01,False,xbrl_new,1088217,96800000.0,96800000.0,315700000.0,-218900000.0,-218900000.0,-0.81,-0.81,539100000.0,
MFSL,2020-11-09 15:16:00,2020-09-30,2020-07-01,False,xbrl_new,1093723,536800000.0,539100000.0,135500000.0,403600000.0,378800000.0,1.4,1.4,539100000.0,
MFSL,2020-11-09 15:16:00,2020-09-30,2020-07-01,True,xbrl_new,1093727,70198500000.0,70201100000.0,69246000000.0,955100000.0,810600000.0,2.1,2.1,539100000.0,
MFSL,2021-02-09 13:59:00,2020-12-31,2020-10-01,False,xbrl_new,1102648,193100000.0,197200000.0,120800000.0,76400000.0,76400000.0,0.27,0.27,690100000.0,
MFSL,2021-02-09 14:02:00,2020-12-31,2020-10-01,True,xbrl_new,1102652,89897000000.0,89902800000.0,87107400000.0,2795400000.0,2271300000.0,6.2,6.2,690100000.0,
MFSL,2021-06-08 17:09:00,2021-03-31,2021-01-01,False,xbrl_new,1109653,2431100000.0,2434600000.0,1401000000.0,1033600000.0,756000000.0,2.52,2.53,690200000.0,
MFSL,2021-06-08 17:12:00,2021-03-31,2021-01-01,True,xbrl_new,1109657,97597500000.0,97603100000.0,96931600000.0,671500000.0,700300000.0,2.13,2.13,690200000.0,
MFSL,2021-08-10 14:46:00,2021-06-30,2021-04-01,False,xbrl_new,1115269,1574900000.0,1582500000.0,203100000.0,1379400000.0,975200000.0,2.83,2.83,690200000.0,
MFSL,2021-08-10 14:52:00,2021-06-30,2021-04-01,True,xbrl_new,1115271,59420500000.0,59431400000.0,58587700000.0,843700000.0,358100000.0,0.61,0.61,690200000.0,
MFSL,2021-11-09 19:07:00,2021-09-30,2021-07-01,False,xbrl_new,1120422,142900000.0,148500000.0,97200000.0,51300000.0,35300000.0,0.1,0.1,690200000.0,
