symbol,filing_date,period_end,period_start,consolidated,source_format,seq_number,revenue,total_income,total_expenses,profit_before_tax,net_profit,eps_basic,eps_diluted,paidup_equity_capital,reserves
MIRZAINT,2007-05-31 17:23:00,2007-03-31,2007-01-01,False,html_old,45828,6608.37,6637.52,6462.11,-398.47,-316.11,-1.7,-1.7,1854.12,0.0
MIRZAINT,2007-07-30 19:09:00,2007-06-30,2007-04-01,False,html_old,47669,7497.65,7498.2,6565.52,327.49,208.69,0.22,0.22,1854.12,0.0
MIRZAINT,2007-10-27 20:00:00,2007-09-30,2007-07-01,False,html_old,49551,8296.86,8306.73,7695.0,212.36,126.76,0.14,0.14,1854.12,
MIRZAINT,2008-01-28 17:14:00,2007-12-31,2007-10-01,False,html_old,51789,8455.79,8459.5,7814.14,245.67,153.67,0.66,0.66,1854.12,
MIRZAINT,2008-06-16 11:20:00,2008-03-31,2008-01-01,False,html_old,54810,7229.86,7268.26,7126.34,-175.08,-128.18,,,1854.12,
MIRZAINT,2008-07-30 20:28:00,2008-06-30,2008-04-01,False,html_old,56940,9354.01,9355.26,10620.16,-1628.08,-1082.13,-1.17,-1.17,1854.12,
MIRZAINT,2008-10-24 20:49:00,2008-09-30,2008-07-01,False,html_old,58763,10417.13,,9355.7,646.71,415.1,0.45,0.45,1854.12,
MIRZAINT,2009-01-27 14:17:00,2008-12-31,2008-10-01,False,html_old,61278,9245.92,,8165.39,641.89,412.39,0.45,0.45,1854.12,
MIRZAINT,2009-05-27 16:59:00,2009-03-31,2009-01-01,False,html_old,64062,6935.08,,5489.81,1251.7,790.4,0.85,0.85,1854.12,
MIRZAINT,2009-08-03 15:18:00,2009-06-30,2009-04-01,False,html_old,67213,8137.55,,7452.9,320.88,210.88,0.23,0.23,1854.12,
MIRZAINT,2009-10-28 19:32:00,2009-09-30,2009-07-01,False,html_old,68855,10783.0,,9636.63,731.72,481.72,0.52,0.52,1854.12,
MIRZAINT,2010-01-25 18:25:00,2009-12-31,2009-10-01,False,html_old,71282,9102.34,,7876.76,860.35,565.35,0.61,0.61,1854.12,
MIRZAINT,2010-05-24 09:29:00,2010-03-31,2010-01-01,False,html_old,74306,9866.43,,8884.46,842.55,620.31,0.67,0.67,1854.12,
MIRZAINT,2010-08-06 19:38:00,2010-06-30,2010-04-01,False,html_old,76881,9505.39,,8501.68,596.86,791.07,0.85,0.85,1854.12,
MIRZAINT,2010-11-02 15:15:00,2010-09-30,2010-07-01,False,html_old,79759,13898.56,,11728.36,1704.4,1138.4,1.23,1.23,1854.12,
MIRZAINT,2011-01-31 09:54:00,2010-12-31,2010-10-01,False,html_old,82061,12508.73,,10509.48,1530.03,1055.03,1.14,1.14,1854.12,
MIRZAINT,2011-06-16 11:24:00,2011-03-31,2011-01-01,False,html_old,86365,11676.57,,9837.9,1590.28,933.71,1.01,1.01,1854.12,
MIRZAINT,2011-07-29 16:08:00,2011-06-30,2011-04-01,False,html_old,87277,12201.99,,10589.2,1013.56,686.56,0.74,0.74,1854.12,
MIRZAINT,2011-10-25 15:58:00,2011-09-30,2011-07-01,False,html_old,89535,15540.95,,13133.38,1702.61,1126.61,1.22,1.22,1854.12,
MIRZAINT,2012-02-07 16:29:00,2011-12-31,2011-10-01,False,html_old,92140,14735.67,,12781.51,1201.09,1309.31,0.86,1.41,1854.12,
MIRZAINT,2012-06-01 16:49:00,2012-03-31,2012-01-01,False,html_old,95666,12836.49,,11588.44,617.49,408.53,0.44,0.44,1854.12,
MIRZAINT,2012-07-30 13:22:00,2012-06-30,2012-04-01,False,html_old,97720,14193.96,,12758.22,700.64,466.64,,,1854.12,
MIRZAINT,2012-11-02 11:55:00,2012-09-30,2012-07-01,False,html_old,100465,16668.47,,13825.58,2013.93,1339.93,,,1854.12,
